sample,strategy,imputation,upstream,rmse_test,best_st_rmse,abs_gain,pct_gain,positive_gain
5,MLP,Ground Truth,2,0.8676085472106934,1.624961495399475,0.7573529481887817,0.4660743964290653,True
5,MLP,Ground Truth,2,0.8676085472106934,2.5620601177215576,1.6944515705108643,0.6613629238402655,True
5,MLP,Ground Truth,2,0.8676085472106934,1.3473296165466309,0.4797210693359375,0.3560532355590318,True
5,MLP,Ground Truth,2,0.8676085472106934,1.083663821220398,0.2160552740097046,0.19937481512152724,True
5,MLP,Ground Truth,2,0.8676085472106934,2.499976396560669,1.6323678493499756,0.6529533045174739,True
5,MLP,Ground Truth,2,0.8676085472106934,1.6903274059295654,0.8227188587188721,0.4867215995154693,True
5,MLP,Ground Truth,2,0.8676085472106934,1.8296552896499634,0.96204674243927,0.5258076468728281,True
5,MLP,Ground Truth,2,0.8676085472106934,1.492289662361145,0.6246811151504517,0.41860580482884446,True
5,MLP,Ground Truth,2,0.8676085472106934,3.1275172233581543,2.259908676147461,0.7225887228595008,True
5,MLP,Ground Truth,2,0.8676085472106934,1.3740886449813843,0.5064800977706909,0.3685934671103789,True
5,MLP,Ground Truth,2,0.8676085472106934,1.6088048219680786,0.7411962747573853,0.46071236525178183,True
5,MLP,Ground Truth,2,0.8676085472106934,1.2402245998382568,0.3726160526275635,0.3004423978335521,True
5,MLP-E2E,Ground Truth,2,1.683626651763916,1.624961495399475,-0.05866515636444092,-0.036102490139324116,False
5,MLP-E2E,Ground Truth,2,1.683626651763916,2.5620601177215576,0.8784334659576416,0.342862159978835,True
5,MLP-E2E,Ground Truth,2,1.683626651763916,1.3473296165466309,-0.33629703521728516,-0.2496026444362258,False
5,MLP-E2E,Ground Truth,2,1.683626651763916,1.083663821220398,-0.5999628305435181,-0.5536429460825345,False
5,MLP-E2E,Ground Truth,2,1.683626651763916,2.499976396560669,0.8163497447967529,0.32654298093367695,True
5,MLP-E2E,Ground Truth,2,1.683626651763916,1.6903274059295654,0.006700754165649414,0.0039641753083713704,True
5,MLP-E2E,Ground Truth,2,1.683626651763916,1.8296552896499634,0.14602863788604736,0.07981210379469049,True
5,MLP-E2E,Ground Truth,2,1.683626651763916,1.492289662361145,-0.191336989402771,-0.12821705747129009,False
5,MLP-E2E,Ground Truth,2,1.683626651763916,3.1275172233581543,1.4438905715942383,0.46167309993064365,True
5,MLP-E2E,Ground Truth,2,1.683626651763916,1.3740886449813843,-0.30953800678253174,-0.22526785874627853,False
5,MLP-E2E,Ground Truth,2,1.683626651763916,1.6088048219680786,-0.0748218297958374,-0.046507711049937416,False
5,MLP-E2E,Ground Truth,2,1.683626651763916,1.2402245998382568,-0.4434020519256592,-0.3575175431800701,False
5,LH,Ground Truth,2,0.8633506298065186,1.624961495399475,0.7616108655929565,0.46869471538199414,True
5,LH,Ground Truth,2,0.8633506298065186,2.5620601177215576,1.698709487915039,0.6630248354303657,True
5,LH,Ground Truth,2,0.8633506298065186,1.3473296165466309,0.4839789867401123,0.35921349964874155,True
5,LH,Ground Truth,2,0.8633506298065186,1.083663821220398,0.2203131914138794,0.20330400175745242,True
5,LH,Ground Truth,2,0.8633506298065186,2.499976396560669,1.6366257667541504,0.6546564875595349,True
5,LH,Ground Truth,2,0.8633506298065186,1.6903274059295654,0.8269767761230469,0.48924058926221203,True
5,LH,Ground Truth,2,0.8633506298065186,1.8296552896499634,0.9663046598434448,0.5281348160550566,True
5,LH,Ground Truth,2,0.8633506298065186,1.492289662361145,0.6289390325546265,0.42145908292328477,True
5,LH,Ground Truth,2,0.8633506298065186,3.1275172233581543,2.2641665935516357,0.7239501597757788,True
5,LH,Ground Truth,2,0.8633506298065186,1.3740886449813843,0.5107380151748657,0.3716921881570348,True
5,LH,Ground Truth,2,0.8633506298065186,1.6088048219680786,0.7454541921615601,0.4633589991666193,True
5,LH,Ground Truth,2,0.8633506298065186,1.2402245998382568,0.3768739700317383,0.30387558034317985,True
5,LH-E2E,Ground Truth,2,1.159325122833252,1.624961495399475,0.46563637256622314,0.28655224993608397,True
5,LH-E2E,Ground Truth,2,1.159325122833252,2.5620601177215576,1.4027349948883057,0.5475027635712776,True
5,LH-E2E,Ground Truth,2,1.159325122833252,1.3473296165466309,0.1880044937133789,0.13953860392029177,True
5,LH-E2E,Ground Truth,2,1.159325122833252,1.083663821220398,-0.075661301612854,-0.06981990182863716,False
5,LH-E2E,Ground Truth,2,1.159325122833252,2.499976396560669,1.340651273727417,0.5362655725757298,True
5,LH-E2E,Ground Truth,2,1.159325122833252,1.6903274059295654,0.5310022830963135,0.3141416752953244,True
5,LH-E2E,Ground Truth,2,1.159325122833252,1.8296552896499634,0.6703301668167114,0.36636964930424365,True
5,LH-E2E,Ground Truth,2,1.159325122833252,1.492289662361145,0.33296453952789307,0.22312326348295322,True
5,LH-E2E,Ground Truth,2,1.159325122833252,3.1275172233581543,1.9681921005249023,0.6293145520751335,True
5,LH-E2E,Ground Truth,2,1.159325122833252,1.3740886449813843,0.21476352214813232,0.156295245530569,True
5,LH-E2E,Ground Truth,2,1.159325122833252,1.6088048219680786,0.44947969913482666,0.27938733959348183,True
5,LH-E2E,Ground Truth,2,1.159325122833252,1.2402245998382568,0.08089947700500488,0.06522969873001659,True
10,MLP,Ground Truth,2,0.8607894778251648,1.2506792545318604,0.38988977670669556,0.3117424194044336,True
10,MLP,Ground Truth,2,0.8607894778251648,2.3048484325408936,1.4440589547157288,0.6265309832646047,True
10,MLP,Ground Truth,2,0.8607894778251648,1.193615436553955,0.3328259587287903,0.2788385174455186,True
10,MLP,Ground Truth,2,0.8607894778251648,0.9231284856796265,0.06233900785446167,0.06753015297601438,True
10,MLP,Ground Truth,2,0.8607894778251648,2.2053229808807373,1.3445335030555725,0.6096764576944679,True
10,MLP,Ground Truth,2,0.8607894778251648,1.4254111051559448,0.56462162733078,0.396111427284698,True
10,MLP,Ground Truth,2,0.8607894778251648,1.332672119140625,0.4718826413154602,0.3540875767850191,True
10,MLP,Ground Truth,2,0.8607894778251648,1.6385304927825928,0.777741014957428,0.4746576388924255,True
10,MLP,Ground Truth,2,0.8607894778251648,2.6369059085845947,1.77611643075943,0.673560791447728,True
10,MLP,Ground Truth,2,0.8607894778251648,1.2100178003311157,0.3492283225059509,0.2886142025434553,True
