upstream,strategy,imputation,mean_pct_gain,median_pct_gain,count,mean_pct_gain_pct
2,LH,Gaussian,-0.20325546773563863,-0.154886209973139,6000,-20.325546773563865
2,LH,Mean,-0.42618991686952634,-0.39459361754633576,6000,-42.61899168695263
2,LH,PseudoFeature,0.18224025618970116,0.19988560955356055,6000,18.224025618970117
2,LH,RealValue,-0.23477769413100186,-0.22209455739718464,6000,-23.477769413100187
2,LH-E2E,Gaussian,-0.09269446962571906,-0.04188955476003101,6000,-9.269446962571907
2,LH-E2E,Mean,-0.013169971634751759,0.024084650338159506,6000,-1.3169971634751758
2,LH-E2E,PseudoFeature,0.2871182520237669,0.30883465861201725,6000,28.71182520237669
2,LH-E2E,RealValue,0.1931009501471544,0.19107204228117147,6000,19.31009501471544
2,MLP,Gaussian,-0.14130061172321795,-0.10979956514289566,6000,-14.130061172321795
2,MLP,Mean,-0.40816724669765303,-0.3760006912421694,6000,-40.8167246697653
2,MLP,PseudoFeature,0.18326572844095396,0.19994820481031472,6000,18.326572844095395
2,MLP,RealValue,-0.22851444153872197,-0.21601772800949265,6000,-22.851444153872198
2,MLP-E2E,Gaussian,-0.5208785841504385,-0.48656035653717433,6000,-52.087858415043854
2,MLP-E2E,Mean,-0.04008492290984759,0.0013704530647437522,6000,-4.0084922909847585
2,MLP-E2E,PseudoFeature,0.27510649016149064,0.2987032494830082,6000,27.510649016149063
2,MLP-E2E,RealValue,0.03478107348336648,0.053926244753615654,6000,3.478107348336648
3,LH,Gaussian,-0.575692557837018,-0.5396950739760753,6000,-57.5692557837018
3,LH,Mean,-0.36548022934182645,-0.3333570981367848,6000,-36.54802293418265
3,LH,PseudoFeature,-0.18038933321569053,-0.12344953119162924,6000,-18.038933321569054
3,LH,RealValue,-0.25211264678972467,-0.22411566393895765,6000,-25.211264678972466
3,LH-E2E,Gaussian,-0.3360757580577744,-0.2821490224083903,6000,-33.60757580577744
3,LH-E2E,Mean,-0.07603046415419631,-0.04032913059644255,6000,-7.603046415419631
3,LH-E2E,PseudoFeature,-0.10733334384606975,-0.08149778967561092,6000,-10.733334384606975
3,LH-E2E,RealValue,-0.1797260513937159,-0.12818062755780119,6000,-17.972605139371588
3,MLP,Gaussian,-0.4705417497024159,-0.44269656652934514,6000,-47.05417497024159
3,MLP,Mean,-0.3536816998100256,-0.3216053047714845,6000,-35.36816998100256
3,MLP,PseudoFeature,-0.17160568993540612,-0.11574131503913862,6000,-17.16056899354061
3,MLP,RealValue,-0.3173428678421978,-0.2850444434235089,6000,-31.73428678421978
3,MLP-E2E,Gaussian,-0.491781189585762,-0.41247367003727,6000,-49.1781189585762
3,MLP-E2E,Mean,-0.3061953612602238,-0.23714794810335116,6000,-30.61953612602238
3,MLP-E2E,PseudoFeature,-0.2080724067386176,-0.1654631424993458,6000,-20.80724067386176
3,MLP-E2E,RealValue,-0.7707195595951248,-0.7223732830420856,6000,-77.07195595951248
4,LH,Gaussian,-0.5351067219906931,-0.49648465867066843,6000,-53.51067219906931
4,LH,Mean,-0.6884379801756342,-0.6508554278539039,6000,-68.84379801756342
4,LH,PseudoFeature,0.1413212928420088,0.16493331379777526,6000,14.13212928420088
4,LH,RealValue,0.008824409236744418,0.03087996167394071,6000,0.8824409236744417
4,LH-E2E,Gaussian,-0.382364370700269,-0.31483246332682624,6000,-38.2364370700269
4,LH-E2E,Mean,-0.24569583851230228,-0.19313217760358145,6000,-24.569583851230227
4,LH-E2E,PseudoFeature,0.26016940958163937,0.28497774740802295,6000,26.016940958163936
4,LH-E2E,RealValue,0.18751000256269612,0.20086827232456633,6000,18.751000256269613
4,MLP,Gaussian,-0.47512737660761273,-0.43745247274349786,6000,-47.512737660761275
4,MLP,Mean,-0.6788554310032174,-0.6404978594873687,6000,-67.88554310032174
4,MLP,PseudoFeature,0.14223367509631,0.16483066348469355,6000,14.223367509630998
4,MLP,RealValue,0.006119469026543844,0.03126877692647155,6000,0.6119469026543845
4,MLP-E2E,Gaussian,-0.6059445978900996,-0.5141071278969633,6000,-60.59445978900996
4,MLP-E2E,Mean,-0.3493294763707127,-0.28856193657964707,6000,-34.93294763707127
4,MLP-E2E,PseudoFeature,0.2749458351512493,0.29628674101513053,6000,27.494583515124933
4,MLP-E2E,RealValue,0.05782968580152101,0.08583378491953547,6000,5.782968580152101
