AATS1i,AATS2i,AATS3i,AATS3p,AATS4i,AATS5d,AATS6i,AATS6s,AATS7d,AATS7s,AATS8s,AATSC0c,AATSC0v,AETA_alpha,AETA_beta_ns_d,AETA_beta_s,AETA_eta_L,AMID_C,ATSC1d,ATSC1dv,ATSC7d,ATSC8dv,AXp-0d,Ali_Log_S,BCUTc-1l,BCUTd-1l,BCUTs-1h,BCUTs-1l,CIC1,CIC2,ESOL_Solubility_(mg/ml),EState_VSA1,EState_VSA4,EState_VSA5,ETA_dAlpha_B,ETA_dEpsilon_D,ETA_epsilon_5,ETA_shape_y,FNSA1,Formula_x,GATS1c,GATS1d,GATS1dv,GATS1i,GATS1s,GATS1v,GATS2c,GATS2d,GATS2i,GATS2s,GATS2v,GATS3c,GATS3d,GATS3dv,GATS3i,GATS3s,GATS3v,GATS4d,GATS4dv,GATS4i,GATS4p,GATS4s,GATS5d,GATS5dv,GATS5i,GATS5p,GATS6c,GATS6d,GATS6dv,GATS6p,GATS6s,GATS7c,GATS7dv,GATS7i,GATS7p,GATS7v,GATS8c,GATS8dv,GATS8i,GATS8s,GGI10,GGI3,GGI4,GGI6,GGI7,GGI8,GGI9,IC1,JGI2,JGI4,MATS1c,MATS5s,MATS6s,MATS7s,MATS8s,MAXaaCH,MAXaasC,MDEC-22,MDEC-23,MINaaCH,MLOGP,MOMI-Z,Molecule,Mor02m,Mor03m,Mor08m,Mor10m,Mor12m,Mor13m,Mor23m,Mor24m,Mor26m,Mor30m,Mor31m,PEOE_VSA1,PEOE_VSA10,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RASA,RNCG,RNCS,RPCG,SMILES,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SaaS,SaaaC,SdCH2,SdO,SdS,SddssS,SdsCH,SdssC,Silicos-IT_Log_P,SlogP_VSA1,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SpDiam_A,SpMax_A,SsCH3,SsCl,SsNH2,SsOH,SssNH,SssO,SssS,SsssCH,SsssN,SssssC,TopoPSA(NO),VE1_A,VSA_EState1,VSA_EState8,VSA_EState9,Xc-3dv,Xc-5dv,Xc-6dv,ZMIC2,fMF,pIC50
145.1110422,149.72977560530398,161.0443566,1.437044268,159.704181,3.448238950810053,156.6554547,2.788751715,2.297619048,2.7173335077543377,2.75,0.01092948001,44.79465505902832,0.4874998490665844,0.023625785368929154,0.6666666667,0.2108470318,1.6012981868822742,7.356734694,56.2656887503001,-3.841894979191121,64.67437714712841,0.6956073289877578,-4.7685287609370075,-0.4431094094,0.9938455052,8.001917432,1.348828131,2.0649035686875625,1.0207954070442675,0.0466,0.0,64.97748540997091,5.6063426469659685,0.01775575131386154,0.0,0.8239826055710071,0.3404864092,0.3321002298,C17H14FN3,1.411474643,0.6772061350246102,0.4249264197,0.9282303864183348,0.5015923567,0.8047238229350534,1.1002063448402075,1.1999145427728037,1.1173442977655206,0.5427486526,0.9457576622,0.7483296660974161,1.140831203,1.078568778,1.0619308596111936,0.9295542480418806,0.8746388521,1.381216556,1.2217027485912977,1.0541871940550083,0.862009481,0.9834385998068745,0.93591879362978,1.120447178,1.1208563472996909,0.9405507688522419,1.033617162,1.061273738,1.076782306,0.9351473459394518,1.341400268729868,0.6687349069,0.9323852084854151,1.0243190630014367,1.0224265991381967,1.20797489,0.8267431751356902,1.0935685195734086,1.044476001,1.396069699,0.01234567901,1.381944444,1.228333333,0.2719274376,0.38021286177548586,0.1128826531,0.03,3.8611770929616833,0.06535947712,0.03298999921299075,-0.4228638672,-0.01808517185,-0.06081792629,0.05973679281,-0.03778740405308917,1.930093203197286,1.092572279,13.26955239,20.10785084,1.4925,2.051940676073089,1529.471055,2_a1,18.49914231,-2.7184108219886842,-1.640075804,0.9280222783,1.065551657,-1.3113016456689648,-0.3662594047,0.0434334607,-0.3117944045600785,0.36816027335153473,-0.3295861417493704,9.35921104138624,17.33555333,9.374393569,0.0,6.066367068,42.81902403,24.72587309,20.029384111495453,0.8633416364,0.2451987555,57.037452989199025,0.0919280896,Fc1ccc(cc1)c1c(nc2n1CCC2)c1ccccn1,4.390415048,22.951039967064904,1.3678866376319445,22.64523548,-0.37526002324379854,0.0,0.0,3.110754112816811,0.0,0.030019962459302788,0.0,0.9155453319786225,4.0,0.0,4.390415048,14.53505669,10.710891550681353,5.817220841,12.24522612,4.908157073628015,2.527110816,0.0,0.0,1.183980990951353,0.0,0.0,0.0,0.29991062209646535,0.0,0.0,0.0,30.71,3.91853569,15.4244982,0.9601951058,0.0,0.9853010343454025,0.09033189192,0.0,24.15772897,0.5714285714,5.236572006
144.8697502,152.3593952435867,157.4491661,1.48300706,156.5676654,3.811913044874169,155.8440342,2.71807152,2.760869565,2.440461475677578,2.344017094,0.02276401408,51.4100980534574,0.47866951549155135,0.02644010205866506,0.7065217391,0.2221076636,1.3922025522083876,9.083102493,55.195738880285745,-15.395005421025182,-76.45793294303179,0.6899740463604976,-3.4800166515029973,-0.4868737681,1.734393944,3.517051553,1.348826331,2.2698054256037867,0.9581081499870716,0.0595,0.0,41.833758657406584,15.287699793347755,0.04154620797814772,0.0,0.8490545192417054,0.3588957055,0.2967340724,C18H15N3O2,1.438625798,0.6321713165792928,0.4684815875,1.2055191322353123,0.7667975567,0.8268990880098825,1.101061840815711,1.1081661276755266,1.0373062869972873,0.9611229649,0.8480531296,1.0557175141338278,1.234106583,1.03867693,1.0431831377581973,1.0894739277645085,0.9022954751,1.299484848,1.0603713524625646,1.0794290558984065,0.9415044863,1.1994826755096597,1.2927527487844224,1.050075232,1.262446217137838,0.9169323375299461,0.8614995429,1.057805643,1.021924076,1.1652094577204881,0.7969013197087288,0.8808102807,1.1571775179595751,1.1631393663470757,0.9939687314389231,1.137936853,1.002532496858762,1.0117724965248174,0.9111136049,1.230562617,0.004691358025,1.513888889,1.214444444,0.3501587302,0.3381629322462181,0.06627928949,0.02500771605,3.3494387731562436,0.06267806268,0.03624518790712601,-0.4410545484,-0.03994217642,-0.1162533099,0.01980245561,-0.27855304590976365,1.9783553802237073,1.137333239,12.40239232,21.8866936,1.808747927,1.8104119109494698,1611.221159,7_a1,22.80739312,-3.6952167543166903,-2.082195593,1.238326648,1.191031748,-1.521656431246049,-0.4033257034,0.1565646701,-0.26297231027601276,0.4036742282887923,-0.03838610308678768,1.2351771364358148,11.51833249,4.983978521,0.0,6.066367068,36.75265697,24.72587309,26.214232173486508,0.8421769682,0.232031317,57.10481102147342,0.1180634227,c1ccc(nc1)c1nc2n(c1c1ccc3c(c1)OCO3)CCC2,9.473725908,25.563342367707,0.8266196029313297,34.14425914,0.44990784593746114,0.0,0.0,6.973909561667178,0.0,0.5177255252926121,0.0,0.18455936453788463,3.43,9.473725908,0.0,21.327999,4.111633058613617,0.0,12.24522612,4.870447617910214,2.538080078,0.0,0.0,0.43878370054055693,0.0,0.0,10.95591545,-0.14214275570049836,0.0,0.0,0.0,49.17,4.197074624,13.26300729,1.28704234,0.0,0.9315175337721422,0.1042207808,0.0,26.86770968,0.6052631579,6.337242168
144.7227279,152.25354588447186,153.9030889,1.604016094,158.3535104,3.108035389987653,153.0522818,3.274431058,3.139534884,2.1815595156977596,3.28427896,0.02252518381,48.32745076156379,0.49549286213017135,0.023610647493014125,0.6388888889,0.1724691728,1.646477660684896,6.431290898,59.16611544058077,-9.34989702759578,-8.037020779098665,0.6866180338386528,-6.39552378810121,-0.3752358812,0.9729411994,8.001919869,1.432397384,2.1397389876237622,0.7753866027985342,0.00713,5.969305288,22.59059418349766,-3.3106258881166095,0.0019255474934497772,0.03741409718,0.7393030767071411,0.355664283,0.4823677858,C21H14FN3O2,1.517919242,0.6537329696666201,0.5066034678,1.2390586940475927,0.649373523,0.9083958973200499,1.2244077428981666,1.1358371620643088,1.0562485292531458,0.4849171343,0.9483186681,1.0119684321580706,1.153148249,1.053347648,0.7026082891918215,1.071978606303613,1.040034385,0.9365713018,1.038666791988867,1.0454157490712772,0.9790051332,0.8008151581229139,1.154831650303375,1.006932066,1.1294180630795596,0.9260776527584844,0.8009377975,1.271914003,0.8482414507,0.9337671369636057,0.5832089884424622,0.2821001767,1.0266354585174242,1.0196787974229178,1.0518995877939283,1.210683433,0.7682271162948592,0.9796197367479357,1.030131259,0.8501782227,0.1363126212,1.409722222,1.465555556,0.4570521542,0.3093058006425462,0.3567806752,0.275,3.282013198551027,0.07936507937,0.026558982188003878,-0.6120048039,-0.07123047824,0.06761422848,0.114627386,-0.04397459897612521,2.1366160936622465,0.8937325208,14.19850435,27.927141,1.390545196,1.4837468010522876,1747.697749,8_a1 (SB-202620),24.50755053,-4.29737105728749,-1.753416567,1.356765458,1.623002601,-1.4269824751115447,-0.7048237197,0.2450649676,-0.06882900011681092,0.3442597522335228,-0.2143610049005148,-2.0971529558641677,11.64162534,14.16893075,0.0,12.13273414,48.53093655,29.08404162,39.60010481297775,0.6806937978,0.2195557195,87.38212619149198,0.1540712279,Fc1ccc(cc1)c1nc([nH]c1c1ccncc1)c1ccc(cc1)C(=O)O,14.29147963,25.0125438104987,-3.08300860870583,33.90261496,2.5990227014180247,0.0,0.0,3.420893548138631,0.0,-0.09233958702350745,0.0,0.288808641555392,4.86,0.0,4.390415048,26.02776825,-3.000406664068623,5.817220841,10.35798868,4.917122987119337,2.475845804,0.0,0.0,0.7512672215965279,9.054265439,0.0,0.0,0.11251449629431909,0.0,0.0,0.0,78.87,4.356319718,13.31466888,0.0,0.0,0.8094676466689646,0.0872910733,0.0,33.19656922,0.5609756098,6.397940009
143.8137918,155.36094832624346,153.9889948,1.601621314,156.88388,3.0324050603195354,154.1877092,3.061173533,3.136363636,2.4704801355638306,3.085600907,0.01271820306,49.897801138217595,0.47788166401611376,0.031291002226750214,0.6296296296,0.1780669637,1.6152273876543497,8.650621958,77.31360313484558,-8.090952905091237,62.15755170757313,0.7031954604453916,-6.111837133895793,-0.3857259184,0.9729411994,8.001919505,1.432397289,2.200372993252322,0.6941024877073126,0.00578,0.0,38.595468460496555,3.0745121469403904,0.010980654913276941,0.01836104812,0.7562669137118583,0.3510401189,0.4346680611,C22H16FN3O,1.379699805,0.6581424103591162,0.4500194626,0.9929605173261558,0.5393116736,0.7995072393812795,1.3022610406733357,1.0486062050640832,1.0174003046236137,0.5846769149,0.9026143538,0.8019273209251279,1.173558601,1.151677027,1.0314341287225997,0.9164875339270829,1.006587194,0.9310534228,0.9745523654077096,0.9377665113871156,1.02193541,0.8671832136738087,1.1812779617380895,0.9249283001,1.1102846388911396,0.6382393247718103,0.9563027756,1.259068149,0.8505520433,0.9252033925990649,1.1031341061176587,0.4636616931,1.2027521430976313,1.2259418120021626,0.9886800797857418,1.182860186,0.5240815409551214,0.8907147049679608,1.001291619,0.8829066344,0.1363126212,1.409722222,1.465555556,0.4570521542,0.5530805902789533,0.3567806752,0.275,4.2719151460111755,0.07936507937,0.0444652147698282,-0.4833355777,-0.03882586022,0.08125012204,0.08860061291,-0.012884124842583724,1.9365278447462406,0.9337325208,14.19850435,27.927141,1.418322974,2.872937132253843,1753.350222,9_a1,24.19727328,-3.4381702917290524,-1.88839001,1.153717328,1.356030399,-1.8537598591299285,-0.716194481,0.2989944241,-0.09249695807283306,0.24689583963075262,-0.060676956422392805,11.383665425957153,11.64162534,9.374393569,0.0,24.26546827,43.32193961,34.64749311,17.16249795052799,0.7931762919,0.1923152733,65.98889280508162,0.09584756743,Fc1ccc(cc1)c1nc([nH]c1c1ccncc1)c1ccc(cc1)C(=O)C,9.184952232,20.239811342071253,3.8184163530658655,33.90261496,-0.668906568890218,0.0,0.0,1.4731446715042744,0.0,0.8727667051844313,0.0,-0.09426517057258363,5.86,0.0,4.390415048,20.73518051,11.73974242378241,5.817220841,17.28172588,4.969106868561697,2.475845804,1.537779396,0.0,-2.134487144784944,0.0,0.0,0.0,0.08348447757312163,0.0,0.0,0.0,58.64,4.356319718,13.33507704,1.537779396,0.0,0.8625472888123558,0.1060972487,0.0,32.63405351,0.5348837209,5.22184875
144.5439569,153.62650921474517,152.1736865,1.613866335,157.3046597,3.41790959640415,153.8013475,3.139835859,3.516483516,2.781419457795698,3.142222222,0.03207697787,51.48879208996382,0.4774236232696643,0.015805423325139855,0.6724137931,0.184041039,1.7093152797600424,8.123966942,42.588017789075344,-4.18236289674347,-14.829509311535794,0.7077248489651632,-4.513388311700221,-0.4868795029,0.9730014319,7.008294851,1.430935838,1.9967824639911687,0.9713350992312194,0.00838,5.969305288,25.717021594735055,0.2949870125010703,0.018424891471695633,0.03529847979,0.8086402862267504,0.3694581281,0.4521855816,C22H15N3O4,1.510833507,0.5986596389400394,0.5291677372,1.0409682978475128,0.7695698184,0.8917492072292887,1.106498165512873,1.104326688653555,1.115005413300344,0.5224802162,0.8700534929,1.108340479341614,1.205641621,1.006227276,0.8385610277135619,0.9996668922316747,1.032132122,0.9257206614,1.3265246040972376,1.097003459021185,0.996244266,1.1903182707035131,1.2901921609563984,0.9633891101,1.0914274775223383,1.0402044131044907,0.7686057343,1.226953468,0.8521004625,1.1415488932147948,1.3794409592446997,0.5897973458,0.9490072082110765,0.8981166614490931,1.125014003528796,1.087474996,0.8496972546966107,1.0090908420042484,0.9868864064,0.822625005,0.1231527395,1.541666667,1.531666667,0.5126077098,0.44264532916094784,0.3595600277,0.2493904321,3.8550040971172708,0.0756501182,0.04626236039766121,-0.5636502535,-0.09741828251,0.04938736667,0.1111542013,-0.11191424045190279,2.080775059917158,0.8607029478,13.16622083,28.58731687,1.556423798,1.6552095162277922,2240.126156,11_a1,29.31488305,-3.5491337356824837,-2.054783292,1.074122317,1.602259196,-0.8585547969753573,-0.8177436317,0.2064616657,-0.21701475921557165,0.4116386046568492,-0.15642843802819634,10.258872955255187,5.824404498,9.778515705,0.0,18.19910121,42.46456948,17.32374656,-2.4071532215805895,0.694514964,0.167514688,117.882160420491,0.1175519077,OC(=O)c1ccc(cc1)c1[nH]c(c(n1)c1ccc2c(c1)OCO2)c1ccccn1,19.37479049,18.49238822936909,6.449560287606986,45.53211513,0.8869398485048807,0.0,0.0,3.1247271788146795,0.0,-0.5769058622627322,0.0,-0.20789289881711528,4.28,9.473725908,0.0,32.82071055,1.7779426925202362,0.0,10.35798868,4.864753054970135,2.492061289,0.0,0.0,1.9686177412739674,9.114944218,0.0,10.90025445,0.2667669552375921,0.0,0.0,0.0,97.33,4.622707851,10.90025445,0.2020100536,0.0,0.663708884496157,0.09648405947,0.0,34.25659207,0.5909090909,6.769551079
143.6934201,152.2084027037599,151.9976332,1.648965133,157.3721192,3.5207553845479462,153.1968143,3.161375661,3.477272727,3.5958313042050536,2.959649123,0.02303927909,46.19291590823631,0.4878433846576189,0.0222967842653622,0.6696428571,0.1799479011,1.53679622436518,7.653061224,61.963747135159565,-3.73329609386734,-22.34339216219661,0.6811164309415391,-4.239764981216754,-0.4868748357,0.9113426005,6.027275696,1.430936075,1.7001271700533112,0.8663146944085509,0.00649,0.0,31.378947911280207,6.131938320879712,0.017827091732870306,0.01765188834,0.8013084487963332,0.3391959799,0.4431444855,C22H14N4O2,1.45882827,0.6986159391392277,0.5061794523,1.0446649139204411,0.6053663621,0.8394480568053102,1.4780207890636157,1.1398402486008414,1.0547662560009576,0.672143842,0.861509907,1.1543162999103656,1.204293245,1.01741438,1.065613445975373,0.8219905225090732,1.025005529,0.9645404664,0.9613881007963648,1.214581479899364,0.9841220226,0.7151999993269249,1.0693401519778554,0.9694505591,1.0048497956070368,0.880636446662508,0.8484842924,1.265432099,0.9193584736,1.1549669893621926,1.1094816735782218,0.7925476826,1.025346061839745,0.9920564319746672,1.088131881283729,1.090580563,0.833527704740329,1.0926746255239206,0.9799639438,0.8530661438,0.07356596266,1.291666667,1.491666667,0.4309750567,0.49167349926980786,0.3283100277,0.1693904321,3.735010546751496,0.06913580247,0.044214946564728415,-0.4870737722,-0.07916265771,0.07719185078,0.05306328891,-0.060079083309641686,1.9076923820967004,0.9037482153,15.04576359,28.33265389,1.750975531,1.836794137370012,2167.864172,12_a1,28.1510087,-3.536198454596624,-2.125441096,0.7872086107,1.402044203,-1.0779093589371156,-0.764628785,0.2455663592,-0.04723549680598166,0.2998898206100715,-0.5420745232171137,10.948648173472016,5.824404498,4.983978521,5.261891555,6.066367068,54.59730362,17.32374656,25.924184578354016,0.8521864702,0.1961734858,69.12622655257557,0.09981804825,N#Cc1ccc(cc1)c1[nH]c(c(n1)c1ccc2c(c1)OCO2)c1ccccn1,9.473725908,22.0436401414363,0.15491481660570816,51.60133645,0.1392424971175279,0.0,0.0,3.771363959306241,0.0,-0.1202979232069151,0.0,0.3594468261632495,4.87,9.473725908,0.0,21.74487787,0.8945971803564552,11.33111287,5.563451492,4.864754029972237,2.491273045,0.0,0.0,1.0553623814044417,0.0,0.0,10.92810365,0.3117393151327098,0.0,0.0,0.0,83.82,4.570407667,10.92810365,0.2251403116,0.0,0.6110097372653348,0.08126954398,0.0,31.43174763,0.619047619,5.530177984
143.5536717,154.60005841081008,150.2568993,1.966913163,146.2381587,3.4232559554661277,154.9019726,2.970529669,2.722222222,2.5655344393450914,2.46043771,0.0167388806,47.55812054969873,0.47926631269697445,0.012085287074851287,0.6547619048,0.2048499566,1.468420993342104,7.598335068,74.21074170818154,-12.78948493430642,-28.733755637394385,0.6673685708273435,-3.3558658582086425,-0.3876013096,0.9938494101,4.005273314,0.6050005136,1.7339956320753833,0.6423558899158073,0.0126,0.0,37.09919556028488,0.8438960628465955,0.014401651957574254,0.04361628709,0.8087471250547009,0.3250773994,0.4098018298,C15H10N4S2,1.58393888,0.6900132226530254,0.6097878859,1.0575917879736958,1.11194119,0.827942143484288,1.1615304631393972,1.024096263422265,1.204592249291182,0.9325971332,0.8135330223,1.0822032629707246,1.158210332,1.002164317,1.1473002154916996,1.0824692294157805,0.8584795969,1.352335981,1.0200870377392341,1.088297280712768,0.9157083772,1.245817900700743,1.2026020228855336,1.09584588,1.0591258481982357,0.7830636147490303,1.403492034,1.231549815,1.047597865,1.1458096983248436,0.9948746597871415,1.103927897,0.9179508978416531,0.9542587484335552,1.161562004530523,1.239288794,0.8107565574254524,0.8565643736262052,0.8936190001,1.140914901,0.0,1.3125,1.130555556,0.3715646259,0.47037888383600773,0.05921674225,0.006558641975,3.6045403353676915,0.06535947712,0.028155150466871344,-0.599804962,-0.07315684254,0.1384283015,-0.07960188916,0.1539472645683646,1.9966114808280322,1.097222222,7.330223172,15.98256634,1.781719419,2.450407035917147,1500.130642,3_a3,12.04494473,-3.862984330110195,-2.865535369,0.04834091165,1.328669903,-0.8595349488110114,-0.3664350506,0.3885123797,-0.40749305078275766,0.1578100783686443,0.12430894559809827,9.950855168087758,10.70155169,9.967957042,0.0,29.53588708,12.13273414,28.72342562,22.766409598835757,0.8434295043,0.2415958268,16.327500964272886,0.1164339197,Nc1sc(c(n1)c1nccs1)c1ccnc2c1cccc2,0.0,21.62860033259701,1.5849976991228547,21.14215038,1.0438801257777082,2.063441043,0.0,1.6914503680800412,0.0,-0.2934272341705477,0.0,0.2548043041505444,5.0,5.733667477,5.13155848,14.95193556,6.3936517155028225,0.0,0.0,4.97244340509187,2.487688296,0.0,0.0,2.596899767713186,0.0,0.0,0.0,0.2515606532688152,0.0,0.0,0.0,64.69,4.165488046,0.0,0.0,0.0,0.9761329795240329,0.1485126886,0.0,28.22793167,0.6451612903,5.929962133
143.5946678,156.2245165672664,152.2057646,1.807190912,152.4566434,2.9472347169874533,154.7589992,3.64332826,2.708333333,2.8959001132546547,3.402116402,0.01409895107,48.42579762902414,0.4816160488127025,0.008904290356912314,0.6304347826,0.1869699986,1.6199355695410855,8.488163265,66.3305615292374,-7.519389740059281,-21.975126084788897,0.6664132170977265,-4.07713926436909,-0.3876126018,0.9929594654,8.001917793,0.60501714,2.0363965478169304,0.6109835996717303,0.00264,0.0,27.29457525872016,-8.02375322565209,0.01896114953116672,0.04097722567,0.7706718914867154,0.3533866218,0.4558296632,C18H12FN3S,1.573693854,0.7681918154242222,0.5190755406,1.0837727586488803,0.6629941981,0.8558677145148273,1.050813706579962,1.0760558818451778,1.162266748414852,0.6409026574,0.8643567062,1.0009050323921416,1.128304735,0.9553078946,0.9105049904190009,0.9492908421432673,0.872363568,1.265910194,1.0970205180217965,1.0185921950932957,0.9914186174,0.9129446994041023,1.1269171253274743,1.077461931,0.97717017356802,1.0846269848971717,1.18003281,1.288119144,0.9721416548,0.864415258935247,1.0459190073856957,1.294439015,1.0330378334479733,0.8780935944513094,0.9290655032501897,1.175092993,0.8591292765269805,1.0110133424337677,0.9692163068,1.29554009,0.0,1.784722222,1.307777778,0.4596825397,0.5082034576893586,0.1143864953,0.038125,3.6549185442720975,0.07207207207,0.04265146379740155,-0.6072386337,-0.118291143,0.1424332958,-0.1143776401,0.0634080413695148,2.0554217926501104,0.9611602419,10.85865241,21.93000613,1.429867567,2.3668763331512634,1705.631803,4_a3,10.75902422,-2.3031111351354046,-1.791046302,-0.3954789132,1.692349156,-0.9674838397684464,-0.5730146426,0.2634191583,-0.0663458200148083,0.47444436989710603,0.2760553736384007,8.204130202057115,5.817220841,9.374393569,0.0,41.66862122,24.26546827,22.70997077,13.728441119358038,0.844241824,0.2353473097,34.22822254781383,0.1133692921,Nc1nc(c(s1)c1ccnc2c1cccc2)c1ccccc1F,4.390415048,17.82671091446977,3.0993499331954997,21.69797817,1.536225048839183,1.882124381,0.0,2.3260174326026792,0.0,0.36386196123161907,0.0,-0.1507695042914505,5.3,5.733667477,9.521973528,9.967957042,8.179044986086813,5.817220841,0.0,4.924234352330418,2.494167094,0.0,0.0,0.7155010655111719,0.0,0.0,0.0,-0.5634120685384182,0.0,0.0,0.0,51.8,4.295805141,14.20568673,0.0,0.0,0.7496323226802918,0.1497800171,0.0,32.78778218,0.6,5.89997427
143.9739518,153.86236238866405,151.6380716,1.90698264,149.2113874,3.410055477737548,155.4240932,3.09244562,2.772727273,2.7888627531381056,2.541861785,0.01503348894,47.404923952430245,0.45343483070842283,0.04165376972419905,0.652173913,0.1878159942,1.6390737612711472,7.123702422,61.15284135578437,-5.096134244861175,37.316334019150055,0.6996855705682613,-5.918934064197182,-0.3876330503,0.9929419474,4.005274667,0.6050165637,2.2031542209961827,0.709585875118264,0.00455,0.0,29.668865472006303,-2.1882976117878137,0.007492507117375636,0.04087784679,0.8428739610741662,0.343417825,0.479912648,C17H11ClN4S,1.577655479,0.7475623527456401,0.5940188589,1.1605249167382379,1.112719455,0.8139166188123197,0.8053575945475897,1.0780331990562393,1.1220731677689157,0.8886730673,0.8012615236,1.1359603965935992,1.07012233,0.9851330408,0.9760434513746502,0.9155186967836321,0.911781923,1.257256894,1.113813406872395,0.9349479316543793,1.069827703,0.9430039126913097,1.1187032182610468,1.051737393,1.0572079158158414,0.8504647598075608,1.412509701,1.163176446,1.108162066,0.974760981199458,1.2971401193483894,1.158347712,0.8491130537657063,0.9777875051930112,1.0196180867298854,1.091177662,0.9233875526229364,1.0292801442633042,0.8638731236,1.213597965,0.03713906744,1.534722222,1.352777778,0.4824943311,0.4172351158092242,0.1385739481,0.0925,3.20973893636183,0.07207207207,0.027713900221629683,-0.5943088524,0.05640216116,0.02297515788,-0.01475592122,-0.10291187268141153,1.9041547762239484,1.052361111,8.857406552,20.15362571,1.611966333,1.4519054170090155,2043.384683,6_a3,20.25030454,-3.7922279775269914,-2.399473009,-0.1937372504,1.265458768,-1.178514906896018,-0.6125296875,0.1655021392,-0.3816545045850771,0.37730016018529966,-0.17007818490704707,5.028876792500469,5.693927995,4.983978521,0.0,41.13682697,24.26546827,23.34336285,25.081966137356513,0.8965942281,0.2347559593,87.00113163850509,0.1131187036,Nc1nc(c(s1)c1ccnc2c1cccc2)c1ccc(cn1)Cl,0.0,21.42953234289219,6.644607933807176,21.82845468,0.08345825201059331,2.000787282,0.0,1.077052630561759,0.0,-1.0507734126786026,0.0,-0.412221965074287,4.96,5.733667477,5.13155848,14.95193556,3.872504102395247,0.0,0.0,4.850778049687195,2.487009195,0.0,5.925984915,-2.549836440427229,0.0,0.0,0.0,0.39712310713407956,0.0,0.0,0.0,64.69,4.261518188,0.0,0.0,0.0,0.7827665353363931,0.1323278235,0.0,30.99869023,0.6176470588,5.750068243
142.4614202,152.3088019063479,149.9020112,1.820004048,148.335526,3.1257291926817667,154.1584726,2.920091324,2.68115942,3.325725860861063,2.453551913,0.01277709619,52.597249003370536,0.48087950567567644,-0.015950914216382752,0.625,0.1890811643,1.6131626274912556,8.52,74.64037481855769,1.351560620622834,-99.52194688349037,0.6863677552633524,-4.50516574079097,-0.3748068646,0.9938487239,4.00527352,0.6050171284,2.6966059241563114,1.2006359142955623,0.00379,0.0,43.03535918810822,19.853071347503864,0.023225061072217362,0.03888888889,0.7901736892577047,0.3172205438,0.4294583812,C18H13N3S,1.622947299,0.6071081397889365,0.612649677,1.226548383161438,1.141798354,0.8114337762218294,1.0670657456900765,1.1698072119112597,1.06059309692178,0.8617703935,0.878770007,1.149056888199858,1.125206839,0.9725163988,0.9427469422948618,0.9008984110812164,0.8841733353,1.33072407,1.1463942888275722,0.9783499736109444,1.067830783,0.789058291395228,1.0536201475164837,1.052880218,0.7838690458211077,0.9453118932449793,1.412300751,1.259435281,1.175557174,1.1421194153467182,0.7253440510440845,1.392104207,0.9717675866275685,1.0387994998835428,1.0342239586200892,1.171569475,0.8531129681367079,0.9099300566538676,0.8704099101,1.365498471,0.0,1.472222222,1.161666667,0.3780498866,0.3875584088890677,0.07306626354,0.0225,3.6253812121497133,0.06349206349,0.03905364842557498,-0.6141702865,0.1382468159,0.008224023635,-0.1107754564,-0.1733363752749883,1.8680450194329634,1.146252834,13.50173037,21.4936885,1.77554658,2.6961572805037433,1527.318475,9_a3,14.31050003,-2.3056857566793614,-2.342459425,0.1718755552,1.330778704,-1.8384743957602698,-0.5580243806,0.1883993459,-0.03893725507918336,0.3100273094118277,-0.31325582054063217,11.297288063538328,5.693927995,4.983978521,0.0,59.86772243,22.90518257,11.76029506,28.989651342306576,0.9313370606,0.2488219329,-22.28032951568604,0.1198964762,Nc1nc(c(s1)c1cccc2c1cccc2)c1ccccn1,0.0,17.11752440609808,2.4549040035052068,21.82845468,1.4058754391264083,2.407197604,0.0,8.929034670976124,0.0,-0.6959558074302085,0.0,-0.3443473234436413,4.9,5.733667477,5.13155848,9.967957042,3.8318930211911595,0.0,0.0,4.910879722828289,2.484898405,0.0,0.0,0.04197056564611035,0.0,0.0,0.0,0.49409189659708636,0.0,0.0,0.0,51.8,4.193045613,0.0,0.0,0.0,0.8656627651828827,0.1377501849,0.0,34.92864387,0.6,4.959991364
