sample,strategy,imputation,upstream,mean_gain,std_gain,prob_positive,n_runs,mean_rmse,mean_best,profile
5,LH,Gaussian,2,-0.0009861169434530672,0.14057368361862585,0.5083333333333333,120,1.683569848537445,1.7073884109656017,Unstable
5,LH,Gaussian,3,-0.10618733608174397,0.13537110650663836,0.19166666666666668,120,1.860508966445923,1.7073884109656017,Consistent Negative
5,LH,Gaussian,4,-0.08051959148908337,0.13075156425272344,0.23333333333333334,120,1.8173380970954895,1.7073884109656017,Unstable
5,LH,Ground Truth,2,0.4766695356312721,0.06269980089435775,1.0,120,0.880195415019989,1.7073884109656017,Consistent Positive
5,LH,Ground Truth,3,0.35042643043885147,0.09688754883267087,1.0,120,1.0925251185894012,1.7073884109656017,Consistent Positive
5,LH,Ground Truth,4,0.3664241190117129,0.09093632523764002,1.0,120,1.0656184256076813,1.7073884109656017,Consistent Positive
5,LH,Mean,2,-0.111128233477945,0.13323620442986694,0.16666666666666666,120,1.8688191175460815,1.7073884109656017,Consistent Negative
5,LH,Mean,3,-0.08665182248152808,0.13057410189532795,0.20833333333333334,120,1.8276519656181336,1.7073884109656017,Unstable
5,LH,Mean,4,-0.2508407249690614,0.14954778755392265,0.08333333333333333,120,2.1038031339645387,1.7073884109656017,Consistent Negative
5,LH,Pseudo-Feature,2,0.28602616496932237,0.08557796854851935,1.0,120,1.2008406519889832,1.7073884109656017,Consistent Positive
5,LH,Pseudo-Feature,3,0.11291948368788954,0.10850140904892666,0.8083333333333333,120,1.4919907331466675,1.7073884109656017,Consistent Positive
5,LH,Pseudo-Feature,4,0.16125561668271063,0.10115459923645374,0.9833333333333333,120,1.410693645477295,1.7073884109656017,Consistent Positive
5,LH-E2E,Gaussian,2,-0.003609972416482175,0.1321362338872851,0.48333333333333334,120,1.687982940673828,1.7073884109656017,Unstable
5,LH-E2E,Gaussian,3,-0.06467041207141871,0.14358067582658302,0.325,120,1.7906811833381653,1.7073884109656017,Unstable
5,LH-E2E,Gaussian,4,-0.21145343627795837,0.15065613915019765,0.09166666666666666,120,2.0375572085380553,1.7073884109656017,Consistent Negative
5,LH-E2E,Ground Truth,2,0.25355896488882673,0.12850330929341147,0.9583333333333334,120,1.2554476022720338,1.7073884109656017,Consistent Positive
5,LH-E2E,Ground Truth,3,0.39648148109618725,0.0804833981571025,1.0,120,1.0150646090507507,1.7073884109656017,Consistent Positive
5,LH-E2E,Ground Truth,4,0.24455700515490564,0.10681243743235957,1.0,120,1.2705880999565125,1.7073884109656017,Consistent Positive
5,LH-E2E,Mean,2,0.1865860350584438,0.11634745057776534,0.95,120,1.3680901288986207,1.7073884109656017,Consistent Positive
5,LH-E2E,Mean,3,0.06369100579547513,0.15183126584370574,0.675,120,1.5747886657714845,1.7073884109656017,Unstable
5,LH-E2E,Mean,4,-0.2115272549603129,0.16254500014367051,0.11666666666666667,120,2.0376813650131225,1.7073884109656017,Consistent Negative
5,LH-E2E,Pseudo-Feature,2,0.3273149988196043,0.08485546691430584,1.0,120,1.1313964962959289,1.7073884109656017,Consistent Positive
5,LH-E2E,Pseudo-Feature,3,0.05589021033589907,0.1435878890941949,0.6666666666666666,120,1.5879089117050171,1.7073884109656017,Unstable
5,LH-E2E,Pseudo-Feature,4,0.1653220727810905,0.1254051551057064,0.8833333333333333,120,1.4038542270660401,1.7073884109656017,Consistent Positive
5,MLP,Gaussian,2,0.05928145406994829,0.11678787235036567,0.6833333333333333,120,1.5822051405906676,1.7073884109656017,Unstable
5,MLP,Gaussian,3,-0.02576939110381996,0.12457729503484917,0.43333333333333335,120,1.7252531170845031,1.7073884109656017,Unstable
5,MLP,Gaussian,4,-0.04518675228590334,0.12697829773553435,0.36666666666666664,120,1.7579113960266113,1.7073884109656017,Unstable
5,MLP,Ground Truth,2,0.43897206750220025,0.07952763618462698,1.0,120,0.9435992121696473,1.7073884109656017,Consistent Positive
5,MLP,Ground Truth,3,0.5123764969889162,0.06007617886665939,1.0,120,0.8201394736766815,1.7073884109656017,Consistent Positive
5,MLP,Ground Truth,4,0.39141501751884433,0.07747564819448614,1.0,120,1.0235859513282777,1.7073884109656017,Consistent Positive
5,MLP,Mean,2,-0.09408807485041376,0.13357551074355395,0.225,120,1.8401590824127196,1.7073884109656017,Unstable
5,MLP,Mean,3,-0.07531901393118239,0.13285461533380433,0.2833333333333333,120,1.8085911870002747,1.7073884109656017,Unstable
5,MLP,Mean,4,-0.25156521830299466,0.1500810076849822,0.08333333333333333,120,2.105021667480469,1.7073884109656017,Consistent Negative
5,MLP,Pseudo-Feature,2,0.29609485604929103,0.08430912662293367,1.0,120,1.1839060068130494,1.7073884109656017,Consistent Positive
5,MLP,Pseudo-Feature,3,0.06525198564623974,0.12359847363652778,0.6916666666666667,120,1.5721632361412048,1.7073884109656017,Unstable
5,MLP,Pseudo-Feature,4,0.16925694521764495,0.10375870243303248,0.975,120,1.3972361207008361,1.7073884109656017,Consistent Positive
5,MLP-E2E,Gaussian,2,-0.18986630906330745,0.16200031736856002,0.125,120,2.001249575614929,1.7073884109656017,Consistent Negative
5,MLP-E2E,Gaussian,3,-0.3350331896356196,0.16902142327827333,0.03333333333333333,120,2.2454073905944822,1.7073884109656017,Consistent Negative
5,MLP-E2E,Gaussian,4,-0.5286770646999314,0.20004906776517503,0.0,120,2.5710992097854612,1.7073884109656017,Consistent Negative
5,MLP-E2E,Ground Truth,2,-0.1025588590191217,0.19070209918729866,0.31666666666666665,120,1.854406189918518,1.7073884109656017,Unstable
5,MLP-E2E,Ground Truth,3,0.27358439639223125,0.08996492159874496,1.0,120,1.2217666029930114,1.7073884109656017,Consistent Positive
5,MLP-E2E,Ground Truth,4,0.09340317782931368,0.12423709923145884,0.7416666666666667,120,1.5248154282569886,1.7073884109656017,Unstable
5,MLP-E2E,Mean,2,0.13664243380790722,0.12284569823953435,0.85,120,1.4520908355712892,1.7073884109656017,Consistent Positive
5,MLP-E2E,Mean,3,-0.1492819882430166,0.19179543627816076,0.225,120,1.932990348339081,1.7073884109656017,Unstable
5,MLP-E2E,Mean,4,-0.3514225247692938,0.17167879335992633,0.008333333333333333,120,2.2729727983474732,1.7073884109656017,Consistent Negative
5,MLP-E2E,Pseudo-Feature,2,0.29736047611790706,0.08610920887440458,1.0,120,1.1817773461341858,1.7073884109656017,Consistent Positive
5,MLP-E2E,Pseudo-Feature,3,-0.24529009163556678,0.19117078228899073,0.09166666666666666,120,2.0944674611091614,1.7073884109656017,Consistent Negative
5,MLP-E2E,Pseudo-Feature,4,0.19790116681629863,0.13003677675223854,0.9333333333333333,120,1.3490590810775758,1.7073884109656017,Consistent Positive
10,LH,Gaussian,2,-0.153289813845824,0.24899863336524677,0.2833333333333333,120,1.4908295273780823,1.343152125676473,Unstable
10,LH,Gaussian,3,-0.5024141187115084,0.30055652179673126,0.0,120,1.9421339750289917,1.343152125676473,Consistent Negative
10,LH,Gaussian,4,-0.4000475323994204,0.27921160954116864,0.075,120,1.8098071932792663,1.343152125676473,Consistent Negative
10,LH,Ground Truth,2,0.3493292972806947,0.1292930803309716,1.0,120,0.8411060988903045,1.343152125676473,Consistent Positive
10,LH,Ground Truth,3,0.22859369835183557,0.17201142842482503,0.8833333333333333,120,0.997178053855896,1.343152125676473,Consistent Positive
10,LH,Ground Truth,4,0.2686138359045399,0.1580638697964524,0.9583333333333334,120,0.9454450011253357,1.343152125676473,Consistent Positive
10,LH,Mean,2,-0.22897807906156803,0.2440988115244377,0.25,120,1.5886698961257935,1.343152125676473,Unstable
10,LH,Mean,3,-0.2946906516803816,0.2573309785448828,0.09166666666666666,120,1.6736149311065673,1.343152125676473,Consistent Negative
10,LH,Mean,4,-0.5650634516672217,0.3109262579368002,0.0,120,2.0231192350387572,1.343152125676473,Consistent Negative
10,LH,Pseudo-Feature,2,0.16578647718745818,0.16578048678426716,0.8333333333333334,120,1.0783674120903015,1.343152125676473,Consistent Positive
10,LH,Pseudo-Feature,3,0.0005735965061502543,0.20090856640375565,0.48333333333333334,120,1.291934061050415,1.343152125676473,Unstable
10,LH,Pseudo-Feature,4,-0.11921607028909455,0.22299656370229248,0.3333333333333333,120,1.4467832326889039,1.343152125676473,Unstable
10,LH-E2E,Gaussian,2,-0.10973529880556768,0.22536653269108545,0.35,120,1.4345276713371278,1.343152125676473,Unstable
10,LH-E2E,Gaussian,3,-0.36669490480348155,0.2804956762601429,0.075,120,1.7666930675506591,1.343152125676473,Consistent Negative
10,LH-E2E,Gaussian,4,-0.4383056500852226,0.29134117363459394,0.041666666666666664,120,1.8592625260353088,1.343152125676473,Consistent Negative
10,LH-E2E,Ground Truth,2,0.14804691481136062,0.17909189519722313,0.825,120,1.1012989103794097,1.343152125676473,Consistent Positive
10,LH-E2E,Ground Truth,3,0.30941784908184317,0.14534400211611465,0.9583333333333334,120,0.8926986515522003,1.343152125676473,Consistent Positive
10,LH-E2E,Ground Truth,4,0.17821746468561925,0.18163375111509408,0.8333333333333334,120,1.0622981786727905,1.343152125676473,Consistent Positive
10,LH-E2E,Mean,2,0.05022881565251381,0.19076890564291396,0.65,120,1.2277459740638732,1.343152125676473,Unstable
10,LH-E2E,Mean,3,-0.15111875645218306,0.24055056527660498,0.2916666666666667,120,1.488023054599762,1.343152125676473,Unstable
10,LH-E2E,Mean,4,-0.43420282524820153,0.2894803881455553,0.05,120,1.8539589047431946,1.343152125676473,Consistent Negative
10,LH-E2E,Pseudo-Feature,2,0.24054958721802075,0.1541507612878807,0.8833333333333333,120,0.9817229688167572,1.343152125676473,Consistent Positive
10,LH-E2E,Pseudo-Feature,3,-0.06828169013954294,0.22275338616154036,0.4083333333333333,120,1.3809416055679322,1.343152125676473,Unstable
10,LH-E2E,Pseudo-Feature,4,-0.06564485284734445,0.22975516941596077,0.38333333333333336,120,1.3775330305099487,1.343152125676473,Unstable
10,MLP,Gaussian,2,-0.07568470222645325,0.22773257052332582,0.38333333333333336,120,1.3905112981796264,1.343152125676473,Unstable
10,MLP,Gaussian,3,-0.4036089853954496,0.27944799538209475,0.075,120,1.8144109964370727,1.343152125676473,Consistent Negative
10,MLP,Gaussian,4,-0.34969363418331706,0.26864608654815364,0.08333333333333333,120,1.744715940952301,1.343152125676473,Consistent Negative
10,MLP,Ground Truth,2,0.3136895269707093,0.14289407435126003,0.9666666666666667,120,0.8871767580509186,1.343152125676473,Consistent Positive
10,MLP,Ground Truth,3,0.44489453615150454,0.11069780015278552,1.0,120,0.7175712525844574,1.343152125676473,Consistent Positive
10,MLP,Ground Truth,4,0.30329953575113205,0.13972686857816377,0.9833333333333333,120,0.9006076455116272,1.343152125676473,Consistent Positive
10,MLP,Mean,2,-0.21586057618429433,0.2419374432790253,0.25,120,1.5717132210731506,1.343152125676473,Unstable
10,MLP,Mean,3,-0.3023458551604544,0.2596894256201559,0.09166666666666666,120,1.6835106253623962,1.343152125676473,Consistent Negative
