sample,strategy,imputation,upstream,mean_gain,std_gain,prob_positive,n_runs,mean_rmse,mean_best,profile,cluster
75,LH,Mean,4,-1.057311909802832,0.24124291645616786,0.0,120,1.7893397092819214,0.8815765976905823,Consistent Negative,3
75,MLP,Mean,4,-1.038921846773786,0.2392035938176886,0.0,120,1.7733450174331664,0.8815765976905823,Consistent Negative,3
75,LH,Gaussian,3,-0.9226430604313974,0.23015196083118294,0.0,120,1.6722119569778442,0.8815765976905823,Consistent Negative,3
20,LH,Mean,4,-0.9086244342696155,0.2664106260116324,0.0,120,1.8574560165405274,0.9946902841329575,Consistent Negative,2
75,MLP-E2E,Gaussian,2,-0.8986826832595055,0.23378634931975778,0.0,120,1.651372504234314,0.8815765976905823,Consistent Negative,3
20,MLP,Mean,4,-0.8930067818442737,0.26450667140133366,0.0,120,1.842257058620453,0.9946902841329575,Consistent Negative,2
20,LH,Gaussian,3,-0.8492442794348732,0.2624435046163608,0.0,120,1.7996677875518798,0.9946902841329575,Consistent Negative,2
75,LH,Gaussian,4,-0.8439962549193791,0.21718630563203567,0.0,120,1.6038091778755188,0.8815765976905823,Consistent Negative,3
20,LH,Gaussian,4,-0.8013663724152532,0.25312294880965336,0.0,120,1.7530734419822693,0.9946902841329575,Consistent Negative,2
75,MLP,Gaussian,3,-0.7912723916406832,0.21008985539452651,0.0,120,1.5579527854919433,0.8815765976905823,Consistent Negative,3
75,MLP,Gaussian,4,-0.7849709059208404,0.20965906454327,0.0,120,1.5524720907211305,0.8815765976905823,Consistent Negative,3
75,LH,Mean,2,-0.7648809162617067,0.2069411226293483,0.0,120,1.534998893737793,0.8815765976905823,Consistent Negative,3
20,MLP-E2E,Gaussian,4,-0.7556953399403574,0.2569567525241914,0.0,120,1.7086268067359924,0.9946902841329575,Consistent Negative,2
10,MLP-E2E,Gaussian,4,-0.7465648236086063,0.3545625758087109,0.0,120,2.257741618156433,1.343152125676473,Consistent Negative,2
75,MLP,Mean,2,-0.7383140836084062,0.20390294448354762,0.0,120,1.5118924856185914,0.8815765976905823,Consistent Negative,3
20,MLP-E2E,Gaussian,3,-0.7287697261913142,0.2517890487514857,0.0,120,1.6824230432510376,0.9946902841329575,Consistent Negative,2
20,MLP,Gaussian,4,-0.7184545846403985,0.2405472947899052,0.0,120,1.6723844408988953,0.9946902841329575,Consistent Negative,2
20,MLP,Gaussian,3,-0.7085024762365886,0.23869758074298175,0.0,120,1.6626991391181947,0.9946902841329575,Consistent Negative,2
20,MLP-E2E,Gaussian,2,-0.679990612075873,0.2498899179194627,0.0,120,1.634951651096344,0.9946902841329575,Consistent Negative,2
20,MLP-E2E,Pseudo-Feature,3,-0.6440297516519685,0.25212236634581525,0.0,120,1.599954867362976,0.9946902841329575,Consistent Negative,2
