,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),147.66925078937595,2.0,406.6085785536742,1.3314738287393144e-111,0.2892439725830294,0.5803648299498
C(strategy),121.96216558420852,3.0,223.8825958256106,7.498276461024309e-97,0.2388907717065745,0.5332028477755614
C(upstream):C(strategy),134.13100031201859,6.0,123.11029566708798,1.734717604882636e-100,0.262726215304771,0.5567822850386284
Residual,106.77285729313647,588.0,,,0.2091390404056251,
