AATS1i,AATS2i,AATS3i,AATS4i,AATS5d,AATS6i,AATS7s,AATS8dv,AATS8s,AATSC0v,AETA_alpha,AETA_beta_ns_d,AETA_beta_s,AETA_eta_F,AETA_eta_L,AMID_C,ATSC0i,ATSC0p,ATSC1d,ATSC1dv,ATSC7d,ATSC8d,ATSC8dv,AXp-0d,AXp-1d,Ali_Log_S,Ali_Solubility_(mg/ml),BCUTc-1h,BCUTd-1l,BCUTs-1h,CIC1,CIC2,ESOL_Log_S,ESOL_Solubility_(mg/ml),EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA9,ETA_dAlpha_B,ETA_dEpsilon_D,ETA_epsilon_5,FPSA3,GATS1d,GATS1dv,GATS1i,GATS1p,GATS1v,GATS2c,GATS2d,GATS2i,GATS2s,GATS2v,GATS3c,GATS3dv,GATS3i,GATS3s,GATS3v,GATS4c,GATS4dv,GATS4i,GATS4s,GATS5d,GATS5dv,GATS5i,GATS5p,GATS6d,GATS6dv,GATS6i,GATS6p,GATS6s,GATS7d,GATS7dv,GATS7i,GATS7p,GATS8c,GATS8dv,GATS8i,GGI3,GGI5,GGI6,GGI7,GGI8,GGI9,IC1,IC2,JGI2,JGI4,JGI5,MATS1c,MATS2s,MATS3s,MATS6s,MATS7s,MATS8s,MAXaaCH,MDEC-33,MLOGP,MOMI-Z,Mor02m,Mor03m,Mor06m,Mor08m,Mor11m,Mor13m,Mor16m,Mor23m,Mor26m,Mor30m,Mor31m,PEOE_VSA1,PEOE_VSA2,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,RNCG,RNCS,RPCG,RPCS,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SaaS,SaaaC,SaasC,SdO,SdS,SddssS,SdssC,Silicos-IT_Log_P,Silicos-IT_Solubility_(mg/ml),SlogP_VSA1,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SpDiam_A,SpMax_A,SsNH2,SsOH,SssNH,SssO,SssS,SssssC,TopoPSA(NO),VE1_A,VSA_EState3,VSA_EState7,VSA_EState8,VSA_EState9,XLOGP3,Xc-3dv,Xc-5d,Xc-5dv,Xc-6dv,Xch-5d,Xch-7d,ZMIC1,ZMIC2
145.560325,150.7520497,156.5390026,155.8494569,3.446428571,157.8136342,2.713833492,3.470050979483162,2.589976983,50.40263578,0.4916666667,0.015625,0.6652307638387053,1.030082897540303,0.1880492979033916,1.63637924,95.1455449101607,14.824098792307774,9.136094675,56.75805391,-6.461538462,-10.397229063403705,0.8027613412,0.6848636974,0.4272691237068628,-5.59,-0.0149215505300078,0.4436376833879887,1.0182248747572882,5.093530303558992,2.225408552,1.169396833,-4.92896826440347,0.00305,8.727123922675306,7.995110164280327,18.763032580754263,44.92947468,0.0,23.465498208408007,11.038524036519446,0.008333333333,0.01464646465,0.7686868687,0.0403654471811948,0.7010103383,0.5338529013,1.106744432,0.8904018050778312,0.8105966151,1.307613246,1.131203008,1.255474299,0.8845624423,0.8869107625,1.182502241,1.102882377,0.9948518972,1.21797018,1.0411181397701257,0.967548299095253,1.046089306,1.041741393,0.9211550059,1.113827538,0.9903953190276148,1.142098622,1.108727882,1.212271175431681,1.07260214,0.8101976341522302,0.9473605507,1.058993957,1.251536297151458,1.033053036,0.9807791387,0.9889785624,1.179218062,0.9775824878,1.024371889,2.391023718148668,0.6181966132826641,0.7413151927,0.474029195,0.2694668143970206,0.2889013561101766,3.475031166,4.470903595765895,0.0607117618398846,0.0381678487,0.0213377879704283,-0.2740913548208689,0.1973170227037033,0.0034118093291266,-0.03525356625,0.09928470844,-0.0421398553,2.03988502,7.012899874955098,2.13,3201.186331,28.00048187,-3.436424346,0.9434156205544096,-2.765120545739117,0.6870166729571024,-1.251029408,0.7470827054630902,-0.8668332850351602,-0.348939037,0.5026020939,-0.3174309568,5.316788604,0.0487882598392079,5.098681808,42.54970879,23.27208584,0.1626234389,21.57365644,0.0779721243,171.63784216866088,0.0,24.73242031,0.0,22.51475897,0.0,0.1412608665296721,3.673176421902543,0.0,0.3616405715882738,0.0,0.6790551438,2.767392333733292,-0.0171292808817508,14.953361283108046,5.687386275,29.72092241,6.544756406,6.9237372,4.876664293,2.4487469907701263,0.0,-1.753340186154256,2.7290411291906054,0.0,0.0,-0.0689324334841667,68.52,4.813918008362501,9.262753060074203,2.6172809498805574,2.431664893,0.0,4.301896164852886,0.915641771,0.4050260182059784,0.07129411522,0.0,0.2220378075467371,1.1295357826033032,49.50395394783674,36.57587505
143.9205754,148.497033,155.7072841,157.6903983,3.638554217,156.1471078,2.775983348,2.835909489664588,2.513594118,49.36971113,0.4938271605,0.01851851852,0.6631288029714131,0.925619755163311,0.225928865256577,1.645994822,99.07408199390449,14.56484771679922,8.611111111,47.5648778,-11.11111111,1.300792989923771,-49.07432603,0.6747025075,0.4291758968342972,-5.7,-0.0051144204824817,0.3902605992294779,1.219613380265281,6.009475244005053,1.971019137,1.017358475,-4.952788730547439,0.00211,11.745509585872922,2.6881782852580094,4.701943385624073,44.70847628,0.0,28.2722362739327,17.64965642074347,0.006172839506,0.01728395062,0.7666666667,0.0382908879387297,0.6357555488,0.4925806497,1.097914098,1.0499860443570297,0.7586816813,0.928830155,1.046116046,1.162316982,0.806176138,0.8736319481,1.359112878,1.046212291,1.069299139,1.059650804,1.031022376293155,1.371985613661599,1.096330246,1.153244123,1.134986036,1.09849187,1.0192487611279464,1.001694662,0.9087220074,1.0957722833679258,1.262825586,1.0808077962926617,0.7062011674,1.36756626,1.2436358292844143,1.087030257,0.9636005185,0.9363242298,0.8892957006,1.06378838,0.945521376,1.181377220594733,0.983058861315,0.4734240363,0.3871527778,0.2377246255481411,0.2189937530506105,3.421298286,4.465227014144395,0.0650236930411859,0.03834795322,0.0263932895694245,-0.4894475853706389,0.3509240573123903,-0.0250563386758314,-0.3256048181,0.007166955336,-0.2231714005,2.091736636,10.570506887398782,2.83,2341.143937,30.25372769,-4.349804826,0.8494378291241713,-2.688688827155345,1.1824610129113795,-1.364894195,0.5504861211067213,-1.1838236222923817,-0.2638964467,0.3145197949,-0.1177401881,5.316788604,10.940696949844154,0.0,24.26546827,21.41454618,0.1884334693,20.66219208,0.1109721935,16.359342589372062,0.0,15.28474565,4.992404733,0.0,1.623420283,0.8344578842766823,5.553812419922708,0.0,-2.618921177473037,0.0,0.6099706843,3.800853947249276,-0.0251619343496161,10.92780985723662,11.37477255,15.80357683,0.0,13.08951281,4.903407469,2.4976790408811738,0.0,1.652292391665013,3.5861502452391387,0.0,0.0,0.9918561472376456,64.27,4.468405668773047,12.829922932174334,3.4413902153775,1.966259719,0.0,4.887514217852987,0.7609291239,0.2884309386899936,0.09332482137,0.0,0.3091057049507023,0.9163652961437384,68.86826132285259,31.3110809
147.4612651,157.7221058,159.9476082,159.1225334,4.1,162.9607215,5.453186535,5.072203877376332,4.534979424,43.86052541,0.4843253968,0.0,0.6667486295497748,1.0878221341524772,0.2716939624849394,1.332445565,109.6837870028854,13.33053817677092,3.752066116,40.2265075,-11.12396694,-6.353478146263631,-81.96755433,0.7040406978,0.4387581606926434,-6.27,-0.0123742996838528,0.3801328336783636,0.7477927655566117,2.8955522878641164,1.049369409,0.4928685608,-4.729248090328262,0.00251,3.43262625889008,3.637807658175139,12.848219428511277,15.91054863,22.67357176,19.426558761418185,5.070614475038053,0.01567460317,0.02512698413,0.903047619,0.049566531932585,0.9346405229,0.3964611406,0.8505278771,0.746627448520253,0.7117645346,1.066337923,0.9322033898,0.7492637709,0.3591895554,0.7793836392,0.6916775797,0.7824128347,0.5185500431,0.4570906609,0.9525550290071,1.1228389529348448,0.8466251836,0.9734528773,0.8341697233,1.175490196,1.1648462949541003,0.9434064182,0.9520079746,1.186227472713583,1.087901579,1.0751479935093733,1.339381988,1.049784255,1.114268253184978,1.329232471,1.424684863,0.9366503436,0.8996855229,1.56203012,1.45619129,1.3971751261723664,1.0307886986477732,0.7413151927,0.5721017574,0.4357005687184818,0.325655236328432,3.995024711,4.5826848186823845,0.0681486381746136,0.05052380952,0.0233007561613072,-0.3149664543639382,-0.0105793918591877,-0.0439301306935354,-0.02532760127,-0.2289025083,-0.337053202,1.810150227,12.789131825597462,2.09,2275.114305,30.5186832,-6.198717848,0.9706029886794753,-2.284758630094723,0.4599126557232652,-0.5802035465,0.0560239290861613,-0.8182434212756089,-0.309865363,0.155164361,0.1592967637,4.983978521,2.496918799623842,13.17124514,6.066367068,21.4210879,0.1746651557,31.96666154,0.2350145504,144.23198380239276,13.17124514,19.93591408,0.0,21.95893118,2.703659126,0.8910339996639842,5.323850858613627,0.0,-1.0497288205892947,0.0,0.0,5.07849754045936,0.0270294149133107,3.308955774096761,13.17124514,19.93591408,6.176298517,6.9237372,4.853464981,2.554002479935379,0.0,4.540609418120431,1.2905692364143662,0.0,0.0,-0.9293270946621176,54.46,4.818633228565509,12.059473287060548,7.092160554432352,1.792035689,0.0,6.149519297095411,0.8991335537,0.3563278430216119,0.1350287976,0.003018408053,0.0396633697589708,1.088099652155334,39.321667788473206,36.71808007
144.0134583,150.126197,156.8461685,153.5723163,3.865979381,156.7137158,2.356688122,5.110248836464921,2.087254445,51.04803271,0.4928571429,0.01923076923,0.6590851572214855,1.0270947414030684,0.2211900421483085,1.710001269,57.91829986099656,13.172168212033892,12.73336939,67.91639792,-20.64196863,-0.8500392571871247,-38.35570779,0.679730678,0.4319908197750486,-4.76,0.1156393352951343,0.3314945798030783,0.8874243469115785,9.295683098898584,1.882225511,0.7536365571,-4.906281621999391,0.00255,-4.932710518682479,11.696603575326089,12.666084480978352,47.37110857,16.82083098,36.78707570546338,4.313120764101523,0.007142857143,0.0,0.7879120879,0.0425582062203134,0.5602350279,0.4318447912,1.098254068,0.9719231871966862,0.8150876153,1.314057055,0.9656629185,1.20195393,0.802777227,0.8248936248,1.162451852,1.122979597,0.9005178782,1.07024599,0.8594326695641601,1.105669224516038,1.142759713,1.026477864,1.104286557,1.277430991,0.9230551506590238,1.254770926,0.9894774431,1.0281704086768362,1.240392507,1.0646503737780897,0.9625365914,1.264429857,0.9413153617688924,1.226162045,1.006670644,1.045596152,0.7989429637,1.006643446,0.9886050964,1.97390181408515,0.6955619499385027,0.6131972789,0.4288548753,0.4091982573122233,0.2225899960787881,3.544039244,4.258986849193,0.0651623371340571,0.04044973545,0.0260774218701598,-0.4123590987450401,0.0677106603773128,-0.0694466890792797,-0.1398244797,-0.1165371515,-0.1514373106,2.125990226,10.495818950996604,3.15,2177.837598,20.78246748,-2.909144122,0.8980097022493819,-2.270194737066271,0.6214534533645993,-1.147689069,0.3673876558223863,-1.1963561475954552,-0.4462850492,0.3119019792,-0.02368572528,0.0,4.404392496267109,5.098681808,29.8000411,21.92719002,0.1910926599,9.627587987,0.08464523789,200.8371362468277,0.0,19.74844179,0.0,22.51475897,0.0,1.0579026376129703,5.879680780581749,0.0,2.030666348463611,0.0,0.0,6.280909767083798,-0.0361106672674446,7.656408418752594,0.0,19.74844179,12.96557803,6.9237372,5.000147947,2.5408854116883046,0.0,-2.8680841886095294,0.6430341064971141,0.0,0.0,0.8001907684878302,43.6,4.418877539678708,2.895543376630127,-1.3420831670405553,2.883960967,0.0,3.690508552114427,0.8170731478,0.4017451844434112,0.2038753515,0.0,0.2357267670999545,0.9526019463409684,60.885284354900726,27.68479521
147.0512604,153.298533,156.1439246,155.2239887,3.094827586,159.1124828,2.709876543,4.133978906078776,2.687134503,48.51601673,0.4752688172,0.01612903226,0.6610184737645587,0.9758388726471292,0.1605014082664832,1.62492247,122.11407216907924,15.521627136469885,7.98615917,42.68319877,-3.813148789,3.608069496623065,-22.8769704,0.6736212297,0.434218861003728,-4.12,0.0056975481804498,0.4853310199544464,0.9242246903034604,7.978780921948484,2.169459979,0.7946926473,-5.662040865588562,0.0199,0.9820429860583724,11.83254412641094,7.5468853292480995,46.0664067,0.0,15.011484106823207,5.62221158265598,0.0247311828,0.0156922043,0.7864583333,0.052595622753939,0.6499575191,0.5717269661,1.228519539,0.7029198685452912,0.8670340307,1.411693982,1.171505828,1.067066962,1.094830353,0.8997839579,0.9917209535,1.142848717,0.9167204453,1.065979522,0.8793917833699131,1.0167548247255702,1.003537061,1.137439012,0.9966995856,0.9330688044,1.0110378884806088,0.9905744916,0.9596107075,1.2389061632823812,0.9344976561,1.01986966766365,0.9400515136,0.8165135332,0.9453805665886628,0.9230159947,1.028564315,1.081529766,0.8696566776,1.032606284,1.097846121,1.5169674307291805,1.2680291219013191,0.4251247166,0.2830569728,0.2976873968062257,0.0585378067286023,3.502965363,4.674459824177761,0.0749790159460823,0.02094315245,0.0081706198414959,-0.3789617718538827,0.044912985421271,-0.0427422501790835,0.08922032047,0.05678877165,-0.0753821893,2.061706428,11.611660058693126,1.06,1149.515575,29.97570609,-3.466205219,1.4251647029384191,-1.5906704054963527,-0.1208616985459607,-1.430672584,1.021565222484225,-0.9418374190985276,-0.1871286353,0.5062090867,-0.2306665933,9.303962602,2.0496149656416947,5.098681808,6.066367068,24.25993247,0.2060016448,58.60524924,0.07931789153,89.91231124713053,4.736862954,29.71639883,0.0,39.52165029,0.0,1.541924994799443,5.555254099140098,0.0,-3.9875432868118383,0.0,0.0,4.702387060302403,0.0519199436718664,2.206364238154856,0.0,36.32328079,6.544756406,0.0,4.818141123,2.5025781243833003,0.0,0.4331300454656988,-0.1447599481159425,5.829180599,0.0,-0.9397029712466012,81.51,4.400603344350958,2.572007004051023,9.924391145573136,1.342149728,0.0,2.85681977441486,0.5972872317,0.1944364446394548,0.0761440227,0.0,0.2528706467870082,0.4772357644735841,55.88840571552705,29.22376832
150.1287662,155.577371,160.8336168,160.1316994,3.292682927,162.70947,2.714285714,4.78906454231262,2.789990421,47.59726111,0.4707070707,0.0303030303,0.6498151512988959,1.1543684827303695,0.2002117760372644,1.520040716,35.91840525917437,12.492314728033415,11.33190083,75.49586777,-7.836033058,-10.978861229984512,-30.43801653,0.6904812668,0.4316584466703451,-3.54,-0.1323242281223234,0.4094312921177481,0.9496565195087052,5.191636885534412,2.01541337,0.9461654549,-5.058980156189269,0.0997,4.24349660799663,3.228862873988855,2.376169418317275,51.71376917,13.26227256,24.500428680956887,6.455851736848112,0.02929292929,0.04335016835,0.7768518519,0.0445169314280923,0.7054229688,0.4701755915,1.310822657,0.8044004180817353,0.871503092,0.9914120486,1.158493597,1.247799371,0.5717072487,0.9051268693,1.168480885,1.19744908,0.9763069501,1.302360769,0.9788852117798212,1.0281960192553967,0.9728418609,1.060873201,0.6744874859,1.076028109,1.154168010085876,1.137021822,1.105722788,1.130414267784688,0.9851563148,1.004921886473179,0.9531900847,0.8858995568,1.108380841145873,1.02001469,0.919064009,0.8993950898,0.8860151522,0.9872794965,1.021017094,3.4818839048895245,0.8094969465221458,0.6931972789,0.6067885488,0.1523470399516885,0.3406115756585174,3.765946344,4.9805667307006285,0.0696055585755209,0.04250591017,0.0195882273039201,-0.3820703096190356,-0.1766161477364539,-0.0119412089686354,-0.06916580264,0.03184452403,-0.01353165484,1.98359253,12.215104682803718,1.49,2114.754709,31.70917809,-3.795521347,-0.2927149751548688,-2.1278348123906965,1.336061657011132,-1.560207532,0.4436351930616473,-1.0899176250569915,-0.2816104061,0.3924517219,-0.1512194368,15.61755573,6.374996665194779,5.425791397,12.14238718,23.62654039,0.134539768,33.07316149,0.07868413042,36.14704147052718,4.794537184,25.38663948,4.992404733,11.38785599,0.0,-0.3378054621813121,5.971617702489185,11.20180083,2.512079093132389,0.0,0.8135728293,5.543932481920809,0.0306422351727976,6.392027912019827,11.37477255,32.20656318,11.33929359,13.08951281,4.84862861,2.478876787842015,0.0,-4.692294381964199,2.5415938934579514,0.0,0.0,-1.004081885007158,112.4,4.466371153533109,4.410290778041649,5.97531656583315,3.944364098,0.0,3.875167249526824,0.8586399347,0.3317952936524485,0.06365387513,0.0,-0.0082951094718819,1.0880748196206629,46.9175104183722,30.46303494
148.1175792,151.9245659,158.2982398,158.696275,3.341463415,161.1531869,2.80839895,3.867743200571887,3.054613936,47.983974,0.4737373737,0.01515151515,0.6467230667415803,0.8927900735845322,0.2119969322874959,1.598107469,71.11862490215492,13.18899775324128,11.32441701,58.86419753,-3.121056241,-7.38615461995762,5.827160494,0.6904812668,0.4260845596625113,-4.64,0.0298468905792409,0.4354984121148345,1.1164285082482928,4.782924292016392,2.122284425,0.9624846009,-4.744273102942128,0.0228,2.77011328698185,1.3263998597862965,10.060218392413136,50.88435568,0.0,26.627549052630783,17.560571137478924,0.02626262626,0.05492765493,0.7531531532,0.0434641865241167,0.688132401,0.4928064814,1.186259354,0.7587899965018378,0.808654492,0.955881863,1.158783241,1.227336624,0.5353549235,0.9098394126,0.9643030855,1.151037647,0.9725137957,0.9824538378,0.984330412392694,0.9910552968278508,1.066814244,1.143224984,1.013548257,1.122177974,1.0173223860806913,1.111315097,1.045308634,0.9942264860058388,1.04828938,1.084452549811058,0.9447017455,0.9170307425,1.0343527063177806,1.015392516,0.9664313761,0.9154061091,0.6810049159,0.9283487331,0.9440686449,2.110965889226129,1.2704140568072906,0.6156462585,0.6198625283,0.1578873438558617,0.1100782902862448,3.632603077,4.687200804769905,0.0750165919415634,0.0446875,0.0269616975583664,-0.6664531216830994,0.0399126233041391,-0.0285229082489583,-0.1184005841,-0.05952935236,0.1569820465,1.986135868,12.515010018291571,0.81,2131.473555,28.93837283,-4.334610185,2.079645928604398,-3.56113257644238,0.3320884607297437,-1.809740532,0.3107007395071803,-0.6553747513707078,-0.1644850658,0.3809179098,-0.3172304735,16.0344346,8.9359404526398,0.0,18.19910121,34.65994183,0.1360091594,32.24398834,0.08937926059,98.16833382453054,4.794537184,24.9198926,5.733667477,22.64523548,0.0,-0.9122045416482256,4.878206278256418,11.46922204,1.409688208118602,0.0,-0.4665311897,3.95999916188284,0.0038587641626423,4.202775867639816,5.687386275,30.82707233,6.544756406,6.9237372,4.874959471,2.5042826732628267,5.391845875,-0.3541503992406425,-0.0727581754830475,0.0,0.0,0.6223198072590833,122.47,4.426585999652075,12.425383987671507,4.368844998972108,2.382704181,0.0,3.218982039024405,0.8291328182,0.4597707117131238,0.08505527698,0.0,0.274386017461205,0.861023978587006,63.57187148116984,32.00740331
142.568784,147.0264186,150.228361,156.1724908,3.465517241,159.8089967,2.506858711,4.218123286794501,2.574133074,51.19414657,0.5112554113,0.02272727273,0.6420718885627855,0.9846625031745588,0.2111409560383547,1.613859381,77.38387522191698,11.044001484040336,6.387543253,37.25823401,-10.49134948,-4.646502161983221,-42.15075398,0.6865492513,0.4371336933560398,-6.13,-0.1085188187729343,0.4280382618414008,0.980592842201746,7.656385041135151,1.743653309,0.9045555148,-3.8145859535653854,0.000727,-3.4097064114359825,0.0522299073159278,29.95843035977025,31.81196091,5.563451492,15.972287442404353,1.5787291352262027,0.0,0.0,0.7978354978,0.0423933777546824,0.702740662,0.5496909568,0.9601897125,1.0018455284825951,0.7324090131,1.054521134,1.076825843,1.168403169,0.9764116598,0.7950806361,0.9514008569,0.9484975008,1.072127304,1.01926616,0.87158743629955,0.983661740930318,0.9355006689,1.140327832,1.03888694,1.046033514,1.1003648227036706,1.156503074,0.8949825732,1.0874832841564452,1.28728987,1.171711454797017,1.429588173,1.590509625,1.0537136691202598,1.498679609,0.9274549705,1.141796019,0.7659585896,1.328864352,0.7764336092,1.826416394630562,0.7276651656596754,0.3788208617,0.3411635488,0.2879996806400857,0.3215048429417022,3.343809532,5.058147016587916,0.06543651154068,0.04555555556,0.0183653600064939,-0.5990688796321931,0.1968191719155281,-0.0198660023991529,-0.1232475129,-0.06048862328,-0.3969541693,2.137281307,13.853970843336116,4.07,390.8279117,23.86903746,-4.431175036,1.730279613201103,-2.184568096272097,0.8322009828913792,-0.4233779371,0.5589786041430447,-0.7428865852225844,-0.2706113907,0.3611107697,-0.1605658084,0.0,10.72201521326696,5.098681808,58.8330126,11.89077157,0.1752600273,98.50396462,0.1713114299,53.77547585403237,0.0,14.59805822,0.0,21.82845468,1.592402954,0.2785255749973956,5.463658887749494,0.0,2.7251266037202626,0.0,0.0,4.932379660523196,0.0031198154872642,14.37995048187969,0.0,14.59805822,0.0,6.9237372,4.773957061,2.4704878276289923,0.0,1.0302715278107617,5.326100289255447,0.0,0.0,0.7231918578402564,30.19,4.406790213195084,0.2289790634626758,7.266766782887107,2.084179544,0.0,4.306875408214229,0.9040054457,0.2091346748872146,0.09878289721,0.0,0.282112152081434,0.8246986298505634,36.1092590873464,29.43827486
148.0204164,152.3036628,155.6241958,156.38011,3.673267327,158.8298829,3.069279636,5.419542039773064,3.01016703,46.40783287,0.4854166667,0.015625,0.6346757281965525,1.1456284358459847,0.1912074294322824,1.505162424,98.43605329426164,8.734076475660775,9.277777778,57.61651235,-9.638888889,4.368335019617324,9.116898148,0.6899617195,0.4348862922185406,-5.68,0.2373481274434875,0.3781805230559261,1.0682112980827678,9.565346129117753,1.797995053,0.7767544274,-3.1320233507459685,0.00554,-5.207864838979617,8.54720939861367,-1.1433703233844792,28.16193619,6.327320075,26.31852405303729,6.05012419639433,0.01458333333,0.0154040404,0.7929292929,0.0470011660630508,0.6778846154,0.4601794321,1.094092438,0.89858983193728,0.7739194071,0.9978933536,1.125945643,1.163808843,0.5263290549,0.8461781675,1.126749375,1.063892821,0.9937935412,0.7653077486,0.9610404516788026,1.1422335429741586,0.991449361,1.105641658,1.009087887,1.120078287,1.0348349013043832,1.096946365,1.012838732,1.0556909202001163,1.12475115,0.8900391816999816,0.9224867734,1.002180955,1.2199209597301417,1.016003688,1.013083517,1.293880102,0.8043402298,0.9313135294,0.9865388069,1.6170275895699149,0.3817623885267907,0.7772789116,0.6137329932,0.3216753629384279,0.1924441572392817,3.786967448,5.003442195462959,0.0782900210153872,0.04255787037,0.029044989288156,-0.4270741343483942,0.1519813821886941,0.0535963942642891,-0.1418998546,0.002369970634,0.1431020664,1.953568543,8.847329213383578,2.39,1979.218291,26.70073695,-4.59435954,0.1108062261661735,-2.9783121356943743,0.6789086220617047,-1.107443043,0.6413231286195414,-0.673897663229167,-0.335460334,0.4681407602,-0.3277556437,5.316788604,5.545195935165653,15.45925517,12.13273414,17.3266008,0.1536834849,33.40773965,0.09195694048,49.41258610035393,0.0,29.36252149,0.0,28.58398029,0.0,2.3777928332569584,3.428541903296355,0.0,0.2185992951775313,0.0,0.3785173112,5.157069013184545,-0.0172951533525921,19.91916480851597,5.687386275,34.47495837,0.0,18.25485007,4.859112107,2.566492784221248,0.0,-1.8487608356808545,-0.5733995627955715,0.0,0.0,0.6543508900487772,96.72,4.704707977749259,9.647359662854864,0.0654577819887061,1.941264622,0.0,2.2782130288997067,0.8818553705,0.5755070550649674,0.1048899075,0.0,0.1645559623810679,0.8893984990241586,46.58391150601752,30.77061433
147.9609889,153.6858859,157.3723122,158.2847916,3.313559322,161.3962539,2.541629027,4.723209994059513,2.600173273,50.24069857,0.488172043,0.03225806452,0.6443063247821693,1.0665785773203575,0.2149887942599772,1.551691863,91.09326108899296,10.238579775821286,12.75,75.74556213,-2.8125,-7.902749182299262,-19.08481262,0.6841461785,0.4442939382820116,-4.85,-0.0554147472367922,0.3692110104829605,0.9133598465353924,7.504439822317246,1.948806929,0.8084442311,-3.739645683911738,0.0132,-1.046183314277981,3.65119737580266,30.6558790281688,46.02638289,4.895483476,10.09927760606584,-3.286695133884441,0.01182795699,0.0302378625,0.7686868687,0.031295304241526,0.6275510204,0.4858885136,1.202428832,0.9049150514925788,0.8419519833,1.14525196,1.099378882,1.170031011,0.7677770956,0.8883641275,1.104223281,1.134299115,0.9967102316,1.101451631,1.0069429949945758,0.8630752154547807,1.036806387,1.115373092,1.093347265,1.140435835,1.0781232299432968,1.130021224,0.9966874993,1.1575148417841774,0.9887735485,1.0889310204551683,0.920388143,1.081734953,1.184707457016409,1.027397085,0.9392508828,0.818590741,1.038133593,1.009299348,1.026507014,1.6339395973345916,0.9885881025796632,0.614829932,0.5130385488,0.2471373607760603,0.3141023568144374,3.751632789,4.856665033613716,0.0665961744262845,0.04176767677,0.0277703976391144,-0.6780311204094471,0.162318426335847,-0.0286994407863857,-0.01507438131,-0.02037667222,0.08008636736,2.135101973,8.383965574560635,2.51,2480.208982,28.83810036,-4.27403285,-0.7753325209066029,-2.7539777391439104,0.6801279152427699,-1.305590239,0.2716454752999492,-0.766859956818802,-0.005907292768,0.4375679667,-0.2402819089,10.30076712,15.43421666582437,5.425791397,18.20875424,23.62654039,0.1590730809,31.87239538,0.09303964791,118.61087597916058,0.0,25.38663948,4.992404733,11.38785599,0.0,2.5733179623523226,4.864854244678557,0.0,-2.863932135759014,0.0,0.9473948809,2.017328859350429,0.0129965392644143,-0.955945803539044,5.687386275,32.55515263,6.544756406,13.08951281,4.848683342,2.484626672113738,0.0,-0.5607770924009017,2.382237843969984,0.0,1.723645122,-1.4610635332464927,83.3,4.486901601554727,9.493429525533552,2.468675133672583,2.559945921,0.0,5.623072830164897,0.877368674,0.5925207566947318,0.06365387513,0.0,0.319280560957591,0.7678167781083697,41.160650556972286,29.27400652
