SpDiam_A,AATS5d,AATS7s,AATS8s,AATS1i,AATS2i,AATS3i,AATS4i,AATS6i,ATSC1dv,ATSC8dv,ATSC1d,ATSC7d,AATSC0v,MATS6s,MATS7s,MATS8s,GATS2c,GATS3c,GATS8c,GATS1dv,GATS3dv,GATS4dv,GATS6dv,GATS7dv,GATS8dv,GATS1d,GATS2d,GATS5d,GATS2s,GATS3s,GATS4s,GATS6s,GATS1v,GATS2v,GATS5p,GATS6p,GATS7p,GATS1i,GATS2i,GATS3i,GATS4i,GATS5i,GATS7i,GATS8i,RNCG,RPCG,Xc-3dv,Xc-5dv,Xc-6dv,AXp-0d,SdssC,SsNH2,SdO,SssO,SssS,SaaS,SddssS,MAXaaCH,AETA_alpha,AETA_beta_ns_d,ETA_dAlpha_B,ETA_epsilon_5,ETA_dEpsilon_D,IC1,CIC1,CIC2,ZMIC2,PEOE_VSA1,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA10,EState_VSA4,EState_VSA5,VSA_EState8,VSA_EState9,AMID_C,TopoPSA(NO),GGI6,GGI7,JGI4,RNCS,Mor02m,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,MOMI-Z,MLOGP,ESOL_Solubility_(mg/ml),Ali_Log_S,SpMax_A,VE1_A,AATS8dv,ATSC8d,ATSC0p,ATSC0i,MATS1c,MATS2s,MATS3s,GATS4c,GATS5dv,GATS6d,GATS7d,GATS3v,GATS1p,GATS6i,BCUTc-1h,BCUTd-1l,BCUTs-1h,Xch-5d,Xch-7d,Xc-5d,AXp-1d,SaasC,SaaaC,SssssC,SssNH,SsOH,SdS,AETA_beta_s,AETA_eta_L,AETA_eta_F,IC2,ZMIC1,PEOE_VSA2,SlogP_VSA1,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA9,VSA_EState3,VSA_EState7,MDEC-33,GGI3,GGI5,GGI8,GGI9,JGI2,JGI5,FPSA3,RPCS,Mor06m,Mor08m,Mor11m,Mor16m,Mor23m,XLOGP3,Silicos-IT_Log_P,ESOL_Log_S,Ali_Solubility_(mg/ml),Silicos-IT_Solubility_(mg/ml),pIC50
4.876664293,3.446428571,2.713833492,2.589976983,145.560325,150.7520497,156.5390026,155.8494569,157.8136342,56.75805391,0.8027613412,9.136094675,-6.461538462,50.40263578,-0.03525356625,0.09928470844,-0.0421398553,1.307613246,1.182502241,1.179218062,0.5338529013,1.102882377,1.046089306,1.07260214,1.033053036,0.9775824878,0.7010103383,1.131203008,1.113827538,0.8845624423,1.21797018,0.9211550059,1.058993957,0.8105966151,0.8869107625,1.108727882,0.9473605507,0.9889785624,1.106744432,1.255474299,0.9948518972,1.041741393,1.142098622,0.9807791387,1.024371889,0.1626234389,0.0779721243,0.915641771,0.07129411522,0.0,0.6848636974,0.6790551438,0.0,0.0,0.0,0.0,0.0,0.0,2.03988502,0.4916666667,0.015625,0.008333333333,0.7686868687,0.01464646465,3.475031166,2.225408552,1.169396833,36.57587505,5.316788604,5.098681808,42.54970879,23.27208584,0.0,24.73242031,0.0,22.51475897,29.72092241,6.544756406,6.9237372,5.687386275,44.92947468,0.0,2.431664893,0.0,1.63637924,68.52,0.7413151927,0.474029195,0.0381678487,21.57365644,28.00048187,-3.436424346,-1.251029408,-0.348939037,0.5026020939,-0.3174309568,3201.186331,2.13,0.00305,-5.59,2.4487469907701263,4.813918008362501,3.470050979483162,-10.397229063403703,14.824098792307774,95.1455449101607,-0.2740913548208689,0.19731702270370338,0.0034118093291266166,0.967548299095253,0.9903953190276148,1.212271175431681,1.2515362971514579,1.0411181397701255,0.8904018050778312,0.8101976341522302,0.4436376833879887,1.0182248747572882,5.093530303558992,0.22203780754673713,1.1295357826033032,0.40502601820597844,0.4272691237068628,3.673176421902543,0.14126086652967218,-0.06893243348416672,2.7290411291906054,-1.753340186154256,0.36164057158827384,0.6652307638387053,0.18804929790339167,1.030082897540303,4.470903595765895,49.50395394783674,0.04878825983920798,14.953361283108046,8.727123922675306,7.995110164280327,18.763032580754263,23.465498208408007,11.038524036519446,9.262753060074203,2.6172809498805574,7.012899874955098,2.391023718148668,0.6181966132826641,0.26946681439702064,0.28890135611017664,0.060711761839884686,0.02133778797042836,0.0403654471811948,171.63784216866088,0.9434156205544096,-2.765120545739117,0.6870166729571024,0.7470827054630902,-0.8668332850351602,4.301896164852886,2.767392333733292,-4.92896826440347,-0.014921550530007856,-0.017129280881750805,10.075871655390163
4.903407469,3.638554217,2.775983348,2.513594118,143.9205754,148.497033,155.7072841,157.6903983,156.1471078,47.5648778,-49.07432603,8.611111111,-11.11111111,49.36971113,-0.3256048181,0.007166955336,-0.2231714005,0.928830155,1.359112878,0.8892957006,0.4925806497,1.046212291,1.096330246,1.262825586,1.087030257,1.06378838,0.6357555488,1.046116046,1.09849187,0.806176138,1.059650804,1.134986036,1.36756626,0.7586816813,0.8736319481,0.9087220074,0.7062011674,0.9363242298,1.097914098,1.162316982,1.069299139,1.153244123,1.001694662,0.9636005185,0.945521376,0.1884334693,0.1109721935,0.7609291239,0.09332482137,0.0,0.6747025075,0.6099706843,0.0,0.0,0.0,0.0,1.623420283,0.0,2.091736636,0.4938271605,0.01851851852,0.006172839506,0.7666666667,0.01728395062,3.421298286,1.971019137,1.017358475,31.3110809,5.316788604,0.0,24.26546827,21.41454618,0.0,15.28474565,4.992404733,0.0,15.80357683,0.0,13.08951281,11.37477255,44.70847628,0.0,1.966259719,0.0,1.645994822,64.27,0.4734240363,0.3871527778,0.03834795322,20.66219208,30.25372769,-4.349804826,-1.364894195,-0.2638964467,0.3145197949,-0.1177401881,2341.143937,2.83,0.00211,-5.7,2.4976790408811738,4.468405668773047,2.8359094896645876,1.300792989923771,14.56484771679922,99.07408199390449,-0.4894475853706389,0.3509240573123903,-0.02505633867583149,1.371985613661599,1.0192487611279464,1.0957722833679258,1.2436358292844143,1.031022376293155,1.0499860443570297,1.0808077962926617,0.3902605992294779,1.219613380265281,6.009475244005053,0.30910570495070233,0.9163652961437383,0.28843093868999364,0.4291758968342972,5.553812419922708,0.8344578842766823,0.9918561472376455,3.5861502452391387,1.652292391665013,-2.618921177473037,0.6631288029714131,0.22592886525657707,0.925619755163311,4.465227014144395,68.86826132285259,10.940696949844154,10.92780985723662,11.745509585872922,2.6881782852580094,4.701943385624073,28.2722362739327,17.64965642074347,12.829922932174334,3.4413902153775,10.570506887398782,1.181377220594733,0.983058861315,0.23772462554814114,0.21899375305061058,0.06502369304118595,0.026393289569424525,0.038290887938729784,16.359342589372062,0.8494378291241713,-2.6886888271553455,1.1824610129113795,0.5504861211067213,-1.1838236222923815,4.887514217852987,3.8008539472492755,-4.952788730547439,-0.00511442048248173,-0.02516193434961611,8.605003667989326
4.853464981,4.1,5.453186535,4.534979424,147.4612651,157.7221058,159.9476082,159.1225334,162.9607215,40.2265075,-81.96755433,3.752066116,-11.12396694,43.86052541,-0.02532760127,-0.2289025083,-0.337053202,1.066337923,0.6916775797,0.8996855229,0.3964611406,0.7824128347,0.8466251836,1.087901579,1.329232471,1.56203012,0.9346405229,0.9322033898,1.175490196,0.3591895554,0.4570906609,0.8341697233,1.049784255,0.7117645346,0.7793836392,0.9520079746,1.339381988,0.9366503436,0.8505278771,0.7492637709,0.5185500431,0.9734528773,0.9434064182,1.424684863,1.45619129,0.1746651557,0.2350145504,0.8991335537,0.1350287976,0.003018408053,0.7040406978,0.0,0.0,0.0,0.0,0.0,2.703659126,0.0,1.810150227,0.4843253968,0.0,0.01567460317,0.903047619,0.02512698413,3.995024711,1.049369409,0.4928685608,36.71808007,4.983978521,13.17124514,6.066367068,21.4210879,13.17124514,19.93591408,0.0,21.95893118,19.93591408,6.176298517,6.9237372,13.17124514,15.91054863,22.67357176,1.792035689,0.0,1.332445565,54.46,0.7413151927,0.5721017574,0.05052380952,31.96666154,30.5186832,-6.198717848,-0.5802035465,-0.309865363,0.155164361,0.1592967637,2275.114305,2.09,0.00251,-6.27,2.554002479935379,4.818633228565509,5.072203877376332,-6.3534781462636305,13.330538176770919,109.6837870028854,-0.3149664543639382,-0.010579391859187715,-0.04393013069353549,1.1228389529348448,1.1648462949541005,1.186227472713583,1.1142682531849781,0.9525550290070999,0.746627448520253,1.0751479935093733,0.3801328336783636,0.7477927655566117,2.8955522878641164,0.03966336975897081,1.088099652155334,0.35632784302161197,0.43875816069264345,5.323850858613627,0.8910339996639842,-0.9293270946621175,1.2905692364143662,4.540609418120431,-1.0497288205892947,0.6667486295497748,0.2716939624849394,1.0878221341524772,4.5826848186823845,39.321667788473206,2.496918799623842,3.308955774096761,3.4326262588900796,3.637807658175139,12.848219428511275,19.426558761418182,5.070614475038053,12.059473287060547,7.092160554432352,12.789131825597462,1.3971751261723664,1.0307886986477732,0.43570056871848184,0.325655236328432,0.06814863817461368,0.023300756161307265,0.04956653193258503,144.23198380239276,0.9706029886794751,-2.284758630094723,0.45991265572326523,0.056023929086161384,-0.8182434212756089,6.149519297095411,5.07849754045936,-4.729248090328262,-0.012374299683852868,0.02702941491331076,6.388137956192277
5.000147947,3.865979381,2.356688122,2.087254445,144.0134583,150.126197,156.8461685,153.5723163,156.7137158,67.91639792,-38.35570779,12.73336939,-20.64196863,51.04803271,-0.1398244797,-0.1165371515,-0.1514373106,1.314057055,1.162451852,0.7989429637,0.4318447912,1.122979597,1.142759713,1.240392507,1.226162045,1.006643446,0.5602350279,0.9656629185,1.277430991,0.802777227,1.07024599,1.104286557,1.264429857,0.8150876153,0.8248936248,0.9894774431,0.9625365914,1.045596152,1.098254068,1.20195393,0.9005178782,1.026477864,1.254770926,1.006670644,0.9886050964,0.1910926599,0.08464523789,0.8170731478,0.2038753515,0.0,0.679730678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125990226,0.4928571429,0.01923076923,0.007142857143,0.7879120879,0.0,3.544039244,1.882225511,0.7536365571,27.68479521,0.0,5.098681808,29.8000411,21.92719002,0.0,19.74844179,0.0,22.51475897,19.74844179,12.96557803,6.9237372,0.0,47.37110857,16.82083098,2.883960967,0.0,1.710001269,43.6,0.6131972789,0.4288548753,0.04044973545,9.627587987,20.78246748,-2.909144122,-1.147689069,-0.4462850492,0.3119019792,-0.02368572528,2177.837598,3.15,0.00255,-4.76,2.5408854116883046,4.418877539678708,5.110248836464921,-0.8500392571871247,13.172168212033892,57.918299860996555,-0.4123590987450401,0.06771066037731285,-0.06944668907927978,1.105669224516038,0.9230551506590238,1.0281704086768362,0.9413153617688923,0.8594326695641601,0.9719231871966862,1.0646503737780897,0.3314945798030783,0.8874243469115785,9.295683098898584,0.2357267670999545,0.9526019463409684,0.4017451844434112,0.43199081977504866,5.879680780581749,1.0579026376129705,0.8001907684878302,0.6430341064971141,-2.8680841886095294,2.030666348463611,0.6590851572214855,0.2211900421483085,1.0270947414030684,4.258986849193,60.885284354900726,4.404392496267109,7.656408418752594,-4.9327105186824785,11.696603575326087,12.666084480978352,36.78707570546338,4.313120764101523,2.895543376630127,-1.3420831670405553,10.495818950996604,1.97390181408515,0.6955619499385027,0.4091982573122233,0.22258999607878813,0.06516233713405711,0.026077421870159843,0.04255820622031346,200.8371362468277,0.8980097022493819,-2.270194737066271,0.6214534533645993,0.3673876558223863,-1.1963561475954552,3.690508552114427,6.280909767083798,-4.9062816219993906,0.11563933529513433,-0.03611066726744461,7.187767001535237
4.818141123,3.094827586,2.709876543,2.687134503,147.0512604,153.298533,156.1439246,155.2239887,159.1124828,42.68319877,-22.8769704,7.98615917,-3.813148789,48.51601673,0.08922032047,0.05678877165,-0.0753821893,1.411693982,0.9917209535,0.8696566776,0.5717269661,1.142848717,1.003537061,0.9344976561,0.9230159947,1.032606284,0.6499575191,1.171505828,0.9330688044,1.094830353,1.065979522,0.9966995856,0.8165135332,0.8670340307,0.8997839579,0.9596107075,0.9400515136,1.081529766,1.228519539,1.067066962,0.9167204453,1.137439012,0.9905744916,1.028564315,1.097846121,0.2060016448,0.07931789153,0.5972872317,0.0761440227,0.0,0.6736212297,0.0,0.0,0.0,5.829180599,0.0,0.0,0.0,2.061706428,0.4752688172,0.01612903226,0.0247311828,0.7864583333,0.0156922043,3.502965363,2.169459979,0.7946926473,29.22376832,9.303962602,5.098681808,6.066367068,24.25993247,4.736862954,29.71639883,0.0,39.52165029,36.32328079,6.544756406,0.0,0.0,46.0664067,0.0,1.342149728,0.0,1.62492247,81.51,0.4251247166,0.2830569728,0.02094315245,58.60524924,29.97570609,-3.466205219,-1.430672584,-0.1871286353,0.5062090867,-0.2306665933,1149.515575,1.06,0.0199,-4.12,2.5025781243833003,4.400603344350958,4.1339789060787755,3.608069496623065,15.521627136469885,122.11407216907925,-0.37896177185388275,0.04491298542127107,-0.04274225017908353,1.0167548247255702,1.0110378884806088,1.2389061632823812,0.9453805665886628,0.8793917833699131,0.7029198685452912,1.01986966766365,0.48533101995444644,0.9242246903034604,7.978780921948484,0.2528706467870082,0.4772357644735841,0.1944364446394548,0.43421886100372803,5.555254099140098,1.5419249947994427,-0.9397029712466013,-0.1447599481159425,0.43313004546569883,-3.9875432868118383,0.6610184737645587,0.1605014082664832,0.9758388726471293,4.674459824177761,55.88840571552705,2.0496149656416947,2.2063642381548556,0.9820429860583724,11.832544126410939,7.5468853292480995,15.011484106823207,5.6222115826559795,2.572007004051023,9.924391145573136,11.611660058693126,1.5169674307291805,1.2680291219013193,0.29768739680622575,0.058537806728602315,0.07497901594608233,0.008170619841495964,0.05259562275393906,89.91231124713053,1.4251647029384193,-1.5906704054963527,-0.12086169854596074,1.0215652224842253,-0.9418374190985277,2.8568197744148596,4.702387060302403,-5.662040865588562,0.005697548180449822,0.05191994367186642,7.906127632404793
4.84862861,3.292682927,2.714285714,2.789990421,150.1287662,155.577371,160.8336168,160.1316994,162.70947,75.49586777,-30.43801653,11.33190083,-7.836033058,47.59726111,-0.06916580264,0.03184452403,-0.01353165484,0.9914120486,1.168480885,0.8860151522,0.4701755915,1.19744908,0.9728418609,0.9851563148,1.02001469,0.9872794965,0.7054229688,1.158493597,1.076028109,0.5717072487,1.302360769,0.6744874859,0.8858995568,0.871503092,0.9051268693,1.105722788,0.9531900847,0.8993950898,1.310822657,1.247799371,0.9763069501,1.060873201,1.137021822,0.919064009,1.021017094,0.134539768,0.07868413042,0.8586399347,0.06365387513,0.0,0.6904812668,0.8135728293,0.0,11.20180083,0.0,0.0,0.0,0.0,1.98359253,0.4707070707,0.0303030303,0.02929292929,0.7768518519,0.04335016835,3.765946344,2.01541337,0.9461654549,30.46303494,15.61755573,5.425791397,12.14238718,23.62654039,4.794537184,25.38663948,4.992404733,11.38785599,32.20656318,11.33929359,13.08951281,11.37477255,51.71376917,13.26227256,3.944364098,0.0,1.520040716,112.4,0.6931972789,0.6067885488,0.04250591017,33.07316149,31.70917809,-3.795521347,-1.560207532,-0.2816104061,0.3924517219,-0.1512194368,2114.754709,1.49,0.0997,-3.54,2.478876787842015,4.466371153533109,4.7890645423126195,-10.978861229984513,12.492314728033417,35.91840525917437,-0.38207030961903565,-0.1766161477364539,-0.011941208968635424,1.0281960192553967,1.154168010085876,1.130414267784688,1.108380841145873,0.9788852117798212,0.8044004180817353,1.004921886473179,0.40943129211774815,0.9496565195087052,5.191636885534412,-0.008295109471881917,1.0880748196206629,0.33179529365244853,0.43165844667034514,5.971617702489185,-0.33780546218131213,-1.004081885007158,2.5415938934579514,-4.692294381964199,2.512079093132389,0.6498151512988959,0.2002117760372644,1.1543684827303697,4.9805667307006285,46.917510418372196,6.374996665194779,6.392027912019827,4.24349660799663,3.228862873988855,2.376169418317275,24.500428680956887,6.455851736848112,4.410290778041649,5.97531656583315,12.215104682803718,3.4818839048895245,0.8094969465221458,0.15234703995168852,0.3406115756585174,0.06960555857552095,0.0195882273039201,0.04451693142809235,36.14704147052718,-0.2927149751548688,-2.1278348123906965,1.3360616570111319,0.44363519306164734,-1.0899176250569917,3.875167249526824,5.543932481920809,-5.058980156189269,-0.13232422812232347,0.030642235172797665,7.935519065468724
4.874959471,3.341463415,2.80839895,3.054613936,148.1175792,151.9245659,158.2982398,158.696275,161.1531869,58.86419753,5.827160494,11.32441701,-3.121056241,47.983974,-0.1184005841,-0.05952935236,0.1569820465,0.955881863,0.9643030855,0.6810049159,0.4928064814,1.151037647,1.066814244,1.04828938,1.015392516,0.9283487331,0.688132401,1.158783241,1.122177974,0.5353549235,0.9824538378,1.013548257,0.9170307425,0.808654492,0.9098394126,1.045308634,0.9447017455,0.9154061091,1.186259354,1.227336624,0.9725137957,1.143224984,1.111315097,0.9664313761,0.9440686449,0.1360091594,0.08937926059,0.8291328182,0.08505527698,0.0,0.6904812668,-0.4665311897,5.391845875,11.46922204,0.0,0.0,0.0,0.0,1.986135868,0.4737373737,0.01515151515,0.02626262626,0.7531531532,0.05492765493,3.632603077,2.122284425,0.9624846009,32.00740331,16.0344346,0.0,18.19910121,34.65994183,4.794537184,24.9198926,5.733667477,22.64523548,30.82707233,6.544756406,6.9237372,5.687386275,50.88435568,0.0,2.382704181,0.0,1.598107469,122.47,0.6156462585,0.6198625283,0.0446875,32.24398834,28.93837283,-4.334610185,-1.809740532,-0.1644850658,0.3809179098,-0.3172304735,2131.473555,0.81,0.0228,-4.64,2.5042826732628267,4.426585999652075,3.867743200571887,-7.38615461995762,13.18899775324128,71.11862490215492,-0.6664531216830994,0.03991262330413912,-0.028522908248958333,0.9910552968278508,1.0173223860806913,0.9942264860058387,1.0343527063177806,0.984330412392694,0.7587899965018378,1.084452549811058,0.43549841211483453,1.1164285082482928,4.782924292016392,0.274386017461205,0.861023978587006,0.45977071171312384,0.4260845596625113,4.878206278256418,-0.9122045416482255,0.6223198072590833,-0.07275817548304753,-0.3541503992406425,1.409688208118602,0.6467230667415803,0.21199693228749594,0.8927900735845322,4.687200804769905,63.571871481169836,8.9359404526398,4.202775867639816,2.77011328698185,1.3263998597862963,10.060218392413137,26.627549052630783,17.560571137478924,12.425383987671509,4.368844998972108,12.515010018291573,2.110965889226129,1.2704140568072906,0.15788734385586173,0.11007829028624481,0.0750165919415634,0.026961697558366478,0.04346418652411678,98.16833382453054,2.079645928604398,-3.56113257644238,0.33208846072974374,0.3107007395071803,-0.6553747513707078,3.218982039024405,3.9599991618828385,-4.744273102942128,0.029846890579240993,0.0038587641626423334,7.6012992018041805
4.773957061,3.465517241,2.506858711,2.574133074,142.568784,147.0264186,150.228361,156.1724908,159.8089967,37.25823401,-42.15075398,6.387543253,-10.49134948,51.19414657,-0.1232475129,-0.06048862328,-0.3969541693,1.054521134,0.9514008569,0.7659585896,0.5496909568,0.9484975008,0.9355006689,1.28728987,1.498679609,1.328864352,0.702740662,1.076825843,1.046033514,0.9764116598,1.01926616,1.03888694,1.590509625,0.7324090131,0.7950806361,0.8949825732,1.429588173,1.141796019,0.9601897125,1.168403169,1.072127304,1.140327832,1.156503074,0.9274549705,0.7764336092,0.1752600273,0.1713114299,0.9040054457,0.09878289721,0.0,0.6865492513,0.0,0.0,0.0,0.0,0.0,1.592402954,0.0,2.137281307,0.5112554113,0.02272727273,0.0,0.7978354978,0.0,3.343809532,1.743653309,0.9045555148,29.43827486,0.0,5.098681808,58.8330126,11.89077157,0.0,14.59805822,0.0,21.82845468,14.59805822,0.0,6.9237372,0.0,31.81196091,5.563451492,2.084179544,0.0,1.613859381,30.19,0.3788208617,0.3411635488,0.04555555556,98.50396462,23.86903746,-4.431175036,-0.4233779371,-0.2706113907,0.3611107697,-0.1605658084,390.8279117,4.07,0.000727,-6.13,2.4704878276289923,4.406790213195084,4.218123286794501,-4.646502161983221,11.044001484040335,77.38387522191698,-0.5990688796321931,0.19681917191552814,-0.019866002399152975,0.9836617409303179,1.1003648227036706,1.0874832841564452,1.0537136691202598,0.87158743629955,1.0018455284825951,1.171711454797017,0.4280382618414008,0.9805928422017459,7.656385041135151,0.282112152081434,0.8246986298505634,0.20913467488721468,0.4371336933560398,5.463658887749494,0.2785255749973956,0.7231918578402564,5.3261002892554465,1.0302715278107617,2.7251266037202626,0.6420718885627855,0.21114095603835473,0.9846625031745587,5.058147016587916,36.1092590873464,10.722015213266959,14.37995048187969,-3.4097064114359825,0.052229907315927804,29.958430359770254,15.972287442404351,1.5787291352262027,0.22897906346267582,7.266766782887107,13.853970843336116,1.826416394630562,0.7276651656596754,0.28799968064008574,0.32150484294170223,0.06543651154068003,0.01836536000649394,0.04239337775468241,53.77547585403237,1.7302796132011027,-2.1845680962720975,0.8322009828913792,0.5589786041430447,-0.7428865852225844,4.306875408214229,4.932379660523196,-3.8145859535653854,-0.10851881877293439,0.003119815487264216,8.394266260154644
4.859112107,3.673267327,3.069279636,3.01016703,148.0204164,152.3036628,155.6241958,156.38011,158.8298829,57.61651235,9.116898148,9.277777778,-9.638888889,46.40783287,-0.1418998546,0.002369970634,0.1431020664,0.9978933536,1.126749375,0.8043402298,0.4601794321,1.063892821,0.991449361,1.12475115,1.016003688,0.9313135294,0.6778846154,1.125945643,1.120078287,0.5263290549,0.7653077486,1.009087887,1.002180955,0.7739194071,0.8461781675,1.012838732,0.9224867734,1.293880102,1.094092438,1.163808843,0.9937935412,1.105641658,1.096946365,1.013083517,0.9865388069,0.1536834849,0.09195694048,0.8818553705,0.1048899075,0.0,0.6899617195,0.3785173112,0.0,0.0,0.0,0.0,0.0,0.0,1.953568543,0.4854166667,0.015625,0.01458333333,0.7929292929,0.0154040404,3.786967448,1.797995053,0.7767544274,30.77061433,5.316788604,15.45925517,12.13273414,17.3266008,0.0,29.36252149,0.0,28.58398029,34.47495837,0.0,18.25485007,5.687386275,28.16193619,6.327320075,1.941264622,0.0,1.505162424,96.72,0.7772789116,0.6137329932,0.04255787037,33.40773965,26.70073695,-4.59435954,-1.107443043,-0.335460334,0.4681407602,-0.3277556437,1979.218291,2.39,0.00554,-5.68,2.5664927842212473,4.704707977749259,5.419542039773064,4.368335019617324,8.734076475660775,98.43605329426164,-0.4270741343483942,0.15198138218869411,0.053596394264289145,1.1422335429741586,1.0348349013043832,1.0556909202001163,1.2199209597301417,0.9610404516788026,0.89858983193728,0.8900391816999816,0.37818052305592614,1.0682112980827678,9.565346129117753,0.16455596238106798,0.8893984990241586,0.5755070550649674,0.4348862922185406,3.428541903296355,2.3777928332569584,0.6543508900487772,-0.5733995627955715,-1.8487608356808545,0.2185992951775313,0.6346757281965525,0.19120742943228244,1.1456284358459847,5.003442195462959,46.583911506017515,5.545195935165653,19.919164808515966,-5.207864838979617,8.54720939861367,-1.1433703233844792,26.31852405303729,6.05012419639433,9.647359662854864,0.06545778198870611,8.847329213383578,1.6170275895699147,0.3817623885267907,0.3216753629384279,0.19244415723928177,0.07829002101538726,0.029044989288156055,0.047001166063050846,49.41258610035393,0.11080622616617353,-2.9783121356943743,0.6789086220617047,0.6413231286195414,-0.673897663229167,2.2782130288997067,5.157069013184545,-3.1320233507459685,0.23734812744348754,-0.017295153352592144,7.0477603047847825
4.848683342,3.313559322,2.541629027,2.600173273,147.9609889,153.6858859,157.3723122,158.2847916,161.3962539,75.74556213,-19.08481262,12.75,-2.8125,50.24069857,-0.01507438131,-0.02037667222,0.08008636736,1.14525196,1.104223281,1.038133593,0.4858885136,1.134299115,1.036806387,0.9887735485,1.027397085,1.009299348,0.6275510204,1.099378882,1.140435835,0.7677770956,1.101451631,1.093347265,1.081734953,0.8419519833,0.8883641275,0.9966874993,0.920388143,0.818590741,1.202428832,1.170031011,0.9967102316,1.115373092,1.130021224,0.9392508828,1.026507014,0.1590730809,0.09303964791,0.877368674,0.06365387513,0.0,0.6841461785,0.9473948809,0.0,0.0,0.0,1.723645122,0.0,0.0,2.135101973,0.488172043,0.03225806452,0.01182795699,0.7686868687,0.0302378625,3.751632789,1.948806929,0.8084442311,29.27400652,10.30076712,5.425791397,18.20875424,23.62654039,0.0,25.38663948,4.992404733,11.38785599,32.55515263,6.544756406,13.08951281,5.687386275,46.02638289,4.895483476,2.559945921,0.0,1.551691863,83.3,0.614829932,0.5130385488,0.04176767677,31.87239538,28.83810036,-4.27403285,-1.305590239,-0.005907292768,0.4375679667,-0.2402819089,2480.208982,2.51,0.0132,-4.85,2.484626672113738,4.486901601554727,4.723209994059513,-7.902749182299262,10.238579775821286,91.09326108899296,-0.6780311204094471,0.16231842633584703,-0.02869944078638573,0.8630752154547807,1.0781232299432968,1.1575148417841774,1.184707457016409,1.0069429949945758,0.9049150514925789,1.0889310204551685,0.36921101048296057,0.9133598465353923,7.504439822317246,0.319280560957591,0.7678167781083697,0.5925207566947318,0.4442939382820116,4.864854244678557,2.5733179623523226,-1.4610635332464927,2.382237843969984,-0.5607770924009017,-2.863932135759014,0.6443063247821693,0.21498879425997722,1.0665785773203575,4.856665033613716,41.160650556972286,15.43421666582437,-0.955945803539044,-1.046183314277981,3.6511973758026595,30.655879028168794,10.09927760606584,-3.2866951338844412,9.493429525533552,2.468675133672583,8.383965574560635,1.6339395973345916,0.9885881025796633,0.24713736077606033,0.3141023568144374,0.06659617442628459,0.02777039763911447,0.03129530424152604,118.61087597916058,-0.7753325209066029,-2.7539777391439104,0.6801279152427699,0.27164547529994926,-0.766859956818802,5.623072830164897,2.0173288593504295,-3.7396456839117382,-0.055414747236792294,0.01299653926441439,6.809084989016066
