,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),79.9249717176321,2.0,43.66799490938714,2.0801030113168024e-18,0.03616969897817902,0.1293222797769312
C(strategy),1561.130655334888,3.0,568.6286696553013,2.581901900664903e-173,0.7064829008455371,0.7436664255757531
C(upstream):C(strategy),30.56172196695844,6.0,5.56592468575888,1.2564524741114529e-05,0.013830574600701747,0.053742818428426944
Residual,538.1044340080881,588.0,,,0.24351682557558205,
