SpMax_A,VE1_A,AATS7d,AATS6s,AATS8s,AATS3p,AATS1i,AATS3i,AATS4i,AATS6i,ATSC1d,AATSC0c,MATS1c,MATS5s,MATS6s,MATS7s,GATS1c,GATS6c,GATS7c,GATS1dv,GATS3dv,GATS5dv,GATS6dv,GATS3d,GATS4d,GATS6d,GATS1s,GATS2s,GATS8s,GATS2v,GATS3v,GATS7v,GATS4p,GATS8i,BCUTc-1l,BCUTd-1l,BCUTs-1h,BCUTs-1l,RNCG,RPCG,Xc-5dv,Xc-6dv,SsCH3,SdCH2,SdsCH,SsssCH,SaaaC,SssssC,SssNH,SsssN,SsOH,SssO,SdS,SsCl,MAXaasC,MINaaCH,ETA_shape_y,AETA_beta_s,AETA_eta_L,ETA_dEpsilon_D,fMF,ZMIC2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA10,SMR_VSA1,SMR_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA4,SlogP_VSA5,SlogP_VSA10,EState_VSA1,VSA_EState1,VSA_EState8,VSA_EState9,MDEC-22,MDEC-23,TopoPSA(NO),GGI3,GGI4,GGI6,GGI8,GGI9,GGI10,JGI2,FNSA1,RASA,Mor02m,Mor08m,Mor10m,Mor12m,Mor23m,Mor24m,MOMI-Z,Silicos-IT_Log_P,ESOL_Solubility_(mg/ml),AATS2i,AATS5d,AATS7s,AATSC0v,AETA_alpha,AETA_beta_ns_d,AMID_C,ATSC1dv,ATSC7d,ATSC8dv,AXp-0d,Ali_Log_S,CIC1,CIC2,EState_VSA4,EState_VSA5,ETA_dAlpha_B,ETA_epsilon_5,GATS1d,GATS1i,GATS1v,GATS2c,GATS2d,GATS2i,GATS3c,GATS3i,GATS3s,GATS4dv,GATS4i,GATS4s,GATS5d,GATS5i,GATS5p,GATS6p,GATS6s,GATS7dv,GATS7i,GATS7p,GATS8c,GATS8dv,GGI7,IC1,JGI4,MATS8s,MAXaaCH,MLOGP,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,PEOE_VSA1,PEOE_VSA9,RNCS,SMR_VSA3,SMR_VSA4,SaaS,SdO,SddssS,SdssC,SlogP_VSA3,SpDiam_A,SsNH2,SssS,Xc-3dv
2.443940753,4.178208277,2.941176471,2.863984674,2.760162602,1.593661858,147.1796749,157.7127406,157.5471253,159.3377075,5.948242188,0.01397489853,-0.2495754875,-0.1489715073,-0.06752133943,0.0172003215,1.182327592,1.129314406,0.9915227988,0.4987709497,1.039106145,1.126852886,1.048661144,1.230805161,1.258317277,1.071025181,0.7844495892,1.028766213,0.9733404636,0.9234438227,0.8775167219,1.011986906,0.9952632364,0.8725859419,-0.3951118671,1.734391607,3.05962641,1.43179288,0.1909963421,0.1271728419,0.06587175382,0.0,0.0,0.0,0.0,0.0,1.742872103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300491308,1.75548947,0.3,0.6666666667,0.1705503255,0.02251082251,0.65625,32.27661356,4.983978521,5.098681808,6.066367068,36.39820241,24.15398221,5.693927995,0.0,22.64523548,0.0,25.14929918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2543515,17.20232731,67.35,0.8055555556,1.006666667,0.2277097506,0.06701152683,0.026875,0.01632486481,0.06734006734,0.3655091099,0.8861928707,18.1625912,-1.096148384,0.5432375962,1.737758926,-0.6661725059,0.1547938535,1055.345577,3.42,0.147,153.19343091752424,1.328776910372527,5.248509980393658,20.519998900481177,0.25483404688912015,-0.08914820051105508,1.2656720844095528,-92.36785640786678,101.64891590667789,446.42734153334686,0.7121857716301702,10.84690658435177,2.97587618273633,1.3757427296610216,34.34303298503854,-45.743017026397446,0.23261523258625105,0.6351375626780542,0.5471427543409495,1.5666454421017204,0.6964266805167109,-0.2977555090387114,0.8879386023903078,1.4788473278696461,-2.744882831089863,0.7340307090521576,-0.7174237601065272,1.1529879582303413,2.5964100269401937,3.926025804424968,0.5553744038907298,0.8006651828916409,0.3171099736032086,1.495611766566276,-2.027809159951622,0.3195377802339602,0.9417295045489864,0.6991253627317322,-0.5860066368893588,0.013602732444378485,-0.002323114072114607,3.9206579300797566,-0.033246566710814614,1.8921019536336272,0.42621997073288265,-20.366482959415382,-4.439546547446027,-5.2357738309918345,-0.42942675999147334,0.46716050220616845,-4.308821219956678,123.4621169623571,16.55641844420126,1024.6971645205124,39.58126481371893,28.54941837169959,-9.198991434928436,201.82317030952865,-1.3060684084663086,-10.88435093078251,-1.2087492944060632,4.9879459622873465,57.61845694017898,-0.4560877969705559,-2.039018118568361
2.479157266,4.547174271,3.071428571,2.793582375,2.642655367,1.559693289,148.4885439,156.9974297,159.1825006,162.2429162,14.91975309,0.01425164682,-0.5025169592,0.1832141975,0.0005662273498,0.03522916934,1.611680411,1.423719337,1.191607552,0.4638192268,1.159156785,0.8658313908,0.964559387,1.151004193,0.9995704803,0.9045160161,0.9224042748,0.7223819476,0.9892888929,0.8342492746,1.042052105,0.9176672295,1.145912559,1.040191426,-0.3832819307,0.9925253549,3.057290442,1.434148518,0.1597759284,0.09344475674,0.1469872085,0.0,6.223711232,0.0,7.445865085,0.0,0.0,0.0,3.467632958,1.754432169,0.0,0.0,0.0,0.0,1.279765107,1.989285604,0.3648648649,0.6693548387,0.219804709,0.02971652004,0.5185185185,30.15823057,14.98529578,5.425791397,18.20875424,62.23960296,23.15437369,12.16293986,0.0,11.38785599,10.74258,26.29938345,26.93698721,28.33916347,5.687386275,0.0,0.0,6.799987372,0.0,10.00791679,24.46744655,83.3,1.791666667,1.988888889,0.6540136054,0.2902730537,0.291882716,0.2356881951,0.07111111111,0.360995578,0.8960762815,29.42344251,-2.414231418,0.8716442058,1.432149594,-0.7600180486,0.1129777564,2149.026985,3.76,0.0102,148.18774800343607,1.0048518402940108,6.353128946395115,11.83249771095236,0.2061384549101562,-0.09161163782201208,1.1663163586725762,-144.70516540938374,118.98341409791165,522.0089988243518,0.7235242224706385,11.455591302840535,3.114229115549283,1.5962215917885518,14.556873631022391,-55.94428109307948,0.28106809431783886,0.5689686452430174,0.6890512028166146,1.5669286769524917,0.5047222965133129,-1.097528417523748,1.0664197817354821,1.6040254093767687,-3.651914484040277,0.8044673289099874,-1.2641807157614853,1.2161639375069384,3.0998034191182704,4.256248136155463,0.4238056256369168,0.9089979863354103,0.369437414222898,1.34073108115279,-2.957666632280903,0.34210647562196383,0.74543244588895,0.2829477747926179,-1.0328131373415756,-0.20729059855297893,0.3327732545193858,4.132101498405408,-0.02163621062210281,2.425696983706194,-0.019215221487637546,-26.13179068775113,-5.5054882502377,-6.804747873281181,-0.9467006010311834,0.6893353547766587,-5.472433619493958,160.78592422791326,46.90389807577282,1301.0509974812578,31.94123165304987,39.827919197950216,-11.576358985541342,247.0986001836317,-2.5973432297828944,-12.932237050189785,-2.420756407094369,4.960904931393193,73.66699287908249,-0.6205701407614648,-2.2912932975288243
2.553610548,4.432197729,2.898089172,2.901766004,2.304340278,1.434364884,147.0960267,159.3784206,157.5531245,158.8478566,15.40816327,0.01574823075,-0.2751540405,-0.01091529971,-0.07990210193,-0.09930677768,1.323837456,1.292941829,0.8634870136,0.4862824265,1.05437614,1.03404136,1.276869149,1.166666667,1.003033367,1.230992351,0.5579710145,0.6749311295,0.6579408213,0.8483989624,0.9219519721,1.230163811,1.065670079,0.9929475273,-0.5138731373,0.9779932935,7.008272534,1.343850104,0.1835222894,0.09868344179,0.1629577072,0.0,2.075821541,0.0,0.0,0.0,1.863045777,0.0,0.0,4.101026672,0.0,5.882335879,0.0,0.0,1.246530291,1.806829999,0.3440643863,0.6857142857,0.2333987871,0.0,0.5238095238,32.60149878,0.0,5.098681808,6.066367068,55.78460206,67.82743994,11.44343983,9.531400138,28.26427081,4.736862954,75.28902055,0.0,12.11474962,0.0,0.0,8.000447108,4.250004265,2.075821541,21.96773029,32.49749527,76.38,2.131944444,2.01,0.6679365079,0.3522297808,0.204382716,0.1396816651,0.0701754386,0.2608416274,0.8845708178,22.92103684,-3.467645881,1.32652771,1.896691312,-0.712726534,0.2370313316,2724.205579,3.31,0.0222,186.34795895204311,-2.075880347967326,5.0986575359469715,24.573009542637507,0.12562040538575386,-0.2363921582435375,1.430251787652339,-51.782580181858314,141.16132988455348,618.9763153766554,0.7506516861718997,25.791035443109013,4.563722880993875,1.4907582983157206,65.42414034843509,-98.18412745935343,0.3391202987803771,0.8417053623253954,0.14300465433185972,2.382960789318365,1.908276518488487,2.966143493396155,0.8055007192969386,0.37631155449979603,-3.7665634168280855,0.45260691815676557,-0.8809162172204481,-0.14769892671077867,2.2622476091199513,5.133960124342879,-0.6746216934095859,-0.8060551980299993,-2.147163528498619,2.3881199462778007,-3.63534670664826,-0.5637198028878165,1.9020949510312941,2.013123585454171,-0.6988201423602307,-0.09492258733273418,-1.8328967218848988,3.7039680641076638,-0.21600834454585027,1.4796682514305242,0.4094457948996928,-25.515738853423198,2.3324354261896945,-4.694562315240086,-0.1253351119418577,-0.04567863947770018,-6.3742385675794955,126.63708446282567,-119.6738290097492,1308.3870016855346,85.52638364079232,-5.157605411306042,-15.187446194688194,249.24780746133328,0.952279288893752,-17.3610623931703,-28.12126703930337,5.075500062349931,46.99905039078417,-1.5223467916532956,-3.768789164157382
2.47919456,4.548122311,3.5625,3.154388821,3.126075571,1.662757373,147.8576336,158.8206985,159.1756787,159.3611707,7.349932096,0.01549032751,-0.5376742661,-0.08282610616,-0.09491617076,0.05164021434,1.543132941,1.451303718,1.003565555,0.4474048177,1.054996823,1.156148328,1.012158678,1.005928527,1.094448329,1.023757817,0.537076783,0.5778282529,0.5528812127,0.8361368736,0.9995091245,1.170841337,1.26868805,0.8781389542,-0.3836349988,0.9929188504,8.002961739,0.6049847703,0.1578605564,0.09759523029,0.1146045727,0.0,1.925263429,0.0,7.237568955,0.0,0.0,0.0,3.174007937,1.699533457,0.0,0.0,0.0,0.0,0.905947027,0.8539603229,0.3647475072,0.6693548387,0.2165514338,0.01743471582,0.5957446809,31.83179984,23.76612587,5.425791397,23.47917305,42.82867707,30.07811089,23.66690504,8.780830095,11.38785599,10.74258,21.31540493,24.72395449,16.13452668,13.91238858,11.63444168,27.00228176,2.165769906,0.0,9.781768621,24.43877474,67.51,2.166666667,1.988888889,0.696462585,0.3023904006,0.324691358,0.2026303438,0.05777777778,0.4585695509,0.7625616717,27.48782268,-2.541873193,0.02029542686,1.683786806,-0.5396658437,0.318773892,2190.410097,4.67,0.00291,149.39834935374913,1.3943214345760948,5.752536558781495,18.218611051744755,0.25251538280352015,-0.07275242708734188,1.2449558123505275,-106.86352812201048,96.0942635368437,417.3704599504314,0.716807319748258,8.480547736218377,2.910131901070152,1.4729569182634887,20.73450040936432,-46.48237524475421,0.23714905405657793,0.6124536333268827,0.6976068671124551,1.5076621606704639,0.5736089367895503,-0.6489309927638014,1.0990481631309184,1.499153385526232,-2.8468186630554655,0.8465839847514915,-0.8940380923580977,1.1632015653094332,2.7558912094388277,3.6682314647481675,0.5265820831532726,0.9524005601440692,0.45554910436373575,1.2582127469235502,-2.3511168518172516,0.45878206295158164,0.7795562808671557,0.41359333990575453,-0.6857324057258676,0.02911886748846393,0.4044256452393615,4.088997109496324,-0.009938499477387862,1.978816082405403,0.3362203202780192,-21.275928204125254,-5.174510463697627,-5.900370180061653,-0.8802056752747368,0.6585540691818488,-4.588343659195319,135.95390004939043,45.41610563535064,1095.7164030850383,29.69212248265975,33.03333168323718,-9.566548363938532,204.13885384265606,-2.1271560337088125,-10.536431849906295,0.18242998704857438,4.926680130125565,60.008924738959635,-0.47754796774988373,-1.735177073208523
2.478793984,4.473770881,3.4375,2.770858771,2.677141788,1.673123576,146.1688725,154.9795386,156.3238166,157.2717485,9.372566772,0.01349493528,-0.5367914382,0.1077965309,-0.1557494756,0.1425932307,1.605557444,1.375803697,1.249043924,0.5385371777,1.030801425,0.9958392936,1.107449855,1.023674242,1.03714364,1.094129555,0.8482306971,0.9153877665,0.8602140184,0.8623184619,0.9781826456,1.160426864,1.279473385,0.9772727927,-0.383634338,0.9938424863,3.05728196,0.6049850547,0.1690279862,0.1044982807,0.1146045727,0.0,1.991639716,0.0,7.557686138,0.0,0.0,0.0,3.452896825,1.777357148,0.0,0.0,0.0,0.0,1.21158855,1.991639716,0.3091334895,0.6637931034,0.2218733688,0.01639846743,0.5957446809,33.13142796,14.98529578,5.425791397,53.8110084,30.69594294,24.01174382,12.03246336,0.0,11.38785599,10.74258,21.31540493,13.08951281,16.13452668,5.13155848,0.0,0.0,2.710479527,0.0,14.31861096,22.53967696,67.51,1.416666667,1.606666667,0.5331972789,0.2398904006,0.164691358,0.1365146414,0.05797101449,0.4116347779,0.911608274,27.64460032,-2.790862041,0.02180851767,0.742252457,-0.5864022038,0.3037120292,2090.935854,3.84,0.0056,149.59756899822278,1.3654534907697218,5.669604937161955,18.508321364808143,0.2533486786345539,-0.07394703718541315,1.2537415071623252,-105.73838380467711,96.82802168324817,416.58491903555034,0.7150408249510652,8.609514080756233,2.9471741346388134,1.4835588301411933,24.066444932310645,-47.82544160337747,0.23634087184950672,0.6099554793564474,0.6897903104342288,1.5251474730519692,0.5825334246560901,-0.6086832927485453,1.0986503835875292,1.5039974660753828,-2.8391121366017478,0.8379989661040644,-0.8635127541470675,1.15257020205374,2.7597142791309004,3.6661310052048512,0.5152798330640197,0.9574937760782031,0.45824138207504395,1.2561749822836086,-2.3172016514314437,0.4409196644015614,0.788107621165232,0.4242096668015529,-0.6790612841508956,0.03192318153170581,0.3891578978467541,4.063946207803013,-0.011488556972085104,1.980066996541005,0.3576395623790658,-21.3083349828458,-5.188532359634101,-5.870604155503235,-0.8552128798836203,0.6627961041777464,-4.566027834827361,135.65779728564524,45.07259068412736,1094.5023352096036,30.44832171788602,32.9447785317089,-9.5476595307087,203.21111742049843,-2.0351248103073964,-10.472683362472056,0.5079466707029239,4.919488839010312,59.7057820080765,-0.4619895058407074,-1.7515224387684007
2.484687723,4.465964913,3.17,2.913837449,2.984889403,1.598306035,145.2487057,159.4887652,159.1539262,157.7594281,9.655047533,0.01444978724,-0.586122949,0.01203836282,-0.06774345629,-0.00825629086,1.614372904,1.25927266,1.266936745,0.5942320026,1.098187506,1.113730073,1.095390632,1.000684215,1.028155618,0.984142107,0.7869075941,0.5549929326,0.9223070414,0.8799382887,0.8872348941,0.9783675089,1.033409374,1.033896445,-0.3761913255,0.9715724923,7.014207891,0.2980105395,0.1565948713,0.09732883382,0.1110709264,0.0,3.775986215,0.0,0.0,0.0,2.033356859,0.0,2.603917549,0.0,0.0,0.0,0.0,0.0,0.9673781442,1.819881272,0.2823529412,0.6517857143,0.2480447407,0.03698412698,0.4042553191,32.01007426,28.09182741,0.0,12.99010427,25.47729296,16.63744226,16.52595619,8.417796984,21.95893118,4.722094864,34.10656467,6.9237372,24.86289132,0.0,10.02329115,27.66019284,3.889570084,-3.309492663,5.243799591,15.77250798,100.63,1.826388889,1.678333333,0.7741950113,0.377196712,0.3087654321,0.1810039792,0.07407407407,0.3954750013,0.8240972707,31.92182127,-3.176877805,-0.0630462131,0.3952347066,-0.7572712575,0.7093295999,3010.037212,5.4,0.0123,149.97193289628615,0.48451625720557834,6.981741972268428,4.6860809630540246,0.14731661839843935,-0.12364383004979562,1.0701061151224849,-176.9427045790809,147.71920161050275,645.2371787560978,0.7304409728229476,16.04452985300608,3.3272941555532514,1.671802459065675,15.629579870155318,-67.26073008203174,0.3365638867783024,0.5416926447358703,0.6210148570780597,1.6735873668169226,0.49933095174682657,-1.3844718830441658,0.9398984877295566,1.6826951575262399,-4.625889025551845,0.6935653658566656,-1.6697587286318405,1.2469657426617806,3.438323058442408,5.1077023977377785,0.3057218198969769,0.8116631543888255,0.16640977401693247,1.5421972087596107,-3.6476754214850775,0.14574197840728487,0.7732473418747264,0.265831439230519,-1.3679678702662827,-0.4482065120126657,0.11252336974660115,4.226022669299281,-0.044681809443528946,2.8760058613329655,-0.4306516787074144,-31.64650905455663,-5.4862939058445725,-7.603537377724862,-0.859294868630739,0.6642305599533006,-6.495369369025017,187.42620717517335,37.37904974459333,1529.1226796807973,39.76817433812715,45.40267234961173,-14.033956243860791,299.02814851893754,-2.66204795943086,-15.971640871202485,-4.382716066129732,5.020136269358282,87.87068379069163,-0.751049296393221,-3.106096794714746
2.526633439,4.574682887,3.469387755,3.658333333,3.900830737,1.594751004,147.1889596,153.1917434,157.0609274,157.4430247,10.59924386,0.02916173558,-0.4949766607,-0.07445867041,-0.1244186777,-0.01119422128,1.486387289,0.8574464152,0.9311638669,0.4916131253,1.000354625,1.002873503,1.086536255,1.255180989,0.9982172083,1.179711246,0.6659007353,0.5904261633,0.6637502907,0.8555152636,1.007327983,1.056386871,1.047185198,0.9634348594,-0.4868825717,0.9727749776,7.009368063,1.401734117,0.1538786109,0.0952698347,0.1275821809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86650503,0.0,0.0,0.7541751701,1.575034909,0.3875598086,0.6666666667,0.189290737,0.05050505051,0.5652173913,33.15744284,4.681802935,0.0,6.066367068,54.59730362,17.32374656,0.0,14.26826309,39.70116891,20.76666028,27.4645853,0.0,10.35798868,0.0,5.907179729,12.27791707,0.1623294823,0.0,13.16622083,28.475568,112.23,2.361111111,2.011666667,0.6538321995,0.3908100277,0.2493904321,0.1231527395,0.07709750567,0.4312565481,0.7294992951,27.90289226,-2.275622193,1.42947192,2.106107968,-0.6818815627,0.2657156898,2093.279906,3.13,0.0292,131.9223192758119,0.6645029826282238,9.534216901379803,-5.339571009521698,0.12012831397863027,-0.09353638821910769,0.915371996031445,-290.5034037545083,145.73778071535602,693.5996662437552,0.7618714646005695,10.83504853987783,3.0175883903757343,1.9114770734068118,-93.58480887527594,-65.3009861538459,0.3640262712406387,0.5125244717601605,0.9992583992319111,1.2683785763529292,0.08849309781411807,-2.7948119568660315,1.281962698847978,1.548732729949784,-5.4109898366605815,1.1371794752530533,-2.7570867790951095,1.3944896627212784,4.01357113083348,4.846854502114843,0.1620084457437474,0.7787513539279217,0.15315346248147932,1.1544486613160467,-4.565747696352651,0.4104521746753772,0.5576081256227436,-0.35145256428088234,-1.8339681762916644,-0.6733162053636943,0.6036215634962077,4.260504967937132,-0.011728242098582455,3.37498051015126,-1.0197626257525987,-35.10686177640152,-6.779095689159003,-9.601585918984501,-2.4639672388501044,1.0276605905925889,-7.62213898502383,221.02470862898278,74.57898608642964,1958.4655797029952,-7.53659620077455,53.60755089243823,-14.575817688761562,332.03792409196456,-6.556095563729389,-17.75898146929411,-20.04688657285688,4.942377225559084,102.33106011256729,-1.4457953697746166,-2.768415717681442
2.554864625,4.505469282,2.975903614,2.691767068,2.68132716,1.545664457,144.8388578,154.6968957,156.6866838,155.9839035,17.22037087,0.01411582004,-0.3566992165,-0.07926246142,0.03940090273,0.06080921197,1.358289805,0.8010119468,0.8002199202,0.4383071664,1.081396737,0.9947445943,0.9166275128,1.142888526,1.161394259,0.959038262,0.5938469604,0.6296649041,0.8159634066,0.8105015071,0.9293953632,1.03340031,0.8469560856,0.9385346693,-0.4947199896,0.9777394418,7.008273069,1.343837143,0.1891213531,0.1045499747,0.191540908,0.0,3.47790223,0.0,0.0,0.0,1.880539113,0.0,0.0,1.555977941,0.0,6.175691526,0.0,0.0,1.232057947,1.778768932,0.3669902913,0.6597222222,0.2050367286,0.0,0.5081967213,34.81406799,0.0,5.098681808,6.066367068,79.06876542,55.24084271,17.19295166,9.531400138,34.01378264,4.736862954,44.65087521,0.0,22.47273829,0.0,0.0,8.289318585,0.9155404988,3.47790223,21.32644375,38.03017578,73.14,2.381944444,2.13,0.8368707483,0.3275384228,0.279691358,0.1913151719,0.06779661017,0.3018993667,0.8885019249,26.52293225,-3.256283525,1.678773877,2.497010411,-0.6498553789,0.1006502127,2891.606548,4.64,0.0014,168.53447641068647,0.13700955650121704,5.815550085994419,16.787435507710832,0.17814381182041567,-0.16710520798828085,1.1943467282489795,-80.87038725874689,128.19356572021306,557.7365085130209,0.72699466684731,18.42264777790414,3.1402741498613436,1.1637991229121865,44.63477950093062,-66.59623185906521,0.3026503810577068,0.7902027733454275,0.3528052437053135,1.8424168087437027,1.1449975247081199,0.8351892136786625,0.5691907982398773,0.9588824417025127,-3.7953340392034205,0.5338835707387177,-1.183770657679097,0.8104708828283465,2.5955769113313414,5.129905103540871,0.1862444080772785,0.18463516420752013,-0.7974694406933543,2.0617650922417416,-3.121792796369518,-0.15674411256550846,1.3789717948233084,1.3450258981227154,-0.6406516746495912,-0.002886313331328161,-0.8280483762686259,4.272440245562797,-0.10778735997634953,1.7723423312283237,0.06185334480259708,-23.89559145357924,-1.9475520934093613,-5.013046673904865,-0.2651472225647292,0.13222130952101,-5.5555979325030895,140.5419566144683,-44.26359402547899,1280.3143412218446,57.63243838252859,15.255494234606841,-11.718547659994911,247.2100012327976,-0.07200766912311729,-14.838523768877122,-6.122923721019057,5.066908099851562,56.895750756031475,-0.7683433199716283,-3.302890634383746
2.483893655,4.469239665,3.306930693,3.063838498,2.96941358,1.58666081,145.4544747,155.7660774,157.7326513,157.6249401,9.715277778,0.02566272021,-0.5423423379,0.06089404376,-0.05855874559,-0.02112203811,1.56315811,0.9921658912,1.186500644,0.5126343013,1.106078644,0.9620575943,1.018016407,1.130891,1.086972902,1.056533658,0.6734931658,0.7036757073,0.9228350905,0.8494276874,0.9891210266,1.045773347,1.125734453,0.9397990846,-0.4868813938,0.9779936759,7.008272213,0.6101356715,0.1605274627,0.08888261617,0.0963266143,0.0,1.952277995,0.0,0.0,0.0,0.0,0.0,2.911211787,0.0,0.0,10.93236962,0.0,0.0,0.9384880154,1.777071801,0.3464203233,0.675,0.2096745819,0.03368055556,0.5833333333,33.97362214,9.967957042,0.0,18.19910121,37.25557254,22.20089375,16.52595619,14.26826309,33.45795484,14.79051451,27.6520576,6.9237372,21.87632117,0.0,0.0,10.93236962,2.445035208,0.0,9.949004298,22.40598613,89.13,1.763888889,1.549444444,0.6157823129,0.3817476064,0.2340740741,0.1391735537,0.06944444444,0.4022984508,0.8275515626,32.99708002,-3.022810595,1.143065544,0.6041077112,-0.8539439372,0.4690717346,3118.226529,5.51,0.00715,143.19218567406242,0.9146413987259141,8.43404506305589,3.723884272487389,0.16160387281431382,-0.1071274820370102,1.0303168471529767,-201.71183749167844,124.32387433585396,553.7402760295968,0.7412127193157731,10.298911910351405,2.716199743122962,1.5489906167337604,-41.96664890397141,-63.41885730447711,0.32375805561905946,0.6301318861593362,0.8175548016179889,1.3544755497934284,0.39564379523189197,-1.4716064065844567,1.0609718690217245,1.2831315134351886,-4.648013826912429,0.9617649504851556,-2.186617679646811,1.2273423162237873,3.482366755906174,4.6526896553571495,0.3053133780549545,0.8730292736564379,0.07890482865035264,1.2693219703976104,-3.8264557411555424,0.32434656749279245,0.7703073344271246,0.15731971154293745,-1.1286665534148335,-0.21807477667541741,0.3762468661397074,4.3693299146787545,-0.021038038485544433,2.616775356350132,-0.5078759325289917,-29.469314399847697,-5.189059781565172,-7.699718943645629,-1.856717436286199,0.8443151827405395,-6.569145915220485,190.0946276995116,54.259368167419936,1699.1439658007419,7.6217099560518715,38.8461953452401,-12.499140797178098,281.8360476939029,-4.1155693437170715,-15.224395370211985,-7.370775912878329,4.9350034685965944,80.02471028256669,-1.0009477166336844,-2.666133638574771
2.434987024,4.391028702,2.824175824,3.028333333,2.718706048,1.549490554,145.2372638,154.6452864,155.3612222,157.6523044,8.595463138,0.0170240073,-0.269653478,0.0005546047637,-0.02482699162,-0.04657048201,1.189782636,0.7325301143,0.8070235967,0.5009480565,1.168054304,0.9552872861,0.9717359413,1.133281192,1.046082823,0.9861451049,0.6118234099,0.7564420335,0.5789217613,0.9013067383,0.9820213868,1.060068008,0.963823597,1.042534085,-0.5164392479,0.9729522094,7.008271862,1.427567332,0.2313568702,0.09015818944,0.0761440227,0.0,1.498885423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.416356525,0.0,0.0,0.9965826584,1.751492282,0.3015075377,0.6339285714,0.1842839566,0.01765188834,0.5,26.92233453,0.0,5.098681808,6.066367068,61.01812524,29.7174337,18.05032179,9.531400138,39.52165029,4.736862954,32.55544757,0.0,6.9237372,0.0,0.0,5.416356525,1.572168719,0.0,15.74333193,25.40670504,80.76,0.9930555556,1.095555556,0.4194557823,0.2262692114,0.112183642,0.1066238139,0.06878306878,0.3658323715,0.8731880815,24.84350472,-1.744620654,1.258085386,1.450149492,-0.713038085,0.1946882698,1228.460929,4.79,0.0294,154.6718880365105,0.8071457209236121,6.528013861388749,12.080395874846616,0.18756216458008934,-0.12356762929631923,1.1461924696939765,-130.11017367136824,125.28183907758691,547.0092161390966,0.7247896669760433,14.147153285592317,2.976676195664219,1.3589759741706955,16.467200021768612,-58.26025614586883,0.2964384638951653,0.66585376636029,0.543516556702651,1.5833562982972174,0.7072855164450984,-0.5117364014742458,0.7698277113766755,1.3355759855011353,-3.9255614022017644,0.7084380596981052,-1.417159081591862,1.1401558885515264,2.977370829264399,4.786424859889224,0.39311077064455935,0.6904383351838062,-0.056587112755569824,1.6411096033211359,-3.040764715210103,0.12469352829548563,0.9905373690171067,0.7163159623889847,-0.8356157084797422,-0.14519968160648133,-0.16566637092955422,4.179332222892856,-0.05400800545342569,2.246252528636087,-0.08821238628910066,-25.806662304664822,-4.121755714303021,-6.175073683609115,-0.7477961677875938,0.47755754477162027,-5.595964465124271,156.56740931161104,9.837084750193025,1369.6297842051852,36.78745074632692,30.42190616572894,-11.549118835620137,255.23321286760867,-1.7457773594491883,-14.207315114780611,-3.098929471479722,5.020651840807686,68.8943870200669,-0.685978376231516,-2.847238762393043
