Molecule,SMILES,Formula_x,SpMax_A,VE1_A,AATS7d,AATS6s,AATS8s,AATS3p,AATS1i,AATS3i,AATS4i,AATS6i,ATSC1d,AATSC0c,MATS1c,MATS5s,MATS6s,MATS7s,GATS1c,GATS6c,GATS7c,GATS1dv,GATS3dv,GATS5dv,GATS6dv,GATS3d,GATS4d,GATS6d,GATS1s,GATS2s,GATS8s,GATS2v,GATS3v,GATS7v,GATS4p,GATS8i,BCUTc-1l,BCUTd-1l,BCUTs-1h,BCUTs-1l,RNCG,RPCG,Xc-5dv,Xc-6dv,SsCH3,SdCH2,SdsCH,SsssCH,SaaaC,SssssC,SssNH,SsssN,SsOH,SssO,SdS,SsCl,MAXaasC,MINaaCH,ETA_shape_y,AETA_beta_s,AETA_eta_L,ETA_dEpsilon_D,fMF,ZMIC2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA10,SMR_VSA1,SMR_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA4,SlogP_VSA5,SlogP_VSA10,EState_VSA1,VSA_EState1,VSA_EState8,VSA_EState9,MDEC-22,MDEC-23,TopoPSA(NO),GGI3,GGI4,GGI6,GGI8,GGI9,GGI10,JGI2,FNSA1,RASA,Mor02m,Mor08m,Mor10m,Mor12m,Mor23m,Mor24m,MOMI-Z,Silicos-IT_Log_P,ESOL_Solubility_(mg/ml),SpDiam_A,AATS5d,AATS7s,AATS2i,ATSC1dv,ATSC8dv,ATSC7d,AATSC0v,MATS8s,GATS2c,GATS3c,GATS8c,GATS4dv,GATS7dv,GATS8dv,GATS1d,GATS2d,GATS5d,GATS3s,GATS4s,GATS6s,GATS1v,GATS5p,GATS6p,GATS7p,GATS1i,GATS2i,GATS3i,GATS4i,GATS5i,GATS7i,Xc-3dv,AXp-0d,SdssC,SsNH2,SdO,SssS,SaaS,SddssS,MAXaaCH,AETA_alpha,AETA_beta_ns_d,ETA_dAlpha_B,ETA_epsilon_5,IC1,CIC1,CIC2,PEOE_VSA1,PEOE_VSA9,SMR_VSA3,SMR_VSA4,SlogP_VSA3,EState_VSA4,EState_VSA5,AMID_C,GGI7,JGI4,RNCS,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,MLOGP,Ali_Log_S,pIC50
2_a1,Fc1ccc(cc1)c1c(nc2n1CCC2)c1ccccn1,C17H14FN3,2.527110816,3.91853569,2.297619048,2.788751715,2.75,1.437044268,145.1110422,161.0443566,159.704181,156.6554547,7.356734694,0.01092948001,-0.4228638672,-0.01808517185,-0.06081792629,0.05973679281,1.411474643,1.033617162,0.6687349069,0.4249264197,1.078568778,1.120447178,1.076782306,1.140831203,1.381216556,1.061273738,0.5015923567,0.5427486526,1.396069699,0.9457576622,0.8746388521,1.20797489,0.862009481,1.044476001,-0.4431094094,0.9938455052,8.001917432,1.348828131,0.2451987555,0.0919280896,0.09033189192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092572279,1.4925,0.3404864092,0.6666666667,0.2108470318,0.0,0.5714285714,24.15772897,9.374393569,0.0,6.066367068,42.81902403,24.72587309,17.33555333,4.390415048,22.64523548,0.0,14.53505669,5.817220841,12.24522612,4.390415048,0.0,15.4244982,0.9601951058,0.0,13.26955239,20.10785084,30.71,1.381944444,1.228333333,0.2719274376,0.1128826531,0.03,0.01234567901,0.06535947712,0.3321002298,0.8633416364,18.49914231,-1.640075804,0.9280222783,1.065551657,-0.3662594047,0.0434334607,1529.471055,4.0,0.0466,4.904569743782038,3.4226584432711693,2.7532133074681853,149.77007851763156,56.15136115389301,59.077231941946195,-3.812542177739746,45.043605437115566,-0.044752539622645214,1.0694406201475117,0.7462706197725908,0.8427083718634387,1.201594786679883,0.9351785904502918,1.096268541320966,0.6844991128788802,1.2226087798302747,0.9216338782534134,0.9380988328008963,0.9792890260390267,1.3638377115062004,0.8003663991267689,0.9417042201750578,0.9231191679365853,1.014009403203437,0.907902358329371,1.1158828234287685,1.0749070984819875,1.0606987511904415,1.1142337896719205,1.0205230116478454,1.0313228633072973,0.6967255071530623,0.9879649591844727,1.4948106014053368,3.4121874164367023,0.4237660120511807,-0.3970852171430583,0.032530378476328864,1.9233401667161714,0.48760877034716577,0.025111456083820205,0.017610130761702054,0.8227940703976011,3.8628196504102505,2.075864929410305,1.0520858200046215,9.83225852049019,20.11428893844011,22.928752187810858,1.788687032046176,10.068233013774389,63.580156123483754,5.705060796360908,1.595749829682888,0.3817016788106227,0.03349667035724849,64.38518047935797,-2.7349395988217524,-1.3028489472608462,-0.31646429995485514,0.36346981842689746,-0.3277124037421041,2.057285523070528,-4.803849305668535,8.840465492922421
7_a1,c1ccc(nc1)c1nc2n(c1c1ccc3c(c1)OCO3)CCC2,C18H15N3O2,2.538080078,4.197074624,2.760869565,2.71807152,2.344017094,1.48300706,144.8697502,157.4491661,156.5676654,155.8440342,9.083102493,0.02276401408,-0.4410545484,-0.03994217642,-0.1162533099,0.01980245561,1.438625798,0.8614995429,0.8808102807,0.4684815875,1.03867693,1.050075232,1.021924076,1.234106583,1.299484848,1.057805643,0.7667975567,0.9611229649,1.230562617,0.8480531296,0.9022954751,1.137936853,0.9415044863,0.9111136049,-0.4868737681,1.734393944,3.517051553,1.348826331,0.232031317,0.1180634227,0.1042207808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.95591545,0.0,0.0,1.137333239,1.808747927,0.3588957055,0.7065217391,0.2221076636,0.0,0.6052631579,26.86770968,4.983978521,0.0,6.066367068,36.75265697,24.72587309,11.51833249,9.473725908,34.14425914,9.473725908,21.327999,0.0,12.24522612,0.0,0.0,13.26300729,1.28704234,0.0,12.40239232,21.8866936,49.17,1.513888889,1.214444444,0.3501587302,0.06627928949,0.02500771605,0.004691358025,0.06267806268,0.2967340724,0.8421769682,22.80739312,-2.082195593,1.238326648,1.191031748,-0.4033257034,0.1565646701,1611.221159,3.43,0.0595,4.8689166724476065,3.790426771876345,2.4699955341150637,152.29256097919816,55.00984792974205,-74.7819637108851,-15.22213972498179,51.26086850401627,-0.28099971729399187,1.07034715829542,1.0507152582330275,1.0153098796431241,1.0572349385573256,1.1517651099903174,1.0178802676825747,0.6386931810200603,1.1234636504852349,1.2741975034734836,1.0928321316299474,1.1810977652177017,0.7940941251955912,0.8237825736486649,0.9185971359502768,1.1502592956177566,0.9840896235684073,1.2119282439158776,1.0320177117377358,1.055776121069324,1.0852894997561209,1.2496726982782043,1.1535519303459632,0.9713327473529382,0.6910525583743572,0.17062622591559015,0.654952857077771,7.44004944186378,-0.1612774430421256,0.4410806207905202,0.42336540692369984,1.9709193296006933,0.4787971196864225,0.028145086313211193,0.04152600384978933,0.8473003678673392,3.354177643958833,2.3004268400896453,0.9810352625734949,1.1017555954729046,26.122693384000456,25.765010858137995,1.223734629918955,3.7004812487758287,40.354197130192176,15.077658737401425,1.3874654102737192,0.33860888696411773,0.03660533992909001,64.45547213668291,-3.732792871395886,-1.527055585158097,-0.26284118102254306,0.39898786069501835,-0.04280004210075006,1.8082378641596133,-3.5532466988490636,6.946753136681331
8_a1 (SB-202620),Fc1ccc(cc1)c1nc([nH]c1c1ccncc1)c1ccc(cc1)C(=O)O,C21H14FN3O2,2.475845804,4.356319718,3.139534884,3.274431058,3.28427896,1.604016094,144.7227279,153.9030889,158.3535104,153.0522818,6.431290898,0.02252518381,-0.6120048039,-0.07123047824,0.06761422848,0.114627386,1.517919242,0.8009377975,0.2821001767,0.5066034678,1.053347648,1.006932066,0.8482414507,1.153148249,0.9365713018,1.271914003,0.649373523,0.4849171343,0.8501782227,0.9483186681,1.040034385,1.210683433,0.9790051332,1.030131259,-0.3752358812,0.9729411994,8.001919869,1.432397384,0.2195557195,0.1540712279,0.0872910733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.054265439,0.0,0.0,0.0,0.8937325208,1.390545196,0.355664283,0.6388888889,0.1724691728,0.03741409718,0.5609756098,33.19656922,14.16893075,0.0,12.13273414,48.53093655,29.08404162,11.64162534,14.29147963,33.90261496,0.0,26.02776825,5.817220841,10.35798868,4.390415048,5.969305288,13.31466888,0.0,0.0,14.19850435,27.927141,78.87,1.409722222,1.465555556,0.4570521542,0.3567806752,0.275,0.1363126212,0.07936507937,0.4823677858,0.6806937978,24.50755053,-1.753416567,1.356765458,1.623002601,-0.7048237197,0.2450649676,1747.697749,4.86,0.00713,4.913046725143865,3.0786248786281916,2.205159696156846,152.19102418351557,59.245782224845954,-9.887055789047988,-9.252123749999468,48.36376408148385,-0.05082361906320713,1.2010523501697792,1.0073850695799365,0.7852534600050092,1.0378136285783945,1.0259883413174877,0.9870670418351223,0.6606240257792296,1.1533655107045977,1.1379269446536562,1.0759042037575657,0.8086988055443332,0.5704943636136992,0.909839876835119,0.9275444519834343,0.921756488786275,1.0449964516739634,1.2487018062619397,1.051865697053941,0.7082389756852664,1.0521535654394534,1.1224235665418913,1.0160763313171914,0.8351983046057095,0.6876729148526584,0.2871906687598287,1.0071303388140909,3.735549722370289,0.17575325518283907,2.624048136778087,-0.06552550123334476,2.1269403118036014,0.4955848720702338,0.025095138546368898,0.0016964746738868247,0.7400248908610405,3.287160033148729,2.1578807047464594,0.7739362700210168,-2.479336994529728,39.126688933881766,25.166991584756115,-2.85697545952972,-3.162063013020438,21.04265954808462,-2.927526522605276,1.6407540235048552,0.3090360819819191,0.027355119491828592,96.0514465259094,-4.347921856517819,-1.4261473536523745,-0.04960637487090752,0.339566546577862,-0.214975241992977,1.4714035296399517,-6.382976274950679,7.110509484977379
9_a1,Fc1ccc(cc1)c1nc([nH]c1c1ccncc1)c1ccc(cc1)C(=O)C,C22H16FN3O,2.475845804,4.356319718,3.136363636,3.061173533,3.085600907,1.601621314,143.8137918,153.9889948,156.88388,154.1877092,8.650621958,0.01271820306,-0.4833355777,-0.03882586022,0.08125012204,0.08860061291,1.379699805,0.9563027756,0.4636616931,0.4500194626,1.151677027,0.9249283001,0.8505520433,1.173558601,0.9310534228,1.259068149,0.5393116736,0.5846769149,0.8829066344,0.9026143538,1.006587194,1.182860186,1.02193541,1.001291619,-0.3857259184,0.9729411994,8.001919505,1.432397289,0.1923152733,0.09584756743,0.1060972487,0.0,1.537779396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9337325208,1.418322974,0.3510401189,0.6296296296,0.1780669637,0.01836104812,0.5348837209,32.63405351,9.374393569,0.0,24.26546827,43.32193961,34.64749311,11.64162534,9.184952232,33.90261496,0.0,20.73518051,5.817220841,17.28172588,4.390415048,0.0,13.33507704,1.537779396,0.0,14.19850435,27.927141,58.64,1.409722222,1.465555556,0.4570521542,0.3567806752,0.275,0.1363126212,0.07936507937,0.4346680611,0.7931762919,24.19727328,-1.88839001,1.153717328,1.356030399,-0.716194481,0.2989944241,1753.350222,5.86,0.00578,4.96219580454652,3.0021431044576112,2.500702203720725,155.17182340112294,78.6070605133719,56.69010861970885,-8.008818248458507,49.83959592027152,-0.020316621844369668,1.2835506744104388,0.7993550821239361,0.5455352905034382,0.9804438350613573,1.1956760847967203,0.901865931814669,0.6651089675835634,1.059102034812297,1.1640567658167826,0.9254558873963934,0.8706938108176653,1.114524800568191,0.7948578998826326,0.645937922017594,0.9133015112442013,0.9785292880681599,0.9788739923039074,1.0111599040653039,1.0437869296228295,0.9472811375020265,1.1041213384732946,1.2137343477283264,0.8944033368750489,0.7043670696191325,-0.14113638305672346,-2.2451938228807604,1.7047580964214966,0.13733295730226627,-0.6953572563006651,0.707886520106972,1.9296837441762935,0.47801093511988063,0.033374006513745516,0.01079931800756193,0.7566060278785793,4.271072500242704,2.2243324605334176,0.6818077903483813,12.007840889156864,17.329190358520098,19.985086212161466,4.34644976367879,11.060991059391846,37.10440092727611,3.2539757911484037,1.6096249902053463,0.5588566259120945,0.044455375607157024,73.72647978483252,-3.4702078016211977,-1.8810280074907988,-0.07560177189292658,0.2421914282807202,-0.064609584764332,2.903839950164641,-6.1076360071552696,7.461967588809464
11_a1,OC(=O)c1ccc(cc1)c1[nH]c(c(n1)c1ccc2c(c1)OCO2)c1ccccn1,C22H15N3O4,2.492061289,4.622707851,3.516483516,3.139835859,3.142222222,1.613866335,144.5439569,152.1736865,157.3046597,153.8013475,8.123966942,0.03207697787,-0.5636502535,-0.09741828251,0.04938736667,0.1111542013,1.510833507,0.7686057343,0.5897973458,0.5291677372,1.006227276,0.9633891101,0.8521004625,1.205641621,0.9257206614,1.226953468,0.7695698184,0.5224802162,0.822625005,0.8700534929,1.032132122,1.087474996,0.996244266,0.9868864064,-0.4868795029,0.9730014319,7.008294851,1.430935838,0.167514688,0.1175519077,0.09648405947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.114944218,10.90025445,0.0,0.0,0.8607029478,1.556423798,0.3694581281,0.6724137931,0.184041039,0.03529847979,0.5909090909,34.25659207,9.778515705,0.0,18.19910121,42.46456948,17.32374656,5.824404498,19.37479049,45.53211513,9.473725908,32.82071055,0.0,10.35798868,0.0,5.969305288,10.90025445,0.2020100536,0.0,13.16622083,28.58731687,97.33,1.541666667,1.531666667,0.5126077098,0.3595600277,0.2493904321,0.1231527395,0.0756501182,0.4521855816,0.694514964,29.31488305,-2.054783292,1.074122317,1.602259196,-0.8177436317,0.2064616657,2240.126156,4.28,0.00838,4.8635326472778875,3.391987641694727,2.8187680691311527,153.5080496082459,41.558862275778154,-16.329500122682592,-4.148780798202826,51.33482598912629,-0.11748823294615625,1.0761078349829916,1.102834363525384,0.8652461955666959,1.2953897175108766,0.951193822807652,1.0153103350559343,0.6046076961572258,1.1193146776878065,1.2716675589031825,1.0059376425329503,1.1725372112046597,1.4036420848270579,0.8922616517694066,1.0392003290241383,1.1268992403647353,1.1218668352897756,1.0315108490398166,1.1134321027646523,0.8469709661768732,1.1024105715322572,1.0860833717873832,0.8995855939142645,0.67261898286372,0.7089283513391685,-0.2681871714497792,2.379117696616583,3.4267562275178998,0.3799014329132223,0.884996711463274,-0.45384478319422794,2.071889549407551,0.47755386348019646,0.016681670343165922,0.018282798433396075,0.8077978700012395,3.8566840047675477,2.0012076976095017,0.9960268599256085,10.799081291352001,-1.6821706194745119,18.087854118008302,7.092730233139987,1.4486584166328953,24.180195504382446,0.5630956636806843,1.7033478553968218,0.44568250711695423,0.0461716300103128,127.87983999338053,-3.5835621865819216,-0.8202887407711716,-0.21236429627415263,0.4069531536898321,-0.15829357217127996,1.6482039524927432,-4.55621538078383,8.064870901617265
12_a1,N#Cc1ccc(cc1)c1[nH]c(c(n1)c1ccc2c(c1)OCO2)c1ccccn1,C22H14N4O2,2.491273045,4.570407667,3.477272727,3.161375661,2.959649123,1.648965133,143.6934201,151.9976332,157.3721192,153.1968143,7.653061224,0.02303927909,-0.4870737722,-0.07916265771,0.07719185078,0.05306328891,1.45882827,0.8484842924,0.7925476826,0.5061794523,1.01741438,0.9694505591,0.9193584736,1.204293245,0.9645404664,1.265432099,0.6053663621,0.672143842,0.8530661438,0.861509907,1.025005529,1.090580563,0.9841220226,0.9799639438,-0.4868748357,0.9113426005,6.027275696,1.430936075,0.1961734858,0.09981804825,0.08126954398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92810365,0.0,0.0,0.9037482153,1.750975531,0.3391959799,0.6696428571,0.1799479011,0.01765188834,0.619047619,31.43174763,4.983978521,5.261891555,6.066367068,54.59730362,17.32374656,5.824404498,9.473725908,51.60133645,9.473725908,21.74487787,11.33111287,5.563451492,0.0,0.0,10.92810365,0.2251403116,0.0,15.04576359,28.33265389,83.82,1.291666667,1.491666667,0.4309750567,0.3283100277,0.1693904321,0.07356596266,0.06913580247,0.4431444855,0.8521864702,28.1510087,-2.125441096,0.7872086107,1.402044203,-0.764628785,0.2455663592,2167.864172,4.87,0.00649,4.863533569110856,3.495991265343151,3.6518457476614103,152.14772024710305,62.23053288014788,-23.456162429680322,-3.705292309242277,46.35770572382272,-0.06662586951018142,1.4697969237733366,1.1483699699600192,0.8493698688637021,0.9686644090752182,1.0247460126124786,1.0954118882864612,0.7062755086153398,1.1576913242025542,1.0534585465661526,0.8340235237776321,0.728724905797274,1.1211666606779875,0.837033772332964,0.8830870635054727,1.1401469153015755,1.0830900378956123,1.03556390561784,1.0503125473609614,1.0786649671502833,1.2169556699169743,1.0032668061554313,0.989606331476347,0.6138383546157209,0.6821325730127034,0.36617347677451256,1.3498539078120615,4.100962525160278,0.43942090757002256,0.1255216998294464,-0.08793061191960119,1.9012563656620187,0.4879515790974815,0.023678888833169737,0.01768184726681756,0.800631437018521,3.737416484909973,1.6760887327430012,0.8769953588745247,11.540349069244566,25.84092037315997,21.94355972990098,0.5226366353497676,0.5963012993983465,29.862239276202622,6.213894099033232,1.5314981113981982,0.4959266039030287,0.04421637221070423,77.00045292874039,-3.570348187632889,-1.0540877898869225,-0.025889428410874438,0.29519150838176206,-0.5356126734789252,1.83544138057527,-4.2906423621960865,6.356543428472176
3_a3,Nc1sc(c(n1)c1nccs1)c1ccnc2c1cccc2,C15H10N4S2,2.487688296,4.165488046,2.722222222,2.970529669,2.46043771,1.966913163,143.5536717,150.2568993,146.2381587,154.9019726,7.598335068,0.0167388806,-0.599804962,-0.07315684254,0.1384283015,-0.07960188916,1.58393888,1.403492034,1.103927897,0.6097878859,1.002164317,1.09584588,1.047597865,1.158210332,1.352335981,1.231549815,1.11194119,0.9325971332,1.140914901,0.8135330223,0.8584795969,1.239288794,0.9157083772,0.8936190001,-0.3876013096,0.9938494101,4.005273314,0.6050005136,0.2415958268,0.1164339197,0.1485126886,0.0,0.0,0.0,0.0,0.0,2.063441043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097222222,1.781719419,0.3250773994,0.6547619048,0.2048499566,0.04361628709,0.6451612903,28.22793167,9.967957042,0.0,29.53588708,12.13273414,28.72342562,10.70155169,0.0,21.14215038,5.733667477,14.95193556,0.0,0.0,5.13155848,0.0,0.0,0.0,0.0,7.330223172,15.98256634,64.69,1.3125,1.130555556,0.3715646259,0.05921674225,0.006558641975,0.0,0.06535947712,0.4098018298,0.8434295043,12.04494473,-2.865535369,0.04834091165,1.328669903,-0.3664350506,0.3885123797,1500.130642,5.0,0.0126,4.965350391974417,3.3973941899433906,2.5979350952577667,154.44193401372965,75.29666490465297,-29.517204824385978,-12.648985049085178,47.64073943800835,0.14338383222119996,1.1344235706428047,1.0769474085295083,0.8270116600607086,1.0211884051811382,0.9212711880502497,0.8691383563374481,0.6975254912116681,1.0326161131564193,1.1851256360684916,1.0860546037817116,1.2243799211618278,1.0012461150624912,0.8248839976425734,0.7876267166979872,1.13110592963325,1.1602923472651658,1.0497372335699957,1.207302626710755,1.162021641352303,1.0939289689041114,1.0551849930625339,0.9533855132704651,1.0210968150592714,0.6682879088257467,0.2491693341541421,3.087208738166014,1.9323713097167596,0.35977638039729865,1.0444090976198324,-0.2266721074695956,1.9889170669139908,0.47939265420896476,0.01267163201752615,0.014238349561292347,0.8079022985715298,3.607735693904075,1.7132068275124244,0.6231575192909604,10.468069601434761,22.773231557711725,21.492937988688322,2.0152986818495395,5.9024450523808,35.60281160267699,1.0944988293008784,1.4633881514852582,0.47410386981969527,0.028879442726605642,21.90219959603627,-3.9041753528048577,-0.8213334355571635,-0.4215736764228537,0.1530954140636219,0.11638204716358802,2.4681563111653753,-3.43274856414327,7.349591517607123
4_a3,Nc1nc(c(s1)c1ccnc2c1cccc2)c1ccccc1F,C18H12FN3S,2.494167094,4.295805141,2.708333333,3.64332826,3.402116402,1.807190912,143.5946678,152.2057646,152.4566434,154.7589992,8.488163265,0.01409895107,-0.6072386337,-0.118291143,0.1424332958,-0.1143776401,1.573693854,1.18003281,1.294439015,0.5190755406,0.9553078946,1.077461931,0.9721416548,1.128304735,1.265910194,1.288119144,0.6629941981,0.6409026574,1.29554009,0.8643567062,0.872363568,1.175092993,0.9914186174,0.9692163068,-0.3876126018,0.9929594654,8.001917793,0.60501714,0.2353473097,0.1133692921,0.1497800171,0.0,0.0,0.0,0.0,0.0,1.882124381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9611602419,1.429867567,0.3533866218,0.6304347826,0.1869699986,0.04097722567,0.6,32.78778218,9.374393569,0.0,41.66862122,24.26546827,22.70997077,5.817220841,4.390415048,21.69797817,5.733667477,9.967957042,5.817220841,0.0,9.521973528,0.0,14.20568673,0.0,0.0,10.85865241,21.93000613,51.8,1.784722222,1.307777778,0.4596825397,0.1143864953,0.038125,0.0,0.07207207207,0.4558296632,0.844241824,10.75902422,-1.791046302,-0.3954789132,1.692349156,-0.5730146426,0.2634191583,1705.631803,5.3,0.00264,4.919770291059355,2.9160139153698488,2.935872552700308,156.00020774638472,66.8894206635407,-23.106874581443954,-7.444355048814131,48.4561915043067,0.05454376440945867,1.017101027570934,0.9964276008205255,0.8745071744098668,1.0900287288604078,1.032157004766169,1.0171527411304886,0.7770427051567862,1.0887646916773304,1.1103464804639895,0.9571953462397326,0.9134400315049583,1.0546570347969872,0.854372260473621,1.0826611369790626,0.8532854384758131,0.9158522452261602,1.0784426639746294,1.1629532878865927,0.9203856635085007,1.0260219244534305,0.9767896450147064,0.8803978606537839,0.768457984879631,0.6673258280759837,-0.2043156814332344,0.9668209018909429,2.5939932961004786,-0.7188138553544858,1.54450939284778,0.3000629986275176,2.046895085683022,0.481737418834309,0.009242747187923433,0.01882188349064204,0.7706860329006204,3.6578090854537013,2.044622698759841,0.5875997550120258,8.590949490471328,13.99310156152772,17.36510737338976,3.5959176323076596,7.62520544487689,25.763354392368157,-7.490342139438092,1.6143149060530921,0.5128665147513759,0.04272326328167522,40.582546169906095,-2.310691405899842,-0.9363907556932642,-0.046879005963599146,0.4697661472982927,0.2648519216257224,2.3820252618869207,-4.132801280271828,5.179802798337077
6_a3,Nc1nc(c(s1)c1ccnc2c1cccc2)c1ccc(cn1)Cl,C17H11ClN4S,2.487009195,4.261518188,2.772727273,3.09244562,2.541861785,1.90698264,143.9739518,151.6380716,149.2113874,155.4240932,7.123702422,0.01503348894,-0.5943088524,0.05640216116,0.02297515788,-0.01475592122,1.577655479,1.412509701,1.158347712,0.5940188589,0.9851330408,1.051737393,1.108162066,1.07012233,1.257256894,1.163176446,1.112719455,0.8886730673,1.213597965,0.8012615236,0.911781923,1.091177662,1.069827703,0.8638731236,-0.3876330503,0.9929419474,4.005274667,0.6050165637,0.2347559593,0.1131187036,0.1323278235,0.0,0.0,0.0,0.0,0.0,2.000787282,0.0,0.0,0.0,0.0,0.0,0.0,5.925984915,1.052361111,1.611966333,0.343417825,0.652173913,0.1878159942,0.04087784679,0.6176470588,30.99869023,4.983978521,0.0,41.13682697,24.26546827,23.34336285,5.693927995,0.0,21.82845468,5.733667477,14.95193556,0.0,0.0,5.13155848,0.0,0.0,0.0,0.0,8.857406552,20.15362571,64.69,1.534722222,1.352777778,0.4824943311,0.1385739481,0.0925,0.03713906744,0.07207207207,0.479912648,0.8965942281,20.25030454,-2.399473009,-0.1937372504,1.265458768,-0.6125296875,0.1655021392,2043.384683,4.96,0.00455,4.850319731557745,3.3840451015418016,2.82638196034824,153.73429354332075,61.36538985182562,33.129058590237015,-5.051201266241624,47.49676366087985,-0.10865481318685309,0.7570000620886872,1.1301898226816345,0.9376001725099308,1.1050550593960775,0.8549461918974693,1.0346585196138915,0.7560600123346404,1.0909014192757198,1.1022308714791174,0.9245184707664059,0.9415186164624998,1.3175255261758518,0.810073616239162,0.8535686039665089,0.9622296764041288,1.0110566144264668,1.1625955305651627,1.120837809281122,0.9872639128251168,0.9445352629722454,1.0533503796897756,0.9759326839262464,0.8054158853158132,0.7008324652313637,-0.4966540198208318,-2.71330384828608,1.2917785745228785,0.5524236153660779,0.06885874639920903,-0.8335903749220237,1.8977688245602409,0.45361582557635577,0.04454432180024626,0.007292781702838584,0.8412592415707155,3.215323072124029,2.227380543286768,0.6993568642449541,5.178659548782001,25.022729049088344,21.276803627043932,7.296312992084484,3.4697411080687957,28.146080723417988,-1.8409916976998497,1.6333788485368952,0.41964210593200185,0.028458053572292807,95.65385862648661,-3.831894405644465,-1.1613182082479554,-0.393194241740379,0.37261075717790476,-0.17164858969435892,1.4385709096892743,-5.920408366792207,7.0379176027928985
9_a3,Nc1nc(c(s1)c1cccc2c1cccc2)c1ccccn1,C18H13N3S,2.484898405,4.193045613,2.68115942,2.920091324,2.453551913,1.820004048,142.4614202,149.9020112,148.335526,154.1584726,8.52,0.01277709619,-0.6141702865,0.1382468159,0.008224023635,-0.1107754564,1.622947299,1.412300751,1.392104207,0.612649677,0.9725163988,1.052880218,1.175557174,1.125206839,1.33072407,1.259435281,1.141798354,0.8617703935,1.365498471,0.878770007,0.8841733353,1.171569475,1.067830783,0.8704099101,-0.3748068646,0.9938487239,4.00527352,0.6050171284,0.2488219329,0.1198964762,0.1377501849,0.0,0.0,0.0,0.0,0.0,2.407197604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.146252834,1.77554658,0.3172205438,0.625,0.1890811643,0.03888888889,0.6,34.92864387,4.983978521,0.0,59.86772243,22.90518257,11.76029506,5.693927995,0.0,21.82845468,5.733667477,9.967957042,0.0,0.0,5.13155848,0.0,0.0,0.0,0.0,13.50173037,21.4936885,51.8,1.472222222,1.161666667,0.3780498866,0.07306626354,0.0225,0.0,0.06349206349,0.4294583812,0.9313370606,14.31050003,-2.342459425,0.1718755552,1.330778704,-0.5580243806,0.1883993459,1527.318475,4.9,0.00379,4.907143920584865,3.0965178777438687,3.3755496492052317,152.24402893905096,75.75503392807357,-96.65739643513639,1.3164002461795548,52.37656548182206,-0.17775765464022436,1.0343227256928307,1.143160916619269,0.8685999674802873,1.1342085365468941,0.9731233592592028,0.9202807420936233,0.6132008573501293,1.1900742100577417,1.0379266677151753,0.9103723379046985,0.797716609234215,0.7192192426106416,0.8074518358359456,0.94636226460004,1.1274625163813154,1.0264128060059057,1.234985207937981,1.0564180047547702,0.9532867305242084,0.986817750199712,0.7918859241176333,1.0343993453993046,0.8978783391848447,0.6874208739677904,-0.42076121738345973,0.2077335922193546,9.478531787969727,0.6807586954108901,1.412106528012984,-0.549248428860848,1.8621700988927647,0.4810024340497714,-0.01754936907469969,0.02310827314316524,0.7897478749142631,3.628450471305628,2.7681782644851607,1.255919404192914,11.915015351489755,28.818934375709397,16.595121332434537,2.923271317866911,3.4305546927576414,41.56006708150852,19.49743081910385,1.6075682405632032,0.3892293996964319,0.03928738898300509,-18.387106645895997,-2.313321503085221,-1.8647359971074322,-0.016775161405937544,0.3053301639156079,-0.31173469163975553,2.721556866000951,-4.548234727332009,8.154849149729603
