,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),157.54134070304093,2.0,33.23354045914094,5.808582669865375e-15,0.014045471622046493,0.027080045780615954
C(strategy),5352.102677335335,3.0,752.6884481027614,0.0,0.4771624129725429,0.48601669950134324
C(upstream):C(strategy),46.80204765418644,6.0,3.2909832584153462,0.003155330279690464,0.004172598946073681,0.008200989794719818
Residual,5660.0758811928645,2388.0,,,0.5046195164593369,
