sample,strategy,imputation,best,worst,mean,std,mode,median,count
5,FS,Not Used,1.3807189464569092,3.2791836261749268,2.172895723581314,0.3861598247814615,2.8265366554260254,2.0677417516708374,120
5,LH,Gaussian,1.4593122005462646,1.7698280811309814,1.6645974119504292,0.12204466523594246,1.7660382986068726,1.7395025491714478,30
5,LH,Mean,1.820721983909607,2.129934310913086,1.9388683199882508,0.1231217373551242,1.837915062904358,1.866123080253601,30
5,LH,PseudoFeature,1.1200519800186157,2.19002366065979,1.526832369963328,0.4298151403624207,2.161801338195801,1.2429448962211609,30
5,LH,RealValue,1.2571980953216553,1.8242578506469727,1.5553226033846537,0.21183473553594773,1.7559401988983154,1.6103896498680115,30
5,LH-E2E,Gaussian,1.5699602365493774,2.0539658069610596,1.7925106803576152,0.14572901497211527,1.7452831268310547,1.7816434502601624,30
5,LH-E2E,Mean,1.4667021036148071,2.2222306728363037,1.8822044332822163,0.2721751265365766,1.9859036207199097,1.9336025714874268,30
5,LH-E2E,PseudoFeature,1.151120901107788,2.5405898094177246,1.613936424255371,0.46505447922519144,2.3933005332946777,1.3509694933891296,30
5,LH-E2E,RealValue,1.197568655014038,1.7576745748519897,1.5210812926292419,0.19050820582584868,1.6183669567108154,1.5980348587036133,30
5,MLP,Gaussian,1.5909596681594849,1.7780661582946777,1.6954440434773763,0.05860644174360289,1.7338550090789795,1.712331473827362,30
5,MLP,Mean,1.8025957345962524,2.1214895248413086,1.9274250904719035,0.11882128003439588,1.8776416778564453,1.8625975847244263,30
5,MLP,PseudoFeature,1.10884690284729,2.2115466594696045,1.5146626631418865,0.45227678829295165,2.2115466594696045,1.231158435344696,30
5,MLP,RealValue,1.2387839555740356,1.813719391822815,1.573651651541392,0.2357062024452336,1.7987993955612183,1.6714067459106445,30
5,MLP-E2E,Gaussian,1.749579906463623,2.3888742923736572,2.109105137983958,0.21292290818053008,2.1581356525421143,2.150004744529724,30
5,MLP-E2E,Mean,1.5746984481811523,2.2994165420532227,1.9924831906954448,0.257013789369334,2.127164602279663,2.0761656761169434,30
5,MLP-E2E,PseudoFeature,1.131100058555603,2.1089324951171875,1.488945476214091,0.3311729454556284,1.8891644477844238,1.3072378635406494,30
5,MLP-E2E,RealValue,1.2020506858825684,1.8600364923477173,1.5419068932533264,0.21290162004698743,1.7371736764907837,1.6135140657424927,30
10,FS,Not Used,0.8699200749397278,2.8025455474853516,1.4894461671511332,0.4357521499833003,2.120513677597046,1.3999778628349304,120
10,LH,Gaussian,1.2630919218063354,1.8450332880020142,1.6221089084943137,0.24454411326311284,1.8450332880020142,1.74976247549057,30
10,LH,Mean,1.5803589820861816,2.0470175743103027,1.7676376938819884,0.1927257085265689,1.6806042194366455,1.6805665493011475,30
10,LH,PseudoFeature,0.8824617266654968,1.9822964668273926,1.331947632630666,0.43555930802085313,1.9273426532745361,1.1539797186851501,30
10,LH,RealValue,1.1633225679397583,1.4923930168151855,1.328040877978007,0.12361824701334732,1.3439252376556396,1.341506004333496,30
10,LH-E2E,Gaussian,1.2513140439987183,1.861257791519165,1.6355001648267111,0.25105319671744536,1.8060262203216553,1.7866251468658447,30
10,LH-E2E,Mean,1.2811594009399414,2.0402956008911133,1.6713493108749389,0.2907301946958085,1.700592279434204,1.7133063077926636,30
10,LH-E2E,PseudoFeature,0.9032248258590698,2.218059539794922,1.3886081477006276,0.46818924454785826,2.0826268196105957,1.1489803194999695,30
10,LH-E2E,RealValue,0.8200624585151672,1.5372388362884521,1.0909507354100545,0.27695154434355085,0.8200624585151672,0.9413130879402161,30
10,MLP,Gaussian,1.3690272569656372,1.83226478099823,1.6572100043296814,0.17051199484022247,1.829524040222168,1.7453689575195312,30
10,MLP,Mean,1.5596851110458374,2.042025089263916,1.7515118320782979,0.18788257164228142,1.6764483451843262,1.6762410402297974,30
10,MLP,PseudoFeature,0.9020735621452332,1.9935535192489624,1.348683669169744,0.43997445596333795,1.9539823532104492,1.1470479369163513,30
10,MLP,RealValue,1.137512445449829,1.5699403285980225,1.3413135250409445,0.15186827104949766,1.347678303718567,1.344292938709259,30
10,MLP-E2E,Gaussian,1.4410185813903809,2.2177011966705322,1.8762134671211244,0.26789724937965825,1.992190957069397,2.0046393871307373,30
10,MLP-E2E,Mean,1.3234479427337646,2.130890130996704,1.7612950801849365,0.31121821165022057,1.9273269176483154,1.8765904903411865,30
10,MLP-E2E,PseudoFeature,0.944237470626831,1.9672605991363525,1.3144965549310048,0.34719269801019614,1.7919501066207886,1.1303337216377258,30
10,MLP-E2E,RealValue,0.7988441586494446,1.6052794456481934,1.096483552455902,0.305888533889612,0.9122320413589478,0.9198590815067291,30
20,FS,Not Used,0.7638453841209412,2.1713790893554688,1.2075319558382034,0.36442786727955034,1.5379571914672852,1.0852594375610352,120
20,LH,Gaussian,1.0900074243545532,1.7112339735031128,1.4936600963274638,0.27480449567787185,1.6852420568466187,1.6783474683761597,30
20,LH,Mean,1.4539145231246948,1.8651401996612549,1.6198988238970438,0.17295712098528634,1.4764758348464966,1.5375192761421204,30
20,LH,PseudoFeature,0.8186150789260864,1.7236555814743042,1.1795011341571808,0.36247640350861254,1.6702373027801514,1.0398088693618774,30
20,LH,RealValue,1.1023086309432983,1.3496770858764648,1.2525556127230326,0.09917914635761628,1.309326410293579,1.307071328163147,30
20,LH-E2E,Gaussian,1.0910906791687012,1.5565837621688843,1.3830406705538432,0.19332266555267416,1.505908727645874,1.5028144717216492,30
20,LH-E2E,Mean,1.0728892087936401,1.4112420082092285,1.2250105500221253,0.1040030884851101,1.282061219215393,1.2495113611221313,30
20,LH-E2E,PseudoFeature,0.8172281384468079,1.9090925455093384,1.189873719215393,0.4428251084594944,1.8311952352523804,0.9031020998954773,30
20,LH-E2E,RealValue,0.797554075717926,1.3602676391601562,1.0212389528751373,0.22907432238621367,0.8663758039474487,0.8679967820644379,30
20,MLP,Gaussian,1.20835542678833,1.7058101892471313,1.5325565139452617,0.19602461112101685,1.6596331596374512,1.6550383567810059,30
20,MLP,Mean,1.4435985088348389,1.852887749671936,1.6075192093849182,0.17252581827343724,1.4492828845977783,1.5244901180267334,30
20,MLP,PseudoFeature,0.8262485861778259,1.7517443895339966,1.1953702966372173,0.3713892203429626,1.705587387084961,1.0391163229942322,30
20,MLP,RealValue,1.0896294116973877,1.420825719833374,1.263369905948639,0.12084213300237118,1.309584379196167,1.3030628561973572,30
20,MLP-E2E,Gaussian,1.2494726181030273,1.715003252029419,1.5204055865605672,0.15619972583061437,1.6341434717178345,1.598799228668213,30
20,MLP-E2E,Mean,1.1392624378204346,1.5920380353927612,1.2820155580838521,0.11045089527308098,1.3592809438705444,1.2672268152236938,30
20,MLP-E2E,PseudoFeature,0.8397080898284912,1.7189124822616577,1.1063513994216918,0.3247207897366996,1.4583909511566162,0.8918663263320923,30
20,MLP-E2E,RealValue,0.8056215047836304,1.4307198524475098,1.031357568502426,0.25024619627068356,0.8831122517585754,0.8840068876743317,30
50,FS,Not Used,0.8675507307052612,1.9851086139678955,1.1480593423048655,0.30710072833505003,1.2921463251113892,0.9923826456069946,120
50,LH,Gaussian,1.0020287036895752,1.6263221502304077,1.388911787668864,0.2772018117152085,1.5430588722229004,1.546558678150177,30
50,LH,Mean,1.4048184156417847,1.7939432859420776,1.5857075015703836,0.156822034332284,1.4182249307632446,1.555292546749115,30
50,LH,PseudoFeature,0.8106926083564758,1.5302730798721313,1.1223063170909882,0.28890694533489525,1.4757750034332275,1.0555716753005981,30
50,LH,RealValue,1.031499981880188,1.3355830907821655,1.224815547466278,0.1376342988417899,1.319137692451477,1.3162100315093994,30
50,LH-E2E,Gaussian,0.9955924153327942,1.3940476179122925,1.2394184529781342,0.16210224911098436,1.3329132795333862,1.3323290944099426,30
50,LH-E2E,Mean,1.0455632209777832,1.187117099761963,1.0979030013084412,0.03511663806204179,1.1012909412384033,1.1035505533218384,30
50,LH-E2E,PseudoFeature,0.7966481447219849,1.698187232017517,1.1086756229400634,0.38089038325058017,1.603198766708374,0.8654183447360992,30
50,LH-E2E,RealValue,0.8178783655166626,1.3279868364334106,1.0195318579673767,0.2150063315283852,0.8809924125671387,0.9054388999938965,30
50,MLP,Gaussian,1.074869990348816,1.6232631206512451,1.4179824471473694,0.22226507810479748,1.5355132818222046,1.5410032868385315,30
50,MLP,Mean,1.3961509466171265,1.7900421619415283,1.5758142908414206,0.15718399872465028,1.4111614227294922,1.5446823239326477,30
50,MLP,PseudoFeature,0.8151687979698181,1.6040757894515991,1.1419151922067006,0.305258362759784,1.5229887962341309,1.0560905933380127,30
50,MLP,RealValue,1.0246565341949463,1.4310601949691772,1.2403163194656373,0.15700906781921165,1.3133403062820435,1.3067331910133362,30
50,MLP-E2E,Gaussian,1.1389775276184082,1.4936199188232422,1.3110927104949952,0.11245429504557655,1.3305003643035889,1.3311905264854431,30
50,MLP-E2E,Mean,1.0944925546646118,1.2186557054519653,1.1404059489568075,0.040095330554074424,1.2013832330703735,1.1188747882843018,30
50,MLP-E2E,PseudoFeature,0.8170660138130188,1.5381684303283691,1.070028696457545,0.27213765937465345,1.3717743158340454,0.9267013072967529,30
50,MLP-E2E,RealValue,0.7732811570167542,1.4065842628479004,1.0178351322809855,0.2556242935659336,0.8735787272453308,0.8671473860740662,30
75,FS,Not Used,0.7305329442024231,1.3937371969223022,1.095265540977319,0.125490077461741,1.0785460472106934,1.1051506400108337,120
