SpDiam_A,AATS3d,AATS2s,AATS3v,AATS1i,AATS2i,AATS3i,AATS4i,ATSC8dv,ATSC1d,ATSC8d,ATSC0i,AATSC0c,MATS1c,MATS2s,MATS7s,GATS1c,GATS2c,GATS5c,GATS7c,GATS8c,GATS2dv,GATS5dv,GATS7dv,GATS8dv,GATS1d,GATS3d,GATS5d,GATS6d,GATS7d,GATS8d,GATS2s,GATS6s,GATS6v,GATS3p,GATS5p,GATS1i,GATS6i,BCUTs-1h,BCUTs-1l,BCUTi-1h,BCUTi-1l,RPCG,Xch-6d,Xc-5d,Xc-3dv,Xc-4dv,AXp-1d,SsCH3,SdCH2,SdsCH,SsssCH,SaaNH,SdsN,SsOH,SssO,SdS,SaaS,SddssS,MINaasC,AETA_alpha,AETA_beta_ns_d,ETA_epsilon_5,ETA_dEpsilon_C,IC2,ZMIC2,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA11,SMR_VSA5,SMR_VSA6,SlogP_VSA2,SlogP_VSA3,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,VSA_EState7,AMID_C,TopoPSA(NO),GGI5,GGI7,GGI8,GGI9,JGI3,TSRW10,TASA,Mor02m,Mor10m,Mor11m,Mor12m,Mor16m,Mor21m,Mor22m,Mor23m,iLOGP,Silicos-IT_Log_P,AXp-0d,JGI4,GATS7i,GATS4s,RNCS,AATS7s,ETA_dAlpha_B,GATS3i,GATS4i,GATS6p,Mor30m,GATS2d,Xc-6dv,SMR_VSA1,VSA_EState9,Mor13m,GGI6,EState_VSA5,GATS1v,Mor26m,GATS4dv,AATS6i,Mor03m,ETA_dEpsilon_D,MLOGP,IC1,Ali_Log_S,ESOL_Solubility_(mg/ml),Mor31m,EState_VSA4,Xc-5dv,GATS3dv,GATS1dv,ATSC1dv,SlogP_VSA10,GATS8i,GATS3c,MOMI-Z,GATS5i,AATSC0v,SMR_VSA3,CIC2,CIC1,MATS8s,VSA_EState8,GATS3s,SdssC,GATS6dv,SMR_VSA9,ATSC7d,GATS7p,SdO,SMR_VSA4,SssS,AATS8s,SlogP_VSA4,MAXaaCH,MATS6s,GATS2i,AATS5d,RNCG,SsNH2,GATS2v,PEOE_VSA9,PEOE_VSA4
4.839461542,3.787878788,3.390909091,228.5324078,147.1796749,150.6171579,157.7127406,157.5471253,-4.77734375,5.948242188,-1.061523438,58.36712249,0.01397489853,-0.2495754875,-0.1658202617,0.0172003215,1.182327592,1.246185255,1.133463905,0.9915227988,0.8710952174,0.841361097,1.126852886,1.037747837,1.054312577,0.5734104046,1.230805161,1.083108542,1.071025181,0.9369451056,0.9323746417,1.028766213,1.014141547,1.075745611,0.8922283984,1.00979996,1.072004703,1.118539237,3.05962641,1.43179288,14.69085683,10.96965878,0.1271728419,0.3895195512,0.2749716524,0.3862693728,0.0,0.4339923432,0.0,0.0,0.0,0.0,2.897754472,0.0,0.0,0.0,0.0,0.0,0.0,0.7975373205,0.4761904762,0.0,0.7727272727,-0.08899521531,3.924800876,32.27661356,0.0,15.06663885,4.983978521,6.066367068,36.39820241,0.0,0.0,0.0,25.14929918,0.0,0.0,0.0,0.0,12.39368714,5.362040921,1.614035966,67.35,0.4377777778,0.1771187642,0.06701152683,0.026875,0.02517361111,68.744902,416.4490182,18.1625912,0.5432375962,0.4682079224,1.737758926,0.5708497276,0.06138746374,-0.2431574667,-0.6661725059,1.81,3.42,0.670033492,0.03471264368,0.8791572019,1.023417011,53.53846282,2.905228758,0.02380952381,0.9820893794,1.009621081,1.082922621,0.2107422011,0.9904361534,0.0,0.0,0.0,-1.045147515,0.2277097506,0.0,0.766774918,0.03312699174,1.133780261,159.3377075,-1.931001647,0.02251082251,0.93,2.925608112,-2.82,0.147,-0.03921840821,33.67863691,0.06587175382,1.039106145,0.4987709497,26.32421875,0.0,0.8725859419,0.9519083427,1055.345577,1.017370614,46.0281797,25.14929918,1.075199124,2.074391888,0.03554139831,0.0,0.9485281798,0.0,1.048661144,22.64523548,-1.129882813,0.9741106142,0.0,0.0,0.0,2.760162602,0.0,1.965147392,-0.06752133943,1.268281717,3.483333333,0.1909963421,0.0,0.9234438227,22.42125742,5.098681808
4.848826338,3.495652174,2.954467354,217.3192547,148.4885439,154.9564336,156.9974297,159.1825006,-36.0,14.91975309,-3.561728395,91.83830858,0.01425164682,-0.5025169592,0.2016279898,0.03522916934,1.611680411,1.121534753,1.040639598,1.191607552,1.130587517,0.9092731438,0.8658313908,1.012285554,1.05482794,0.6401190268,1.151004193,0.9995704803,0.9045160161,1.0505197,0.9986234191,0.7223819476,1.089970161,0.9200111328,1.033133869,0.9365699445,1.273040708,1.009188059,3.057290442,1.434148518,14.63947554,10.94639828,0.09344475674,0.5652352563,0.441638319,0.9619196634,0.0,0.430390951,6.223711232,0.0,7.445865085,0.0,3.480510519,4.228406519,0.0,0.0,0.0,0.0,0.0,0.8381679894,0.4774193548,0.01612903226,0.7606060606,-0.06522875817,4.671011113,30.15823057,10.30076712,4.983978521,14.98529578,18.20875424,62.23960296,0.0,27.315968,5.316788604,26.29938345,6.544756406,0.0,0.0,6.544756406,11.34744789,8.24322367,1.607335694,83.3,0.7225,0.5755385488,0.2902730537,0.291882716,0.03732638889,82.90283416,633.9944889,29.42344251,0.8716442058,1.131052016,1.432149594,0.4188119352,-0.2513881744,-0.1137559505,-0.7600180486,0.0,3.76,0.6894086529,0.04625322997,0.9631379061,1.086212904,28.92047703,2.559964727,0.02258064516,1.055806262,1.157269144,0.9082556436,0.2472222515,1.206499555,0.0,0.0,0.0,-1.607888217,0.6540136054,11.12690298,0.8958941687,-0.1455482031,0.9698135198,162.2429162,-3.419458659,0.02971652004,2.45,3.703354099,-4.54,0.0102,-0.08074258167,46.02638289,0.1469872085,1.159156785,0.4638192268,88.0,5.687386275,1.040191426,1.080107949,2149.026985,1.051461552,49.59307996,25.38663948,1.083876389,2.051533403,0.007790212621,6.799987372,1.120536096,0.9490615476,0.964559387,11.38785599,-3.944444444,0.9130021825,0.0,4.992404733,0.0,2.642655367,26.93698721,2.153620492,0.0005662273498,1.139197924,3.1,0.1597759284,0.0,0.8342492746,23.62654039,5.425791397
5.008635141,3.412903226,2.771579431,199.2136073,147.0960267,156.9133286,159.3784206,157.5531245,44.47039557,15.40816327,5.06122449,100.4224909,0.01574823075,-0.2751540405,0.0149525344,-0.09930677768,1.323837456,1.525928202,1.156991004,0.8634870136,0.7638778965,0.9806644077,1.03404136,1.05066548,0.8370136266,0.6308139535,1.166666667,1.081395349,1.230992351,0.9107292747,0.7517199612,0.6749311295,1.164763093,0.9714662444,0.8918131867,0.8462198513,1.403119844,0.9898505025,7.008272534,1.343850104,14.69239096,10.92970797,0.09868344179,0.674685838,0.5136135945,1.009607632,0.0,0.4292459108,2.075821541,0.0,0.0,0.0,0.0,0.0,0.0,5.882335879,0.0,0.0,0.0,0.6479740833,0.4733333333,0.01428571429,0.8123809524,-0.08553201185,4.808618766,32.60149878,14.53668242,19.44429716,0.0,6.066367068,55.78460206,6.606881965,19.38639965,39.83357957,75.28902055,17.76011521,0.0,12.51406169,5.749511833,6.196843572,5.730236915,1.623732213,76.38,1.271388889,0.4444444444,0.3522297808,0.204382716,0.03675766284,87.87697752,664.6460842,22.92103684,1.32652771,0.378965901,1.896691312,-0.01702475692,-0.4200626083,-0.06707575848,-0.712726534,3.66,3.31,0.6793555896,0.03654545455,1.094123157,1.238605335,49.45199308,2.72965322,0.02666666667,0.8817956871,1.067310969,0.9506064234,0.2023129633,1.112178871,0.0,9.531400138,2.075821541,-1.815896137,0.6679365079,5.693927995,0.9779248369,-0.1774301966,0.9163391735,158.8478566,-5.036230522,0.0,1.29,3.576391666,-3.68,0.0222,-0.08977036296,78.98310918,0.1629577072,1.05437614,0.4862824265,92.22650542,0.0,0.9929475273,1.070675212,2724.205579,0.9847424485,49.7950503,29.54826125,1.168661157,2.400888257,0.02910676718,4.250004265,0.9650771388,0.02347896387,1.276869149,28.26427081,-9.326530612,1.217212024,12.58338543,0.0,0.0,2.304340278,0.0,2.057913278,-0.07990210193,1.113994028,3.192546584,0.1835222894,0.0,0.8483989624,11.21062871,5.098681808
4.84886367,3.656565657,3.62988993,232.6788054,147.8576336,153.9753421,158.8206985,159.1756787,20.05890046,7.349932096,-4.259393391,128.7701358,0.01549032751,-0.5376742661,0.03598751821,0.05164021434,1.543132941,0.9282329246,0.8777650361,1.003565555,0.9305926229,0.8361575094,1.156148328,0.8524908636,0.8295561501,0.7401305247,1.005928527,1.06519121,1.023757817,1.079192979,1.022153181,0.5778282529,0.7262785625,0.9065858464,0.9731639697,1.092928705,0.9748353851,0.8122309652,8.002961739,0.6049847703,17.42581788,10.31162892,0.09759523029,0.5652352563,0.2749716524,0.9822172901,0.0,0.4299099009,1.925263429,0.0,7.237568955,0.0,0.0,4.181762676,0.0,0.0,0.0,1.440856245,0.0,-0.6088775295,0.4775729647,0.04838709677,0.8404761905,-0.1201982331,4.81512316,31.83179984,5.316788604,4.983978521,23.76612587,23.47917305,42.82867707,5.13155848,13.46849361,5.316788604,21.31540493,6.544756406,11.63444168,6.544756406,10.69500997,5.008912524,7.98291635,1.493307708,67.51,0.6669444444,0.5130385488,0.3023904006,0.324691358,0.04609929078,82.88111178,521.4002569,27.48782268,0.02029542686,0.5423020925,1.683786806,0.1203656052,-0.008272208518,-0.451531824,-0.5396658437,0.0,4.67,0.6894086529,0.04419753086,0.9322048309,0.5752820316,34.55648829,3.250192901,0.02242703533,1.02585155,0.998355379,1.076638462,0.1169361086,1.054700227,0.0,8.780830095,0.0,-1.006514612,0.696462585,29.80805538,0.798112485,0.01526404539,0.9206167476,159.3611707,-4.410404488,0.01743471582,3.58,3.861316321,-5.49,0.00291,0.348906912,39.76417839,0.1146045727,1.054996823,0.4474048177,53.14073739,13.91238858,0.8781389542,1.112338751,2190.410097,0.9139402322,46.71643133,20.40266096,0.7394656915,1.69327253,0.009572478241,2.165769906,1.065779493,0.9154223356,1.012158678,11.38785599,-8.112267995,1.419179299,0.0,4.992404733,0.0,3.126075571,24.72395449,1.934558389,-0.09491617076,0.9969757034,3.663157895,0.1578605564,0.0,0.8361368736,10.57107519,5.425791397
4.84846034,3.555555556,2.999367842,224.5095143,146.1688725,151.8999972,154.9795386,156.3238166,-37.40058347,9.372566772,-9.028972386,84.79436911,0.01349493528,-0.5367914382,0.02063624676,0.1425932307,1.605557444,1.026886441,1.024601083,1.249043924,0.9545634688,0.9369893347,0.9958392936,0.998869326,1.063139687,0.6449464654,1.023674242,1.141637812,1.094129555,1.231608073,1.16734782,0.9153877665,1.319684022,0.8710982429,0.9762742353,1.110864233,1.134596526,0.9524748865,3.05728196,0.6049850547,14.63943665,10.31162903,0.1044982807,0.5992559472,0.2749716524,0.8562291324,0.0,0.4320955403,1.991639716,0.0,7.557686138,0.0,0.0,4.228838311,0.0,0.0,0.0,1.619959136,0.0,0.8618948413,0.4908045977,0.01724137931,0.7755555556,-0.07265173645,4.533861863,33.13142796,5.316788604,4.983978521,14.98529578,53.8110084,30.69594294,5.13155848,13.46849361,5.316788604,21.31540493,6.544756406,0.0,0.0,0.0,22.68423376,8.373354593,1.590019291,67.51,0.6669444444,0.5130385488,0.2398904006,0.164691358,0.03294573643,80.46990232,611.7259744,27.64460032,0.02180851767,1.06425679,0.742252457,0.2511484296,-0.0101566461,-0.2890510852,-0.5864022038,0.0,3.84,0.676937285,0.04016666667,1.150832861,1.117571291,25.43902669,2.741319444,0.009195402299,1.041303052,1.170314379,1.090015135,0.275387375,1.060349952,0.0,0.0,0.0,-1.106356984,0.5331972789,5.563451492,0.8116679997,-0.1276427752,1.000633914,157.2717485,-4.026870123,0.01639846743,2.82,3.584304619,-5.28,0.0056,0.1799467116,45.37412621,0.1146045727,1.030801425,0.5385371777,51.29797294,5.13155848,0.9772727927,1.078594065,2090.935854,1.094716697,50.00811246,20.40266096,1.020726988,1.970284233,0.02832576314,2.710479527,1.044931333,1.03385855,1.107449855,11.38785599,-12.12222725,1.426756814,0.0,4.992404733,0.0,2.677141788,13.08951281,2.100379751,-0.1557494756,1.089059077,3.578947368,0.1690279862,0.0,0.8623184619,10.57107519,5.425791397
4.832911472,3.277227723,3.503875969,208.1079645,145.2487057,152.868582,159.4887652,159.1539262,-29.56375434,9.655047533,-6.315074694,87.07591279,0.01444978724,-0.586122949,0.2900007613,-0.00825629086,1.614372904,0.9604905337,1.123802496,1.266936745,0.8037005729,0.6900152619,1.113730073,1.01977527,1.024165362,0.8642140921,1.000684215,0.9688840899,0.984142107,1.179139566,1.090948227,0.5549929326,0.867564984,0.9668929306,0.8750426108,0.7973955805,1.235389404,1.047052377,7.014207891,0.2980105395,14.55717173,10.31100078,0.09732883382,0.5997530532,0.2749716524,1.388101507,0.07216878365,0.4338265007,3.775986215,0.0,0.0,0.0,3.2902303,0.0,0.0,0.0,0.0,3.097591329,-3.309492663,0.5573450491,0.505952381,0.0,0.8177777778,-0.1289248763,5.038319437,32.01007426,4.983978521,0.0,28.09182741,12.99010427,25.47729296,0.0,26.81305243,5.752853607,34.10656467,16.56804756,10.02329115,12.29761001,12.24522612,11.33678588,0.5667098363,1.33570882,100.63,0.6838888889,0.6180909864,0.377196712,0.3087654321,0.04565972222,80.42540071,553.5748055,31.92182127,-0.0630462131,0.5465229577,0.3952347066,0.997304713,-0.1030917389,-0.8665326994,-0.7572712575,2.48,5.4,0.7044787097,0.04195833333,1.033303929,1.359429241,23.49708368,2.676363169,0.0,0.8627145148,1.091583973,0.9993169796,-0.2624602182,1.055996723,0.0,8.417796984,-3.309492663,-0.7121389858,0.7741950113,11.33678588,0.8560129174,-0.5432106613,1.127793592,157.7594281,-5.022537656,0.03698412698,0.41,4.019717246,-6.28,0.0123,0.2054449263,37.86947981,0.1110709264,1.098187506,0.5942320026,40.64373019,0.0,1.033896445,1.086684958,3010.037212,0.9953751712,52.50692735,24.65800895,0.516269415,1.534871606,0.05612796893,3.889570084,1.24442414,0.0,1.095390632,21.95893118,-11.58352196,0.83412925,23.97426797,0.0,0.0,2.984889403,6.9237372,2.064991772,-0.06774345629,1.161301083,3.416666667,0.1565948713,0.0,0.8799382887,33.71869792,0.0
4.902346148,3.909090909,3.887860082,235.7354696,147.1889596,150.5716193,153.1917434,157.0609274,27.17013233,10.59924386,-4.850661626,74.48233525,0.02916173558,-0.4949766607,0.04521201485,-0.01119422128,1.486387289,1.046260393,0.8945637726,0.9311638669,0.7987170989,0.8517541176,1.002873503,0.9475536428,0.891158381,0.6291793313,1.255180989,1.065315004,1.179711246,0.995130575,0.9114280033,0.5904261633,1.203174491,0.8907468047,1.070056407,0.89836922,1.035286165,0.9139932815,7.009368063,1.401734117,14.69241021,10.94951956,0.0952698347,0.634753638,0.6297166902,0.7090739295,0.0,0.4298292218,0.0,0.0,0.0,0.0,3.172627551,0.0,0.0,10.86650503,0.0,0.0,0.0,0.3604620607,0.4644444444,0.01666666667,0.8050505051,-0.1140752033,4.540534109,33.15744284,15.20739338,19.6717347,4.681802935,6.066367068,54.59730362,11.49902367,0.0,6.792942306,27.4645853,0.0,5.907179729,12.3522092,39.70116891,48.66141305,1.636103324,1.557415785,112.23,1.288888889,0.4756944444,0.3908100277,0.2493904321,0.04722222222,82.10710869,465.1469369,27.90289226,1.42947192,0.2597373308,2.106107968,0.331449438,-0.2853101583,-0.1876807207,-0.6818815627,2.75,3.13,0.6888187153,0.04190972222,0.9238508864,1.069181278,166.3114418,3.776077098,0.03555555556,1.207620206,1.115894799,0.8724568458,0.4298381929,1.077760892,0.0,14.26826309,0.0,-1.70740037,0.6538321995,4.681802935,0.7707667714,-0.4974652165,1.019626814,157.4430247,-3.705846229,0.05050505051,1.9,3.506544483,-4.4,0.0292,-0.4673191603,5.563451492,0.1275821809,1.000354625,0.4916131253,39.74102079,0.0,0.9634348594,0.8273767777,2093.279906,1.011798497,45.48331132,14.76446326,0.9830278467,2.017017473,0.2294700291,0.1623294823,0.8802461836,-0.5318461614,1.086536255,39.70116891,-8.862003781,1.027985271,24.71311804,5.733667477,0.0,3.900830737,0.0,1.852930653,-0.1244186777,1.106167404,3.472727273,0.1538786109,5.31165637,0.8555152636,22.63869376,0.0
5.014623533,3.65,3.00719246,219.6874826,144.8388578,152.5405354,154.6968957,156.6866838,-58.27895727,17.22037087,-2.948400967,97.66969536,0.01411582004,-0.3566992165,0.05049341764,0.06080921197,1.358289805,1.2642319,0.9526759143,0.8002199202,1.250105082,0.8419966176,0.9947445943,0.9235367654,1.119501509,0.5969404058,1.142888526,1.133757318,0.959038262,0.9735691448,0.8822129467,0.6296649041,0.5089013338,1.063490339,0.9663319512,1.105929266,1.212469863,1.018159063,7.008273069,1.343837143,14.69237363,10.92966136,0.1045499747,0.674685838,0.6844375989,1.030272772,0.0,0.4287931716,3.47790223,0.0,0.0,0.0,0.0,0.0,0.0,6.175691526,0.0,0.0,0.0,0.6198719781,0.4768518519,0.01388888889,0.7981481481,-0.07446040144,4.724777947,34.81406799,9.636772685,19.44429716,0.0,6.066367068,79.06876542,0.0,19.38639965,14.09534397,44.65087521,12.96557803,0.0,5.907179729,17.06247516,37.3248314,5.714453295,1.694984141,73.14,1.111666667,0.5243055556,0.3275384228,0.279691358,0.03904826958,89.06078288,685.2884189,26.52293225,1.678773877,0.4759143069,2.497010411,0.2320451249,-0.316712198,-0.2635333507,-0.6498553789,4.14,4.64,0.6846580312,0.03610169492,0.9856453275,1.838308745,56.74323821,2.522590361,0.02314814815,1.022186978,0.911581462,1.055587651,0.2792573418,1.062484308,0.0,9.531400138,3.47790223,-1.995095772,0.8368707483,5.693927995,0.8935475945,-0.4423888354,1.255788649,155.9839035,-5.335498201,0.0,2.8,3.517966614,-5.34,0.0014,-0.1300212456,52.80408356,0.191540908,1.081396737,0.4383071664,95.29427573,0.0,0.9385346693,1.156356722,2891.606548,1.180391551,49.86598846,24.64835152,1.20595939,2.412770724,-0.02603706995,0.9155404988,0.8954575719,-0.04130506027,0.9166275128,34.01378264,-7.355818328,1.047459293,12.18801804,0.0,0.0,2.68132716,0.0,2.051964949,0.03940090273,1.053194811,3.676258993,0.1891213531,0.0,0.8105015071,11.21062871,5.098681808
4.832087205,3.595959596,3.33240023,222.4636425,145.4544747,151.4510451,155.7660774,157.7326513,13.27391975,9.715277778,-0.07638888889,80.33790092,0.02566272021,-0.5423423379,0.0378510845,-0.02112203811,1.56315811,1.140932247,0.9032349666,1.186500644,0.8600610875,0.9127178814,0.9620575943,0.9783379595,0.9726777466,0.6637198622,1.130891,1.084782274,1.056533658,1.075158859,1.010149254,0.7036757073,1.045760671,1.019999973,0.9196415132,0.9093535495,1.149692263,1.137599562,7.008272213,0.6101356715,14.55672932,10.31169772,0.08888261617,0.7018151258,0.3928227826,0.7990375584,0.0,0.4314657775,1.952277995,0.0,0.0,0.0,3.348289714,0.0,0.0,10.93236962,0.0,1.534617103,0.0,0.6072428409,0.4811111111,0.0,0.8052083333,-0.1062627033,4.678508855,33.97362214,19.77449303,4.794537184,9.967957042,18.19910121,37.25557254,11.49902367,13.46849361,6.792942306,27.6520576,6.544756406,0.0,19.24487844,17.13736782,12.13273414,0.0,1.544432243,89.13,0.7744444444,0.4748795351,0.3817476064,0.2340740741,0.04008838384,82.76115118,558.7091708,32.99708002,1.143065544,0.2962533188,0.6041077112,0.6692323693,-0.03222247175,-0.5703335731,-0.8539439372,2.78,5.51,0.6833808251,0.03689153439,1.110114633,1.419658596,159.4230246,2.90404596,0.01888888889,0.9977120468,1.209575689,1.181391838,0.2517276259,1.076709476,0.0,14.26826309,0.0,-1.439853838,0.6157823129,11.33678588,0.809221746,-0.3811187736,1.079160959,157.6249401,-4.634639296,0.03368055556,1.58,3.872862303,-5.62,0.00715,-0.1430997774,33.40237101,0.0963266143,1.106078644,0.5126343013,53.31095679,0.0,0.9397990846,0.8606452693,3118.226529,1.095369296,48.90457884,20.26872417,0.9064536459,1.712100197,0.04529252885,2.445035208,0.997261901,-0.1497476129,1.018016407,33.45795484,-6.491319444,1.089658123,12.38748025,0.0,0.0,2.96941358,6.9237372,1.990367405,-0.05855874559,1.088266819,3.525773196,0.1605274627,0.0,0.8494276874,12.2386844,0.0
4.818276879,3.505263158,3.312236287,220.3603927,145.2372638,150.6142273,154.6452864,155.3612222,14.99432892,8.595463138,-1.884688091,74.40034618,0.0170240073,-0.269653478,-0.04586740534,-0.04657048201,1.189782636,1.292450751,0.8964784221,0.8070235967,0.9435662025,0.9801925041,0.9552872861,0.8870872404,0.9321438519,0.6831561296,1.133281192,1.06756993,0.9861451049,0.8848363175,0.9963375232,0.7564420335,0.926549612,1.072108108,0.9509612956,0.9902267429,1.078808284,0.9630119569,7.008271862,1.427567332,14.69084662,10.94877953,0.09015818944,0.4048115028,0.2749716524,0.6362155437,0.0,0.4420487077,1.498885423,0.0,0.0,0.0,2.930680267,0.0,0.0,5.416356525,0.0,0.0,0.0,0.6549790798,0.4738095238,0.01785714286,0.7942528736,-0.08759305211,4.756513858,26.92233453,4.736862954,19.86117603,0.0,6.066367068,61.01812524,5.783244946,6.9237372,6.606881965,32.55544757,4.794537184,0.0,12.39012691,5.749511833,12.39368714,5.392220783,1.640647526,80.76,0.8613888889,0.3229520975,0.2262692114,0.112183642,0.02422086721,76.78218309,562.6658015,24.84350472,1.258085386,0.290697516,1.450149492,0.3658094751,-0.2063855443,-0.1551051709,-0.713038085,2.14,4.79,0.6909544362,0.02738888889,1.022034516,0.5962684815,28.17492122,2.760683761,0.02619047619,0.9832045458,1.071201425,1.047841496,0.3040566839,1.156667699,0.0,9.531400138,0.0,-1.358320487,0.4194557823,6.9237372,0.8563924788,-0.1349170259,0.9990449267,157.6523044,-3.220402971,0.01765188834,1.13,3.5254445,-4.13,0.0294,-0.2255061634,33.77213846,0.0761440227,1.168054304,0.5009480565,48.92438563,0.0,1.042534085,1.015371105,1228.460929,1.080224559,48.7209073,20.16532066,0.7670480982,1.998117456,0.03008587098,1.572168719,1.340935981,-0.01179028347,0.9717359413,39.52165029,1.801512287,1.062833167,11.03836416,0.0,0.0,2.718706048,0.0,2.016593259,-0.02482699162,1.136171152,3.22,0.2313568702,0.0,0.9013067383,11.38785599,5.098681808
