upstream,strategy,imputation,mean_pct_gain,median_pct_gain,count,mean_pct_gain_pct
2,LH,Gaussian,-2.493693849446021,-2.4155835860238497,50,-249.3693849446021
2,LH,Mean,-0.838209089631643,-0.7959187481462462,50,-83.8209089631643
2,LH,PseudoFeature,-1.567630427530685,-1.4408640743855836,50,-156.7630427530685
2,LH,RealValue,-0.4745366872057425,-0.43065899023232723,50,-47.45366872057425
2,LH-E2E,Gaussian,-3.494390941844839,-3.7318448526029027,50,-349.4390941844839
2,LH-E2E,Mean,-1.2448146446406683,-1.0263696285742077,50,-124.48146446406683
2,LH-E2E,PseudoFeature,-0.8710643500600201,-0.32563458918569077,50,-87.10643500600202
2,LH-E2E,RealValue,-0.34352306609724403,-0.23872004760262341,50,-34.3523066097244
2,MLP,Gaussian,-5.009191513331375,-4.867158413915938,50,-500.9191513331375
2,MLP,Mean,-5.250869331272911,-5.026411076538869,50,-525.0869331272911
2,MLP,PseudoFeature,-4.671029106060182,-4.589088554280119,50,-467.1029106060182
2,MLP,RealValue,-3.9606226750184588,-3.8207665757785936,50,-396.0622675018459
2,MLP-E2E,Gaussian,-4.24295902436593,-5.082208622526559,50,-424.29590243659294
2,MLP-E2E,Mean,-4.327806339727728,-5.105972524631492,50,-432.7806339727728
2,MLP-E2E,PseudoFeature,-3.1810929842974134,-3.218446509299209,50,-318.10929842974133
2,MLP-E2E,RealValue,-1.950300723773848,-1.8941623538241934,50,-195.0300723773848
3,LH,Gaussian,-2.4313185179618135,-2.362156968178021,50,-243.13185179618137
3,LH,Mean,-0.7569864368985334,-0.7368290040824652,50,-75.69864368985334
3,LH,PseudoFeature,-0.6813763842838267,-0.766580277063319,50,-68.13763842838267
3,LH,RealValue,-1.5324205067054049,-1.4748516963992286,50,-153.2420506705405
3,LH-E2E,Gaussian,-0.712033894771052,-0.7753958338905593,50,-71.20338947710519
3,LH-E2E,Mean,-0.928002314430926,-0.7364768238532535,50,-92.8002314430926
3,LH-E2E,PseudoFeature,-0.6632236379593616,-0.6614123725237466,50,-66.32236379593616
3,LH-E2E,RealValue,-0.9139040642133028,-0.5418818446132799,50,-91.39040642133028
3,MLP,Gaussian,-5.382189320220487,-5.199921173608888,50,-538.2189320220486
3,MLP,Mean,-4.7596653834376035,-4.589917319289125,50,-475.96653834376036
3,MLP,PseudoFeature,-4.136195181067452,-4.052442906759811,50,-413.61951810674526
3,MLP,RealValue,-4.778561026012854,-4.668734323581763,50,-477.8561026012854
3,MLP-E2E,Gaussian,-4.020009206392618,-4.534988606337926,50,-402.0009206392618
3,MLP-E2E,Mean,-3.224973496175338,-2.9709840892923296,50,-322.4973496175338
3,MLP-E2E,PseudoFeature,-1.890506170898241,-1.751499021368921,50,-189.0506170898241
3,MLP-E2E,RealValue,-2.865363232046436,-2.8574002171015094,50,-286.5363232046436
4,LH,Gaussian,-2.122048047549317,-2.0747802812532683,50,-212.20480475493167
4,LH,Mean,-1.3025026484597368,-1.2645420962127796,50,-130.25026484597367
4,LH,PseudoFeature,0.11897245153625052,0.10973037733985083,50,11.897245153625052
4,LH,RealValue,-0.22417051455355064,-0.22734251659715896,50,-22.417051455355065
4,LH-E2E,Gaussian,-1.6171121038722145,-1.3906798808087741,50,-161.71121038722146
4,LH-E2E,Mean,-0.6974457277421746,-0.8282143303997995,50,-69.74457277421746
4,LH-E2E,PseudoFeature,0.033902506198204854,0.0726999451266706,50,3.3902506198204856
4,LH-E2E,RealValue,-0.08256867337106615,-0.07328526377510698,50,-8.256867337106614
4,MLP,Gaussian,-5.381118577012577,-5.183959230065572,50,-538.1118577012577
4,MLP,Mean,-5.0370353260889935,-4.82996940166839,50,-503.70353260889937
4,MLP,PseudoFeature,-2.6329980762524925,-2.4984368715716174,50,-263.29980762524923
4,MLP,RealValue,-4.764746791566698,-4.620060457987514,50,-476.4746791566698
4,MLP-E2E,Gaussian,-4.385156485732728,-5.2074085659951805,50,-438.5156485732728
4,MLP-E2E,Mean,-2.761269617607858,-2.68725283908973,50,-276.12696176078583
4,MLP-E2E,PseudoFeature,-0.7888295784353042,-0.13793996885588106,50,-78.88295784353042
4,MLP-E2E,RealValue,-2.2744455260837895,-2.46886971998335,50,-227.44455260837896
