,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),79.92497171763141,2.0,43.66799490938675,2.080103011317512e-18,0.03616969897817886,0.1293222797769302
C(strategy),1561.1306553348795,3.0,568.6286696552982,2.581901900667838e-173,0.7064829008455362,0.7436664255757522
C(upstream):C(strategy),30.56172196695809,6.0,5.565924685758813,1.2564524741116917e-05,0.013830574600701645,0.05374281842842635
Residual,538.1044340080882,588.0,,,0.2435168255755831,
