sample,strategy,imputation,upstream,best_tl_rmse,best_st_rmse,abs_gain,pct_gain
5,LH,Gaussian,2,1.36319858736402,0.966070211758308,-0.397128375605712,-0.4110761006520568
5,LH,Gaussian,3,1.1863657707164224,0.966070211758308,-0.22029555895811437,-0.22803265878280496
5,LH,Gaussian,4,1.2824275928825228,0.966070211758308,-0.31635738112421485,-0.32746831159240974
5,LH,Mean,2,1.2160501463008042,0.966070211758308,-0.24997993454249623,-0.2587595927293081
5,LH,Mean,3,1.2154582088230872,0.966070211758308,-0.2493879970647792,-0.2581468655480822
5,LH,Mean,4,0.9625557670350454,0.966070211758308,0.0035144447232625664,0.0036378771237196707
5,LH-E2E,Gaussian,2,1.2615954775371283,0.966070211758308,-0.2955252657788203,-0.30590454211495244
5,LH-E2E,Gaussian,3,1.0671368242123167,0.966070211758308,-0.10106661245400872,-0.10461621859767438
5,LH-E2E,Gaussian,4,1.2761355123609561,0.966070211758308,-0.31006530060264814,-0.32095524406896886
5,LH-E2E,Mean,2,1.091584527241819,0.966070211758308,-0.125514315483511,-0.12992256044730655
5,LH-E2E,Mean,3,1.119145749610744,0.966070211758308,-0.153075537852436,-0.15845177295533103
5,LH-E2E,Mean,4,0.9242034215477312,0.966070211758308,0.04186679021057682,0.04333721265908474
5,MLP,Gaussian,2,1.3996240661848278,0.966070211758308,-0.43355385442651984,-0.44878089516643394
5,MLP,Gaussian,3,1.094965293131209,0.966070211758308,-0.12889508137290107,-0.133422063742452
5,MLP,Gaussian,4,1.418564369509093,0.966070211758308,-0.45249415775078505,-0.4683864094383135
5,MLP,Mean,2,1.1519703448266996,0.966070211758308,-0.1859001330683916,-0.19242921560539764
5,MLP,Mean,3,1.219307460509515,0.966070211758308,-0.2532372487512071,-0.26213130854153915
5,MLP,Mean,4,0.9201705170743668,0.966070211758308,0.04589969468394117,0.04751175859195665
5,MLP-E2E,Gaussian,2,1.2044905291605341,0.966070211758308,-0.23842031740222613,-0.24679398505444683
5,MLP-E2E,Gaussian,3,1.0851329290450673,0.966070211758308,-0.11906271728675932,-0.12324437275636287
5,MLP-E2E,Gaussian,4,1.2742825879814628,0.966070211758308,-0.3082123762231548,-0.3190372422954529
5,MLP-E2E,Mean,2,1.0777815077397401,0.966070211758308,-0.11171129598143215,-0.11563475886303401
5,MLP-E2E,Mean,3,1.1079211573564798,0.966070211758308,-0.1418509455981718,-0.14683295672681412
5,MLP-E2E,Mean,4,0.9537978159013176,0.966070211758308,0.012272395856990359,0.012703420214824587
10,LH,Gaussian,2,1.1357881623560948,0.9087907724740993,-0.22699738988199547,-0.24977959367260733
10,LH,Gaussian,3,1.2438522713981135,0.9087907724740993,-0.33506149892401416,-0.3686893717151639
10,LH,Gaussian,4,1.1731983110269886,0.9087907724740993,-0.26440753855288923,-0.2909443477656183
10,LH,Mean,2,1.1117135897361268,0.9087907724740993,-0.20292281726202743,-0.22328881785362842
10,LH,Mean,3,1.0100340173229523,0.9087907724740993,-0.10124324484885294,-0.11140434951075429
10,LH,Mean,4,1.0108225817895318,0.9087907724740993,-0.10203180931543243,-0.11227205689782722
10,LH-E2E,Gaussian,2,1.0122342947616403,0.9087907724740993,-0.10344352228754095,-0.11382545402163961
10,LH-E2E,Gaussian,3,0.9506919732038938,0.9087907724740993,-0.04190120072979442,-0.04610654289074949
10,LH-E2E,Gaussian,4,0.9080703005558428,0.9087907724740993,0.0007204719182565267,0.0007927808468995653
10,LH-E2E,Mean,2,0.8110317096075748,0.9087907724740993,0.09775906286652458,0.10757048357828779
10,LH-E2E,Mean,3,0.8962074671617138,0.9087907724740993,0.012583305312385495,0.013846207172778178
10,LH-E2E,Mean,4,0.8683294760921062,0.9087907724740993,0.04046129638199314,0.04452212501216422
10,MLP,Gaussian,2,1.0518521553031412,0.9087907724740993,-0.1430613828290419,-0.15741949320146642
10,MLP,Gaussian,3,1.2585950253715579,0.9087907724740993,-0.34980425289745853,-0.38491175691094287
10,MLP,Gaussian,4,1.134095252236049,0.9087907724740993,-0.22530447976194967,-0.24791677753128913
10,MLP,Mean,2,0.9932202146614663,0.9087907724740993,-0.08442944218736692,-0.09290305837669932
10,MLP,Mean,3,1.0107655507771742,0.9087907724740993,-0.10197477830307489,-0.11220930206570862
10,MLP,Mean,4,0.9754279672396962,0.9087907724740993,-0.06663719476559682,-0.07332512255178734
10,MLP-E2E,Gaussian,2,0.9678812846538943,0.9087907724740993,-0.059090512179794996,-0.06502103010897273
