SpDiam_A,AATS5d,AATS7s,AATS8s,AATS1i,AATS2i,AATS3i,AATS4i,AATS6i,ATSC1dv,ATSC8dv,ATSC1d,ATSC7d,AATSC0v,MATS6s,MATS7s,MATS8s,GATS2c,GATS3c,GATS8c,GATS1dv,GATS3dv,GATS4dv,GATS6dv,GATS7dv,GATS8dv,GATS1d,GATS2d,GATS5d,GATS2s,GATS3s,GATS4s,GATS6s,GATS1v,GATS2v,GATS5p,GATS6p,GATS7p,GATS1i,GATS2i,GATS3i,GATS4i,GATS5i,GATS7i,GATS8i,RNCG,RPCG,Xc-3dv,Xc-5dv,Xc-6dv,AXp-0d,SdssC,SsNH2,SdO,SssO,SssS,SaaS,SddssS,MAXaaCH,AETA_alpha,AETA_beta_ns_d,ETA_dAlpha_B,ETA_epsilon_5,ETA_dEpsilon_D,IC1,CIC1,CIC2,ZMIC2,PEOE_VSA1,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA10,EState_VSA4,EState_VSA5,VSA_EState8,VSA_EState9,AMID_C,TopoPSA(NO),GGI6,GGI7,JGI4,RNCS,Mor02m,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,MOMI-Z,MLOGP,ESOL_Solubility_(mg/ml),Ali_Log_S,AATS3d,AATS2s,AATS3v,ATSC8d,ATSC0i,AATSC0c,MATS1c,MATS2s,GATS1c,GATS5c,GATS7c,GATS2dv,GATS5dv,GATS3d,GATS6d,GATS7d,GATS8d,GATS6v,GATS3p,GATS6i,BCUTs-1h,BCUTs-1l,BCUTi-1h,BCUTi-1l,Xch-6d,Xc-5d,Xc-4dv,AXp-1d,SsCH3,SdCH2,SdsCH,SsssCH,SaaNH,SdsN,SsOH,SdS,MINaasC,ETA_dEpsilon_C,IC2,PEOE_VSA2,PEOE_VSA3,PEOE_VSA7,PEOE_VSA11,SMR_VSA5,SMR_VSA6,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,VSA_EState7,GGI5,GGI8,GGI9,JGI3,TSRW10,TASA,Mor10m,Mor11m,Mor12m,Mor16m,Mor21m,Mor22m,Mor23m,iLOGP,Silicos-IT_Log_P,pIC50
4.876664293,3.446428571,2.713833492,2.589976983,145.560325,150.7520497,156.5390026,155.8494569,157.8136342,56.75805391,0.8027613412,9.136094675,-6.461538462,50.40263578,-0.03525356625,0.09928470844,-0.0421398553,1.307613246,1.182502241,1.179218062,0.5338529013,1.102882377,1.046089306,1.07260214,1.033053036,0.9775824878,0.7010103383,1.131203008,1.113827538,0.8845624423,1.21797018,0.9211550059,1.058993957,0.8105966151,0.8869107625,1.108727882,0.9473605507,0.9889785624,1.106744432,1.255474299,0.9948518972,1.041741393,1.142098622,0.9807791387,1.024371889,0.1626234389,0.0779721243,0.915641771,0.07129411522,0.0,0.6848636974,0.6790551438,0.0,0.0,0.0,0.0,0.0,0.0,2.03988502,0.4916666667,0.015625,0.008333333333,0.7686868687,0.01464646465,3.475031166,2.225408552,1.169396833,36.57587505,5.316788604,5.098681808,42.54970879,23.27208584,0.0,24.73242031,0.0,22.51475897,29.72092241,6.544756406,6.9237372,5.687386275,44.92947468,0.0,2.431664893,0.0,1.63637924,68.52,0.7413151927,0.474029195,0.0381678487,21.57365644,28.00048187,-3.436424346,-1.251029408,-0.348939037,0.5026020939,-0.3174309568,3201.186331,2.13,0.00305,-5.59,3.1341755430513616,3.717145517384618,232.42774085892196,-3.0621012845032958,59.33544982697529,0.023193721727729523,-0.5671652177747579,0.05536212637825577,1.6443251841953903,0.9807604349563697,1.0630250427122334,1.0142679041651241,1.0323751650244803,0.9357013790074474,1.115007653814331,1.110414452811539,1.111086877548732,1.0769150492488677,1.006580834178202,1.1473055979545723,6.496839679018468,1.2768693498550676,13.770913887424596,10.918248343553554,0.569167762321654,0.33063285278929266,-0.030177473020651522,0.437987992283872,3.6606985829671537,0.431245801783929,1.2582615636240884,0.053645698240891326,0.02222639666972226,-2.8888461561014815,1.621460920603882,-1.6157412131443492,-0.18296275181156701,-0.13187687540796653,4.586254591242167,9.052068876777165,6.81001272747724,41.16809304022412,0.8157321391872374,32.655228352601256,10.568758965010364,-6.307687038064087,4.404604008592872,21.278835693528116,24.330636670108575,4.464691248826104,1.1562719498236844,0.24754124105210873,0.2247320826741731,0.037369915582571134,74.53945615051873,631.9939970025476,1.1674621064707822,1.0859491959342542,1.0653329511432514,0.08097921653148737,0.2182695778629708,-0.19372865114090707,-0.9319625475665039,1.9280342222340456,5.414441042093058,8.486031614450445
4.903407469,3.638554217,2.775983348,2.513594118,143.9205754,148.497033,155.7072841,157.6903983,156.1471078,47.5648778,-49.07432603,8.611111111,-11.11111111,49.36971113,-0.3256048181,0.007166955336,-0.2231714005,0.928830155,1.359112878,0.8892957006,0.4925806497,1.046212291,1.096330246,1.262825586,1.087030257,1.06378838,0.6357555488,1.046116046,1.09849187,0.806176138,1.059650804,1.134986036,1.36756626,0.7586816813,0.8736319481,0.9087220074,0.7062011674,0.9363242298,1.097914098,1.162316982,1.069299139,1.153244123,1.001694662,0.9636005185,0.945521376,0.1884334693,0.1109721935,0.7609291239,0.09332482137,0.0,0.6747025075,0.6099706843,0.0,0.0,0.0,0.0,1.623420283,0.0,2.091736636,0.4938271605,0.01851851852,0.006172839506,0.7666666667,0.01728395062,3.421298286,1.971019137,1.017358475,31.3110809,5.316788604,0.0,24.26546827,21.41454618,0.0,15.28474565,4.992404733,0.0,15.80357683,0.0,13.08951281,11.37477255,44.70847628,0.0,1.966259719,0.0,1.645994822,64.27,0.4734240363,0.3871527778,0.03834795322,20.66219208,30.25372769,-4.349804826,-1.364894195,-0.2638964467,0.3145197949,-0.1177401881,2341.143937,2.83,0.00211,-5.7,3.5455016278684477,3.383415508141851,218.00508797795376,-3.482676992555366,80.59813000526424,0.025592776601134785,-0.36104675192151736,0.21910914509161333,1.1476089781612533,1.1421048471234716,1.1504916275795496,0.8947252070151354,1.180618615711947,1.1586985721867316,1.4247296998267944,1.1702922705425083,0.9930417136737664,1.0900555595573853,1.1661622307690565,0.8951427099408532,6.013770045815134,1.2730008544367577,13.986542497710666,10.625638354574075,0.6134036639800045,0.6269801383587486,0.0796894441083698,0.42614276534116424,2.3735300789733875,0.09857126745423764,-1.0455196170009993,0.06945486994813835,0.011061929030928841,1.3449710749522312,-3.669795245990133,0.8550790498288164,0.9063155893499468,-0.0931026191057933,4.353372424459797,14.880795397686693,15.014092889969715,56.935429549552964,-1.004031919487125,28.483661409336896,16.389428178371677,-1.1356071525057354,-7.366685110020163,7.080028752153994,16.70372889175055,5.840984480284296,1.0916472254315164,0.27882894769810007,0.06491150499261639,0.04214364837286488,79.61168468393439,618.1947004028459,0.7106754871620453,1.020999284329974,0.7193751645093399,0.7945261330233548,-0.4193217521070475,-0.2540630332480046,-1.076017125055358,1.0145231382270592,3.6808671504578605,7.773759430246415
4.853464981,4.1,5.453186535,4.534979424,147.4612651,157.7221058,159.9476082,159.1225334,162.9607215,40.2265075,-81.96755433,3.752066116,-11.12396694,43.86052541,-0.02532760127,-0.2289025083,-0.337053202,1.066337923,0.6916775797,0.8996855229,0.3964611406,0.7824128347,0.8466251836,1.087901579,1.329232471,1.56203012,0.9346405229,0.9322033898,1.175490196,0.3591895554,0.4570906609,0.8341697233,1.049784255,0.7117645346,0.7793836392,0.9520079746,1.339381988,0.9366503436,0.8505278771,0.7492637709,0.5185500431,0.9734528773,0.9434064182,1.424684863,1.45619129,0.1746651557,0.2350145504,0.8991335537,0.1350287976,0.003018408053,0.7040406978,0.0,0.0,0.0,0.0,0.0,2.703659126,0.0,1.810150227,0.4843253968,0.0,0.01567460317,0.903047619,0.02512698413,3.995024711,1.049369409,0.4928685608,36.71808007,4.983978521,13.17124514,6.066367068,21.4210879,13.17124514,19.93591408,0.0,21.95893118,19.93591408,6.176298517,6.9237372,13.17124514,15.91054863,22.67357176,1.792035689,0.0,1.332445565,54.46,0.7413151927,0.5721017574,0.05052380952,31.96666154,30.5186832,-6.198717848,-0.5802035465,-0.309865363,0.155164361,0.1592967637,2275.114305,2.09,0.00251,-6.27,3.642499473847366,3.6360405180249575,233.20342587032098,-13.18257041307331,66.3535349223062,0.012644741127549312,-0.2322990262758655,0.00032520422206851196,1.5061812540846453,0.9732766548236635,1.1211493065734726,0.8702425595361762,0.9976252192092339,1.0264396329041041,0.9685523671665309,1.2420665784316005,1.0798878938291017,0.8920060460037934,1.0468310588404044,0.8841987312222597,6.510321678480073,0.8461322878232314,15.450915320243565,10.572099810425035,0.6156249564151944,0.3605152599673369,0.08331803970201518,0.4227651391386298,5.175718351773787,-0.1559527674514957,-3.9362842828402522,0.03870908156430366,3.517068999774721,1.5678693803917128,2.102307463402317,1.4764466501262516,0.3839364109084995,-0.08955278022561886,4.521944089252373,12.56586163946507,15.929984651681046,57.78249329988175,2.4281564275187804,22.112937173856153,3.321475456118173,10.507053212762543,6.605828826081131,6.359401169170506,12.775404867889941,9.616418388296783,0.8103447217088756,0.29186812981607335,0.16919059577160128,0.036842932417380306,77.55685807502061,544.1493801636933,0.027016089971050428,0.910754283436565,2.964107368695716,-0.43365974230354704,-0.5053759506520206,-0.3507698500932283,-0.8485449212156391,2.210233876129284,2.743017787992146,7.937784534131803
5.000147947,3.865979381,2.356688122,2.087254445,144.0134583,150.126197,156.8461685,153.5723163,156.7137158,67.91639792,-38.35570779,12.73336939,-20.64196863,51.04803271,-0.1398244797,-0.1165371515,-0.1514373106,1.314057055,1.162451852,0.7989429637,0.4318447912,1.122979597,1.142759713,1.240392507,1.226162045,1.006643446,0.5602350279,0.9656629185,1.277430991,0.802777227,1.07024599,1.104286557,1.264429857,0.8150876153,0.8248936248,0.9894774431,0.9625365914,1.045596152,1.098254068,1.20195393,0.9005178782,1.026477864,1.254770926,1.006670644,0.9886050964,0.1910926599,0.08464523789,0.8170731478,0.2038753515,0.0,0.679730678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125990226,0.4928571429,0.01923076923,0.007142857143,0.7879120879,0.0,3.544039244,1.882225511,0.7536365571,27.68479521,0.0,5.098681808,29.8000411,21.92719002,0.0,19.74844179,0.0,22.51475897,19.74844179,12.96557803,6.9237372,0.0,47.37110857,16.82083098,2.883960967,0.0,1.710001269,43.6,0.6131972789,0.4288548753,0.04044973545,9.627587987,20.78246748,-2.909144122,-1.147689069,-0.4462850492,0.3119019792,-0.02368572528,2177.837598,3.15,0.00255,-4.76,3.3577955325365814,2.748537686373742,211.61937664662548,-14.365385254410103,89.23445670165634,0.02110901375976445,-0.3398209698004817,0.1856618740035751,1.615853640684349,1.003826823552002,0.9246460728839723,0.8385683396009028,1.0794412966026299,1.050578146569031,1.3742253690762858,0.913706392651617,0.7436107424711582,0.87157940353535,1.0801671760094946,0.8110256992146772,6.462652399008473,0.7131405682946484,17.545199245716876,10.696423143569278,0.6832150631489987,0.11998146096936668,0.06806981158063499,0.44201244543226886,1.105787978913732,0.3241136435740914,1.324055487744866,0.29352202109923964,2.431318064465792,1.1830955639183287,1.7127319796101665,0.21843390780540428,0.3814993943127239,-0.09054422138501154,4.353024144222079,9.437418587144151,-1.8705601272511228,41.54477199675558,-1.138991616102202,11.261645484902573,10.5879251868967,-4.553205903695732,7.235209391049823,30.30765480383821,12.308576582941047,6.714767590020288,0.6155033330541204,0.29974745704241834,0.14226223470210642,0.04303859387141256,77.34360601055423,466.7112718743206,0.6472110153723838,0.5868818545192672,1.7483287146013322,0.38350407300470507,-0.4085767698081746,-0.3934980378670788,-0.6391746504385031,2.942000707719593,5.288922166055482,7.744745719860509
4.818141123,3.094827586,2.709876543,2.687134503,147.0512604,153.298533,156.1439246,155.2239887,159.1124828,42.68319877,-22.8769704,7.98615917,-3.813148789,48.51601673,0.08922032047,0.05678877165,-0.0753821893,1.411693982,0.9917209535,0.8696566776,0.5717269661,1.142848717,1.003537061,0.9344976561,0.9230159947,1.032606284,0.6499575191,1.171505828,0.9330688044,1.094830353,1.065979522,0.9966995856,0.8165135332,0.8670340307,0.8997839579,0.9596107075,0.9400515136,1.081529766,1.228519539,1.067066962,0.9167204453,1.137439012,0.9905744916,1.028564315,1.097846121,0.2060016448,0.07931789153,0.5972872317,0.0761440227,0.0,0.6736212297,0.0,0.0,0.0,5.829180599,0.0,0.0,0.0,2.061706428,0.4752688172,0.01612903226,0.0247311828,0.7864583333,0.0156922043,3.502965363,2.169459979,0.7946926473,29.22376832,9.303962602,5.098681808,6.066367068,24.25993247,4.736862954,29.71639883,0.0,39.52165029,36.32328079,6.544756406,0.0,0.0,46.0664067,0.0,1.342149728,0.0,1.62492247,81.51,0.4251247166,0.2830569728,0.02094315245,58.60524924,29.97570609,-3.466205219,-1.430672584,-0.1871286353,0.5062090867,-0.2306665933,1149.515575,1.06,0.0199,-4.12,3.365369996494136,3.0777397753814797,189.80034442109292,-2.569942603327645,79.25878932817272,0.02090523587975133,-0.31203791980722023,0.08057607334834731,1.214806376649325,1.2884757806975686,1.0617543989703415,0.8865722367970124,1.0729422437830658,1.052465758907795,1.369235632782484,1.0653096067746852,0.45191712641984894,0.882132869235853,0.9669977798171085,0.9397086461783823,2.0438897037040324,2.017204750267389,14.26121992311519,10.719008625649469,0.4567635691697449,0.39188800291981285,0.04444466806662603,0.42498464376138645,2.161478662282416,-0.2648376830123738,2.7965014581258374,-0.1083353368814247,1.5162792490816357,-4.348276157677928,-1.034677829618107,1.1608761050183891,0.8727807993059272,-0.10042135518353816,4.618250619603554,11.937469191051202,5.505310590778393,64.58484968597371,7.140275158649631,6.420440036001494,-0.4092231145606071,2.4176593017132704,13.908978842270365,23.286836210854418,9.9003782625641,8.341625434314226,0.33654737508248167,0.3449410802957881,0.1567512483343555,0.05526728746986878,87.61743068450335,599.4840982890385,0.3382377676240992,0.19619821797781833,1.2377181439976468,0.75575310500096,0.08472800777241535,-0.40205208498197975,-0.7982805460171317,3.079140836445616,4.208325807597025,7.331662110869738
4.84862861,3.292682927,2.714285714,2.789990421,150.1287662,155.577371,160.8336168,160.1316994,162.70947,75.49586777,-30.43801653,11.33190083,-7.836033058,47.59726111,-0.06916580264,0.03184452403,-0.01353165484,0.9914120486,1.168480885,0.8860151522,0.4701755915,1.19744908,0.9728418609,0.9851563148,1.02001469,0.9872794965,0.7054229688,1.158493597,1.076028109,0.5717072487,1.302360769,0.6744874859,0.8858995568,0.871503092,0.9051268693,1.105722788,0.9531900847,0.8993950898,1.310822657,1.247799371,0.9763069501,1.060873201,1.137021822,0.919064009,1.021017094,0.134539768,0.07868413042,0.8586399347,0.06365387513,0.0,0.6904812668,0.8135728293,0.0,11.20180083,0.0,0.0,0.0,0.0,1.98359253,0.4707070707,0.0303030303,0.02929292929,0.7768518519,0.04335016835,3.765946344,2.01541337,0.9461654549,30.46303494,15.61755573,5.425791397,12.14238718,23.62654039,4.794537184,25.38663948,4.992404733,11.38785599,32.20656318,11.33929359,13.08951281,11.37477255,51.71376917,13.26227256,3.944364098,0.0,1.520040716,112.4,0.6931972789,0.6067885488,0.04250591017,33.07316149,31.70917809,-3.795521347,-1.560207532,-0.2816104061,0.3924517219,-0.1512194368,2114.754709,1.49,0.0997,-3.54,3.707770290320343,3.4139362066699577,216.06589066205783,-3.4668561913743376,90.24458048688999,0.02265946796107072,-0.5144512634273908,0.0574578798897398,1.305205255516527,1.0849747782513377,1.0941515491062823,0.8855172173875445,1.0451563650789495,1.0033109190065117,1.0755663615157767,1.1497754014180803,1.0229419450074944,1.1052172736598207,1.0379450841525972,0.9340364298664288,6.8695858042378335,0.9429216768351799,14.895514901664813,10.982762135933958,0.4865672390179355,0.38958725429126767,0.02048854026716073,0.43322068269136366,5.147700887851603,0.06890324088832638,5.1441093501043245,0.029765717714244168,2.1499201983987803,-1.3079327056540029,2.77730891061697,-1.0932302763814064,0.5996539521094657,-0.06163016297624498,4.368300762061697,8.94041346954954,3.654104832459809,3.745745136864109,-2.1872334691001063,9.667896212808536,24.06058809609008,2.5795735389297314,3.7096366326173156,21.267663687237917,26.42207869089386,4.787163571364581,0.8224293368995266,0.2683153651803299,0.07582939596124633,0.05024335661496744,88.81228100855897,477.8334565099669,1.0298054496387075,0.6432513823745527,1.7900051867055025,-0.00349954444309053,0.20584705133358772,-0.14172060696797514,-0.8775458926145467,5.191032716675439,5.597075983799897,8.59844737573583
4.874959471,3.341463415,2.80839895,3.054613936,148.1175792,151.9245659,158.2982398,158.696275,161.1531869,58.86419753,5.827160494,11.32441701,-3.121056241,47.983974,-0.1184005841,-0.05952935236,0.1569820465,0.955881863,0.9643030855,0.6810049159,0.4928064814,1.151037647,1.066814244,1.04828938,1.015392516,0.9283487331,0.688132401,1.158783241,1.122177974,0.5353549235,0.9824538378,1.013548257,0.9170307425,0.808654492,0.9098394126,1.045308634,0.9447017455,0.9154061091,1.186259354,1.227336624,0.9725137957,1.143224984,1.111315097,0.9664313761,0.9440686449,0.1360091594,0.08937926059,0.8291328182,0.08505527698,0.0,0.6904812668,-0.4665311897,5.391845875,11.46922204,0.0,0.0,0.0,0.0,1.986135868,0.4737373737,0.01515151515,0.02626262626,0.7531531532,0.05492765493,3.632603077,2.122284425,0.9624846009,32.00740331,16.0344346,0.0,18.19910121,34.65994183,4.794537184,24.9198926,5.733667477,22.64523548,30.82707233,6.544756406,6.9237372,5.687386275,50.88435568,0.0,2.382704181,0.0,1.598107469,122.47,0.6156462585,0.6198625283,0.0446875,32.24398834,28.93837283,-4.334610185,-1.809740532,-0.1644850658,0.3809179098,-0.3172304735,2131.473555,0.81,0.0228,-4.64,3.70805701665607,3.471260020314342,223.63324140600906,-6.603155839223294,87.12117556282715,0.019386212650956008,-0.6654596697403998,0.11356718086513942,1.6718813547211613,0.8986003785912765,0.7836365810110957,0.8865740067873749,1.0028193691559997,1.142251386227925,1.0475033775075133,1.1668897708250858,0.7909916633653492,0.9332743254082554,0.8783893234017537,1.0348607390238058,4.249383857939509,1.3684395325832448,16.38917833916091,10.888991195451576,0.7853619504650441,0.5817968897828668,-0.01227320471114918,0.4326202619091069,5.735546354042682,-0.0300077689068583,-5.009601999080808,-0.1952162180122768,1.3334454374375189,-0.3864922578289337,-4.482303858328703,-1.051021496599277,-0.14167152239181652,-0.10437076584087038,4.427455290115689,0.634309875625167,-2.814208935784338,28.0224664559355,16.6961758908255,33.573494392433716,13.43457870425079,0.02095036565822017,6.99632836143928,21.232303017162465,9.486908269105072,2.0335598377333484,1.1824428687665414,0.3853017364284518,0.3093391087971192,0.04630843544872764,68.87806486441914,498.4829562552357,1.0565421241099293,0.6307849974880898,1.3070178851351022,0.5311034566550024,-0.336391853366422,-0.2979891248661979,-0.4464124966634656,3.0024729371287107,4.725356097963844,6.570119574522117
4.773957061,3.465517241,2.506858711,2.574133074,142.568784,147.0264186,150.228361,156.1724908,159.8089967,37.25823401,-42.15075398,6.387543253,-10.49134948,51.19414657,-0.1232475129,-0.06048862328,-0.3969541693,1.054521134,0.9514008569,0.7659585896,0.5496909568,0.9484975008,0.9355006689,1.28728987,1.498679609,1.328864352,0.702740662,1.076825843,1.046033514,0.9764116598,1.01926616,1.03888694,1.590509625,0.7324090131,0.7950806361,0.8949825732,1.429588173,1.141796019,0.9601897125,1.168403169,1.072127304,1.140327832,1.156503074,0.9274549705,0.7764336092,0.1752600273,0.1713114299,0.9040054457,0.09878289721,0.0,0.6865492513,0.0,0.0,0.0,0.0,0.0,1.592402954,0.0,2.137281307,0.5112554113,0.02272727273,0.0,0.7978354978,0.0,3.343809532,1.743653309,0.9045555148,29.43827486,0.0,5.098681808,58.8330126,11.89077157,0.0,14.59805822,0.0,21.82845468,14.59805822,0.0,6.9237372,0.0,31.81196091,5.563451492,2.084179544,0.0,1.613859381,30.19,0.3788208617,0.3411635488,0.04555555556,98.50396462,23.86903746,-4.431175036,-0.4233779371,-0.2706113907,0.3611107697,-0.1605658084,390.8279117,4.07,0.000727,-6.13,3.5626873307093714,3.499865740731065,218.36593986009615,-13.483918057378382,66.71113801040485,0.005482761421881857,-0.23251444141057245,0.029277171094322936,1.5551790055191261,1.2018347795981799,1.0290664089265487,0.870870018147783,1.0929419838005057,1.2250723294605415,0.9924631000716277,1.096104123416888,0.9555733006940818,0.8689302559283479,1.0216592234102488,1.00724275073784,3.3982956508880684,0.538816363464191,15.171273955633083,10.65829784179307,0.533608998294667,0.40357444835033407,-0.03761090446066438,0.4175896036029306,1.0872355050957359,0.3148602045667815,-1.6026708524545534,0.09479464635645941,2.2330832675802794,1.4646835289533606,4.128051359315532,0.9388900533385232,0.27823353955320307,-0.08772229268516869,4.306136580183939,0.6866054245472917,2.4579834866898267,32.44489446846043,11.092436433410086,9.251887678274379,5.486582211240775,0.3457488554179089,0.06937151800616448,17.820161438419554,27.1215085413546,4.321416963457735,0.6072285368241745,0.33316880490211426,0.35502950761614027,0.03739910387328168,81.1475561759318,480.8999157946792,0.03384121523709671,1.0905582273506036,1.78909394778708,0.203564527204561,-0.26768736088801415,-0.645802074706821,-1.2687951660050032,3.882098831929403,4.233085130897925,7.272619189823333
4.859112107,3.673267327,3.069279636,3.01016703,148.0204164,152.3036628,155.6241958,156.38011,158.8298829,57.61651235,9.116898148,9.277777778,-9.638888889,46.40783287,-0.1418998546,0.002369970634,0.1431020664,0.9978933536,1.126749375,0.8043402298,0.4601794321,1.063892821,0.991449361,1.12475115,1.016003688,0.9313135294,0.6778846154,1.125945643,1.120078287,0.5263290549,0.7653077486,1.009087887,1.002180955,0.7739194071,0.8461781675,1.012838732,0.9224867734,1.293880102,1.094092438,1.163808843,0.9937935412,1.105641658,1.096946365,1.013083517,0.9865388069,0.1536834849,0.09195694048,0.8818553705,0.1048899075,0.0,0.6899617195,0.3785173112,0.0,0.0,0.0,0.0,0.0,0.0,1.953568543,0.4854166667,0.015625,0.01458333333,0.7929292929,0.0154040404,3.786967448,1.797995053,0.7767544274,30.77061433,5.316788604,15.45925517,12.13273414,17.3266008,0.0,29.36252149,0.0,28.58398029,34.47495837,0.0,18.25485007,5.687386275,28.16193619,6.327320075,1.941264622,0.0,1.505162424,96.72,0.7772789116,0.6137329932,0.04255787037,33.40773965,26.70073695,-4.59435954,-1.107443043,-0.335460334,0.4681407602,-0.3277556437,1979.218291,2.39,0.00554,-5.68,3.7531553626832763,3.192488868846175,204.65269000353075,-1.5894668099972669,99.34941298778675,0.01566080495561017,-0.15338111962769907,0.02428853318851225,1.357867701072244,1.102867020192365,0.5426576831537078,0.9376409613957445,0.9489167984529218,1.1320217611073202,1.079633624777089,1.1614472773070699,0.9434032051953619,0.9438918702609981,1.0082688697817852,0.8665449421891898,3.3810411360526746,1.0164206712422768,14.819030836789224,10.942252091327083,0.576723265744375,0.3379592527197895,0.035500988511500964,0.43086441128573394,3.0290561679891375,-0.5327261629754794,0.04819301387215269,-0.12689366907840072,0.8364551112716229,1.4605529406727633,-1.924870837357281,1.6700131895866415,0.7590084046369278,-0.05706126979818094,4.610946542037576,7.898356492617831,25.932232856658487,33.82608105312438,4.158051988384789,17.40805848584751,1.401817527824484,2.7577744533780937,2.8235244413945715,34.04471761408057,17.346223715173593,2.0410823197458456,1.0630459315787333,0.22277797022831555,0.2950782902071576,0.04832240655070572,74.1538535540821,547.8187481252484,1.2841742107684748,0.8259305425506799,1.4450123805961064,0.29812787945509284,-0.4190221036705548,-0.13502693247480016,-0.46085359143583554,2.4914111384367716,4.063700372696036,7.899679248778803
4.848683342,3.313559322,2.541629027,2.600173273,147.9609889,153.6858859,157.3723122,158.2847916,161.3962539,75.74556213,-19.08481262,12.75,-2.8125,50.24069857,-0.01507438131,-0.02037667222,0.08008636736,1.14525196,1.104223281,1.038133593,0.4858885136,1.134299115,1.036806387,0.9887735485,1.027397085,1.009299348,0.6275510204,1.099378882,1.140435835,0.7677770956,1.101451631,1.093347265,1.081734953,0.8419519833,0.8883641275,0.9966874993,0.920388143,0.818590741,1.202428832,1.170031011,0.9967102316,1.115373092,1.130021224,0.9392508828,1.026507014,0.1590730809,0.09303964791,0.877368674,0.06365387513,0.0,0.6841461785,0.9473948809,0.0,0.0,0.0,1.723645122,0.0,0.0,2.135101973,0.488172043,0.03225806452,0.01182795699,0.7686868687,0.0302378625,3.751632789,1.948806929,0.8084442311,29.27400652,10.30076712,5.425791397,18.20875424,23.62654039,0.0,25.38663948,4.992404733,11.38785599,32.55515263,6.544756406,13.08951281,5.687386275,46.02638289,4.895483476,2.559945921,0.0,1.551691863,83.3,0.614829932,0.5130385488,0.04176767677,31.87239538,28.83810036,-4.27403285,-1.305590239,-0.005907292768,0.4375679667,-0.2402819089,2480.208982,2.51,0.0132,-4.85,3.3476273774381387,3.0322130785146055,194.445840692464,2.8838481327285965,85.68265161174926,0.00996381727849361,-0.22512950168424065,-0.14371835606577643,1.6700062969993068,0.5692722009182055,1.0946931719224107,0.8627453551853642,0.9179766231556945,1.0949653027826742,0.8926065327310088,0.9966627777613918,1.1999181249712847,0.9614718539386321,0.9737719481663145,0.9449051720750462,6.462239703202518,1.0712336973424033,15.820168998060865,10.830244376518937,0.5438618430651712,0.5587200547516216,-0.04985810340012983,0.43460016386412115,3.282813883516591,-0.271212001704705,1.7988477538595111,-0.002147148960643455,1.8180148586904838,0.6423452878424845,-2.270888860891392,-2.555255136610434,0.685421180116897,-0.09651112244434795,4.422826314649328,8.150145058581652,13.55414665543189,50.47189688814245,8.776926026085599,7.85206516273049,6.039991004888653,-0.20908004043750106,-3.552367633408191,13.492081467531003,10.966283980671934,9.255757528678853,0.6507055212123216,0.42639191080195626,0.32318341005389006,0.026904984250325878,77.5011593292268,651.9627588888047,0.3165035208313114,1.2922371781900737,1.411894994361467,0.69665767002953,-0.556309768846885,-0.2166521728672664,-0.8671730300257046,4.559351001447164,4.775494800447429,5.874460292526477
