SpDiam_A,AATS5d,AATS7s,AATS8s,AATS1i,AATS2i,AATS3i,AATS4i,AATS6i,ATSC1dv,ATSC8dv,ATSC1d,ATSC7d,AATSC0v,MATS6s,MATS7s,MATS8s,GATS2c,GATS3c,GATS8c,GATS1dv,GATS3dv,GATS4dv,GATS6dv,GATS7dv,GATS8dv,GATS1d,GATS2d,GATS5d,GATS2s,GATS3s,GATS4s,GATS6s,GATS1v,GATS2v,GATS5p,GATS6p,GATS7p,GATS1i,GATS2i,GATS3i,GATS4i,GATS5i,GATS7i,GATS8i,RNCG,RPCG,Xc-3dv,Xc-5dv,Xc-6dv,AXp-0d,SdssC,SsNH2,SdO,SssO,SssS,SaaS,SddssS,MAXaaCH,AETA_alpha,AETA_beta_ns_d,ETA_dAlpha_B,ETA_epsilon_5,ETA_dEpsilon_D,IC1,CIC1,CIC2,ZMIC2,PEOE_VSA1,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA10,EState_VSA4,EState_VSA5,VSA_EState8,VSA_EState9,AMID_C,TopoPSA(NO),GGI6,GGI7,JGI4,RNCS,Mor02m,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,MOMI-Z,MLOGP,ESOL_Solubility_(mg/ml),Ali_Log_S,AATS3p,AATS6s,AATS7d,AATSC0c,AETA_beta_s,AETA_eta_L,BCUTc-1l,BCUTd-1l,BCUTs-1h,BCUTs-1l,EState_VSA1,ETA_shape_y,FNSA1,GATS1c,GATS1s,GATS3d,GATS3v,GATS4d,GATS4p,GATS5dv,GATS6c,GATS6d,GATS7c,GATS7v,GATS8s,GGI10,GGI3,GGI4,GGI8,GGI9,JGI2,MATS1c,MATS5s,MAXaasC,MDEC-22,MDEC-23,MINaaCH,Mor08m,Mor10m,Mor12m,Mor23m,Mor24m,PEOE_VSA10,PEOE_VSA3,PEOE_VSA7,PEOE_VSA8,RASA,SaaaC,SdCH2,SdS,SdsCH,Silicos-IT_Log_P,SlogP_VSA1,SlogP_VSA5,SpMax_A,SsCH3,SsCl,SsOH,SssNH,SsssCH,SsssN,SssssC,VE1_A,VSA_EState1,fMF
5.015108728,3.571428571,2.631991051,2.365774534,147.897182,153.2500106,159.8000222,158.4352573,156.5160676,72.73256198,-2.237024793,14.57487603,-10.73586777,49.76772029,0.0274089292,-0.08780878329,-0.05223775724,1.052637781,0.963340124,0.9363942786,0.4693557578,0.9446395246,1.147607674,1.182902024,1.122437907,0.9319946198,0.5839789217,0.9204824621,1.298889625,0.6404486558,0.8226436839,1.345580498,0.8846520018,0.8880320811,0.9492248359,0.969858803,1.093431052,1.163814925,1.168735181,1.184679694,0.9198820902,0.9564230304,1.080397992,1.075039646,1.010904983,0.1554476511,0.110785658,0.6759707009,0.1476931915,0.0,0.6841461785,-0.1081919926,5.51115406,12.46795355,0.0,0.0,0.0,0.0,2.033670292,0.4752688172,0.0,0.0247311828,0.7578431373,0.04430740038,3.659357268,2.122002445,1.00293199,29.99511672,11.05045608,5.098681808,12.13273414,11.21062871,4.794537184,25.06523039,5.733667477,22.51475897,38.74513433,12.96557803,0.0,0.0,59.22490518,5.693927995,2.041327498,0.0,1.636943219,98.72,0.5683446712,0.4010416667,0.03583877996,15.27572621,24.3618497,-3.285621319,-1.615521938,0.04160494237,0.3046910244,-0.1291054674,2401.104149,1.47,0.109,-3.5,-9.748640636079816,-7.863899387878167,56.10296096884548,0.27032735803149693,4.5470258730394475,15.312354442718608,-2.4265228775552394,-9.903111717022421,278.6209844719942,-121.40475405471975,504.13484920175665,-0.6678891362254924,0.5427415102641998,73.27376850323316,-35.4316285709007,-62.7067322572202,-42.32031227117553,-12.603223912404632,-11.315878599175816,-27.97660124997816,50.10016282112943,-22.52073544202127,88.3740701008595,-31.605879496550216,-11.014360827379829,17.380713183733338,-52.64512378951176,3.085574899005299,14.9462791233347,34.342413317169935,-0.8515927167995029,-48.52937138105944,54.38356644382962,16.277441284186388,-1205.0410596365286,-1042.5401321714796,63.55647845343315,-64.45014073263985,-103.83806162797573,-221.5552724122245,-10.837253135149878,108.56483007126829,1589.9285810602169,2074.889367507335,-3731.352171436843,-2923.894128664645,7.410307510282896,371.44015947173733,6.466986656188965e-08,164.91637760577558,151.62945951812867,619.8967793256958,-1026.7304075090706,5411.292183710782,7.877933610984751,238.4582859301984,-179.55658986561752,-712.3192690955482,194.44604347934785,-2.2395663051697303,22.032946224103632,-111.05424251535831,3.7415342480925444,-724.7724773098278,-24.829377498166615
4.864593247,3.483050847,2.94782104,3.083008447,149.6332189,153.5084168,157.7599988,157.2192571,160.7445904,82.18396586,1.973479652,13.19753086,-7.111111111,47.8684679,-0.11615908,0.02239802629,0.1495119544,0.793187053,1.084199053,0.7390117862,0.4336304974,1.183528418,1.05674659,1.05378825,0.9454974802,0.9128850839,0.6982758621,1.10106383,1.036016949,0.4684992733,1.059406173,0.9981567466,0.9169378448,0.7954671425,0.8361767842,1.033486127,0.8988694408,1.249862736,1.114434772,1.231462965,1.007970944,1.117036366,1.124706416,1.000424952,1.118805803,0.1405155554,0.09542225169,1.040780936,0.1245317625,0.0,0.7005665294,-0.1768189317,5.394398156,11.51864932,0.0,0.0,0.0,0.0,1.952955596,0.481372549,0.01470588235,0.01862745098,0.781981982,0.04252782194,3.836320413,1.918567089,0.9266500003,31.50827223,11.05045608,10.19736362,12.13273414,5.693927995,4.794537184,29.36252149,5.733667477,22.51475897,40.3821381,0.0,13.8474744,5.687386275,28.16193619,0.0,3.784963637,0.0,1.476522243,116.02,0.8736507937,0.7170493197,0.04313034188,128.9502109,33.09550291,-4.48738988,-1.433660259,-0.3981594592,0.2868187101,-0.2885717592,2398.000947,2.22,0.009,-5.63,-9.552725724164487,-7.272485941568101,57.19318798338467,0.2851375607898931,4.576203927141773,15.158361661325014,-2.4592272147594647,-9.994546038904447,278.1326218952709,-119.7951121183441,502.1134934125958,-0.6980695478655705,0.7603333729366618,73.41771914832077,-35.543304425265156,-62.26398575930812,-41.89282904288295,-12.631605327167376,-10.840876469408649,-28.23938272551643,49.98022890987384,-23.203788372369406,88.82112659646333,-32.10533152196034,-12.051160551958183,17.789078439364616,-51.52398912003262,4.781531069310278,15.287251837804481,34.70529983230996,-0.8576573271292983,-48.58903513892354,54.43581873200064,15.612006780836271,-1194.0918439957668,-1021.4161972557695,63.437980659878406,-65.23550792857134,-102.95280983019164,-218.26243260940197,-11.400377548822501,107.78581909071153,1589.620056642522,2079.197250694548,-3703.811796508646,-2936.23530945109,7.394382710303506,365.6007728152635,6.714586257934571e-08,164.80585524402784,168.0462864747278,611.7715885115788,-995.6872559470416,5399.473074779749,7.769290107339415,239.03782605049295,-181.74790782169174,-714.2788452365622,201.39618599333048,-2.693689841564941,26.007264318048136,-111.24984351255594,4.561955190796937,-728.5203318497585,-24.57037411045863
4.899567567,3.3125,2.633499171,2.324404762,145.2236585,149.1514683,154.0889835,152.6440717,161.9569224,43.41666667,-3.444444444,9.592592593,-5.24691358,49.49423033,-0.009073121504,-0.1330254378,0.005526650006,1.165050455,0.9818617667,0.8532268875,0.481025641,1.077631579,1.042631579,1.166075949,1.174328358,1.0,0.5547337278,1.016483516,1.092548077,0.8941783768,1.054548473,0.867221107,1.147146907,0.7998243965,0.8655335382,1.097782018,0.9568820966,1.042223191,1.001194482,1.144084148,0.9261065715,1.117415903,1.225300192,0.9251387058,0.830404064,0.2077652636,0.138308809,0.5306069401,0.09087175382,0.0,0.6791339464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.081466837,0.4818181818,0.0,0.01818181818,0.752173913,0.02055335968,3.205229003,1.964695999,0.9308270835,27.50802119,0.0,5.098681808,24.26546827,11.21062871,0.0,20.16532066,0.0,22.51475897,20.16532066,0.0,6.9237372,0.0,39.1116119,0.0,1.983792569,0.0,1.72006025,54.46,0.3192290249,0.1518920068,0.03140522876,48.49656944,12.03307684,-2.806878962,-1.118763185,-0.2748183316,0.330003265,-0.1698428165,1298.743643,1.98,0.0195,-3.95,-8.513123205158482,10.783540185191551,29.111798093154995,0.24482077234085065,3.357975123299746,8.5203245069321,-1.5259698050100037,-4.82095341805226,172.40690100481882,-55.33945308247543,301.73521008740744,-0.45477269686532024,0.5142345342284411,43.0843287341513,-20.40180722604301,-33.883413283704364,-20.94064718890809,-7.928912248269796,-6.9248574355107255,-17.085786134649542,28.366058560310194,-16.386824211501978,54.16854297435385,-18.649317539821553,-7.457330303934523,11.207715372690597,-30.65375589731309,7.387305718169947,8.228406530132311,19.257947656197793,-0.3430429229758211,-27.208103568709923,31.40009238931361,5.2134302440289995,-684.6094625260307,-647.570029823365,30.39299414194375,-35.53437303061249,-48.05398531040697,-114.90279552385235,-7.778765642757181,56.222992645787144,929.7324245739683,1356.2955677800194,-2055.633824521422,-1819.2475675535034,4.302360441232228,168.61347918987747,1.975664734840393e-08,70.6514886615764,188.70148679615266,300.1887769429859,-487.4749130478828,2915.6868203859103,5.216750681172322,153.10220058125688,-76.66882908045716,-404.4913414542262,170.9616847583708,-4.2113869688008645,40.850663006492006,-77.57759131041368,2.1055333494886543,-111.14142371028245,-13.962807514951944
4.933105502,3.768292683,2.549450549,2.420833333,146.5154789,153.69586,154.4824564,156.3614444,155.9861939,54.62984878,-60.50558843,11.82117028,-9.504273504,48.68718614,-0.2011455542,0.1363277034,-0.03075848675,1.479755545,0.8994308687,1.141602007,0.4655770391,1.059872436,1.148423363,1.058623428,0.9591910251,1.229550162,0.5210708725,1.011384089,1.249117632,0.9112127984,0.9309523064,1.154399846,1.148325263,0.843559247,0.7578813484,0.9871552647,1.075194469,1.135618409,1.233982263,1.058187476,1.042088171,1.018556236,1.098173712,1.048833616,0.9354415781,0.2065253099,0.07374049156,0.6597440455,0.1397268263,0.0,0.6706519733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179351852,0.4791666667,0.0,0.02083333333,0.7833333333,0.0,3.426930273,1.858471946,0.6770864604,25.00643644,4.567099648,5.098681808,18.20875424,35.29333391,0.0,24.31554143,7.047671983,22.51475897,24.31554143,13.59242839,0.0,0.0,45.78684481,0.0,0.8086522896,2.014978899,1.673129435,48.53,0.4170521542,0.4244614512,0.03484567901,6.629331589,23.38320668,-2.644903442,-1.225903154,-0.1097559832,0.3438174447,-0.3340264312,1675.99095,2.02,0.045,-3.16,-9.041935575419968,3.503511655857067,37.812123461290504,0.22163320620598434,3.749035878843128,10.817920731065756,-1.9846790823912297,-6.331447068087677,203.74672438311072,-77.11840304145883,357.5808910960438,-0.5538553015752168,0.3729312446103665,52.70940610714673,-25.567191391229755,-43.62404242942227,-28.05238006177013,-9.74534073150665,-8.818737302575322,-20.807721367053084,35.39985405840903,-18.26838879596848,65.603789592005,-22.67431894962888,-7.868495511515821,13.171274529383847,-38.31030968260015,5.513043510960756,10.398280751424704,24.181525528261997,-0.515083299444573,-33.77618815247204,39.120794663853566,9.492430264970906,-844.2706632927441,-777.6703931765095,41.52429969475812,-45.10357749088425,-65.72444927513095,-152.11519116651357,-8.940330465676407,74.13110121398816,1139.6914053355613,1586.897452918396,-2545.6345626027714,-2184.7560365502222,5.638180978161478,241.03580527692773,3.937558650970459e-08,104.25319866538031,165.61070048289398,410.26078207444675,-697.8193359531834,3735.715995075787,6.219298306262047,183.1441074108274,-108.42014421303128,-512.6122213746144,174.64879089276974,-3.4199525481281032,33.41596821782455,-91.13050872697963,2.7798679039957883,-293.34322421671817,-17.619639822362657
4.87862781,3.518181818,2.851364522,2.794001967,143.0263923,147.2379897,153.7283912,156.6873333,157.9621341,54.56,-27.08,9.9336,-10.3024,49.59300473,-0.1119247403,0.1267220834,-0.08504151787,1.002611425,1.157469684,0.8636708116,0.480081826,1.092054264,1.084749553,1.092894629,1.064565483,0.9542344104,0.6667444211,1.178708887,1.075450092,0.5120748762,0.7913634388,0.9574627346,1.067443475,0.8006899081,0.9096887762,1.019252084,0.8713394097,0.9366248321,1.063024221,1.122396289,1.04526311,1.068405771,1.164393103,0.8596356559,1.004579115,0.1793978374,0.0886063362,0.8235086609,0.07026332943,0.0,0.6841461785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.109014669,0.4838709677,0.0,0.01612903226,0.75,0.01451612903,3.358962553,2.284893636,1.11548875,31.44058453,4.983978521,5.261891555,30.33183534,34.23115751,0.0,19.93591408,0.0,28.71445679,19.93591408,6.420821623,18.25485007,0.0,50.62994439,0.0,1.981682321,0.0,1.764174135,78.25,0.7356462585,0.4462514172,0.03880434783,25.51876313,31.31991702,-3.097626129,-1.657906649,-0.3905481873,0.4828985212,-0.3199275181,2090.993894,2.2,0.00087,-6.06,-9.213302522305767,-2.871226534009033,48.743559781255215,0.24321526860980439,4.142075682931879,13.23107317920599,-2.1937841731114722,-8.508830207161013,241.00040675646832,-100.9827232312645,427.14506026285886,-0.7240302421860529,0.6960004909800575,64.24898373380437,-31.248925308784102,-53.860939534764626,-35.51212365520234,-11.136635240565653,-9.779760331783521,-25.294528542977005,44.485658863262,-21.195667268149737,79.19429644401208,-28.193207470604612,-10.07113229930124,15.666011686236123,-46.74047960235581,5.406107984689447,13.155763790121462,30.168827624114517,-0.7137869405549008,-42.15817229205662,47.82325485086037,12.715521451945797,-1027.076948671063,-906.7420997385307,54.28206351343419,-57.85540513911188,-88.66905740875083,-188.5031305121458,-10.150204345985351,92.44031220799862,1361.6429563836246,1860.9378374363357,-3216.937887270989,-2675.5653461456595,6.864824142838845,308.57484189653576,5.067832946777344e-08,129.28987316715063,183.77969319964112,529.0650017827345,-854.1182977635981,4695.05874572503,6.946644335916503,218.60965192727812,-151.2803512185078,-638.6444850357506,189.5300973884696,-3.2325061891001106,29.757595696083243,-101.70034684148543,4.025434193875908,-541.5126050957113,-21.329146959138473
4.830967851,3.082644628,2.497516397,2.308666088,146.8104866,154.9455879,161.3904776,160.9577363,159.608501,88.99589002,7.893424036,12.66836735,-6.530612245,51.13517741,-0.1396544643,0.1485603848,-0.02193898849,1.078827989,0.9543023615,0.855673272,0.4705006297,1.020392696,1.035828361,1.118439868,0.872814873,0.8935884108,0.6948367859,0.9854656339,1.148989899,0.6455485653,1.121669844,1.237345569,1.33869002,0.9773250885,0.9440614041,0.8819080523,1.100297595,1.152231848,1.313549791,1.174396416,0.9605082762,1.05234692,1.028396791,0.9848130722,1.056761062,0.1646906487,0.08379878171,0.7368419724,0.07931626887,0.0,0.6974691495,0.1215681455,0.0,11.77331419,10.97043888,0.0,1.587612778,0.0,2.029786661,0.4811111111,0.0,0.01888888889,0.8052083333,0.03368055556,3.772563192,2.03479173,0.8531149556,29.65311583,19.77449303,0.0,6.9237372,5.693927995,14.26826309,20.26872417,0.0,33.45795484,34.196814,11.21535881,6.9237372,0.0,77.20433024,0.0,5.025525567,0.0,1.518409135,89.13,0.6630839002,0.3680909864,0.03703252033,156.0293329,26.87280381,-4.113241296,-1.666890384,-0.08270949534,0.3802555449,0.2006403332,2440.144633,1.53,0.0101,-5.98,-10.240825328183178,-8.069426958225598,55.96813287766293,0.302179661557555,4.638765806958558,15.598751400711496,-2.927504253438942,-9.843132210786354,284.039060062502,-123.70611304090886,497.3045797645965,-0.7764829575585179,0.4767862335926285,74.31353841859699,-36.22115592500862,-63.23891880265205,-42.80232484188097,-12.929156528944644,-11.294685626978513,-28.592113593461274,50.94369554394801,-22.81200201033812,89.36232573744124,-31.64829637672708,-11.321072480117767,17.579049350409438,-54.64036982607535,3.0581391532702624,14.957327363498306,34.673998529317906,-0.8746339647706743,-49.24520713036044,55.18569038248224,16.443167567487823,-1214.2784316260866,-1058.1039642582675,64.58516778329212,-67.87537626677921,-104.60576251446558,-224.84311246264892,-10.556005508766155,109.96134255149751,1618.6042596185716,2103.0290781307604,-3777.3699568874754,-2999.261787192919,7.450683564774304,371.5429087011662,6.335795879364014e-08,158.1797122834933,157.7413675740989,632.0379228138933,-1009.1465553896809,5501.698463490883,7.963611318187377,243.60056569981347,-183.26104822047313,-730.5391837038982,194.8587168152876,-2.383657695565284,22.80199599437644,-113.94526463669038,3.400623640523555,-675.4781779956214,-25.233087896658684
4.976090825,3.572815534,2.636087768,2.748248248,146.94792,152.5312104,159.9369804,161.5140242,157.7866144,68.16345679,-11.20296296,10.88345679,-17.80049383,49.30967614,-0.09617441852,0.04674258288,0.0004611167629,0.7991332812,1.064684973,0.8392189399,0.4227900943,1.025702555,1.178381933,1.045881552,0.9651116528,0.996175354,0.6977861788,1.05397066,1.169392328,0.5312802104,0.8352204022,1.011175076,0.8109808117,0.8924210639,0.9502477462,1.037942051,1.040636805,1.164158622,1.21486115,1.172509348,1.103003927,0.9960623896,1.092462978,1.057080007,1.022566517,0.168103657,0.1387698918,0.7957274555,0.1458456799,0.0,0.679730678,0.0,0.0,12.21552075,0.0,0.0,0.0,0.0,2.044765684,0.4743589744,0.01923076923,0.02564102564,0.787654321,0.01875593542,3.670299879,1.821553217,0.7949875002,25.81328012,4.983978521,0.0,18.55355576,23.27208584,0.0,20.37772696,5.917906046,0.0,20.99377639,0.0,18.88348407,5.817862778,35.95872634,12.7481417,1.987411367,0.0,1.63025785,75.98,0.6661678005,0.5043579932,0.04253387534,43.01328283,24.49081827,-3.660197484,-1.241504586,-0.3071880361,0.4700211901,-0.04538118536,1935.60158,3.06,0.0326,-3.68,-9.165157017859045,-0.4876071790109777,45.256986198230784,0.26066473272536494,4.072024289921897,12.537922572658989,-1.6627103884579204,-7.992034276097019,232.1775381845018,-95.56059887454435,411.4509619040379,-0.6357417038718269,0.4713847312587808,61.09291187413669,-29.256693730611595,-50.51795427818881,-33.27278547777329,-10.674842686420142,-8.7318601516473,-23.027360215206105,41.72993854339056,-20.323662335914264,74.96966596400138,-26.349865057181855,-8.762524199875104,14.70443742412327,-44.72181053292759,3.5901460063235002,11.95428969832636,27.962713835442916,-0.6166288199521631,-40.33104831804869,44.212096314935444,11.33977926729376,-1020.2645827730188,-915.016599096232,49.876274035994854,-53.04349007767313,-83.85517446258233,-177.35204481441542,-8.923127191181587,86.71729515813524,1325.9072999358577,1848.0635744327851,-3142.923394960722,-2518.0118015638604,5.966414698226674,283.6637866438174,4.276657104492188e-08,108.86426418373696,196.65329184010713,487.5994785185468,-779.9510066125289,4397.678682587407,6.445306077877078,215.62139610391094,-140.60133032422496,-582.4833278284166,198.28316194802755,-2.77573125402515,35.1029791414349,-95.69110978605642,3.337916777084195,-470.743212765352,-20.36528953088128
4.782522541,3.305882353,3.010198604,3.040196078,147.6606619,154.64466,163.5888857,162.2767769,160.4872522,67.47658402,-23.52800735,9.641528926,-13.37603306,50.76727958,-0.0203974743,0.01715333706,0.01985879814,0.9750356332,1.06810565,0.8995354701,0.42622798,1.118561244,1.04507822,1.048897097,1.016955088,0.9930200821,0.7402756041,1.054163571,1.123689511,0.5430004698,1.130821924,1.085026067,0.7125822492,0.908847825,0.9386461188,0.8489467275,1.17975814,1.117044226,1.11394938,1.135942566,0.8984430075,1.041720081,0.9137359688,1.049935806,0.9524929355,0.1706753545,0.1075556018,0.681984921,0.06542737998,0.0,0.7124476124,-0.005671073105,0.0,11.68415648,0.0,0.0,1.505444365,0.0,1.959476488,0.4820952381,0.02,0.0179047619,0.8091710758,0.04073368607,3.945131835,1.514299784,0.5343130683,25.40060836,10.30076712,0.0,6.9237372,12.2386844,9.184952232,20.26872417,0.0,21.95893118,20.85911529,11.33929359,12.74095804,4.390415048,28.3797528,23.46952001,4.203868702,0.0,1.477486721,70.67,0.5406349206,0.521789966,0.0427124183,15.79293262,21.45729,-2.730995998,-0.8155418155,-0.06155549106,0.07431723209,0.1671958509,2157.481791,1.68,0.0431,-4.67,-9.867082624653438,-2.69036384217712,48.99636746665612,0.2665380309071436,4.278726285219973,13.855114865783348,-2.2813631803676713,-8.812074510868834,257.45486068225654,-107.41711590822392,451.03719192513995,-0.7022553258124491,0.4254310799331035,66.41492644608688,-32.59379617863912,-56.11858495504643,-37.371187842304145,-11.517559503566888,-10.224823417871473,-25.51533998403993,45.802515669809424,-21.12708399403859,81.01663429187126,-28.382291557129605,-9.57341508754036,15.810640364110908,-49.289407866259666,3.1367214177854614,13.134369204902994,30.695203340019372,-0.7273471627383308,-43.81014074277224,48.966329432022576,13.510271567582539,-1099.9003585835046,-978.4464670252379,55.556244309002444,-59.39017635653706,-92.61986898837611,-198.26261845906618,-9.673263121339078,96.787358636306,1452.7964696941754,1943.6161452295075,-3383.282974382381,-2722.466018491068,6.694281454209355,322.42948284129614,5.4506311416625975e-08,130.11994343206734,171.31680465393708,553.4042222956585,-894.6051574406555,4859.585186238951,7.14093300178971,226.71440247360013,-156.3610327152169,-650.9671855691387,194.3965541371549,-2.671253042390225,27.024184231735006,-105.18107571884939,3.0937223383103185,-522.4168687055522,-22.529056648308845
5.015075563,3.801801802,2.743405276,2.565118397,145.4483366,151.8452865,157.7991108,154.8832424,155.2950731,60.96,40.68,12.7904,-7.3536,48.50866702,-0.01789490347,-0.05492856553,0.005818675611,1.107962755,0.8795490602,0.8382428825,0.4763888889,0.9810560345,1.195779817,1.041724806,1.016133094,0.871557377,0.5764779202,0.9053616221,1.341606029,0.710762688,0.6923643735,1.149771598,0.6301484994,0.8740111102,0.9003036372,1.016925607,1.132918464,1.129528642,1.150889609,1.159598231,0.8919580082,1.034431385,1.167634127,1.043516976,0.9482045186,0.1932632161,0.142022543,0.6666063312,0.1445717349,0.0,0.6833808251,-0.4733771778,0.0,12.17061795,5.027775736,0.0,0.0,0.0,1.994744098,0.47,0.0,0.03,0.8129032258,0.01709677419,3.695854381,1.948001808,0.8330296891,29.76070055,9.843390349,5.098681808,12.13273414,23.38096217,14.63792753,19.74844179,0.0,22.51475897,44.0380384,17.70244098,0.0,0.0,47.28738284,5.693927995,0.6707660241,0.0,1.625579303,90.13,0.5683446712,0.4010416667,0.03655555556,38.82563308,24.61592899,-3.584926957,-1.219345458,-0.3702908775,0.2236858134,-0.2867259117,2353.989797,1.66,0.0527,-3.81,-9.596784313085022,-6.641858920149279,55.04667609832279,0.2892162997317411,4.538466135936856,15.055826730202034,-2.690396508570638,-9.36103739971116,275.3830699853008,-119.14438068904606,499.33269508560716,-0.623712712438538,0.6073199670331666,71.88177984618693,-34.84065774541547,-61.30319157211275,-41.53392196634218,-12.459076424192455,-10.695874385090413,-27.585213684916994,48.779552905532135,-22.406251899194523,86.24323282111878,-30.669810503496304,-11.02077634068505,17.203395843783145,-50.95372454717929,3.299508655819767,14.727541882572956,33.71143941199483,-0.8301159174071182,-47.51530158575849,53.39642879908898,16.13449309235809,-1177.1397175022512,-1021.007084534066,61.90571532649985,-63.93823291435896,-99.84485463771975,-216.8719554927502,-9.994921845808856,106.17848125757223,1573.5142878517634,2036.2467821970274,-3636.3905577417177,-2863.7527361355205,7.117830193547561,360.02880561958324,6.294466972351074e-08,161.8090366233744,154.60985108466616,603.3950748912583,-996.6441658897752,5300.322248216189,7.895501775030283,231.3813130464366,-173.00107446029244,-690.7924120632296,187.62552271832064,-2.2146561218323013,25.075957044137787,-111.28817748388447,3.635424838774221,-659.3327724803148,-24.290840955466972
4.859112107,3.673267327,3.069279636,3.01016703,148.0204164,152.3036628,155.6241958,156.38011,158.8298829,57.61651235,9.116898148,9.277777778,-9.638888889,46.40783287,-0.1418998546,0.002369970634,0.1431020664,0.9978933536,1.126749375,0.8043402298,0.4601794321,1.063892821,0.991449361,1.12475115,1.016003688,0.9313135294,0.6778846154,1.125945643,1.120078287,0.5263290549,0.7653077486,1.009087887,1.002180955,0.7739194071,0.8461781675,1.012838732,0.9224867734,1.293880102,1.094092438,1.163808843,0.9937935412,1.105641658,1.096946365,1.013083517,0.9865388069,0.1536834849,0.09195694048,0.8818553705,0.1048899075,0.0,0.6899617195,0.3785173112,0.0,0.0,0.0,0.0,0.0,0.0,1.953568543,0.4854166667,0.015625,0.01458333333,0.7929292929,0.0154040404,3.786967448,1.797995053,0.7767544274,30.77061433,5.316788604,15.45925517,12.13273414,17.3266008,0.0,29.36252149,0.0,28.58398029,34.47495837,0.0,18.25485007,5.687386275,28.16193619,6.327320075,1.941264622,0.0,1.505162424,96.72,0.7772789116,0.6137329932,0.04255787037,33.40773965,26.70073695,-4.59435954,-1.107443043,-0.335460334,0.4681407602,-0.3277556437,1979.218291,2.39,0.00554,-5.68,-8.974763626167771,-0.347275943005799,47.03321001839827,0.25958927683390065,4.1096485147289705,12.501777196771464,-2.259027970801525,-7.989974678311695,235.74646064960487,-93.83063408583423,417.99283682827655,-0.6114045404065722,0.7591649628573542,61.402541154834545,-30.050146631368456,-51.2990848420664,-33.63637180424865,-11.002926025252478,-9.522092661293112,-24.109709970955034,41.40840993638893,-20.43763040332168,75.5841704556511,-26.896080406513136,-10.823136956763426,15.316741679708088,-43.03337034915979,6.607011725614088,12.741697069954707,28.884689821594165,-0.6706672499166483,-39.943905148234506,45.79338899454983,11.415135608629782,-986.7469931145203,-865.7427027652286,50.55933803708459,-53.39812513538714,-81.3919258649842,-177.4924114262822,-10.632754671352911,87.99916107857959,1342.8267651902963,1787.0092857089448,-3009.3639530201403,-2494.264117645947,6.377525995668271,290.6100146031982,5.6187772750854494e-08,135.9248196617139,169.12704140313386,490.6709492615239,-808.3467675160102,4417.4751857763695,6.831378735477276,203.96874948552767,-140.74100946061645,-598.4415399059809,189.27545820737413,-3.39108297064236,30.51076630657248,-98.59009407228756,4.077608576461311,-493.8891127929844,-20.3055470286574
