,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),0.0693589669491106,2.0,1.0155159893728756,0.36384783056940995,0.007645047818659859,0.008829382545801094
C(imputation),1.0153977761347293,3.0,9.91126523933615,3.61598718109386e-06,0.1119215711388335,0.11536630512569941
C(upstream):C(imputation),0.2015348647679213,6.0,0.9835876868335655,0.43707527680118696,0.022214051708820376,0.025230814945381885
Residual,7.786112985854089,228.0,,,0.8582193293336862,
