AATS1i,AATS2i,AATS3i,AATS3p,AATS4i,AATS5d,AATS6i,AATS6s,AATS7d,AATS7s,AATS8s,AATSC0c,AATSC0v,AETA_alpha,AETA_beta_ns_d,AETA_beta_s,AETA_eta_L,AMID_C,ATSC1d,ATSC1dv,ATSC7d,ATSC8dv,AXp-0d,Ali_Log_S,BCUTc-1l,BCUTd-1l,BCUTs-1h,BCUTs-1l,CIC1,CIC2,ESOL_Solubility_(mg/ml),EState_VSA1,EState_VSA4,EState_VSA5,ETA_dAlpha_B,ETA_dEpsilon_D,ETA_epsilon_5,ETA_shape_y,FNSA1,GATS1c,GATS1d,GATS1dv,GATS1i,GATS1s,GATS1v,GATS2c,GATS2d,GATS2i,GATS2s,GATS2v,GATS3c,GATS3d,GATS3dv,GATS3i,GATS3s,GATS3v,GATS4d,GATS4dv,GATS4i,GATS4p,GATS4s,GATS5d,GATS5dv,GATS5i,GATS5p,GATS6c,GATS6d,GATS6dv,GATS6p,GATS6s,GATS7c,GATS7dv,GATS7i,GATS7p,GATS7v,GATS8c,GATS8dv,GATS8i,GATS8s,GGI10,GGI3,GGI4,GGI6,GGI7,GGI8,GGI9,IC1,JGI2,JGI4,MATS1c,MATS5s,MATS6s,MATS7s,MATS8s,MAXaaCH,MAXaasC,MDEC-22,MDEC-23,MINaaCH,MLOGP,MOMI-Z,Mor02m,Mor03m,Mor08m,Mor10m,Mor12m,Mor13m,Mor23m,Mor24m,Mor26m,Mor30m,Mor31m,PEOE_VSA1,PEOE_VSA10,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RASA,RNCG,RNCS,RPCG,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SaaS,SaaaC,SdCH2,SdO,SdS,SddssS,SdsCH,SdssC,Silicos-IT_Log_P,SlogP_VSA1,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SpDiam_A,SpMax_A,SsCH3,SsCl,SsNH2,SsOH,SssNH,SssO,SssS,SsssCH,SsssN,SssssC,TopoPSA(NO),VE1_A,VSA_EState1,VSA_EState8,VSA_EState9,Xc-3dv,Xc-5dv,Xc-6dv,ZMIC2,fMF
145.560325,150.7520497,156.5390026,1.3870002834531643,155.8494569,3.446428571,157.8136342,2.813490366107787,2.753901013623266,2.713833492,2.589976983,0.0239203789141313,50.40263578,0.4916666667,0.015625,0.669702761977827,0.2065651856061375,1.63637924,9.136094675,56.75805391,-6.461538462,0.8027613412,0.6848636974,-5.59,-0.41989124178732695,0.9472620147456909,6.559919163066774,1.0694446561136408,2.225408552,1.169396833,0.00305,-0.28059023624830903,44.92947468,0.0,0.008333333333,0.01464646465,0.7686868687,0.28790018065387,0.4732356188443859,1.7300301802975337,0.7010103383,0.5338529013,1.106744432,0.7508088668613732,0.8105966151,1.307613246,1.131203008,1.255474299,0.8845624423,0.8869107625,1.182502241,1.1320406398707783,1.102882377,0.9948518972,1.21797018,0.9005213649554256,1.092280809734539,1.046089306,1.041741393,0.9973645603829622,0.9211550059,1.113827538,0.7728728897976728,1.142098622,1.108727882,0.7454251472221514,0.9220755809398111,1.07260214,0.9473605507,1.058993957,1.2572107532301855,1.033053036,0.9807791387,0.9889785624,1.2411375037971273,1.179218062,0.9775824878,1.024371889,0.5758124538329283,0.0007429439747562161,2.533117632424741,1.3385749590238223,0.7413151927,0.474029195,0.41023625684298826,0.3176460637691183,3.475031166,0.06567147302265161,0.0381678487,-0.44564462862428017,-0.11497762487620394,-0.03525356625,0.09928470844,-0.0421398553,2.03988502,0.9887432081751523,12.216130442858258,21.18249577226251,1.4183483359504592,2.13,3201.186331,28.00048187,-3.436424346,-1.5812400628383703,0.9350036436792126,1.8369217367743325,-1.251029408,-1.1450986596032364,0.22433210208328327,-0.348939037,0.5026020939,-0.3174309568,5.316788604,16.694605280949766,8.245153203838631,5.098681808,42.54970879,54.13978361132114,30.877043447113017,23.27208584,0.7914134555887112,0.1626234389,21.57365644,0.0779721243,0.0,24.73242031,0.0,22.51475897,0.0,-0.2585818691309919,0.0,0.0,0.06394317742332573,0.0,1.5094500921962488,0.6790551438,3.6760136897077484,3.0317253985963104,5.687386275,29.72092241,6.544756406,6.9237372,15.567855997791483,4.876664293,2.5025025047192346,3.7873699445711724,1.3529808398434855,0.0,0.9379886912681319,2.397105732307265,0.0,0.0,0.18669808678503358,-0.2565747293593832,0.27452296125065134,68.52,4.561080274509532,-7.21013600367618,2.431664893,0.0,0.915641771,0.07129411522,0.0,36.57587505,0.4762131624021141
143.9205754,148.497033,155.7072841,1.5329383330942667,157.6903983,3.638554217,156.1471078,4.635517073065753,2.993351612056589,2.775983348,2.513594118,0.018201107837243678,49.36971113,0.4938271605,0.01851851852,0.6649202687972373,0.21360113854971854,1.645994822,8.611111111,47.5648778,-11.11111111,-49.07432603,0.6747025075,-5.7,-0.36798913522486465,0.9505622154478591,5.265759939329377,1.2847145458689009,1.971019137,1.017358475,0.00211,-4.4060486910768475,44.70847628,0.0,0.006172839506,0.01728395062,0.7666666667,0.36156575188364093,0.3850036386048272,1.3960562239936734,0.6357555488,0.4925806497,1.097914098,0.5805838870684685,0.7586816813,0.928830155,1.046116046,1.162316982,0.806176138,0.8736319481,1.359112878,1.1492335324295608,1.046212291,1.069299139,1.059650804,1.0764925408528647,0.9681828192000708,1.096330246,1.153244123,1.0520062599205695,1.134986036,1.09849187,1.09086153405909,1.001694662,0.9087220074,1.0386970607860362,1.258067815366504,1.262825586,0.7062011674,1.36756626,1.2581442651191848,1.087030257,0.9636005185,0.9363242298,1.1217465223363057,0.8892957006,1.06378838,0.945521376,0.907453873679106,0.11518128672897261,2.188590165390513,1.7146315411263569,0.4734240363,0.3871527778,0.15058429589098837,0.1669661662701163,3.421298286,0.07013840544304922,0.03834795322,-0.5832361625199032,-0.02772287952110287,-0.3256048181,0.007166955336,-0.2231714005,2.091736636,1.121043732346009,14.829917240427571,26.89127930995779,1.6394085539638372,2.83,2341.143937,30.25372769,-4.349804826,-1.7671425393415654,0.8317470671739398,1.4842059932214189,-1.364894195,-0.5824806886242502,0.5162602636940803,-0.2638964467,0.3145197949,-0.1177401881,5.316788604,2.5022427123704123,15.165151756186196,0.0,24.26546827,72.36311510706417,30.403099106253666,21.41454618,0.9748627678598528,0.1884334693,20.66219208,0.1109721935,0.0,15.28474565,4.992404733,0.0,1.623420283,-0.09843997305669505,0.0,0.0,-0.08699672022418548,0.0,-0.7465426714913255,0.6099706843,4.187310248736802,12.493671386029767,11.37477255,15.80357683,0.0,13.08951281,13.114848667311607,4.903407469,2.4534607195351246,3.147524094972587,-3.1912388583068427,0.0,0.4870892299593847,2.5458722951999673,0.0,0.0,0.05135603161351804,-0.9611589561422331,0.18636617121713359,64.27,4.83041564336982,6.951747715280792,1.966259719,0.0,0.7609291239,0.09332482137,0.0,31.3110809,0.5899693078529203
147.4612651,157.7221058,159.9476082,1.691230861188648,159.1225334,4.1,162.9607215,3.4753679583029893,3.5797297572431153,5.453186535,4.534979424,0.01172492405165004,43.86052541,0.4843253968,0.0,0.6778555440471231,0.20615791899546443,1.332445565,3.752066116,40.2265075,-11.12396694,-81.96755433,0.7040406978,-6.27,-0.4618084292809882,0.7325810613835866,2.387173724416014,0.13833341073055538,1.049369409,0.4928685608,0.00251,3.4480957383105344,15.91054863,22.67357176,0.01567460317,0.02512698413,0.903047619,0.32882736233024984,0.3521069362236577,1.2504823389140038,0.9346405229,0.3964611406,0.8505278771,0.8153866972127002,0.7117645346,1.066337923,0.9322033898,0.7492637709,0.3591895554,0.7793836392,0.6916775797,1.1576654460420088,0.7824128347,0.5185500431,0.4570906609,1.0344654989325535,1.0134953442493952,0.8466251836,0.9734528773,1.0501243431740093,0.8341697233,1.175490196,1.0869244326198766,0.9434064182,0.9520079746,0.9919907927364703,1.1874157513545478,1.087901579,1.339381988,1.049784255,1.0539901483034468,1.329232471,1.424684863,0.9366503436,1.0982044861981568,0.8996855229,1.56203012,1.45619129,1.2995765305299485,0.181877917241309,2.0675065429018176,1.92886655916345,0.7413151927,0.5721017574,0.2726407154142665,0.13976052579026899,3.995024711,0.06595614935958281,0.05052380952,-0.1104088897169771,0.08054292689938342,-0.02532760127,-0.2289025083,-0.337053202,1.810150227,0.8481398316628257,4.890520213263215,20.149605225571687,1.7781667401327124,2.09,2275.114305,30.5186832,-6.198717848,-2.508373759624681,0.1594452152439555,0.43135942626649215,-0.5802035465,-0.6926429111897711,0.3110470333896592,-0.309865363,0.155164361,0.1592967637,4.983978521,26.079752740291866,14.524353293457356,13.17124514,6.066367068,57.19965662105825,31.468922118890102,21.4210879,0.8644403828764012,0.1746651557,31.96666154,0.2350145504,13.17124514,19.93591408,0.0,21.95893118,2.703659126,1.8146373382553893,0.0,0.0,0.9642326254059167,0.0,6.563103153321904,0.0,3.694576658485226,4.305865961091985,13.17124514,19.93591408,6.176298517,6.9237372,38.00373896273013,4.853464981,2.547211683702607,4.802003126844668,-1.0900175656286064,0.0,0.561451922634906,1.3513207136801457,0.0,0.0,-0.07615879700498318,0.27147459203791224,0.7008689914412076,54.46,4.005110494266301,5.7752822257644905,1.792035689,0.0,0.8991335537,0.1350287976,0.003018408053,36.71808007,0.5578334566015327
144.0134583,150.126197,156.8461685,1.7314325152142132,153.5723163,3.865979381,156.7137158,3.220947770995978,3.117502478207225,2.356688122,2.087254445,0.016857886142726666,51.04803271,0.4928571429,0.01923076923,0.6529034552127069,0.23809452507273277,1.710001269,12.73336939,67.91639792,-20.64196863,-38.35570779,0.679730678,-4.76,-0.44401732148607004,0.8559703561533363,6.647685848481335,1.1746875688744123,1.882225511,0.7536365571,0.00255,7.566062627746632,47.37110857,16.82083098,0.007142857143,0.0,0.7879120879,0.3395963664173891,0.2708447976966851,1.2662960548049345,0.5602350279,0.4318447912,1.098254068,1.0714724389337842,0.8150876153,1.314057055,0.9656629185,1.20195393,0.802777227,0.8248936248,1.162451852,1.0471848729485251,1.122979597,0.9005178782,1.07024599,0.8606737081015573,0.8440802819431419,1.142759713,1.026477864,0.9338257302283265,1.104286557,1.277430991,1.046856472247921,1.254770926,0.9894774431,0.984741118357891,1.0968121745559474,1.240392507,0.9625365914,1.264429857,0.7993725995228098,1.226162045,1.006670644,1.045596152,1.1656854110507755,0.7989429637,1.006643446,0.9886050964,0.7741357881341708,0.1943793572854025,2.388491415074558,1.44206001383969,0.6131972789,0.4288548753,0.37474071211523174,0.12648243086190375,3.544039244,0.06950691072624354,0.04044973545,-0.3687502723928389,0.01876131923887471,-0.1398244797,-0.1165371515,-0.1514373106,2.125990226,1.1169356847372534,7.958099167709899,26.99034518269731,1.7098915217147603,3.15,2177.837598,20.78246748,-2.909144122,-3.1082809640343387,1.8658950979613544,0.9302986534478501,-1.147689069,-0.7399045976361688,-0.0792901878993624,-0.4462850492,0.3119019792,-0.02368572528,0.0,8.43370479530608,13.483440775770559,5.098681808,29.8000411,35.30925322595141,33.54095114792212,21.92719002,0.7821971242613049,0.1910926599,9.627587987,0.08464523789,0.0,19.74844179,0.0,22.51475897,0.0,2.4809563189529533,0.0,0.0,-0.37795852582462175,0.0,0.13227156787747596,0.0,5.965189012501883,6.920346862920651,0.0,19.74844179,12.96557803,6.9237372,3.502519352906246,5.000147947,2.465861732705006,5.3718104674361715,-1.0625044917024942,0.0,2.249017151337083,4.250180315526866,0.0,0.0,0.20279702204991273,1.5866997820240178,-0.508554979834996,43.6,4.302190983320864,12.210198006159196,2.883960967,0.0,0.8170731478,0.2038753515,0.0,27.68479521,0.5273162765999893
147.0512604,153.298533,156.1439246,1.7237537081354917,155.2239887,3.094827586,159.1124828,2.8878182117127342,3.1344722764293427,2.709876543,2.687134503,0.008740526434833818,48.51601673,0.4752688172,0.01612903226,0.6633145143391449,0.20229465187334664,1.62492247,7.98615917,42.68319877,-3.813148789,-22.8769704,0.6736212297,-4.12,-0.42972688795383873,0.8885829551151662,2.865218792283366,0.702582628802916,2.169459979,0.7946926473,0.0199,6.588335330797953,46.0664067,0.0,0.0247311828,0.0156922043,0.7864583333,0.30435348368878373,0.4268334739362232,1.1564198912238184,0.6499575191,0.5717269661,1.228519539,0.6751984502903696,0.8670340307,1.411693982,1.171505828,1.067066962,1.094830353,0.8997839579,0.9917209535,1.1152656992562524,1.142848717,0.9167204453,1.065979522,0.8807345437770014,1.3406784143059716,1.003537061,1.137439012,1.0969727836262344,0.9966995856,0.9330688044,1.1408077742322849,0.9905744916,0.9596107075,1.1725321261845258,1.3159306016401262,0.9344976561,0.9400515136,0.8165135332,0.9053629568755375,0.9230159947,1.028564315,1.081529766,1.1185793674997544,0.8696566776,1.032606284,1.097846121,0.8664535452340353,0.1887523278565123,0.927655847636656,1.737564716682608,0.4251247166,0.2830569728,0.21181864598508915,0.25920272729309396,3.502965363,0.0730523082747101,0.02094315245,-0.46094381399604917,0.09593095375074796,0.08922032047,0.05678877165,-0.0753821893,2.061706428,1.0946806078913869,6.1161454623097935,24.859145652603328,1.4798323162039395,1.06,1149.515575,29.97570609,-3.466205219,-1.682851689468822,0.4144176916544127,1.8507848481313305,-1.430672584,-1.0535731856645976,-0.23759296130581023,-0.1871286353,0.5062090867,-0.2306665933,9.303962602,11.095795075698959,7.426839612384731,5.098681808,6.066367068,40.32670298054272,17.687975782353135,24.25993247,0.7893670336828312,0.2060016448,58.60524924,0.07931789153,4.736862954,29.71639883,0.0,39.52165029,0.0,1.1377298263585869,0.0,0.0,-0.4464054380652035,0.0,-1.6601092225954783,0.0,2.9228649526950563,-2.4782218378981886,0.0,36.32328079,6.544756406,0.0,18.268466216385825,4.818141123,2.5404595809562323,3.222802178384986,-0.28965137082346504,0.0,-1.9282544433610855,-1.7036923672653372,5.829180599,0.0,0.06202675177171164,0.05166260730594846,0.521924394597945,81.51,4.403198961764606,2.38715237432769,1.342149728,0.0,0.5972872317,0.0761440227,0.0,29.22376832,0.4806372209299545
150.1287662,155.577371,160.8336168,1.4990965409470403,160.1316994,3.292682927,162.70947,2.7754564673566042,3.772301299541053,2.714285714,2.789990421,0.022689316318165925,47.59726111,0.4707070707,0.0303030303,0.5948385676229179,0.2391956257629812,1.520040716,11.33190083,75.49586777,-7.836033058,-30.43801653,0.6904812668,-3.54,-0.48663544758302385,1.230711229406571,5.980569685610873,1.2314475249193577,2.01541337,0.9461654549,0.0997,-1.4683530113010863,51.71376917,13.26227256,0.02929292929,0.04335016835,0.7768518519,0.319348555705853,0.3267923171775241,1.4366622031299305,0.7054229688,0.4701755915,1.310822657,0.6759342925478031,0.871503092,0.9914120486,1.158493597,1.247799371,0.5717072487,0.9051268693,1.168480885,1.2230692372127197,1.19744908,0.9763069501,1.302360769,0.8828297571021384,1.1963711329039337,0.9728418609,1.060873201,0.9541929679053802,0.6744874859,1.076028109,0.9722073293570523,1.137021822,1.105722788,1.221200131160676,1.051096751986448,0.9851563148,0.9531900847,0.8858995568,1.057764955681853,1.02001469,0.919064009,0.8993950898,1.0355092499711418,0.8860151522,0.9872794965,1.021017094,0.5024237656672406,0.15883261141625973,2.097847354062445,1.5290772320255663,0.6931972789,0.6067885488,0.31136832343766413,0.22030030213921695,3.765946344,0.07002061618716353,0.04250591017,-0.23130353822900465,0.022112265423324565,-0.06916580264,0.03184452403,-0.01353165484,1.98359253,1.078717318163899,18.24470291123596,20.806456473430206,1.5398654997339885,1.49,2114.754709,31.70917809,-3.795521347,-1.6945887146414753,0.2034779078975274,1.6025283061315982,-1.560207532,-0.37755293917212196,0.08074066460088222,-0.2816104061,0.3924517219,-0.1512194368,15.61755573,1.260330274245753,-0.10013186165996935,5.425791397,12.14238718,53.846130337792474,14.939450912305094,23.62654039,0.8916945080785742,0.134539768,33.07316149,0.07868413042,4.794537184,25.38663948,4.992404733,11.38785599,0.0,1.7732395819835163,0.0,11.20180083,2.8236756430821615,0.0,0.36233713597779316,0.8135728293,4.28585095019038,-2.0632670528605894,11.37477255,32.20656318,11.33929359,13.08951281,16.606193565329235,4.84862861,2.4828140190382344,3.18946828834895,-1.699698764900241,0.0,3.9246710991209004,1.0536266450789487,0.0,0.0,0.03409693793941725,0.046980510864163494,-0.7913175060474725,112.4,4.746097816932112,9.912456919086999,3.944364098,0.0,0.8586399347,0.06365387513,0.0,30.46303494,0.5562084922928013
148.1175792,151.9245659,158.2982398,1.4612209163196852,158.696275,3.341463415,161.1531869,2.940598879719622,2.688018054041583,2.80839895,3.054613936,0.017072475490471233,47.983974,0.4737373737,0.01515151515,0.6512093393132623,0.20598543775103612,1.598107469,11.32441701,58.86419753,-3.121056241,5.827160494,0.6904812668,-4.64,-0.42307686373338066,1.0379261179378938,6.17520657764469,0.7432720559183517,2.122284425,0.9624846009,0.0228,-3.5864677873818454,50.88435568,0.0,0.02626262626,0.05492765493,0.7531531532,0.37521480391990447,0.3942048577107875,1.7412073439370728,0.688132401,0.4928064814,1.186259354,0.647021704561058,0.808654492,0.955881863,1.158783241,1.227336624,0.5353549235,0.9098394126,0.9643030855,1.222084498140824,1.151037647,0.9725137957,0.9824538378,1.0110714057657886,0.986513860506137,1.066814244,1.143224984,1.0062372236626924,1.013548257,1.122177974,1.080960290212994,1.111315097,1.045308634,1.135354850222783,1.2690119245360347,1.04828938,0.9447017455,0.9170307425,0.9543290102704448,1.015392516,0.9664313761,0.9154061091,1.1892623623938743,0.6810049159,0.9283487331,0.9440686449,1.0196979144479914,0.11969879527006422,1.2459397550457845,1.9279255659041186,0.6156462585,0.6198625283,0.3339060620018157,0.19191334240886995,3.632603077,0.06247800413517022,0.0446875,-0.16884305510068748,-0.12803407810428283,-0.1184005841,-0.05952935236,0.1569820465,1.986135868,0.9868022931169109,-0.5081799741776525,26.441592305008488,1.380766679761846,0.81,2131.473555,28.93837283,-4.334610185,-2.916061999677888,0.7817059667227158,2.215251338499371,-1.809740532,-0.8541703622032817,0.10063170974149413,-0.1644850658,0.3809179098,-0.3172304735,16.0344346,14.534706206961367,12.162819556816094,0.0,18.19910121,51.74298527263529,31.492802376047297,34.65994183,0.8409184609261183,0.1360091594,32.24398834,0.08937926059,4.794537184,24.9198926,5.733667477,22.64523548,0.0,0.5681791587156472,0.0,11.46922204,0.9701502813760248,0.0,-4.274078533635636,-0.4665311897,4.851463391437519,7.544238432567564,5.687386275,30.82707233,6.544756406,6.9237372,15.530801028375052,4.874959471,2.5012445442149476,3.020026379456122,-0.6961079366007481,5.391845875,2.3297868431013304,2.6853316558455926,0.0,0.0,0.05971995470977499,1.2829753161185753,-1.4668821064944841,122.47,4.109168473718344,5.476471265389639,2.382704181,0.0,0.8291328182,0.08505527698,0.0,32.00740331,0.5761071558091113
142.568784,147.0264186,150.228361,1.646266174384135,156.1724908,3.465517241,159.8089967,3.158935977841627,3.330569695054878,2.506858711,2.574133074,0.0064270619397218745,51.19414657,0.5112554113,0.02272727273,0.6745895809597464,0.18788616827493057,1.613859381,6.387543253,37.25823401,-10.49134948,-42.15075398,0.6865492513,-6.13,-0.521502674977942,1.1109814284059911,7.4515380157056,0.8081551700839607,1.743653309,0.9045555148,0.000727,1.0530267108056992,31.81196091,5.563451492,0.0,0.0,0.7978354978,0.3465320603800008,0.35878871900800247,1.4305672323913359,0.702740662,0.5496909568,0.9601897125,0.6582169752208001,0.7324090131,1.054521134,1.076825843,1.168403169,0.9764116598,0.7950806361,0.9514008569,1.0825622880710535,0.9484975008,1.072127304,1.01926616,0.8651494382609881,1.05447666395808,0.9355006689,1.140327832,1.0970932364067592,1.03888694,1.046033514,0.8757782313088944,1.156503074,0.8949825732,1.2889972999542585,1.1118401189423601,1.28728987,1.429588173,1.590509625,1.199874131362673,1.498679609,0.9274549705,1.141796019,0.9699446667995169,0.7659585896,1.328864352,0.7764336092,0.9923834195621009,0.17822939617174297,1.8307182623414586,1.7606475648539228,0.3788208617,0.3411635488,0.19856782461595085,0.3199428190713038,3.343809532,0.06261930954527387,0.04555555556,-0.4597855387197083,-0.23995366965287795,-0.1232475129,-0.06048862328,-0.3969541693,2.137281307,1.3174075721183143,10.029366262026366,26.531531861313347,1.611277388338206,4.07,390.8279117,23.86903746,-4.431175036,-1.6274314484866386,0.4043679931051953,2.184366014089593,-0.4233779371,-0.6235721500015533,0.43120421207632653,-0.2706113907,0.3611107697,-0.1605658084,0.0,5.5085756967568615,12.936456757079972,5.098681808,58.8330126,37.601506755441925,20.967613926627283,11.89077157,0.8611525097251407,0.1752600273,98.50396462,0.1713114299,0.0,14.59805822,0.0,21.82845468,1.592402954,-0.404763843324334,0.0,0.0,-0.3912566543410436,0.0,-0.23717329085933136,0.0,2.5060615699224993,-0.35511234977780415,0.0,14.59805822,0.0,6.9237372,15.626252804201274,4.773957061,2.471755957502305,3.6203715895301687,-3.201117233401595,0.0,-0.06971048227003618,2.702781749830278,0.0,0.0,-0.12311156898174135,1.4589543177819242,-1.3612678298682666,30.19,4.845212179823499,5.496490714807779,2.084179544,0.0,0.9040054457,0.09878289721,0.0,29.43827486,0.5409511323606834
148.0204164,152.3036628,155.6241958,1.6617916724498596,156.38011,3.673267327,158.8298829,2.038843278759338,3.5844436585128436,3.069279636,3.01016703,0.014871358217136985,46.40783287,0.4854166667,0.015625,0.6523509566079841,0.22473335607366568,1.505162424,9.277777778,57.61651235,-9.638888889,9.116898148,0.6899617195,-5.68,-0.3815983961319727,0.7756252009313198,9.219068606631609,1.016909941406201,1.797995053,0.7767544274,0.00554,9.938127538612203,28.16193619,6.327320075,0.01458333333,0.0154040404,0.7929292929,0.3337577836222496,0.4483092034638344,1.5094984470878656,0.6778846154,0.4601794321,1.094092438,0.30585864666338186,0.7739194071,0.9978933536,1.125945643,1.163808843,0.5263290549,0.8461781675,1.126749375,1.0988542919031696,1.063892821,0.9937935412,0.7653077486,0.9360550487369688,1.0104638660819112,0.991449361,1.105641658,0.9539097608683976,1.009087887,1.120078287,1.0885695543565197,1.096946365,1.012838732,1.2044774680060226,0.9473798015729121,1.12475115,0.9224867734,1.002180955,0.6622626404465451,1.016003688,1.013083517,1.293880102,1.1140295349579354,0.8043402298,0.9313135294,0.9865388069,0.9423362789070079,0.05929867079171838,1.694122989712079,1.6969845381259667,0.7772789116,0.6137329932,0.27453872874012186,0.236894705616261,3.786967448,0.05612552912903191,0.04255787037,-0.38764205433872206,0.004448485244019895,-0.1418998546,0.002369970634,0.1431020664,1.953568543,1.0977116591097404,-2.670186639511753,29.59179567037249,1.9410962030873422,2.39,1979.218291,26.70073695,-4.59435954,-2.1325503428718333,0.8629321865110844,1.2293896947305896,-1.107443043,-1.0656936574195222,0.23052724866570257,-0.335460334,0.4681407602,-0.3277556437,5.316788604,12.354833091134132,-6.9944332569263885,15.45925517,12.13273414,24.60540938702852,11.327345512392128,17.3266008,0.9785434675838665,0.1536834849,33.40773965,0.09195694048,0.0,29.36252149,0.0,28.58398029,0.0,1.3327740601351257,0.0,0.0,0.10817926030107405,0.0,-1.1843297431782824,0.3785173112,3.264051929968944,19.975081235682904,5.687386275,34.47495837,0.0,18.25485007,15.54534070045742,4.859112107,2.4497110972850904,2.673072622881441,2.067795874110679,0.0,6.048575301831533,4.384191600727626,0.0,0.0,-0.043596885712083575,0.42438658702423526,-1.515261462469279,96.72,4.474331856892823,9.88070302083866,1.941264622,0.0,0.8818553705,0.1048899075,0.0,30.77061433,0.6346778721920556
147.9609889,153.6858859,157.3723122,1.635449989551533,158.2847916,3.313559322,161.3962539,2.1991552491688697,3.0024457103772813,2.541629027,2.600173273,0.019267484491376857,50.24069857,0.488172043,0.03225806452,0.6508899640083413,0.20117060028059022,1.551691863,12.75,75.74556213,-2.8125,-19.08481262,0.6841461785,-4.85,-0.4321965427105109,1.1935547797186752,3.013018277418633,0.7375315659489254,1.948806929,0.8084442311,0.0132,5.5137901775521,46.02638289,4.895483476,0.01182795699,0.0302378625,0.7686868687,0.34194190510310657,0.37357738531025997,1.7003038211878638,0.6275510204,0.4858885136,1.202428832,0.797925660997538,0.8419519833,1.14525196,1.099378882,1.170031011,0.7677770956,0.8883641275,1.104223281,1.1928002458438693,1.134299115,0.9967102316,1.101451631,0.9944721346275026,1.280644118929826,1.036806387,1.115373092,0.9617198910849813,1.093347265,1.140435835,1.2552162432561205,1.130021224,0.9966874993,1.029215053668478,1.340990011288686,0.9887735485,0.920388143,1.081734953,0.6699957139534353,1.027397085,0.9392508828,0.818590741,0.9259228195778831,1.038133593,1.009299348,1.026507014,0.8724102801689559,0.06792897378121222,2.1308681016056936,2.231697899301833,0.614829932,0.5130385488,0.2664382645648488,0.12087839925396716,3.751632789,0.06081884492416208,0.04176767677,-0.5831591226248052,-0.028759268520343027,-0.01507438131,-0.02037667222,0.08008636736,2.135101973,0.8576511334905267,7.927091669803602,28.63317400087167,1.667211526510162,2.51,2480.208982,28.83810036,-4.27403285,-2.2317847090762304,1.2356655147960238,2.571371315707,-1.305590239,-0.7846047237518774,0.471365588744453,-0.005907292768,0.4375679667,-0.2402819089,10.30076712,8.694067637399874,3.636876416424104,5.425791397,18.20875424,91.4600768157242,37.38850346601485,23.62654039,0.8197711931274682,0.1590730809,31.87239538,0.09303964791,0.0,25.38663948,4.992404733,11.38785599,0.0,1.294560980221034,0.0,0.0,3.16095892633411,0.0,3.5554928491738034,0.9473948809,4.110459329995954,-4.719368464074155,5.687386275,32.55515263,6.544756406,13.08951281,26.282056479617893,4.848683342,2.418876990893329,2.5513113711305153,0.4557614325036613,0.0,5.9068515560052415,4.094047042511594,0.0,1.723645122,0.03419309030198697,1.1157722931124943,0.8002312725231484,83.3,4.426559194516282,9.456618164205867,2.559945921,0.0,0.877368674,0.06365387513,0.0,29.27400652,0.5612839963583077
