SpDiam_A,AATS5d,AATS7s,AATS8s,AATS1i,AATS2i,AATS3i,AATS4i,AATS6i,ATSC1dv,ATSC8dv,ATSC1d,ATSC7d,AATSC0v,MATS6s,MATS7s,MATS8s,GATS2c,GATS3c,GATS8c,GATS1dv,GATS3dv,GATS4dv,GATS6dv,GATS7dv,GATS8dv,GATS1d,GATS2d,GATS5d,GATS2s,GATS3s,GATS4s,GATS6s,GATS1v,GATS2v,GATS5p,GATS6p,GATS7p,GATS1i,GATS2i,GATS3i,GATS4i,GATS5i,GATS7i,GATS8i,RNCG,RPCG,Xc-3dv,Xc-5dv,Xc-6dv,AXp-0d,SdssC,SsNH2,SdO,SssO,SssS,SaaS,SddssS,MAXaaCH,AETA_alpha,AETA_beta_ns_d,ETA_dAlpha_B,ETA_epsilon_5,ETA_dEpsilon_D,IC1,CIC1,CIC2,ZMIC2,PEOE_VSA1,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA10,EState_VSA4,EState_VSA5,VSA_EState8,VSA_EState9,AMID_C,TopoPSA(NO),GGI6,GGI7,JGI4,RNCS,Mor02m,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,MOMI-Z,MLOGP,ESOL_Solubility_(mg/ml),Ali_Log_S,SsCl,MINaaCH,GGI4,SlogP_VSA5,BCUTs-1h,AATSC0c,GATS7c,AETA_eta_L,GATS4p,PEOE_VSA8,AATS7d,GGI10,Mor23m,GATS1s,SlogP_VSA1,MAXaasC,EState_VSA1,GATS4d,AATS6s,PEOE_VSA3,BCUTs-1l,MATS1c,FNSA1,JGI2,Mor10m,ETA_shape_y,AATS3p,SpMax_A,SsssCH,SsCH3,PEOE_VSA10,Mor24m,GATS7v,Silicos-IT_Log_P,BCUTc-1l,SsssN,MDEC-22,SssNH,MDEC-23,GATS6c,SsOH,GATS1c,GATS5dv,GGI9,GATS3d,GATS6d,SaaaC,AETA_beta_s,SdsCH,GATS3v,GGI3,SssssC,Mor12m,BCUTd-1l,VE1_A,PEOE_VSA7,Mor08m,SdS,VSA_EState1,RASA,SdCH2,GGI8,fMF,GATS8s,MATS5s
4.865265677,3.53271028,3.143637227,3.385135135,151.5397617,157.5474193,163.9182458,164.7179547,165.1169809,53.6384,-30.0544,8.5936,-11.4772,46.38335578,0.06624173245,-0.02694792288,-0.06311020323,1.175789659,1.004889248,0.9752887061,0.4694502873,1.080961164,1.054019491,0.8885699107,1.047397192,1.006720808,0.7566673934,1.139452075,1.10068275,0.5823498062,0.9626907703,0.914501734,0.6829368466,0.8474360554,0.9144217359,1.040100864,0.9266635793,0.9385948302,1.083167515,1.097325073,0.9860373438,1.017239667,1.073344015,0.9223260991,1.007875642,0.1391792811,0.07010002312,0.8053607425,0.08374028396,0.0,0.6894086529,0.806811067,0.0,0.0,0.0,0.0,0.0,0.0,1.752997727,0.46359447,0.04838709677,0.03640552995,0.812605042,0.04960693955,3.981147632,1.662708558,0.6081274391,29.32088182,10.30076712,0.0,18.20875424,29.31392667,8.780830095,25.38663948,4.992404733,11.38785599,32.46515906,6.544756406,18.55817888,14.46821637,5.57310453,18.19910121,1.992124129,0.0,1.493241297,81.23,0.7112018141,0.6163548753,0.04241975309,36.58182932,30.56534244,-3.910720297,-1.724644867,-0.1041850566,0.3323877145,-0.1540221275,2853.022347,2.78,0.0196,-4.25,0.0,1.366276114,1.908888889,17.21226049,8.00296063,0.01938840432,1.226944908,0.2060379854,0.9973942726,23.53335448,3.290598291,0.2640546883,-0.803258263,0.5553913652,10.74258,0.6168829785,0.0,1.110403543,3.623598369,18.75721335,1.297044182,-0.4382546374,0.3976657773,0.06666666667,1.163485207,0.3757455268,1.45061338,2.483972752,-0.1084500765,1.735253223,23.79738154,-0.02063702533,0.9535180655,3.55,-0.3795002945,1.842576683,9.761466899,6.082291093,23.7656412,1.043831586,0.0,1.496203851,1.073040471,0.270933642,1.058698496,0.962882738,0.0,0.685483871,7.370971197,0.9980111458,2.041666667,0.0,1.809462015,0.992941171,4.611459146,31.19885851,-2.630073303,0.0,28.05143042,0.7752385259,0.0,0.3756928697,0.56,1.040467211,-0.1177352749
4.848604167,3.369369369,2.820304818,2.793756146,145.6756489,152.3692317,156.7243031,158.5660927,159.4311695,59.6336,-1.5408,9.9336,-10.1108,48.00479604,-0.01323283817,-0.06183612388,0.001028379954,1.263143658,0.9479241672,0.89754036,0.4928543905,1.104689293,1.034176102,1.086820551,1.022812614,0.9796886227,0.6667444211,1.146201083,1.127544619,0.6367795801,0.7493841166,0.9985451631,0.6671579862,0.8579165357,0.8542836326,0.9749229542,0.8720432635,1.135496843,1.253901445,1.126765514,1.036446104,1.105811125,1.119860331,1.096381135,0.9783350062,0.1732788131,0.08816961431,0.7585393788,0.06274916425,0.0,0.6841461785,0.0,0.0,0.0,10.9890741,0.0,0.0,0.0,1.993581034,0.4731182796,0.01612903226,0.02688172043,0.7979166667,0.01606182796,3.665365926,1.978490264,0.959483369,31.26935238,14.79051451,5.261891555,6.066367068,29.55874348,9.473725908,14.53505669,0.0,34.77396375,21.327999,6.544756406,18.25485007,5.687386275,40.03047287,0.0,2.72396651,0.0,1.622721684,84.99,0.5723809524,0.5755385488,0.04273901809,148.1751399,28.28848451,-3.062389242,-1.966806931,-0.6798670227,0.7196377646,-0.3665019633,1801.206755,1.56,0.00449,-5.23,0.0,1.787345327,1.837777778,16.95130748,6.027276597,0.02195145111,0.985462394,0.1893844223,1.028597558,23.64452491,3.247787611,0.2226303438,-0.7550810005,0.6254320885,14.79051451,0.925920592,0.0,1.040937719,3.010744235,9.967957042,1.433527104,-0.4639262959,0.4014825573,0.06349206349,1.359051541,0.3340909091,1.547030673,2.478936865,0.0,1.963017232,5.693927995,0.4317434335,1.131984964,3.94,-0.486824061,0.0,16.48668987,3.358434324,27.54818079,1.004214207,0.0,1.494767732,0.9500626698,0.211882716,1.113614514,1.059422739,0.0,0.6774193548,0.0,1.010044088,1.479166667,0.0,1.280050884,0.9113367588,4.51049676,55.45467375,-2.545571927,0.0,13.00249259,0.8676816181,0.0,0.2590230537,0.56,0.825632738,0.007974574774
5.000147947,3.865979381,2.356688122,2.087254445,144.0134583,150.126197,156.8461685,153.5723163,156.7137158,67.91639792,-38.35570779,12.73336939,-20.64196863,51.04803271,-0.1398244797,-0.1165371515,-0.1514373106,1.314057055,1.162451852,0.7989429637,0.4318447912,1.122979597,1.142759713,1.240392507,1.226162045,1.006643446,0.5602350279,0.9656629185,1.277430991,0.802777227,1.07024599,1.104286557,1.264429857,0.8150876153,0.8248936248,0.9894774431,0.9625365914,1.045596152,1.098254068,1.20195393,0.9005178782,1.026477864,1.254770926,1.006670644,0.9886050964,0.1910926599,0.08464523789,0.8170731478,0.2038753515,0.0,0.679730678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125990226,0.4928571429,0.01923076923,0.007142857143,0.7879120879,0.0,3.544039244,1.882225511,0.7536365571,27.68479521,0.0,5.098681808,29.8000411,21.92719002,0.0,19.74844179,0.0,22.51475897,19.74844179,12.96557803,6.9237372,0.0,47.37110857,16.82083098,2.883960967,0.0,1.710001269,43.6,0.6131972789,0.4288548753,0.04044973545,9.627587987,20.78246748,-2.909144122,-1.147689069,-0.4462850492,0.3119019792,-0.02368572528,2177.837598,3.15,0.00255,-4.76,6.181573478,1.875990226,1.698888889,17.80867761,3.042101874,0.007908222497,0.9772839824,0.2165264113,1.064091871,29.38520368,2.846153846,0.04948474645,-0.6934683147,0.7455519966,0.0,1.283107521,0.0,1.250402015,2.630148667,4.983978521,1.300485838,-0.1729048171,0.3729119886,0.07575757576,1.119941906,0.3823857302,1.625789836,2.554441198,0.0,1.927689804,5.693927995,0.05195681496,1.119453938,5.14,-0.4356984554,0.0,12.76223808,0.0,26.21960986,1.19839635,0.0,1.164862524,1.121738954,0.1425,1.13482669,1.137244449,2.137757657,0.6538461538,0.0,0.8118596335,1.819444444,0.0,1.395002385,0.9925253564,4.385139181,49.59430021,-2.615365246,0.0,2.130445484,0.9613188814,0.0,0.2554720962,0.5581395349,1.102107143,-0.03813015461
4.831551496,3.412371134,2.789948692,2.688571257,146.5993687,154.1669417,159.7211343,160.2334063,157.6714408,75.11964444,26.19964444,11.87,-5.64,51.66154758,-0.1033774514,-0.1345191316,0.08512529267,0.8909175888,1.07023076,0.8003754203,0.4779477044,1.034606877,1.101335129,1.173792156,1.065235378,0.8960468008,0.6650115856,0.9456140351,1.107795261,0.5603797909,0.915101555,1.376825005,1.392880882,0.8749425937,0.8701675144,0.827745925,1.15118977,0.8922866148,1.228012266,1.106504655,0.8681295929,1.058849269,1.006497601,1.038845107,1.050911894,0.1756174026,0.1589936585,0.8298151429,0.1110709264,0.0,0.6971368173,-0.4359976129,0.0,11.85223036,5.145563254,0.0,3.1530174,0.0,2.097914513,0.4942528736,0.0,0.005747126437,0.8053763441,0.03485354097,3.995408502,1.648447688,0.5652932501,29.79848615,15.03763008,0.0,19.41092589,34.57272627,9.531400138,25.25270269,0.0,21.95893118,32.63603612,11.28161936,6.9237372,4.794537184,50.71112305,0.0,4.691401677,0.0,1.431447135,92.79,0.6370068027,0.4930909864,0.03995833333,36.04326419,28.99992128,-5.985861375,-0.7117091594,-0.09575072774,0.2428381953,0.2028940593,2421.485615,1.34,0.00457,-6.95,0.0,1.839289501,1.598333333,31.28371294,7.008274068,0.02086631515,1.345096105,0.2539861546,0.9481622393,16.63744226,3.038461538,0.1556004489,-0.7690013272,0.6641343594,5.316788604,1.008217951,6.093240071,0.989407481,2.999527589,19.74647275,0.6094207408,-0.6976939072,0.361333389,0.06565656566,1.053708137,0.3139534884,1.505987423,2.483397827,0.0,4.01544825,16.52595619,0.6562263171,1.001497458,6.42,-0.4783519793,0.0,6.200586051,2.752177186,17.43549217,1.244643721,0.0,1.763029204,1.061645855,0.2500154321,0.9257759784,1.131578947,2.082564316,0.6637931034,0.0,0.8546831333,1.576388889,0.0,0.8092156719,0.977895535,4.388604396,25.47729296,-2.527028855,0.0,6.254402382,0.8598042743,0.0,0.2849899219,0.38,0.8776380564,0.06967723187
4.84872166,3.341463415,2.748106061,2.791894353,150.1287662,155.577371,160.8336168,160.1387595,162.5521344,75.49586777,-2.421487603,11.33190083,-3.483636364,47.59726111,0.02791545152,-0.06188380767,-0.06019558339,0.9983987644,1.185920903,1.1312054,0.4701755915,1.182222662,0.9728418609,0.9583467224,1.052699229,0.9470689873,0.7054229688,1.141330729,1.109865471,0.5704406583,1.312861561,0.6390663656,0.7748292652,0.871503092,0.9051268693,1.094277983,0.9608184825,0.9262473304,1.310822657,1.247799371,0.9763069501,1.056870471,1.169295384,0.8864739701,1.061783366,0.1343410739,0.07858035979,0.8586399347,0.06365387513,0.0,0.6904812668,0.7953104794,0.0,11.33939598,0.0,0.0,0.0,0.0,1.980502618,0.4707070707,0.0303030303,0.02929292929,0.7768518519,0.04335016835,3.765946344,2.01541337,0.9098018185,29.638011,15.61755573,5.425791397,18.20875424,23.62654039,4.794537184,25.38663948,4.992404733,11.38785599,32.20656318,11.33929359,13.08951281,11.37477255,51.71376917,13.26227256,3.918105847,0.0,1.519969228,112.4,0.7356462585,0.5130385488,0.0399537037,33.44055909,31.04069865,-3.435346892,-1.670162037,-0.2684374989,0.3533697405,-0.2098917096,2410.562961,1.49,0.0997,-3.54,0.0,1.846599212,1.917777778,24.13599769,7.00827392,0.0186773635,1.018368909,0.2099131966,1.024649516,35.76549716,3.075757576,0.2095724926,-0.9643515379,0.6598479877,16.05936861,0.9252218682,0.0,1.127766527,2.987847222,14.98529578,1.43420023,-0.5603503344,0.3799163281,0.05555555556,1.074838553,0.347639485,1.495977912,2.47905352,0.0,3.451925134,12.16293986,0.2191956316,0.9659929395,2.38,-0.3832871237,1.725107315,11.82790416,6.155165489,25.4115303,1.061078782,0.0,1.636868804,0.9766129538,0.269382716,1.010262159,0.955958345,0.0,0.6818181818,7.325922689,0.9700602396,1.979166667,0.0,1.778343852,0.97288748,4.538148105,43.33159265,-2.371865933,0.0,0.0,0.8169497556,0.0,0.3205231167,0.5090909091,0.853720872,-0.04290649229
4.850608614,3.7,4.12394412,5.584929757,145.2099007,150.9997198,159.6007726,160.6028503,160.1861851,35.08,-28.30567901,5.32,-6.591111111,47.18135908,-0.05662620013,-0.1550138167,0.1450244576,0.9658537332,0.8583093994,0.7148405057,0.4082961782,0.8446876528,1.115985009,1.218909838,1.20279857,1.410596581,0.6997198007,1.020738204,1.355650685,0.5995147277,0.7924413668,0.9613873454,1.075988583,0.7736881998,0.9814459381,1.054480569,1.092971536,1.281192165,0.891441957,1.17065636,0.9941708864,0.9669628592,0.9082043996,1.068597897,0.9389262985,0.2122845906,0.1526629909,0.7417047715,0.1539444827,0.0,0.6844934983,0.0,0.0,11.36712758,0.0,0.0,1.523836425,0.0,1.621602104,0.4826190476,0.025,0.01738095238,0.8673809524,0.0,3.799581231,1.107309365,0.6,27.16226232,0.0,9.614079702,11.33678588,0.0,9.184952232,14.59805822,0.0,11.25737949,20.88421875,0.0,5.817220841,4.390415048,29.69887896,23.46952001,0.0,0.0,1.460883267,47.26,0.3673015873,0.3359552154,0.04452674897,208.8221789,19.17433041,-3.185761506,-0.8106417495,0.09260569599,0.02337361608,0.06641800929,539.8377532,2.25,0.0436,-4.23,0.0,1.361520797,1.202222222,34.25563817,8.00191815,0.01415783136,1.331402253,0.2369298086,1.165034148,11.48135754,2.973684211,0.03774920926,-0.189537119,0.4639942557,0.0,1.042829743,0.0,1.029265255,3.93236715,9.374393569,0.6049133325,-0.399968083,0.5187560023,0.07347670251,1.002935766,0.4040453873,1.668745334,2.541721686,0.5374751778,0.0,22.21270053,0.05010675382,1.231463872,4.08,-0.402613792,0.0,4.969523767,0.0,14.40748187,1.23633491,0.0,1.288536526,1.176069713,0.04063271605,0.9036043117,1.117294521,0.7160416667,0.6625,0.7590164399,0.7559278133,1.680555556,0.0,1.000729117,0.9574915386,3.91159965,37.10711152,-1.218895726,0.0,14.57379094,0.7570269881,0.0,0.0625,0.5666666667,1.833664696,-0.06092381852
4.998950662,3.634782609,2.343209877,2.098566308,144.1851809,150.8419307,157.1409259,157.1307331,156.3895983,84.22907122,-138.755935,15.6122449,-22.40816327,52.07746353,-0.0723920825,-0.1537992578,-0.1695336829,1.291044865,1.145307783,1.07729835,0.4237798681,1.048971596,1.191190135,1.223242147,1.309652846,1.242377808,0.5886792453,1.006451613,1.32173913,0.7820508886,0.977530557,1.294388551,1.169309747,0.9097212439,0.8877379939,1.07607442,1.069253308,1.01391603,1.131625525,1.189452481,0.9769784468,0.9299587479,1.228789108,0.9765857501,0.9516078848,0.1811246968,0.08022885623,0.9048170651,0.2052184453,0.0,0.6807446078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151216564,0.4851851852,0.0,0.01481481481,0.7592592593,0.0,3.34144599,2.273263854,1.066625765,29.28526947,0.0,5.098681808,38.11294267,11.21062871,0.0,19.74844179,0.0,22.51475897,19.74844179,12.96557803,0.0,0.0,41.98488435,22.20705519,5.33564435,0.0,1.785102788,43.6,0.5251247166,0.4453656463,0.03528395062,10.62986842,14.69025353,-4.575509382,-1.338907896,-0.1111993468,0.2818209518,0.04606378681,2086.58422,3.09,0.00274,-4.91,0.0,1.901216564,1.587777778,37.57405806,3.042109052,0.007025975686,1.084688824,0.2365690548,0.8585893925,35.07913167,2.8,0.06193245587,-0.5076268817,0.8087508061,0.0,1.31768802,0.0,1.148717949,2.541774332,0.0,1.271761557,-0.1738111843,0.2851380567,0.06913580247,1.546567325,0.3740458015,1.496345499,2.553947147,0.3931642474,4.354274593,5.693927995,0.1840509851,1.051220549,5.1,-0.4357088246,0.0,14.54639206,0.0,28.01850444,1.20232877,0.0,1.193493389,1.133032406,0.156875,1.082352941,1.141085271,2.186806868,0.6388888889,0.0,0.8601362921,1.881944444,0.0,1.339748614,0.9889166745,4.395294524,48.58846906,-2.694875717,0.0,2.170234316,0.9621110927,0.0,0.2355678382,0.4897959184,1.06270998,-0.02030873607
4.877473763,3.355555556,3.605429293,3.680365297,151.5257649,157.2635962,163.5218903,164.3794591,161.3458172,49.0,36.77777778,9.346938776,3.859410431,43.49756155,-0.05537400896,-0.06680925073,-0.06967460441,0.9874788557,1.11485472,0.9810562833,0.4052873563,1.012147335,1.090129795,1.027356322,1.054320141,0.9005668399,0.6710431655,1.032374101,1.109802158,0.5953059769,0.9977456833,1.131097181,0.8326726416,0.8267878547,0.8556774354,0.9731562305,1.13426717,0.945896658,1.054130241,1.072343379,1.026409886,1.029778526,0.8093704142,0.8210777852,0.8904870432,0.1524828092,0.1475073878,0.6258641428,0.08765981412,0.0,0.7026070582,-0.4136118403,0.0,12.0483115,0.0,0.0,0.0,0.0,1.686829229,0.4573129252,0.05357142857,0.04268707483,0.8531746032,0.03951247166,3.766037363,1.62628006,0.8337988097,33.15383706,10.63357721,9.780484743,0.0,17.57815784,13.57536728,25.06523039,0.0,11.25737949,32.82722828,0.0,11.63444168,24.95013983,18.19910121,24.12316206,0.0,1.501980667,1.426901074,84.73,0.5968253968,0.3211805556,0.03952020202,14.02949913,16.17687259,-2.922220665,-1.904626993,-0.1552706544,0.3627522401,-0.09845408509,1859.334395,2.75,0.0316,-4.06,0.0,1.050167742,1.738888889,0.0,8.002961501,0.02107586894,0.9704744463,0.17608253,0.9756964006,30.69219689,3.0,0.1976349352,-0.7665509761,0.5392860699,10.63357721,0.5748313492,17.66555619,1.209269663,3.792592593,13.57536728,1.408721455,-0.5332051715,0.3640591855,0.07575757576,1.053688485,0.3826701376,1.511148368,2.475439514,0.0,1.501980667,22.66784312,0.2778038557,1.042521658,2.56,-0.3865777569,0.0,7.83022589,5.671108676,21.18674185,1.002888774,0.0,1.543163315,1.007327586,0.24125,1.126226292,1.049580336,1.010373001,0.6785714286,0.0,0.8896374434,2.125,0.0,2.441587995,0.9776445192,4.23232078,36.39820241,-2.174935247,0.0,28.7717021,0.7809764647,0.0,0.2380794911,0.5238095238,0.9354438479,0.1528001838
4.853464981,4.1,5.453186535,4.534979424,147.4612651,157.7221058,159.9476082,159.1225334,162.9607215,40.2265075,-81.96755433,3.752066116,-11.12396694,43.86052541,-0.02532760127,-0.2289025083,-0.337053202,1.066337923,0.6916775797,0.8996855229,0.3964611406,0.7824128347,0.8466251836,1.087901579,1.329232471,1.56203012,0.9346405229,0.9322033898,1.175490196,0.3591895554,0.4570906609,0.8341697233,1.049784255,0.7117645346,0.7793836392,0.9520079746,1.339381988,0.9366503436,0.8505278771,0.7492637709,0.5185500431,0.9734528773,0.9434064182,1.424684863,1.45619129,0.1746651557,0.2350145504,0.8991335537,0.1350287976,0.003018408053,0.7040406978,0.0,0.0,0.0,0.0,0.0,2.703659126,0.0,1.810150227,0.4843253968,0.0,0.01567460317,0.903047619,0.02512698413,3.995024711,1.049369409,0.4928685608,36.71808007,4.983978521,13.17124514,6.066367068,21.4210879,13.17124514,19.93591408,0.0,21.95893118,19.93591408,6.176298517,6.9237372,13.17124514,15.91054863,22.67357176,1.792035689,0.0,1.332445565,54.46,0.7413151927,0.5721017574,0.05052380952,31.96666154,30.5186832,-6.198717848,-0.5802035465,-0.309865363,0.155164361,0.1592967637,2275.114305,2.09,0.00251,-6.27,0.0,1.702028166,1.768333333,11.51833249,8.007385665,0.02298572553,1.160893635,0.220916163,1.089816975,16.63744226,3.258064516,0.02,-0.7647801471,0.5900427672,0.0,0.7457570127,12.00070302,0.936786655,5.057048984,14.95193556,0.6094207966,-0.5376671012,0.5676521656,0.08130081301,0.6291103254,0.3441212618,1.847442645,2.504538822,0.0,1.792035689,10.70155169,0.5410720254,1.067229248,6.76,-0.3615987025,0.0,2.697679302,0.0,12.37803984,1.02269898,0.0,1.696664196,0.7536953859,0.1296990741,0.9184060721,1.137571157,1.711001131,0.6770833333,0.0,0.9544187786,1.506944444,-4.547725143,0.9151585641,0.989342054,4.397443284,19.05647134,-2.505187332,0.0,40.20765254,0.9047635703,0.0,0.2690932855,0.5757575758,1.808498781,-0.008912834898
4.874762888,3.428571429,2.784425451,2.87962963,146.2217091,150.9941239,157.9963401,158.5402442,159.9072869,55.5171088,-23.45905421,9.852748943,-7.83160323,47.91974111,0.03965672389,-0.08469110507,-0.0283177358,1.161434476,1.029803856,0.9587730547,0.4816028966,1.128865679,1.08711971,1.017586478,1.112031134,1.008931429,0.6668742217,1.167654302,1.138392857,0.565111774,0.7913171568,1.048155457,0.6112380475,0.8091796514,0.9053723345,1.04259701,0.945187391,0.956465875,1.182217953,1.209208366,0.9438083753,1.101271972,1.132323358,0.9473387046,1.040676543,0.1627685423,0.07234939331,0.7702072531,0.06541342195,0.0,0.6848636974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.004272784,0.478125,0.015625,0.021875,0.7588235294,0.02867647059,3.518533745,2.153891597,0.9798856559,32.01951086,10.30076712,5.261891555,12.13273414,46.29261463,0.0,24.9198926,0.0,28.71445679,24.9198926,6.544756406,18.25485007,5.687386275,50.88435568,0.0,2.468875052,0.0,1.643342141,103.17,0.5731972789,0.6198625283,0.045,26.81160078,31.05677271,-3.032394041,-1.691975118,-0.296404184,0.4181105421,-0.3103246066,2240.776417,0.92,0.00688,-5.11,0.0,1.686087116,2.025,17.08178398,6.027276849,0.01486198692,1.264940455,0.1777019754,1.044058141,29.3384529,3.230769231,0.2384470972,-0.8763399578,0.603371585,5.316788604,0.9418326084,0.0,1.08777938,2.963713714,4.983978521,1.429020649,-0.4663149517,0.3893599004,0.06222222222,0.7914694334,0.3267973856,1.579680176,2.475172228,0.0,1.970757217,5.824404498,0.009148389351,0.980095615,5.01,-0.3982393755,0.0,15.34222319,3.350822729,29.2631531,1.15279082,0.0,1.484694136,0.9582596494,0.224066358,1.062106627,1.022769345,1.651047524,0.6640625,0.0,0.950084712,1.409722222,0.0,2.118854928,0.9113365077,4.54099306,55.45467375,-2.137897468,0.0,0.0,0.895449322,0.0,0.2559760015,0.568627451,0.8365447816,-0.001701314211
