sample,strategy,imputation,upstream,mean_gain,std_gain,prob_positive,n_runs,mean_rmse,mean_best,profile,cluster
75,LH,Mean,4,-0.9629574590121845,0.33134181214287317,0.0,120,1.7893397092819214,0.9364026188850403,Consistent Negative,1
75,MLP,Mean,4,-0.9454108190386523,0.32845874649079027,0.0,120,1.7733450174331664,0.9364026188850403,Consistent Negative,1
50,LH,Mean,4,-0.9353094529804588,0.40360097180736915,0.0,120,1.787601923942566,0.9632539302110672,Consistent Negative,1
50,MLP,Mean,4,-0.919231140272574,0.40031719736687044,0.0,120,1.7727507472038269,0.9632539302110672,Consistent Negative,1
75,LH,Gaussian,3,-0.8344649241123204,0.31282981103216984,0.0,120,1.6722119569778442,0.9364026188850403,Consistent Negative,1
75,MLP-E2E,Gaussian,2,-0.8116034411907456,0.31338050090073793,0.0,120,1.651372504234314,0.9364026188850403,Consistent Negative,1
50,LH,Gaussian,4,-0.8070423043624654,0.3778604793350662,0.0,120,1.669124436378479,0.9632539302110672,Consistent Negative,1
20,LH,Mean,4,-0.7611989977237699,0.4390871902851127,0.08333333333333333,120,1.8574560165405274,1.132521390914917,Consistent Negative,0
75,LH,Gaussian,4,-0.7594250953086793,0.2976303385974206,0.0,120,1.6038091778755188,0.9364026188850403,Consistent Negative,1
50,LH,Gaussian,3,-0.7521975623045187,0.3672982260937404,0.0,120,1.6184655785560609,0.9632539302110672,Consistent Negative,1
20,MLP,Mean,4,-0.7467876796538343,0.43564284177707313,0.08333333333333333,120,1.842257058620453,1.132521390914917,Consistent Negative,0
50,MLP,Gaussian,4,-0.7234641218130208,0.35960077406670127,0.0,120,1.5919251441955566,0.9632539302110672,Consistent Negative,1
75,MLP,Gaussian,3,-0.7091193054098722,0.2885235847736311,0.0,120,1.5579527854919433,0.9364026188850403,Consistent Negative,1
20,LH,Gaussian,3,-0.7064054682572716,0.42776475671119685,0.08333333333333333,120,1.7996677875518798,1.132521390914917,Consistent Negative,0
75,MLP,Gaussian,4,-0.7031068245907584,0.2877159758570205,0.0,120,1.5524720907211305,0.9364026188850403,Consistent Negative,1
50,LH,Mean,2,-0.6844330174073419,0.35127664178900014,0.0,120,1.5558729887008667,0.9632539302110672,Consistent Negative,1
75,LH,Mean,2,-0.6839382216847198,0.28423675271641524,0.0,120,1.534998893737793,0.9364026188850403,Consistent Negative,1
50,MLP,Mean,2,-0.6649888092510916,0.3472357485855617,0.0,120,1.5379128098487853,0.9632539302110672,Consistent Negative,1
50,MLP,Gaussian,3,-0.6632263738310075,0.34688443833352817,0.0,120,1.5362848877906798,0.9632539302110672,Consistent Negative,1
20,LH,Gaussian,4,-0.662225733186273,0.41531999623453963,0.08333333333333333,120,1.7530734419822693,1.132521390914917,Consistent Negative,0
