gt,imp,mse,rmse,mae
downstream_2_gt,downstream_2_gaussian,54.93113032817785,7.411553840334553,1.1770046831082615
downstream_2_gt,downstream_2_mean,33.29213699837841,5.7699338816297026,0.8116617556928809
downstream_2_gt,downstream_2_pseudo,4872.534233020904,69.80354026137144,15.952551961596036
downstream_3_gt,downstream_3_gaussian,72.00658142732168,8.485669179700661,1.494713398083811
downstream_3_gt,downstream_4_gaussian,55266.351500300334,235.08796545187153,36.78045707550564
downstream_3_gt,downstream_4_gt,55267.30502444784,235.08999345877706,36.70945085464498
downstream_3_gt,downstream_3_mean,41.316516005269776,6.4277924675015585,1.0941995005936473
downstream_3_gt,downstream_4_mean,55262.65811435981,235.0801099930826,36.6780815128707
downstream_3_gt,downstream_3_pseudo,43807.88069784599,209.30332223317907,52.433364219630086
downstream_3_gt,downstream_4_pseudo,353161.1561131462,594.2736374038026,161.0367236399092
downstream_4_gt,downstream_3_gaussian,55217.52713030208,234.9840997393272,36.801601586529834
downstream_4_gt,downstream_4_gaussian,7.809406823399761,2.7945315928433803,0.6870221618048912
downstream_4_gt,downstream_3_gt,55267.30502444784,235.08999345877706,36.70945085464498
downstream_4_gt,downstream_3_mean,55200.21045683196,234.94725037086934,36.67336876192313
downstream_4_gt,downstream_4_mean,4.081107435602878,2.020175100233363,0.4805612494545368
downstream_4_gt,downstream_3_pseudo,107958.68536010849,328.570670267613,84.78579636756223
downstream_4_gt,downstream_4_pseudo,299464.84856927017,547.2338152648008,126.76251742428674
upstream_2_gt,upstream_2_gaussian,5018.345261175684,70.8402799343402,5.899027474701829
upstream_2_gt,upstream_2_mean,2783.866802824394,52.76236161151616,4.234349208434537
upstream_2_gt,upstream_2_pseudo,639873.3633995602,799.9208482090963,74.7083708627447
upstream_3_gt,upstream_3_gaussian,4882.50559076825,69.87492819866257,5.3956171676885445
upstream_3_gt,upstream_4_gaussian,60808.5222420284,246.59384064089758,38.523236808708326
upstream_3_gt,upstream_4_gt,60761.26984666395,246.4980118513412,37.79770343910014
upstream_3_gt,upstream_3_mean,2726.635631239128,52.21719670031251,4.017786827324316
upstream_3_gt,upstream_4_mean,60781.854405072154,246.5397623205477,38.294359561275186
upstream_3_gt,upstream_3_pseudo,621806.7418505262,788.5472350154594,84.05358481916912
upstream_3_gt,upstream_4_pseudo,257367.40109470213,507.3139078467119,125.24234659796028
upstream_4_gt,upstream_3_gaussian,58179.08219513195,241.20340419474172,37.81586857254702
upstream_4_gt,upstream_4_gaussian,60.18584199263856,7.757953466774505,1.2975203390555932
upstream_4_gt,upstream_3_gt,60761.26984666395,246.4980118513412,37.79770343910014
upstream_4_gt,upstream_3_mean,56187.052294358415,237.0380819496277,37.693984498349046
upstream_4_gt,upstream_4_mean,31.773527218404947,5.6368011512208716,0.92670203621585
upstream_4_gt,upstream_3_pseudo,934782.9205713836,966.8417246744079,119.31903293321622
upstream_4_gt,upstream_4_pseudo,196075.0873941938,442.80366687076315,89.60060930418155
