,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),51.32136391965266,2.0,26.00979167893954,6.689082257643527e-12,0.01630750860035248,0.021319330267952744
C(imputation),545.0625982518446,3.0,184.1593643108299,2.045390968995267e-107,0.17319518286065425,0.18788716510433598
C(upstream):C(imputation),194.76857277141377,6.0,32.9030616523226,2.7526038667570777e-38,0.06188826509990587,0.07635838447318966
Residual,2355.947686027898,2388.0,,,0.7486090434390874,
