,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),9.50538847898234,2.0,59.99216627582278,1.9497621960658733e-24,0.13450198525737972,0.1694731465584982
C(strategy),11.449694183581695,3.0,48.1756187582487,7.5252108031222926e-28,0.16201406199091894,0.1972990546854967
C(upstream):C(strategy),3.133422062242048,6.0,6.592077668577375,9.346504838223445e-07,0.0443381655523825,0.06302654862126174
Residual,46.58248545272223,588.0,,,0.6591457871993189,
