sample,strategy,imputation,upstream,rmse_test,best_st_rmse,abs_gain,pct_gain
5,MLP,PseudoFeature,3,2.2115466594696045,1.3807189464569092,-0.8308277130126953,-0.6017355777906135
10,LH,PseudoFeature,3,1.9273426532745361,0.8699200749397278,-1.0574225783348083,-1.2155399200415873
5,MLP-E2E,PseudoFeature,3,1.8891644477844238,1.3807189464569092,-0.5084455013275146,-0.3682469213826948
10,LH-E2E,PseudoFeature,3,2.0826268196105957,0.8699200749397278,-1.212706744670868,-1.3940438663343757
5,LH,PseudoFeature,3,2.161801338195801,1.3807189464569092,-0.7810823917388916,-0.5657070135404768
5,LH-E2E,PseudoFeature,3,2.3933005332946777,1.3807189464569092,-1.0125815868377686,-0.7333727037179976
20,MLP,PseudoFeature,3,1.705587387084961,0.7638453841209412,-0.9417420029640198,-1.2328961103140108
10,MLP,PseudoFeature,3,1.9539823532104492,0.8699200749397278,-1.0840622782707214,-1.2461630780802828
20,MLP-E2E,PseudoFeature,3,1.4583909511566162,0.7638453841209412,-0.694545567035675,-0.9092750725135053
10,MLP-E2E,PseudoFeature,3,1.7919501066207886,0.8699200749397278,-0.9220300316810608,-1.0599020050720676
20,LH,PseudoFeature,3,1.6702373027801514,0.7638453841209412,-0.9063919186592102,-1.1866170006411918
10,LH,PseudoFeature,3,1.9459666013717651,0.8699200749397278,-1.0760465264320374,-1.2369487237164758
20,LH-E2E,PseudoFeature,3,1.8311952352523804,0.7638453841209412,-1.0673498511314392,-1.397337567680377
10,LH-E2E,PseudoFeature,3,2.0472252368927,0.8699200749397278,-1.1773051619529724,-1.3533486533628296
50,MLP,PseudoFeature,3,1.5229887962341309,0.8675507307052612,-0.6554380655288696,-0.7555040210686491
20,MLP,PseudoFeature,3,1.6873221397399902,0.7638453841209412,-0.9234767556190491,-1.2089838792202914
50,MLP-E2E,PseudoFeature,3,1.3717743158340454,0.8675507307052612,-0.5042235851287842,-0.5812035737885712
20,MLP-E2E,PseudoFeature,3,1.5040299892425537,0.7638453841209412,-0.7401846051216125,-0.9690241251813569
50,LH,PseudoFeature,3,1.4757750034332275,0.8675507307052612,-0.6082242727279663,-0.7010820822357215
20,LH,PseudoFeature,3,1.6874343156814575,0.7638453841209412,-0.9235889315605164,-1.2091307360892327
20,LH-E2E,PseudoFeature,3,1.8253252506256104,0.7638453841209412,-1.0614798665046692,-1.389652786507646
50,LH-E2E,PseudoFeature,3,1.603198766708374,0.8675507307052612,-0.7356480360031128,-0.847959675401437
50,MLP,PseudoFeature,3,1.5104364156723022,0.8675507307052612,-0.642885684967041,-0.7410352642368447
75,MLP,PseudoFeature,3,1.4522615671157837,0.7305329442024231,-0.7217286229133606,-0.9879480845334432
50,MLP-E2E,PseudoFeature,3,1.3870840072631836,0.8675507307052612,-0.5195332765579224,-0.5988506010888565
75,MLP-E2E,PseudoFeature,3,1.341428279876709,0.7305329442024231,-0.6108953356742859,-0.8362324252758314
50,LH,PseudoFeature,3,1.5302730798721313,0.8675507307052612,-0.6627223491668701,-0.7639003988021782
50,LH-E2E,PseudoFeature,3,1.648796558380127,0.8675507307052612,-0.7812458276748657,-0.9005188976554312
75,LH,PseudoFeature,3,1.4330956935882568,0.7305329442024231,-0.7025627493858337,-0.9617126167429362
75,LH-E2E,PseudoFeature,3,1.5330708026885986,0.7305329442024231,-0.8025378584861755,-1.0985649105289366
75,MLP,PseudoFeature,3,1.4566999673843384,0.7305329442024231,-0.7261670231819153,-0.9940236493711117
5,MLP,PseudoFeature,3,2.1326282024383545,1.3807189464569092,-0.7519092559814453,-0.5445780677602309
75,MLP-E2E,PseudoFeature,3,1.3372924327850342,0.7305329442024231,-0.6067594885826111,-0.8305710144873143
5,MLP-E2E,PseudoFeature,3,2.0884430408477783,1.3807189464569092,-0.7077240943908691,-0.5125765067590143
5,LH,PseudoFeature,3,2.057435989379883,1.3807189464569092,-0.6767170429229736,-0.49011932852772894
75,LH,PseudoFeature,3,1.4533662796020508,0.7305329442024231,-0.7228333353996277,-0.9894602853110182
5,LH-E2E,PseudoFeature,3,2.2519218921661377,1.3807189464569092,-0.8712029457092285,-0.6309777583228217
75,LH-E2E,PseudoFeature,3,1.598078727722168,0.7305329442024231,-0.8675457835197449,-1.1875518967415069
10,MLP,PseudoFeature,3,1.9537307024002075,0.8699200749397278,-1.0838106274604797,-1.2458737976998304
10,MLP-E2E,PseudoFeature,3,1.8506003618240356,0.8699200749397278,-0.9806802868843079,-1.1273222852711544
5,MLP,PseudoFeature,3,2.1895787715911865,1.3807189464569092,-0.8088598251342773,-0.5858251074267569
10,LH,PseudoFeature,3,1.8987972736358643,0.8699200749397278,-1.0288771986961365,-1.182726124313687
10,LH-E2E,PseudoFeature,3,2.0537948608398438,0.8699200749397278,-1.183874785900116,-1.3609006390410527
5,MLP-E2E,PseudoFeature,3,1.621472954750061,1.3807189464569092,-0.24075400829315186,-0.1743685845051635
5,LH,PseudoFeature,3,2.1020450592041016,1.3807189464569092,-0.7213261127471924,-0.522427909458476
5,LH-E2E,PseudoFeature,3,2.248490810394287,1.3807189464569092,-0.8677718639373779,-0.6284927618065826
20,MLP,PseudoFeature,3,1.687108039855957,0.7638453841209412,-0.9232626557350159,-1.2087035870453513
20,MLP-E2E,PseudoFeature,3,1.5521456003189087,0.7638453841209412,-0.7883002161979675,-1.0320154216879505
20,LH,PseudoFeature,3,1.649489402770996,0.7638453841209412,-0.8856440186500549,-1.1594545664097764
20,LH-E2E,PseudoFeature,3,1.9090925455093384,0.7638453841209412,-1.1452471613883972,-1.4993180363410665
10,MLP,PseudoFeature,3,1.9533565044403076,0.8699200749397278,-1.0834364295005798,-1.2454436455850793
10,MLP-E2E,PseudoFeature,3,1.642719030380249,0.8699200749397278,-0.7727989554405212,-0.8883562728381276
50,MLP,PseudoFeature,3,1.520978331565857,0.8675507307052612,-0.6534276008605957,-0.7531866180660148
75,MLP-E2E,PseudoFeature,3,1.2973436117172241,0.7305329442024231,-0.566810667514801,-0.7758865250541578
50,MLP-E2E,PseudoFeature,3,1.478656530380249,0.8675507307052612,-0.6111057996749878,-0.7044035328956489
50,LH,PseudoFeature,3,1.5101978778839111,0.8675507307052612,-0.6426471471786499,-0.7407603088020229
75,LH,PseudoFeature,3,1.4266399145126343,0.7305329442024231,-0.6961069703102112,-0.9528755353671321
50,LH-E2E,PseudoFeature,3,1.6510753631591797,0.8675507307052612,-0.7835246324539185,-0.9031456083461136
75,LH-E2E,PseudoFeature,3,1.587891697883606,0.7305329442024231,-0.8573587536811829,-1.1736072417886985
75,MLP,PseudoFeature,3,1.463919997215271,0.7305329442024231,-0.7333870530128479,-1.0039068858332472
75,MLP-E2E,PseudoFeature,3,1.4298479557037354,0.7305329442024231,-0.6993150115013123,-0.9572669063745047
5,MLP,PseudoFeature,3,2.097943067550659,1.3807189464569092,-0.71722412109375,-0.5194569995104603
75,LH,PseudoFeature,3,1.437033772468567,0.7305329442024231,-0.7065008282661438,-0.9671033098137457
5,MLP-E2E,PseudoFeature,3,1.8908703327178955,1.3807189464569092,-0.5101513862609863,-0.36948242621722266
75,LH-E2E,PseudoFeature,3,1.5652754306793213,0.7305329442024231,-0.8347424864768982,-1.1426486554802102
5,LH,PseudoFeature,3,2.105652093887329,1.3807189464569092,-0.7249331474304199,-0.5250403416934963
5,LH-E2E,PseudoFeature,3,2.1406877040863037,1.3807189464569092,-0.7599687576293945,-0.5504152453180756
5,MLP,PseudoFeature,3,2.082437753677368,1.3807189464569092,-0.701718807220459,-0.5082271153163748
10,MLP,PseudoFeature,3,1.9165195226669312,0.8699200749397278,-1.0465994477272034,-1.2030983970564386
5,MLP-E2E,PseudoFeature,3,1.846318006515503,1.3807189464569092,-0.46559906005859375,-0.3372149424423971
10,MLP-E2E,PseudoFeature,3,1.7343814373016357,0.8699200749397278,-0.864461362361908,-0.9937250412594536
5,LH,PseudoFeature,3,2.137158155441284,1.3807189464569092,-0.756439208984375,-0.5478589331489142
10,LH,PseudoFeature,3,1.898894190788269,0.8699200749397278,-1.0289741158485413,-1.1828375335743728
5,LH-E2E,PseudoFeature,3,2.5405898094177246,1.3807189464569092,-1.1598708629608154,-0.8400484877369022
10,LH-E2E,PseudoFeature,3,1.939775824546814,0.8699200749397278,-1.0698557496070862,-1.2298322345086827
10,MLP,PseudoFeature,3,1.9062778949737549,0.8699200749397278,-1.036357820034027,-1.1913253296354047
20,MLP,PseudoFeature,3,1.719732403755188,0.7638453841209412,-0.9558870196342468,-1.2514142776869872
10,MLP-E2E,PseudoFeature,3,1.7292028665542603,0.8699200749397278,-0.8592827916145325,-0.9877721142072364
20,MLP-E2E,PseudoFeature,3,1.543006420135498,0.7638453841209412,-0.7791610360145569,-1.020050722583395
10,LH,PseudoFeature,3,1.9173030853271484,0.8699200749397278,-1.0473830103874207,-1.2039991265404335
20,LH,PseudoFeature,3,1.6311955451965332,0.7638453841209412,-0.867350161075592,-1.1355048797915663
10,LH-E2E,PseudoFeature,3,2.218059539794922,0.8699200749397278,-1.348139464855194,-1.5497279620183493
20,LH-E2E,PseudoFeature,3,1.677554726600647,0.7638453841209412,-0.9137093424797058,-1.1961967192237903
20,MLP,PseudoFeature,3,1.6753758192062378,0.7638453841209412,-0.9115304350852966,-1.1933441689044393
50,MLP,PseudoFeature,3,1.5746923685073853,0.8675507307052612,-0.707141637802124,-0.8151011955545986
20,MLP-E2E,PseudoFeature,3,1.508445143699646,0.7638453841209412,-0.7445997595787048,-0.9748042929337266
50,MLP-E2E,PseudoFeature,3,1.4095039367675781,0.8675507307052612,-0.5419532060623169,-0.6246933889638302
20,LH,PseudoFeature,3,1.6208235025405884,0.7638453841209412,-0.8569781184196472,-1.1219261597108245
