Molecule,SMILES,Formula_x,SpMax_A,VE1_A,AATS8dv,AATS8s,AATS2i,ATSC1dv,ATSC8d,ATSC0p,ATSC0i,MATS1c,MATS2s,MATS3s,MATS6s,MATS7s,MATS8s,GATS4c,GATS1dv,GATS5dv,GATS7dv,GATS6d,GATS7d,GATS2s,GATS3s,GATS2v,GATS3v,GATS1p,GATS6p,GATS3i,GATS6i,GATS8i,BCUTc-1h,BCUTd-1l,BCUTs-1h,RPCG,Xch-5d,Xch-7d,Xc-5d,Xc-5dv,Xc-6dv,AXp-1d,SdssC,SaasC,SaaaC,SssssC,SsNH2,SssNH,SsOH,SssO,SdS,SddssS,MAXaaCH,AETA_beta_s,AETA_eta_L,AETA_eta_F,ETA_epsilon_5,IC1,IC2,CIC2,ZMIC1,PEOE_VSA1,PEOE_VSA2,PEOE_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA10,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA9,VSA_EState3,VSA_EState7,VSA_EState8,MDEC-33,TopoPSA(NO),GGI3,GGI5,GGI6,GGI7,GGI8,GGI9,JGI2,JGI5,FPSA3,RPCS,Mor02m,Mor03m,Mor06m,Mor08m,Mor11m,Mor13m,Mor16m,Mor23m,XLOGP3,Silicos-IT_Log_P,ESOL_Log_S,ESOL_Solubility_(mg/ml),Ali_Log_S,Ali_Solubility_(mg/ml),Silicos-IT_Solubility_(mg/ml),SpDiam_A,AATS5d,AATS7s,AATS1i,AATS3i,AATS4i,AATS6i,ATSC8dv,ATSC1d,ATSC7d,AATSC0v,GATS2c,GATS3c,GATS8c,GATS3dv,GATS4dv,GATS6dv,GATS8dv,GATS1d,GATS2d,GATS5d,GATS4s,GATS6s,GATS1v,GATS5p,GATS7p,GATS1i,GATS2i,GATS4i,GATS5i,GATS7i,RNCG,Xc-3dv,AXp-0d,SdO,SssS,SaaS,AETA_alpha,AETA_beta_ns_d,ETA_dAlpha_B,ETA_dEpsilon_D,CIC1,ZMIC2,PEOE_VSA4,PEOE_VSA6,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SlogP_VSA3,SlogP_VSA4,EState_VSA4,EState_VSA5,VSA_EState9,AMID_C,JGI4,RNCS,Mor26m,Mor30m,Mor31m,MOMI-Z,MLOGP,pIC50
2_a47,Oc1cccc2c1c(ccn2)Nc1ccnc(c1)c1ccccc1,C20H15N3O,2.427611449,4.188333736,4.672131148,2.93715847,146.1018162,22.382643,-0.8284023669,8.858345261,62.46764447,-0.4448537678,-0.02892808684,-0.06976049983,0.02385848535,-0.07506031486,0.1155272816,0.7885458936,0.6142379454,1.16427588,0.9763345656,0.930510167,0.8956486704,0.6888466757,0.9765775772,0.9810364011,0.9549870422,0.8166995854,1.044632565,1.116336228,1.014867223,0.8595394201,0.4149287333,0.9938724285,6.002807773,0.1603666013,0.0,0.4569100218,0.2730118646,0.07183363128,0.0,0.4373949292,0.0,3.870485185,1.454085483,0.0,0.0,3.357896589,10.17030951,0.0,0.0,0.0,2.027556322,0.6354166667,0.1709410777,1.080176258,0.7448717949,2.819774933,3.899408685,1.385993533,57.60172935,10.423316,9.967957042,22.2842392,5.316788604,15.07448444,11.37477255,0.0,5.749511833,5.386224214,24.52642128,0.0,14.2347555,3.49732946,0.0,7.259024008,58.04,1.6875,0.5833333333,0.2832653061,0.2274305556,0.1809019904,0.085625,0.06006006006,0.01944444444,0.04640514963,112.7616894,21.70862663,-3.085546691,2.093372927,-2.069038732,0.3039448977,-1.438764958,-0.05117055834,-0.7471076458,4.52,3.7,-5.11,0.00243,-5.46,0.00109,4.73e-06,4.847159659735189,3.4245958452801717,3.0043665452753006,147.14826600320623,156.1090247491882,159.08789140841512,157.85807092330737,-0.493242128535222,10.064643000455998,-14.24627713840187,49.9324329939969,0.9308158532603206,1.1855458719209984,1.030174995666691,0.8765117532555441,0.9860817667470136,0.9516164990723947,0.9792422178735897,0.591666219110218,1.1251237260890776,1.155415532543725,0.9782622294205774,0.6965889993640435,0.9625259397091468,1.0350866290176581,0.995077835022114,1.079904968415835,1.2308687237160245,1.053872563655259,1.2344927452310832,1.0332468290388201,0.21321850135655798,0.45430605312402195,0.6759609800997118,4.435745989586582,0.10366070573851098,0.17900327839998406,0.4928731324317958,0.0157036135273234,0.02791734539449523,0.042615541231922224,1.9007108798231513,31.961138376494514,-1.8513736665999856,43.24240699261979,13.756009470347795,23.92333832296712,-0.3231839309945963,10.269867629145203,1.369368891900054,0.7637776354499515,35.2357287590596,14.26148609415173,2.164779101429029,1.689927487697964,0.03818014709188794,88.18210349327038,-0.1298749609043201,0.3333277159581334,0.10012306167287974,2492.140273684965,2.8943009663796855,7.523564634193254
3_a47,Clc1cccc(c1)c1nccc(c1)Nc1ccnc2c1c(O)ccc2,C20H14ClN3O,2.42854212,4.288879021,4.837887067,2.93790056,145.8865694,20.44498015,0.7975016437,9.421100348,61.43405462,-0.4573306327,-0.0178418886,-0.07462730037,0.01980036242,-0.06539586316,0.1048731877,0.8067614138,0.6275006712,1.160796789,0.9865687707,0.9232076113,0.8963334171,0.6778387145,0.9821905125,0.9228204562,0.9775562246,0.7320783938,1.002080505,1.119625301,1.01397345,0.8650971411,0.4152798632,0.992958786,6.002807991,0.1618126117,0.0,0.5294303125,0.2730118646,0.07183363128,0.0,0.4358396407,0.0,4.264512054,1.416887578,0.0,0.0,3.339525699,10.18618161,0.0,0.0,0.0,1.963945211,0.64,0.1737368461,1.096415804,0.7686067019,3.176714246,4.382343733,0.9030584859,54.32350046,10.423316,9.967957042,22.2842392,5.316788604,15.07448444,11.37477255,0.0,5.749511833,10.40885753,24.52642128,11.60093989,14.88110559,3.449390953,0.0,8.275656165,58.04,1.875,0.6388888889,0.346122449,0.2552083333,0.2055933485,0.105625,0.06267806268,0.01996527778,0.04167884088,112.6085478,22.26950585,-3.798586676,3.276838188,-2.102443137,0.526416267,-1.146922491,-0.002372149951,-0.6432408205,4.6,4.32,-5.35,0.00156,-5.54,0.000995,1.33e-06,4.834055861350463,3.6572003235210064,3.3934519287321145,146.05381239080506,156.93620741677643,160.89030385217072,155.70238664174042,23.298324584431363,9.581605277392242,-13.021074895765441,49.57892825277713,0.8564040660813822,1.104959792012075,1.0296877485015719,0.9201184738829296,0.9835589644645302,1.008917564456345,0.8935894660730521,0.626378183279209,0.9713372996929992,1.272768680343882,0.9383645917656811,1.0141398766525438,0.8772245717694456,0.8494205946333383,0.9142019769646009,1.0759509723070477,1.080651888398989,0.9709854528980266,0.9179705405239995,0.8618048533847283,0.21352262654109883,0.7399838432114842,0.6797095981845407,18.226457840251452,-0.30236388010523596,0.453551920610518,0.4912249260889833,0.02448183073856435,0.018983933240564303,0.01984020961121108,2.0703048771907637,28.502671170218076,-4.396197076165937,26.490157411064708,7.898668863342276,16.731219017139594,-0.1439894646218156,14.39536571530314,10.009187964796238,13.64991999275984,61.05123234772344,13.192430890289934,-0.8652573545865154,1.4537306168116684,0.030673179141672488,77.15485469066323,-0.2634015832728904,0.485242606087673,0.17753569143284936,2215.8359971274376,2.26609083876279,6.440261847688784
4_a47,Clc1cccc(c1)c1ncc(c(c1)Nc1ccnc2c1c(O)ccc2)C,C21H16ClN3O,2.43849921,4.504189134,3.430555556,2.805578938,147.083025,37.25783153,1.036281179,10.27412048,65.44647248,-0.462831711,0.0139562579,-0.0438877128,-0.01360294654,0.01542913591,-0.09520942434,0.9763347598,0.581361142,1.118048297,1.047794007,1.15582404,1.116742923,0.6563158189,0.9453078191,0.8577817207,1.020153614,0.7652575482,1.003844855,1.238701423,1.01939035,0.8980867165,0.4154057208,0.9929531552,6.002808249,0.1596592802,0.0,0.5778298392,0.3908629948,0.1135002979,0.0,0.4349721911,0.0,5.330378929,1.42341819,0.0,0.0,3.407812736,10.25548433,0.0,0.0,0.0,1.979409801,0.6346153846,0.1807095864,1.095571887,0.7661564626,3.550937415,4.552217125,0.840100298,50.57652967,10.423316,9.967957042,22.2842392,5.316788604,15.07448444,11.37477255,0.0,5.749511833,10.40885753,18.32957771,11.60093989,15.02436381,3.541983545,1.986431231,10.57255592,58.04,1.9375,0.8055555556,0.5706122449,0.3836805556,0.246409675,0.105625,0.07588075881,0.02301587302,0.03939318105,112.5876439,24.12017924,-3.699249011,3.8542825,-2.294812311,0.7823228515,-1.266474026,-0.06984228701,-0.6872409346,4.96,4.83,-5.64,0.000836,-5.92,0.000438,5.81e-07,4.885124383626412,3.282749072403212,2.2825007813952194,147.7607117758568,158.45705489834455,155.03334897916804,158.70229299300118,0.31584299752855927,8.479173735891457,-10.668478084791705,50.87098959119937,1.1520344617242164,1.0760048826039101,1.0524631070642052,1.1136495763207823,0.8841906486116381,0.9380867042525167,0.9602004393706278,0.6813210405506392,0.9754287419769915,1.0781748690013653,1.218865602994866,1.1299105911780876,0.664729773793294,0.9538969701611831,0.9825327752494374,1.0166468072951176,1.300519310390572,1.0252985678559232,1.0597750703608033,1.1112695035932032,0.1461228240435025,0.6471516643660531,0.6931968594741762,8.02007179733651,-0.18397627495444951,1.0049474718942761,0.4648669485422603,0.01143082551080111,0.006310591149280773,0.028095637583887112,2.1383788845509706,29.31751723622107,-0.8053209461208155,46.63135492584323,4.5927393757551505,27.29855235276321,4.229250599401165,28.677740485383204,3.358966546577761,5.099067400213922,62.49298071414123,-13.439266643809749,1.4238597555188501,1.7805547617812099,0.03771123854500539,38.29369310600145,-0.22714420653552053,0.2730435978290986,0.011612322965906696,1954.6674080226637,3.040171206268071,7.250270934954681
6_a47,Clc1ccc(c(c1)c1ncc(c(c1)Nc1ccnc2c1c(O)ccc2)C)F,C21H15ClFN3O,2.443491056,4.725227062,4.112373737,3.311892069,148.2792307,38.9154279,3.540816327,10.4114461,88.26596571,-0.4599345185,0.00727953253,-0.04973200837,0.00292667815,-0.007804002732,-0.1499042238,0.9661265621,0.5094767914,1.099758723,1.052872619,1.135883905,1.131723158,0.5996075563,0.933023792,0.8426216322,1.009394961,0.7653302042,0.9982960069,1.201590176,0.8967573813,0.9533057266,0.4174262338,0.9929395037,8.001918802,0.1505199244,0.0,0.621750457,0.471796088,0.1263661433,0.0,0.4341625714,0.0,3.290039074,1.291219116,0.0,0.0,3.304827098,10.24228874,0.0,0.0,0.0,1.825806671,0.6388888889,0.1792273279,1.141191555,0.8022988506,3.773884841,4.707677244,0.6846401786,48.01966504,10.423316,9.967957042,22.2842392,5.316788604,15.07448444,15.7651876,5.817220841,5.749511833,32.87032401,42.72552249,11.60093989,14.60270161,3.332765438,1.899483952,12.73799104,58.04,2.25,0.8888888889,0.6514285714,0.4149305556,0.271101033,0.184375,0.0826873385,0.02339181287,0.03508395143,36.9499296,22.41741267,-3.684687613,4.013681922,-2.268497332,0.6197391839,-1.541834689,-0.2558404487,-0.7187827141,5.06,5.24,-5.79,0.000619,-6.02,0.000362,3.31e-07,4.895869078569872,3.7385523508702887,3.596243503935579,145.61780416814972,153.44818272757806,158.35618529499206,159.22764729575226,32.16516809929545,11.718997148316875,-16.67563749725442,47.48295309015887,0.8264859181599575,0.8580815404745596,1.0964881252792051,1.1469814620801961,1.165291520842061,0.9625565917384488,1.128721233152081,0.7729973717287886,1.160380581217669,1.3449267549938853,1.4052142474788745,1.0501457271525043,0.9213568911548439,0.9421934682389537,0.9797913124131687,1.0612620103751518,1.1547543455466625,1.1040208556242386,1.1186211674214392,0.7025596164224519,0.19328058634239412,0.5280956359441017,0.7002140768369335,4.731570045016751,0.09070481754229509,-0.39719506321682,0.4841734838248758,0.01006476657899993,0.023558034007190663,0.029862535482024073,2.212732596266047,27.184910115411427,2.6774098061303926,37.48150442212993,1.8867299182031472,33.687085875122335,-1.6742747544881165,38.82275240663151,7.615955793253297,12.573466863153456,55.26108721647208,6.49821894369184,-0.02807724228514208,1.6537058358304377,0.0422545186779979,34.51569847256607,-0.11678259353111586,0.3032296115978156,0.3520416904974698,570.5675007130365,1.204662214254558,7.933624807585155
7_a47,CCc1cnc(cc1Nc1ccnc2c1c(O)ccc2)c1cc(Cl)ccc1F,C22H17ClFN3O,2.447093052,4.793948725,3.761006289,3.240003106,148.7218822,48.48731596,-8.288395062,11.23673408,92.08050735,-0.4610514897,0.01567474988,-0.02110674578,0.02882840204,-0.04737028428,-0.04402021013,0.9496164597,0.4925394445,1.132578952,1.042623384,1.135146366,1.2433281,0.5920619779,0.8980022815,0.8754222799,0.9224047234,0.7955457744,0.9338277945,1.138877401,0.8523927065,1.061682954,0.4175401916,0.9877164069,8.001918968,0.1468055473,0.0,0.6018215977,0.4372782912,0.1141622592,0.0,0.4375123208,0.0,3.454980678,1.303301032,0.0,0.0,3.356077098,10.29948396,0.0,0.0,0.0,1.833619171,0.6339285714,0.1941264787,1.128905464,0.7988888889,3.828988176,4.808411152,0.6834419445,48.00342041,10.423316,9.967957042,22.2842392,5.316788604,15.07448444,15.7651876,0.0,11.56673267,32.87032401,42.72552249,11.60093989,14.72193027,4.137254823,2.017820977,12.73799104,58.04,2.25,0.9513888889,0.6514285714,0.4930555556,0.3408919123,0.215625,0.08080808081,0.02378472222,0.03282110686,14.65158489,21.66335514,-3.938369241,3.284255099,-2.232619483,0.5403472184,-1.641123724,-0.0896806384,-0.7684211434,5.49,5.63,-6.06,0.000345,-6.47,0.000134,1.39e-07,4.982024131898779,3.949002140535277,3.0248608909027768,148.33520354019524,160.10124305500239,155.3007009710769,154.8577197816064,2.332685593766449,15.843311047731262,-14.179109646703452,49.08112476757902,1.0030796730085483,0.9884630937705853,1.26025851060832,0.992856980643262,1.00018705559147,0.9043727040039892,1.0196192412297163,0.5129753387698184,1.1605354600659283,1.3401772929239828,1.2040330400155619,0.6772944415261244,0.9125605665861136,1.0237031608983267,1.05022550957497,0.9912049179212832,1.0346881474810081,1.032197971972347,0.8746064796773989,1.0771132829658936,0.24657653486975908,0.7540493357198754,0.69261320626369,7.204713840489923,0.5679507970149291,-0.7614026043410611,0.48240612038250413,0.022588670522534635,0.023742372424267272,0.03041153634268455,2.190143843859016,31.417826111488655,6.52368685078797,43.144548986457686,-8.97158452687094,24.224839233051316,1.773214392798692,29.662572357511955,7.14482061467985,15.435751873224785,37.27104537150745,3.3930977807786196,1.2235531730051796,1.5946390286989587,0.0436953731359436,13.83414084050446,-0.41842855913941485,0.3524032045974792,-0.2489562232492003,1785.8784903350288,1.5376887291445485,5.516127629803502
9_a47,Cc1ccc(c(c1)c1nccc(c1)Nc1ccnc2c1c(O)ccc2)F,C21H16FN3O,2.432294,4.545341807,5.085714286,3.166666667,148.4765403,39.81632653,3.206349206,9.78970815,89.15266053,-0.4477815531,0.01221177113,-0.07388099019,-0.1006619025,-0.09457652411,0.04669095839,0.7424213425,0.5038001543,1.141185036,0.998046875,0.880204461,0.8977695167,0.594488226,0.9565856001,0.8988177494,1.005754583,0.8486653759,0.9868411371,1.151207477,0.976771779,0.8603044595,0.4165610383,0.9929407504,8.00191865,0.1494411664,0.0,0.5733509303,0.3539449579,0.08469947665,0.0,0.4349721911,0.0,3.256913413,1.323246814,0.0,0.0,3.269526172,10.18764651,0.0,0.0,0.0,1.833664443,0.6346153846,0.176788935,1.120210899,0.781462585,3.550937415,4.599836172,0.7924812504,49.54942159,10.423316,9.967957042,22.2842392,5.316788604,15.07448444,15.7651876,0.0,11.56673267,22.16030442,54.85825662,0.0,14.09152301,3.300703945,1.913615089,10.25605542,58.04,2.1875,0.7222222222,0.386122449,0.2864583333,0.2302847065,0.184375,0.07046070461,0.02063492063,0.0433109805,121.4167727,22.41989402,-3.502361346,2.469023381,-2.308622725,0.252506525,-1.670803431,-0.1909803943,-0.8289668641,4.43,4.61,-5.2,0.00218,-5.37,0.00148,1.17e-06,4.930044850321658,3.319288808022786,2.512515980517138,143.85947720186223,158.9448078227716,158.86899237532262,159.45036412283872,-20.12076886840355,11.163652501746592,-3.481543304700831,46.3705933603661,0.8837247013708727,1.175077756847057,0.83430259594334,1.045595713345493,1.150951861503644,0.9527705742281896,1.3201275705879467,0.6474208318273942,1.0820121898746697,1.1080232829565972,1.4422412783010556,1.117786971407121,0.812279450700985,0.9196330179921121,0.873463793946141,1.1842295746899192,1.1596954202975904,0.9247027274393993,0.9534675001315613,1.087389433697716,0.17643969345698177,0.6039769438743624,0.6940738829864156,1.309499922736566,0.25723670939068594,1.0150202005103248,0.48438375070226153,0.010755449086008381,0.017494168399251386,0.008058528616169132,2.0249757552280423,31.45189216767339,-4.097716502836446,6.924848387109037,1.5853566914805062,28.908027933057923,6.157856029182176,35.30874773424212,14.817264490643955,10.426129481280444,44.8984710990884,9.663382760966597,0.2578483514730423,1.5842648705645181,0.04869753613271807,44.31188086075169,-0.17817054286513212,0.19966474329139217,-0.29941758679993136,1351.6523107733096,3.038723121189805,6.20540129649017
11_a47,Fc1ccc(c(c1)c1nccc(c1)Nc1ccnc2c1c(O)ccc2)c1cccc(n1)C,C26H19FN4O,2.447406335,5.223103586,4.592592593,3.2031893,148.005064,48.72702807,5.00461361,11.74890228,104.7620402,-0.4513845054,0.02880841363,-0.1207369613,0.04592782758,-0.03139278588,-0.05852388518,0.8286912422,0.4965534265,0.983004827,1.022591265,1.002651557,0.9300025188,0.587489822,1.015255305,0.9083046084,0.9186291024,0.847528118,1.062271599,1.023625162,1.052322885,0.9832881022,0.4181444693,0.9929418699,8.001919866,0.1305729684,0.0,0.6760391143,0.3813168503,0.1084181901,0.0,0.4327922232,0.0,4.946510396,1.311097861,0.0,0.0,3.331488778,10.33705855,0.0,0.0,0.0,1.927812037,0.640625,0.1749900716,1.228395836,0.7788515406,3.425617863,4.696455979,0.975969363,64.59104617,10.423316,14.95193556,27.9781672,5.316788604,20.05846296,15.7651876,0.0,11.56673267,27.84769069,36.65915542,0.0,14.29703584,3.34677797,1.92057956,13.7536787,70.93,2.5625,1.055555556,0.6506122449,0.4722222222,0.3247669438,0.205625,0.06535947712,0.02069716776,0.04207328569,138.6088784,27.49003623,-3.950224007,1.757993986,-3.087580778,0.4198524754,-1.735392961,0.1506020025,-0.9175478109,5.06,5.58,-6.03,0.000394,-6.29,0.000216,1.19e-08,4.844287741981137,3.2997321784556095,2.8084475632568147,146.83153580564056,158.95293715488964,155.39159476400303,158.0240361452498,65.69908440986863,13.810669168005163,-16.304198262535927,50.37433775485624,1.2013326849189063,1.04928386590349,0.9118412823620201,1.0882283337934746,1.1432434534190892,1.2427781710098642,1.0298919256122425,0.5655814856177884,1.1848959007397264,1.0592108339297797,0.8371285453863209,1.0590403671939528,0.8867886749586614,0.9143258157118439,1.0990280281881009,0.9652432065819864,1.0931138421249256,1.0222191302534813,1.0415273948273127,0.9473029751895473,0.19061435631845808,0.8292409030489174,0.6925163654741565,12.3560801659123,-0.2054924217826209,-0.9411205344899163,0.47268200509657776,0.025668937138188148,0.03787983131995741,0.000556578664779702,2.072800217243207,29.253711881304216,10.22292752662506,28.66962383717098,8.685878777927257,24.585083913152037,3.1895078615843286,31.90562430221901,15.170198069236767,1.4355011666425366,20.331515542731545,4.985351401430964,2.4019490333335525,1.4993091625830908,0.042179414969247,20.612224096928017,-0.1970139747023778,0.21941055832406092,0.14809101080943338,2332.061567180211,2.142462117551906,6.985109229233382
12_a47,Clc1ccc(c(c1)c1nccc(c1)Nc1ccnc2c1[nH]nc2)F,C17H11ClFN5,2.418348561,4.527285573,6.53427896,3.329568339,151.5858126,20.65318216,1.387755102,8.196602693,83.30648146,-0.3268469775,-0.04065562264,-0.04262915766,0.0305204727,-0.1153212037,0.05594321621,1.065446745,0.5170101939,1.111793778,1.089995582,0.9153846154,0.8920945025,0.6620328294,0.9553643775,0.893361713,1.030208656,0.7385306596,1.0373189,1.034395564,0.9702854514,0.9061370743,0.4235919283,0.9929434621,8.001917973,0.1084435744,0.1178511302,0.6300052608,0.3003491901,0.06856204604,0.0,0.433463331,0.0,2.522177467,1.555521837,0.0,0.0,3.270567838,0.0,0.0,0.0,0.0,1.833912562,0.6666666667,0.1751058915,1.069143863,0.8153846154,3.563740516,4.629003731,0.5002792858,44.47556794,5.316788604,15.06663885,17.57815784,5.316788604,20.16532066,15.7651876,0.0,5.817220841,16.2800128,36.78963192,11.60093989,10.61791692,4.960433881,0.0,8.191064404,66.49,1.5,0.4894444444,0.373968254,0.2395833333,0.1597222222,0.14,0.0701754386,0.01631481481,0.04226647932,172.5609411,22.99855746,-3.212764806,2.827309949,-1.784553136,1.094367482,-1.222559927,0.05355558839,-0.7745893489,3.43,4.19,-4.56,0.00943,-4.51,0.0106,2.61e-06,4.8262353890208844,3.7489706275715795,3.0883588760318634,150.49029168414157,158.1421230570985,156.86400459473026,152.91670505905546,15.612396554241336,6.4333583087006,-18.15670258424754,50.02051614570046,1.4586799832911075,1.1401381303857725,0.8242541852324998,1.1197626342556797,0.9513320413609145,0.9508918764294017,1.0138117643060816,0.5420616010871977,0.9658448424111256,1.198596055635071,0.8572649475143475,0.6678669178207659,0.7776659733091145,1.1678797190570622,1.239696301413465,1.2045523279927912,1.1654515399948184,0.9736376948818527,0.9572596887652028,1.1220953774217228,0.17495996787975573,0.8329719051708364,0.6888746186704545,1.3194734494188372,0.34218796337212787,1.5603109058295908,0.4687657721692815,0.040431412161534876,0.004315395187583847,0.016802329774478354,1.6307266199864912,32.01671981034897,5.046932617690966,15.305170455421333,9.798389189954394,17.55851271042238,2.1362786270415417,30.4593222103399,3.138399236532521,3.447835516512759,71.70415386086428,5.844961915886516,0.42724998870479663,1.5250808812711736,0.04065691191752461,114.48778890550867,-0.28089691237091613,0.48112965076177117,-0.1134566468937976,1929.510718152983,1.1513638216385584,7.283242531863071
13_a47,Cc1ccc(c(c1)c1nccc(c1)Nc1ccnc2c1[nH]nc2)F,C18H14FN5,2.418348561,4.527285573,5.5,3.131944444,152.5881706,40.82825485,2.166204986,8.419409241,87.72633947,-0.3165637934,-0.005322717866,-0.0550498599,-0.1596333436,-0.08847060717,0.03029072186,0.9596611193,0.4664466169,1.087827353,1.041625441,0.8626179245,0.9457713261,0.6336425488,0.9586056398,0.8807830904,1.068976292,0.8730475963,1.019204351,1.086602749,1.057844257,0.8847663519,0.4231673,0.9929434621,8.001917991,0.1061151607,0.1178511302,0.6300052608,0.3003491901,0.06856204604,0.0,0.433463331,0.0,3.419935579,1.594080148,0.0,0.0,3.303553949,0.0,0.0,0.0,0.0,1.855023673,0.65625,0.1797893311,1.046210731,0.789010989,3.680851855,4.662015342,0.5859121712,41.84263589,5.316788604,15.06663885,17.57815784,5.316788604,20.16532066,15.7651876,0.0,5.817220841,11.25737949,30.72326485,0.0,10.22480294,5.035625475,1.92756137,8.191064404,66.49,1.5,0.4894444444,0.373968254,0.2395833333,0.1597222222,0.14,0.0701754386,0.01631481481,0.04344486468,93.241117,21.66864452,-2.518341863,0.9183896586,-2.054199607,0.6497819196,-1.537976239,0.06764118773,-0.7864226082,3.17,4.06,-4.27,0.0173,-4.24,0.0185,4.04e-06,4.904300512886865,3.7788240904629986,2.868511731102748,144.55719222109573,156.92794814785557,155.08798671626192,155.9691362514255,4.197047031539473,11.21891016395719,-11.984838489691626,49.97582692933387,0.8207288831585182,1.3018754087490592,0.8939254437001452,0.904450533893384,0.9674351545006609,1.0811427009494927,1.0194026574330775,0.7348343166459594,1.0575568598521783,1.0843603449521138,0.7849925250174556,0.7427115158136997,0.8045990567036644,1.0241620011327557,1.0942925621507495,1.207380855723012,1.123227820582807,1.0823763992640227,0.9653697637157168,0.9851561609626543,0.0877857042924688,0.6663646309010721,0.6947097851939293,-8.813463896382325,-0.05663744248906265,0.27439630711203544,0.47568391518104186,0.03240437040218952,-0.002075874827323222,0.031512735902233996,1.730405820677441,25.11478005963803,9.376603941991624,-0.7543071137877604,8.324193661133915,21.670428427815338,2.247265185647801,18.44757724628188,11.395244743703989,4.564925182362425,26.98318645766176,-0.32018382774517207,-0.33477713432548245,1.7713137612658556,0.036131681102517056,18.274883114831333,-0.4187368025124192,0.24418760737972978,-0.4045795495193341,1672.5118366416496,1.1045971020591367,7.214831149511063
14_a47,Fc1ccc(c(c1)c1nccc(c1)Nc1ccnc2c1[nH]nc2)F,C17H11F2N5,2.418348561,4.527285573,7.063829787,3.848699764,153.258031,21.88408163,1.387755102,7.75632666,105.0823435,-0.3324012605,-0.02169575001,-0.1081313449,-0.01968392072,-0.0715585851,-0.08538551804,1.089008379,0.4601770353,0.9315510049,1.08450463,0.9153846154,0.8920945025,0.6202766102,1.018143669,0.9444248896,1.014361302,0.8368997701,1.085396937,1.035552176,0.9791559722,0.9369920743,0.4247310126,0.9929434621,8.002958195,0.1033284893,0.1178511302,0.6300052608,0.3003491901,0.06856204604,0.0,0.433463331,0.0,0.8684125251,1.484493371,0.0,0.0,3.209803949,0.0,0.0,0.0,0.0,1.795023673,0.6666666667,0.1708787285,1.093148184,0.8318681319,3.449454802,4.514718017,0.6145650001,45.98540298,5.316788604,15.06663885,17.57815784,5.316788604,20.16532066,20.15560264,11.63444168,5.563451492,11.38131427,30.59278835,0.0,10.0397995,4.821923051,0.0,8.191064404,66.49,1.5,0.4894444444,0.373968254,0.2395833333,0.1597222222,0.14,0.0701754386,0.01631481481,0.04440518404,97.3913209,21.3750784,-2.51038916,0.6789827158,-2.136900752,0.4039750615,-1.43538768,0.07917260982,-0.7740210525,2.91,3.97,-4.13,0.0241,-3.97,0.0349,5.27e-06,4.802550921865422,3.281430949399407,3.079438247957241,145.20835500132762,158.82155201678708,160.06491901031308,157.27115482700088,-62.785011319905266,7.3387079077805595,-3.2996257559196946,49.018373015020096,0.7073600000654717,1.195523481269322,1.1488384263369649,0.9947914978340832,1.2648152489408198,1.002471393096139,0.9299321337858343,0.7037507334077945,1.2821456603407009,0.9958999483280251,1.1039030913153718,1.1276744952751208,0.9408621865465249,0.9186019143867721,1.1650406363795498,0.9414075681532164,1.1335977202110321,1.0865803425903204,1.018513488789232,0.9980227612784008,0.18603303782642452,0.7308019347192499,0.664185006171505,1.3716170428462924,0.43542125425123224,-0.9675205138100502,0.47976646572985143,0.03614948603622449,0.012464924243032121,0.01472134275110477,2.2135012328989254,28.203076734764654,1.2019778209933665,40.44192270390303,5.945382879603664,31.822199007714122,-0.6027748768361447,23.358310453180415,7.88741821756347,-3.1851653458932763,36.39181648663544,12.340289090527186,0.7138133736847302,1.5099630941439672,0.034783605194372756,70.89628126051517,-0.13626820104898393,0.4905754214028158,-0.19870805025269223,3595.72392148576,1.5027795590337243,8.002437100492626
