pIC50,AATS1i,AATS2i,AATS3i,AATS4i,AATS5d,AATS6i,AATS7s,AATS8s,AATSC0v,AETA_alpha,AETA_beta_ns_d,AMID_C,ATSC1d,ATSC1dv,ATSC7d,ATSC8dv,AXp-0d,Ali_Log_S,CIC1,CIC2,ESOL_Solubility_(mg/ml),EState_VSA4,EState_VSA5,ETA_dAlpha_B,ETA_dEpsilon_D,ETA_epsilon_5,GATS1d,GATS1dv,GATS1i,GATS1v,GATS2c,GATS2d,GATS2i,GATS2v,GATS3c,GATS3dv,GATS3i,GATS3s,GATS4dv,GATS4i,GATS4s,GATS5d,GATS5i,GATS5p,GATS6dv,GATS6p,GATS6s,GATS7dv,GATS7i,GATS7p,GATS8c,GATS8dv,GATS8i,GGI6,GGI7,IC1,JGI4,MATS6s,MATS8s,MAXaaCH,MLOGP,MOMI-Z,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,PEOE_VSA1,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,RNCG,RNCS,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SaaS,SdO,SddssS,SdssC,SlogP_VSA10,SlogP_VSA3,SlogP_VSA4,SpDiam_A,SsNH2,SssS,VSA_EState8,VSA_EState9,Xc-3dv,Xc-5dv,Xc-6dv,ZMIC2
8.0,149.6517217,156.7887235,165.1300249,161.1284905,3.280898876,163.1065269,2.793103448,2.854642314,47.50931806,0.4686813187,0.03846153846,1.51914289,11.26608978,74.27852893,1.135208221,75.41319632,0.6959864369,-3.57,1.682895999,0.7237073367,0.0436,34.64685839,6.066367068,0.03131868132,0.01982091982,0.8153439153,0.6450498108,0.3869798971,1.170095256,0.9001993602,1.31642711,1.044650369,1.250283439,0.853075442,1.322431658,1.039052346,0.8916500422,0.9604706502,1.026194743,1.005423611,0.9095742073,1.297543257,1.067359088,1.036944541,1.266190829,1.049558482,1.485893777,0.9712334693,0.9758674735,1.070124523,1.016702807,0.7252172632,0.8242227403,0.5111564626,0.2803996599,3.743368755,0.04253753754,-0.1940148838,0.08640454012,1.907275554,1.75,1305.357101,-2.989518449,-1.516796498,-0.1333143151,0.3854469559,-0.08393550899,5.316788604,5.098681808,0.0,17.57815784,0.1832797149,32.21497008,4.390415048,24.73242031,0.0,11.38785599,0.0,0.0,0.0,0.0,15.7651876,6.544756406,12.74095804,4.83287049,0.0,0.0,4.618875901,0.0,0.6617085363,0.05720369498,0.0,28.33828488
8.22184875,144.7680142,150.4389202,156.0683138,155.6795945,3.161764706,154.9829748,2.650879297,2.412470024,50.43102803,0.4784313725,0.02941176471,1.711287884,12.16646849,71.95005945,-7.663495838,15.45422117,0.6861721141,-6.32,2.530535876,1.298003664,0.000357,39.7073943,0.0,0.02156862745,0.01406162465,0.7780952381,0.6694428793,0.5290962746,1.239575284,0.8862713143,1.279293738,1.218094978,1.250106768,0.9136421318,1.336051257,1.156406583,1.000537192,1.195015165,0.9981005603,1.018772124,0.9160080046,1.074789687,0.9423487783,0.9023790653,1.208969805,1.009444288,1.176446598,1.085982714,1.00656217,1.07735736,0.6386113515,0.887397536,0.9683847604,0.7665306122,0.4305555556,3.327445119,0.02920634921,-0.1277507076,0.008210506092,2.069405377,2.52,1933.406554,-4.526956905,-2.150020148,-0.5937147029,0.547376715,-0.2506254467,19.69042424,0.0,18.19910121,5.693927995,0.1808437435,134.2115193,9.473725908,9.967957042,0.0,22.88687966,0.0,0.0,0.0,0.0,17.06215882,4.736862954,13.8474744,4.832276594,0.0,0.0,4.021741318,0.0,0.8192972001,0.1170048358,0.0,35.31202653
7.361510743,147.1267119,155.4926101,153.8604697,154.7423056,3.255813953,160.5518811,2.519444444,2.7,49.5433796,0.4818181818,0.04545454545,1.516857384,17.56826446,82.06887052,6.114049587,3.831037649,0.6904812668,-5.61,1.964143932,0.950266591,0.00456,44.39282129,0.0,0.01818181818,0.01550802139,0.8117647059,0.5502299156,0.5032986119,1.246454741,0.8848085675,1.327952892,0.9868649161,0.9825257012,0.720369697,0.9690716316,1.046754328,1.083243039,0.9181392224,1.188428787,1.223509617,1.130769684,1.038885702,1.115057542,1.119548288,0.8343994904,1.050322085,1.02427245,0.7392863864,0.9748046223,1.146020669,0.9042829602,0.918081473,1.041018816,0.614829932,0.5538548753,3.817215782,0.0405664488,-0.08323872643,0.02008862009,2.004500121,2.2,2428.673969,-4.56770909,-1.563893355,-0.261842053,0.2409274504,0.09389796053,14.79051451,5.425791397,35.61190719,24.79067027,0.1700935143,51.01493161,9.473725908,20.40266096,4.992404733,22.88687966,1.571304065,0.0,0.0,0.9961268768,5.13155848,6.544756406,13.08951281,4.849748974,0.0,0.0,2.515238238,3.277664584,0.9503966762,0.1474660367,0.0,32.34373128
7.327902142,144.8518344,149.5447942,155.9307143,155.1791773,3.618421053,156.8242022,2.690763052,2.620634921,50.05059267,0.4787878788,0.02272727273,1.711870415,10.09642075,47.76479182,-16.98100804,-2.61431702,0.6865492513,-3.77,1.787539608,0.8312131757,0.0301,40.44737137,0.0,0.02121212121,0.02127799736,0.768115942,0.6115521327,0.4986240389,1.02838153,0.8246677619,0.8371498937,1.040176648,1.252577326,0.8792985088,1.015151044,1.123588628,0.9770081229,1.052094504,1.06082869,1.047594332,0.8745331225,1.287478174,1.188597174,0.9825969864,1.263816367,1.031970747,0.8441716254,1.087847952,0.9269822579,1.147323346,0.8860458905,0.9048389894,1.05420317,0.4907482993,0.3628472222,3.421913758,0.04435763889,-0.1515832104,0.08694093366,1.998578567,2.09,1700.52003,-2.841419843,-1.106531106,-0.1535896788,0.3119787142,-0.2234071851,5.106527395,5.098681808,24.27512131,17.9326124,0.3179042404,114.258091,5.106527395,14.76446326,0.0,28.26427081,0.0,0.0,0.0,0.0,0.0,6.544756406,6.9237372,4.901991542,0.0,0.0,2.763524726,0.0,0.6051801999,0.08579236005,0.0,24.72911526
7.113509275,150.0679784,153.9194824,159.3868522,155.9591169,3.414285714,162.4927314,2.847457627,2.833333333,45.70914731,0.4727272727,0.0,1.526241476,6.211072664,29.15570934,-0.339100346,16.01384083,0.6717186416,-2.83,1.95054148,0.7136665443,0.166,28.33262175,0.0,0.02727272727,0.02213438735,0.7869565217,0.5791103604,0.5180527014,1.114878099,0.8034947067,1.226162554,1.041127874,1.242668863,0.9247869939,0.9584354375,1.089809913,0.9090941507,0.9545454545,1.003955125,1.234467219,0.8673197492,1.071354167,1.094298239,0.9921028173,1.040182868,1.016326401,1.050470219,0.8854137779,0.83990913,1.067674364,0.9076725832,0.9641825932,1.122448978,0.2087528345,0.1927437642,3.136921362,0.02385416667,-0.06332288401,0.1832896168,1.976481481,1.07,921.8420309,-2.494540355,-1.096020032,-0.0157224321,0.5093656477,-0.3064979401,0.0,10.19736362,6.066367068,5.693927995,0.182185791,56.12759645,0.0,29.9458054,0.0,28.33262175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.797866366,0.0,0.0,0.0,0.0,0.3914235927,0.06953456841,0.0,25.94615458
8.22184875,150.6227588,156.2364618,163.3449994,163.4525293,3.553398058,164.4285678,3.353853854,3.257281553,45.31563466,0.46359447,0.04838709677,1.493656184,7.703125,58.5,-5.22265625,-7.75,0.6894086529,-3.99,1.741329353,0.7240601563,0.0201,34.8870312,18.4712695,0.03640552995,0.03407345343,0.8281385281,0.7400360833,0.4239468864,1.066141587,0.8323516745,1.051252339,1.103524395,1.095035408,0.8946434032,1.157188033,1.116874711,0.9983393525,1.076103525,0.8878481581,0.8528479536,0.504034136,1.120831349,0.9836531333,1.018994129,1.020054945,0.9199051196,0.8679392472,0.8740669241,0.6555403972,0.8922500697,1.016191495,0.9245723532,0.987788197,0.696462585,0.5130385488,3.843633148,0.04419753086,-0.1237997762,-0.05519198601,1.926934145,2.78,2306.778916,-3.09886858,-1.755738297,0.1233723003,0.3863099827,-0.05888017382,10.30076712,5.425791397,12.14238718,23.62654039,0.1523272844,30.05378148,8.780830095,25.38663948,4.992404733,11.38785599,0.0,0.0,0.0,0.8292649282,14.46821637,6.544756406,24.72395449,4.84886367,0.0,0.0,2.161954189,0.0,0.7992326864,0.06365387513,0.0,30.43903568
7.30980392,144.3174032,148.2158062,155.5005704,160.1483726,3.685714286,150.6606291,2.659451998,2.451205173,48.70120046,0.4922619048,0.04166666667,1.668598938,4.756026297,25.58788518,-9.604821037,-1.629665702,0.681465016,-4.26,2.168617053,1.005926512,0.00759,28.66745114,0.0,0.007738095238,0.01980952381,0.7754285714,0.7089972527,0.5698652577,1.132512957,0.7501828975,0.8817985326,1.103610675,1.140049471,0.929009831,1.403654175,0.9912602227,1.228018363,1.003693386,1.127954012,1.046167488,1.164775022,1.254631083,0.8716138248,0.650734107,1.165705981,0.9815847903,0.9397280068,1.023766761,1.040063116,1.084202037,0.4955967438,0.9505280413,0.9511288463,0.3844897959,0.2725694444,3.040836313,0.0375,-0.08592558512,0.0002973963039,2.004462449,3.58,1372.303956,-3.326694307,-1.232877387,-0.44083332,0.4441419449,-0.1631997952,5.316788604,0.0,29.8000411,5.687386275,0.2216261846,29.63332311,0.0,10.30076712,4.992404733,0.0,0.0,0.0,0.0,0.6545581381,11.37477255,0.0,6.165775612,4.8884035,0.0,0.0,0.0,0.0,0.5982691087,0.05143799709,0.0,29.99218522
6.187086643,145.6756489,152.3692317,156.7243031,158.5660927,3.369369369,159.4311695,2.820304818,2.793756146,48.00479604,0.4731182796,0.01612903226,1.622721684,9.9336,59.6336,-10.1108,-1.5408,0.6841461785,-5.23,1.978490264,0.959483369,0.00449,40.03047287,0.0,0.02688172043,0.01606182796,0.7979166667,0.6667444211,0.4928543905,1.253901445,0.8579165357,1.263143658,1.146201083,1.126765514,0.8542836326,0.9479241672,1.104689293,1.036446104,0.7493841166,1.034176102,1.105811125,0.9985451631,1.127544619,1.119860331,0.9749229542,1.086820551,0.8720432635,0.6671579862,1.022812614,1.096381135,1.135496843,0.89754036,0.9796886227,0.9783350062,0.5723809524,0.5755385488,3.665365926,0.04273901809,-0.01323283817,0.001028379954,1.993581034,1.56,1801.206755,-3.062389242,-1.966806931,-0.6798670227,0.7196377646,-0.3665019633,14.79051451,5.261891555,6.066367068,29.55874348,0.1732788131,148.1751399,9.473725908,14.53505669,0.0,34.77396375,0.0,0.0,0.0,0.0,5.687386275,6.544756406,18.25485007,4.848604167,0.0,0.0,2.72396651,0.0,0.7585393788,0.06274916425,0.0,31.26935238
6.950781977,146.3467283,151.2254929,157.186806,159.0318735,3.0234375,156.633458,2.528490028,2.638383838,49.47834402,0.4739583333,0.015625,1.646727263,8.479338843,50.20297521,1.247933884,43.61818182,0.6797656753,-4.15,2.087874319,0.8823513639,0.0256,52.30116798,0.0,0.02604166667,0.0300245098,0.7803921569,0.7281739687,0.5436466395,1.131669773,0.8795727074,1.098436452,1.186132075,1.171715426,0.9889053603,1.016168077,1.043135494,1.015878179,1.053732652,1.043135494,1.08278471,1.393481191,0.9923349057,0.8995710157,0.8184946154,0.9738463563,1.048252812,0.8417966211,0.777126301,1.089856057,1.146973605,0.7786952573,0.8916458408,1.026381936,0.3786394558,0.3785076531,3.693485395,0.02737588652,-0.07109127655,0.144729708,2.034631883,1.37,1432.418675,-4.556060394,-1.438365411,-0.2568511041,0.2918328058,-0.2183428283,10.05365156,5.098681808,18.19910121,11.38785599,0.1606741544,142.3191854,9.531400138,20.16532066,5.917906046,33.77213846,0.0,12.45432442,0.0,0.0585009185,5.687386275,9.531400138,5.917906046,4.821864782,0.0,0.0,1.301084642,0.0,0.7104330604,0.1056068053,0.0,29.45497848
7.7,144.775219,147.1915212,155.8267923,158.771623,3.202380952,157.4010174,3.14172163,3.324057208,47.09045049,0.4820512821,0.07692307692,1.625955818,6.147928994,20.81425475,4.351742275,46.83666529,0.6959864369,-5.65,1.861104431,0.7315211542,0.00116,0.0,18.19910121,0.01794871795,0.03891941392,0.805952381,0.7240049367,0.5499137854,0.9203991109,0.7143467684,0.7765750213,1.139701551,1.116963593,0.9105186018,1.212874598,1.008740849,1.108215123,0.952594945,1.076988932,0.9821725007,1.027062828,0.9526380747,0.9704861299,0.987686915,0.9183002771,0.995896079,0.7314889713,1.024197882,0.9065594642,0.9632520521,0.7863925804,0.8072723091,0.8693869923,0.386122449,0.2864583333,3.424297788,0.03749287749,0.0360866479,0.06598173248,1.819003949,3.26,951.9338672,-4.02754587,-1.308588109,-0.4286383181,0.4802769356,-0.240679363,10.423316,0.0,17.66730696,22.2842392,0.2637362504,78.43899978,9.496942443,9.967957042,0.0,17.00689132,0.0,0.0,0.0,0.0,15.7651876,0.0,5.817220841,4.864588,0.0,0.0,0.0,0.0,0.727356777,0.08469947665,0.0,28.6523244
