sample,strategy,imputation,upstream,rmse_test,best_st_rmse,abs_gain,pct_gain
5,MLP,PseudoFeature,4,1.2794134616851807,1.4783542156219482,0.19894075393676758,0.13456907135958115
5,MLP-E2E,PseudoFeature,4,1.3297113180160522,1.4783542156219482,0.148642897605896,0.10054619930404261
5,LH,PseudoFeature,4,1.1357232332229614,1.4783542156219482,0.3426309823989868,0.2317651472010995
5,LH-E2E,PseudoFeature,4,1.1664083003997803,1.4783542156219482,0.31194591522216797,0.21100891242829198
10,MLP,PseudoFeature,4,1.0127166509628296,1.0413709878921509,0.02865433692932129,0.02751597390601481
10,MLP-E2E,PseudoFeature,4,1.0891538858413696,1.0413709878921509,-0.04778289794921875,-0.04588460645128647
10,LH,PseudoFeature,4,0.8802281022071838,1.0413709878921509,0.16114288568496704,0.1547410937682621
10,LH-E2E,PseudoFeature,4,0.8532630801200867,1.0413709878921509,0.1881079077720642,0.18063486496086784
20,MLP,PseudoFeature,4,0.8794863224029541,0.791105329990387,-0.08838099241256714,-0.11171836298162861
20,MLP-E2E,PseudoFeature,4,0.9471200108528137,0.791105329990387,-0.15601468086242676,-0.19721100964434476
20,LH,PseudoFeature,4,0.8244763612747192,0.791105329990387,-0.033371031284332275,-0.04218279161984382
20,LH-E2E,PseudoFeature,4,0.7975277900695801,0.791105329990387,-0.006422460079193115,-0.00811833751552547
50,MLP,PseudoFeature,4,0.8340635895729065,0.8401344418525696,0.006070852279663086,0.0072260485670321145
50,MLP-E2E,PseudoFeature,4,0.8872448205947876,0.8401344418525696,-0.04711037874221802,-0.056074809453515
50,LH,PseudoFeature,4,0.8118370175361633,0.8401344418525696,0.02829742431640625,0.03368201909923841
50,LH-E2E,PseudoFeature,4,0.7795125246047974,0.8401344418525696,0.06062191724777222,0.0721574003252332
75,MLP,PseudoFeature,4,0.8262937664985657,1.1268813610076904,0.30058759450912476,0.26674289318294386
75,MLP-E2E,PseudoFeature,4,0.8733832240104675,1.1268813610076904,0.2534981369972229,0.22495547958175244
75,LH,PseudoFeature,4,0.8112925291061401,1.1268813610076904,0.3155888319015503,0.280055064198898
75,LH-E2E,PseudoFeature,4,0.779795229434967,1.1268813610076904,0.3470861315727234,0.30800592110455066
5,MLP,PseudoFeature,4,1.2953559160232544,1.4783542156219482,0.18299829959869385,0.12378515085554506
5,MLP-E2E,PseudoFeature,4,1.1378211975097656,1.4783542156219482,0.3405330181121826,0.23034602567756018
5,LH,PseudoFeature,4,1.0218714475631714,1.4783542156219482,0.45648276805877686,0.3087776685959752
5,LH-E2E,PseudoFeature,4,1.1195694208145142,1.4783542156219482,0.3587847948074341,0.2426920361954609
10,MLP,PseudoFeature,4,1.0573573112487793,1.0413709878921509,-0.015986323356628418,-0.015351227893324059
10,MLP-E2E,PseudoFeature,4,0.9830817580223083,1.0413709878921509,0.05828922986984253,0.05597354885776713
10,LH,PseudoFeature,4,0.8729673624038696,1.0413709878921509,0.16840362548828125,0.16171338307508323
10,LH-E2E,PseudoFeature,4,0.9126390218734741,1.0413709878921509,0.12873196601867676,0.12361777648448262
20,MLP,PseudoFeature,4,0.9117447733879089,0.791105329990387,-0.12063944339752197,-0.1524947928223261
20,MLP-E2E,PseudoFeature,4,0.8406192064285278,0.791105329990387,-0.04951387643814087,-0.06258822253004227
20,LH,PseudoFeature,4,0.8169887661933899,0.791105329990387,-0.02588343620300293,-0.03271806575151939
20,LH-E2E,PseudoFeature,4,0.8114363551139832,0.791105329990387,-0.02033102512359619,-0.025699517311864453
