sample,strategy,imputation,upstream,best_tl_rmse,best_st_rmse,abs_gain,pct_gain
5,LH,Gaussian,2,1.3631986379623413,1.309106707572937,-0.0540919303894043,-0.041319725944793204
5,LH,Gaussian,3,1.1863658428192139,1.309106707572937,0.12274086475372314,0.09375925128462809
5,LH,Gaussian,4,1.2824276685714722,1.309106707572937,0.026679039001464844,0.020379575512929238
5,LH,Mean,2,1.216050148010254,1.309106707572937,0.0930565595626831,0.07108401402602885
5,LH,Mean,3,1.2154581546783447,1.309106707572937,0.09364855289459229,0.07153622569715132
5,LH,Mean,4,0.9625558257102966,1.309106707572937,0.3465508818626404,0.2647231733348462
5,LH,Real,2,1.3847287893295288,1.309106707572937,-0.0756220817565918,-0.057766170869901
5,LH,Real,3,1.3063386678695679,1.309106707572937,0.0027680397033691406,0.002114449255630996
5,LH,Real,4,1.2362326383590698,1.309106707572937,0.07287406921386719,0.05566701995513761
5,LH,pseudo,2,1.2549138069152832,1.309106707572937,0.05419290065765381,0.04139685508000076
5,LH,pseudo,3,1.3554667234420776,1.309106707572937,-0.046360015869140625,-0.03541347363126063
5,LH,pseudo,4,1.281367540359497,1.309106707572937,0.02773916721343994,0.021189385901832187
5,LH-E2E,Gaussian,2,1.2615954875946045,1.309106707572937,0.04751121997833252,0.03629285504649011
5,LH-E2E,Gaussian,3,1.0671368837356567,1.309106707572937,0.24196982383728027,0.18483582922425665
5,LH-E2E,Gaussian,4,1.2761354446411133,1.309106707572937,0.03297126293182373,0.02518607745349646
5,LH-E2E,Mean,2,1.0915844440460205,1.309106707572937,0.2175222635269165,0.16616083491788022
5,LH-E2E,Mean,3,1.1191457509994507,1.309106707572937,0.18996095657348633,0.1451073128528009
5,LH-E2E,Mean,4,0.9242033958435059,1.309106707572937,0.38490331172943115,0.2940198148117626
5,LH-E2E,Real,2,1.0506044626235962,1.309106707572937,0.2585022449493408,0.19746460961047238
5,LH-E2E,Real,3,1.1209156513214111,1.309106707572937,0.18819105625152588,0.14375532197862548
5,LH-E2E,Real,4,0.8545461297035217,1.309106707572937,0.4545605778694153,0.347229584295816
5,LH-E2E,pseudo,2,0.9175272583961487,1.309106707572937,0.39157944917678833,0.2991195804830688
5,LH-E2E,pseudo,3,1.2458800077438354,1.309106707572937,0.06322669982910156,0.04829759061148106
5,LH-E2E,pseudo,4,0.9846311211585999,1.309106707572937,0.32447558641433716,0.2478603039288598
5,MLP,Gaussian,2,1.399623990058899,1.309106707572937,-0.09051728248596191,-0.06914431189018924
5,MLP,Gaussian,3,1.0949653387069702,1.309106707572937,0.2141413688659668,0.1635782382193897
5,MLP,Gaussian,4,1.4185644388198853,1.309106707572937,-0.10945773124694824,-0.08361253564263003
5,MLP,Mean,2,1.1519702672958374,1.309106707572937,0.1571364402770996,0.12003333217078084
5,MLP,Mean,3,1.219307541847229,1.309106707572937,0.08979916572570801,0.06859575709622193
5,MLP,Mean,4,0.9201704859733582,1.309106707572937,0.38893622159957886,0.29710047267320205
5,MLP,Real,2,1.4097511768341064,1.309106707572937,-0.10064446926116943,-0.07688026398379906
5,MLP,Real,3,1.2953802347183228,1.309106707572937,0.013726472854614258,0.010485373556799599
