,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),19.462104329250494,2.0,6.527405755098816,0.0015710677420588874,0.01405985196024141,0.0217198352965454
C(strategy),478.82431347501114,3.0,107.06209793085249,2.6035302139314895e-55,0.34591320899995126,0.35326785718773746
C(upstream):C(strategy),9.356094093715626,6.0,1.0459818287443008,0.39429443232754446,0.006759048027813993,0.010560568025393078
Residual,876.59000948885,588.0,,,0.6332678910119932,
