SpDiam_A,AATS5d,AATS7s,AATS8s,AATS1i,AATS2i,AATS3i,AATS4i,AATS6i,ATSC1dv,ATSC8dv,ATSC1d,ATSC7d,AATSC0v,MATS6s,MATS7s,MATS8s,GATS2c,GATS3c,GATS8c,GATS1dv,GATS3dv,GATS4dv,GATS6dv,GATS7dv,GATS8dv,GATS1d,GATS2d,GATS5d,GATS2s,GATS3s,GATS4s,GATS6s,GATS1v,GATS2v,GATS5p,GATS6p,GATS7p,GATS1i,GATS2i,GATS3i,GATS4i,GATS5i,GATS7i,GATS8i,RNCG,RPCG,Xc-3dv,Xc-5dv,Xc-6dv,AXp-0d,SdssC,SsNH2,SdO,SssO,SssS,SaaS,SddssS,MAXaaCH,AETA_alpha,AETA_beta_ns_d,ETA_dAlpha_B,ETA_epsilon_5,ETA_dEpsilon_D,IC1,CIC1,CIC2,ZMIC2,PEOE_VSA1,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA10,EState_VSA4,EState_VSA5,VSA_EState8,VSA_EState9,AMID_C,TopoPSA(NO),GGI6,GGI7,JGI4,RNCS,Mor02m,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,MOMI-Z,MLOGP,ESOL_Solubility_(mg/ml),Ali_Log_S,GATS3p,BCUTs-1h,TSRW10,Mor21m,AATSC0c,EState_VSA6,BCUTi-1h,MINaasC,GATS7c,Mor23m,Xc-4dv,GATS8d,ETA_dEpsilon_C,Mor16m,AATS3d,EState_VSA3,EState_VSA1,TASA,AXp-1d,GATS7d,SMR_VSA6,EState_VSA2,PEOE_VSA3,BCUTs-1l,MATS1c,Mor10m,GATS6v,SdsN,AATS2s,SsssCH,SsCH3,VSA_EState7,Mor22m,IC2,Silicos-IT_Log_P,PEOE_VSA11,GATS5c,MATS2s,GATS2dv,Mor11m,Xc-5d,JGI3,BCUTi-1l,SaaNH,GGI5,SsOH,GATS1c,GATS5dv,GGI9,GATS3d,GATS6d,Xch-6d,SdsCH,AATS3v,Mor12m,GATS6i,iLOGP,PEOE_VSA7,SdS,SdCH2,GGI8,ATSC8d,PEOE_VSA2,SMR_VSA5,ATSC0i
5.015108728,3.571428571,2.631991051,2.365774534,147.897182,153.2500106,159.8000222,158.4352573,156.5160676,72.73256198,-2.237024793,14.57487603,-10.73586777,49.76772029,0.0274089292,-0.08780878329,-0.05223775724,1.052637781,0.963340124,0.9363942786,0.4693557578,0.9446395246,1.147607674,1.182902024,1.122437907,0.9319946198,0.5839789217,0.9204824621,1.298889625,0.6404486558,0.8226436839,1.345580498,0.8846520018,0.8880320811,0.9492248359,0.969858803,1.093431052,1.163814925,1.168735181,1.184679694,0.9198820902,0.9564230304,1.080397992,1.075039646,1.010904983,0.1554476511,0.110785658,0.6759707009,0.1476931915,0.0,0.6841461785,-0.1081919926,5.51115406,12.46795355,0.0,0.0,0.0,0.0,2.033670292,0.4752688172,0.0,0.0247311828,0.7578431373,0.04430740038,3.659357268,2.122002445,1.00293199,29.99511672,11.05045608,5.098681808,12.13273414,11.21062871,4.794537184,25.06523039,5.733667477,22.51475897,38.74513433,12.96557803,0.0,0.0,59.22490518,5.693927995,2.041327498,0.0,1.636943219,98.72,0.5683446712,0.4010416667,0.03583877996,15.27572621,24.3618497,-3.285621319,-1.615521938,0.04160494237,0.3046910244,-0.1291054674,2401.104149,1.47,0.109,-3.5,0.8306672808,7.008272408,83.16547134,-0.4514968731,0.01395861734,12.39368714,14.69238216,0.5966258742,0.8039650585,-0.8061596552,0.0,0.829932088,-0.07972151179,0.2449060892,3.398496241,18.6529643,0.0,606.3536481,0.4359528998,0.9596458992,13.08951281,5.907179729,0.0,1.343847672,-0.4126523409,1.898145681,1.086621213,0.0,2.895697168,0.0,0.0,6.428708117,-0.1092248864,4.778427723,3.55,0.0,1.098954752,0.0257475686,0.7395764663,0.3323485688,0.5136135945,0.03935185185,10.92777281,0.0,1.125555556,0.0,1.459355764,1.135698538,0.248441358,1.049186191,1.230527014,0.5913525046,0.0,197.3493615,1.653165111,1.095889056,2.83,61.70250811,0.0,0.0,0.3005716175,0.8485950413,19.44429716,25.80722127,90.1240947
4.864593247,3.483050847,2.94782104,3.083008447,149.6332189,153.5084168,157.7599988,157.2192571,160.7445904,82.18396586,1.973479652,13.19753086,-7.111111111,47.8684679,-0.11615908,0.02239802629,0.1495119544,0.793187053,1.084199053,0.7390117862,0.4336304974,1.183528418,1.05674659,1.05378825,0.9454974802,0.9128850839,0.6982758621,1.10106383,1.036016949,0.4684992733,1.059406173,0.9981567466,0.9169378448,0.7954671425,0.8361767842,1.033486127,0.8988694408,1.249862736,1.114434772,1.231462965,1.007970944,1.117036366,1.124706416,1.000424952,1.118805803,0.1405155554,0.09542225169,1.040780936,0.1245317625,0.0,0.7005665294,-0.1768189317,5.394398156,11.51864932,0.0,0.0,0.0,0.0,1.952955596,0.481372549,0.01470588235,0.01862745098,0.781981982,0.04252782194,3.836320413,1.918567089,0.9266500003,31.50827223,11.05045608,10.19736362,12.13273414,5.693927995,4.794537184,29.36252149,5.733667477,22.51475897,40.3821381,0.0,13.8474744,5.687386275,28.16193619,0.0,3.784963637,0.0,1.476522243,116.02,0.8736507937,0.7170493197,0.04313034188,128.9502109,33.09550291,-4.48738988,-1.433660259,-0.3981594592,0.2868187101,-0.2885717592,2398.000947,2.22,0.009,-5.63,0.9054990938,7.008277138,86.54911572,-0.1412602658,0.01666929638,33.4626691,14.6965013,0.3847291187,0.9256866577,-1.20799466,0.0,1.032894737,-0.1100810537,0.4167960019,3.681415929,27.88160714,5.907179729,636.8882694,0.4307424667,1.121794872,5.316788604,0.0,14.18117935,1.197962776,-0.5965460562,1.336913626,0.8644281438,0.0,3.485224586,0.0,3.784963637,3.71134192,0.02953243389,4.828237502,3.1,10.75961411,0.9106050533,0.2009230693,0.8182057211,1.066326797,0.5594894492,0.04771090535,10.3132171,0.0,1.201944444,0.0,1.662547685,0.9780433171,0.3834567901,0.9955752212,0.98125,0.6336825234,0.0,232.9059331,1.510024254,0.8923792038,3.11,74.09336881,5.616778587,0.0,0.4354135173,-4.481481481,9.778515705,13.8474744,98.91368409
4.899567567,3.3125,2.633499171,2.324404762,145.2236585,149.1514683,154.0889835,152.6440717,161.9569224,43.41666667,-3.444444444,9.592592593,-5.24691358,49.49423033,-0.009073121504,-0.1330254378,0.005526650006,1.165050455,0.9818617667,0.8532268875,0.481025641,1.077631579,1.042631579,1.166075949,1.174328358,1.0,0.5547337278,1.016483516,1.092548077,0.8941783768,1.054548473,0.867221107,1.147146907,0.7998243965,0.8655335382,1.097782018,0.9568820966,1.042223191,1.001194482,1.144084148,0.9261065715,1.117415903,1.225300192,0.9251387058,0.830404064,0.2077652636,0.138308809,0.5306069401,0.09087175382,0.0,0.6791339464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.081466837,0.4818181818,0.0,0.01818181818,0.752173913,0.02055335968,3.205229003,1.964695999,0.9308270835,27.50802119,0.0,5.098681808,24.26546827,11.21062871,0.0,20.16532066,0.0,22.51475897,20.16532066,0.0,6.9237372,0.0,39.1116119,0.0,1.983792569,0.0,1.72006025,54.46,0.3192290249,0.1518920068,0.03140522876,48.49656944,12.03307684,-2.806878962,-1.118763185,-0.2748183316,0.330003265,-0.1698428165,1298.743643,1.98,0.0195,-3.95,0.8820065744,3.059279907,70.08655327,-0.1054442172,0.01042935869,0.0,14.69083901,0.8611602419,1.267775099,-0.7360700805,0.0,0.9426510989,-0.06133333333,0.5860924186,3.776315789,0.0,0.0,462.3643351,0.4330599936,0.9945464983,0.0,0.0,0.0,1.390164251,-0.2279894398,0.9213941912,0.9799092766,0.0,3.069664903,0.0,1.983792569,3.749244615,-0.153674344,4.239097918,4.46,0.0,1.252578453,-0.02029579254,0.8555555556,0.7952999205,0.3027494302,0.03551587302,10.93031118,2.969072893,0.5036111111,0.0,1.175653211,1.07275,0.056875,1.206983806,1.062560857,0.3707908119,0.0,231.7999708,1.60878976,0.9988389415,2.05,36.75265697,0.0,0.0,0.1229528849,-1.679012346,15.06663885,6.9237372,61.06573907
4.933105502,3.768292683,2.549450549,2.420833333,146.5154789,153.69586,154.4824564,156.3614444,155.9861939,54.62984878,-60.50558843,11.82117028,-9.504273504,48.68718614,-0.2011455542,0.1363277034,-0.03075848675,1.479755545,0.8994308687,1.141602007,0.4655770391,1.059872436,1.148423363,1.058623428,0.9591910251,1.229550162,0.5210708725,1.011384089,1.249117632,0.9112127984,0.9309523064,1.154399846,1.148325263,0.843559247,0.7578813484,0.9871552647,1.075194469,1.135618409,1.233982263,1.058187476,1.042088171,1.018556236,1.098173712,1.048833616,0.9354415781,0.2065253099,0.07374049156,0.6597440455,0.1397268263,0.0,0.6706519733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179351852,0.4791666667,0.0,0.02083333333,0.7833333333,0.0,3.426930273,1.858471946,0.6770864604,25.00643644,4.567099648,5.098681808,18.20875424,35.29333391,0.0,24.31554143,7.047671983,22.51475897,24.31554143,13.59242839,0.0,0.0,45.78684481,0.0,0.8086522896,2.014978899,1.673129435,48.53,0.4170521542,0.4244614512,0.03484567901,6.629331589,23.38320668,-2.644903442,-1.225903154,-0.1097559832,0.3438174447,-0.3340264312,1675.99095,2.02,0.045,-3.16,0.9702222597,3.043383337,76.44323822,0.2025329644,0.01186849912,0.0,14.69236486,0.8962065382,0.783282766,-0.8584456683,0.0,1.080291577,-0.06886792453,0.6597238522,3.847058824,0.0,0.0,501.4754921,0.4217736817,1.06402345,0.0,0.0,4.983978521,1.397770359,-0.2474074232,0.9539103736,1.089605421,0.0,2.986882716,0.0,2.014978899,7.929571103,-0.1391361402,4.608315758,2.59,0.0,1.0164062,-0.03973342556,0.8897694524,0.7258897942,0.446626588,0.04772079772,10.94501645,0.0,0.6672222222,0.0,1.307438499,1.095393003,0.04375771605,1.17678821,1.036643432,0.7556189312,4.276638637,229.1120281,1.189940855,1.014208926,2.21,35.90493987,0.0,0.0,0.1469120055,-9.833004602,9.665781456,6.544756406,67.74146102
4.87862781,3.518181818,2.851364522,2.794001967,143.0263923,147.2379897,153.7283912,156.6873333,157.9621341,54.56,-27.08,9.9336,-10.3024,49.59300473,-0.1119247403,0.1267220834,-0.08504151787,1.002611425,1.157469684,0.8636708116,0.480081826,1.092054264,1.084749553,1.092894629,1.064565483,0.9542344104,0.6667444211,1.178708887,1.075450092,0.5120748762,0.7913634388,0.9574627346,1.067443475,0.8006899081,0.9096887762,1.019252084,0.8713394097,0.9366248321,1.063024221,1.122396289,1.04526311,1.068405771,1.164393103,0.8596356559,1.004579115,0.1793978374,0.0886063362,0.8235086609,0.07026332943,0.0,0.6841461785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.109014669,0.4838709677,0.0,0.01612903226,0.75,0.01451612903,3.358962553,2.284893636,1.11548875,31.44058453,4.983978521,5.261891555,30.33183534,34.23115751,0.0,19.93591408,0.0,28.71445679,19.93591408,6.420821623,18.25485007,0.0,50.62994439,0.0,1.981682321,0.0,1.764174135,78.25,0.7356462585,0.4462514172,0.03880434783,25.51876313,31.31991702,-3.097626129,-1.657906649,-0.3905481873,0.4828985212,-0.3199275181,2090.993894,2.2,0.00087,-6.06,0.9917647359,6.027276376,81.01835435,-0.3942834297,0.01026217704,6.196843572,14.56396273,0.6452621218,0.8848061051,-0.9706253199,0.0,1.016553441,-0.05983193277,0.4113487649,3.594594595,11.98427311,0.0,646.6576147,0.4340286995,1.225706849,0.0,0.0,4.983978521,1.401259527,-0.458484451,0.5549810469,0.8992505761,0.0,3.060290404,0.0,1.981682321,2.39839373,-0.04919902201,4.52836744,6.38,0.0,1.436045709,0.02724751787,0.8805496829,0.7288041808,0.2749716524,0.0389739229,10.93301779,3.485659565,0.8894444444,0.0,1.417622218,1.065724101,0.273125,1.027146811,1.062070759,0.4971938746,0.0,228.2152161,1.420023776,0.950722904,3.16,54.95175817,0.0,0.0,0.3441751701,-7.0908,9.967957042,13.34455882,83.54265275
4.830967851,3.082644628,2.497516397,2.308666088,146.8104866,154.9455879,161.3904776,160.9577363,159.608501,88.99589002,7.893424036,12.66836735,-6.530612245,51.13517741,-0.1396544643,0.1485603848,-0.02193898849,1.078827989,0.9543023615,0.855673272,0.4705006297,1.020392696,1.035828361,1.118439868,0.872814873,0.8935884108,0.6948367859,0.9854656339,1.148989899,0.6455485653,1.121669844,1.237345569,1.33869002,0.9773250885,0.9440614041,0.8819080523,1.100297595,1.152231848,1.313549791,1.174396416,0.9605082762,1.05234692,1.028396791,0.9848130722,1.056761062,0.1646906487,0.08379878171,0.7368419724,0.07931626887,0.0,0.6974691495,0.1215681455,0.0,11.77331419,10.97043888,0.0,1.587612778,0.0,2.029786661,0.4811111111,0.0,0.01888888889,0.8052083333,0.03368055556,3.772563192,2.03479173,0.8531149556,29.65311583,19.77449303,0.0,6.9237372,5.693927995,14.26826309,20.26872417,0.0,33.45795484,34.196814,11.21535881,6.9237372,0.0,77.20433024,0.0,5.025525567,0.0,1.518409135,89.13,0.6630839002,0.3680909864,0.03703252033,156.0293329,26.87280381,-4.113241296,-1.666890384,-0.08270949534,0.3802555449,0.2006403332,2440.144633,1.53,0.0101,-5.98,0.8189189232,7.008271881,82.35343359,-0.2250290797,0.02146105979,11.33678588,14.55668537,0.7388990544,0.6650146912,-0.5207401012,0.0,0.9469039352,-0.1020923521,0.5716951519,2.968,6.420821623,0.0,614.7405329,0.4434958058,1.086154514,13.33769871,12.70012204,9.967957042,0.610134758,-0.5514710166,1.077382544,1.037077024,0.0,2.810125831,0.0,4.035566859,4.016146543,-0.361368454,4.954239967,6.43,11.49902367,0.9431479202,0.1054702879,0.8197641267,0.8389579798,0.2749716524,0.04149728997,10.31169747,3.478052221,0.6216666667,0.0,1.604959537,1.109120494,0.2553240741,0.9482407407,1.09006734,0.5997530532,0.0,181.3968973,0.4785352577,1.037820026,3.78,44.38530327,0.0,0.0,0.2734158478,-2.102040816,4.794537184,45.95158251,88.04141462
4.976090825,3.572815534,2.636087768,2.748248248,146.94792,152.5312104,159.9369804,161.5140242,157.7866144,68.16345679,-11.20296296,10.88345679,-17.80049383,49.30967614,-0.09617441852,0.04674258288,0.0004611167629,0.7991332812,1.064684973,0.8392189399,0.4227900943,1.025702555,1.178381933,1.045881552,0.9651116528,0.996175354,0.6977861788,1.05397066,1.169392328,0.5312802104,0.8352204022,1.011175076,0.8109808117,0.8924210639,0.9502477462,1.037942051,1.040636805,1.164158622,1.21486115,1.172509348,1.103003927,0.9960623896,1.092462978,1.057080007,1.022566517,0.168103657,0.1387698918,0.7957274555,0.1458456799,0.0,0.679730678,0.0,0.0,12.21552075,0.0,0.0,0.0,0.0,2.044765684,0.4743589744,0.01923076923,0.02564102564,0.787654321,0.01875593542,3.670299879,1.821553217,0.7949875002,25.81328012,4.983978521,0.0,18.55355576,23.27208584,0.0,20.37772696,5.917906046,0.0,20.99377639,0.0,18.88348407,5.817862778,35.95872634,12.7481417,1.987411367,0.0,1.63025785,75.98,0.6661678005,0.5043579932,0.04253387534,43.01328283,24.49081827,-3.660197484,-1.241504586,-0.3071880361,0.4700211901,-0.04538118536,1935.60158,3.06,0.0326,-3.68,0.9690311499,7.008280765,77.65089871,-0.6793922424,0.0129950633,0.0,14.63899349,0.8422157922,0.9521446117,-0.1441911549,0.0,0.8610887182,-0.08242272348,-0.6862135895,3.47826087,22.86267181,0.0,487.1097853,0.4234503313,1.221125813,5.008912524,5.559266895,9.967957042,1.187812638,-0.5517384683,1.241687952,1.07088523,0.0,2.917305236,0.6812104487,1.987411367,4.852130923,0.1516991372,4.696865596,2.72,0.0,1.07007431,0.1035864495,0.729252167,-0.255793211,0.446626588,0.04419191919,10.93910312,2.663439334,0.7194444444,0.0,1.567965966,1.131373978,0.127808642,1.11494096,1.078533535,0.5726237653,0.0,197.2176532,1.300822866,0.9172617732,0.0,49.59430021,0.0,0.0,0.2043572058,-2.58962963,9.803449708,32.2280429,74.39454092
4.782522541,3.305882353,3.010198604,3.040196078,147.6606619,154.64466,163.5888857,162.2767769,160.4872522,67.47658402,-23.52800735,9.641528926,-13.37603306,50.76727958,-0.0203974743,0.01715333706,0.01985879814,0.9750356332,1.06810565,0.8995354701,0.42622798,1.118561244,1.04507822,1.048897097,1.016955088,0.9930200821,0.7402756041,1.054163571,1.123689511,0.5430004698,1.130821924,1.085026067,0.7125822492,0.908847825,0.9386461188,0.8489467275,1.17975814,1.117044226,1.11394938,1.135942566,0.8984430075,1.041720081,0.9137359688,1.049935806,0.9524929355,0.1706753545,0.1075556018,0.681984921,0.06542737998,0.0,0.7124476124,-0.005671073105,0.0,11.68415648,0.0,0.0,1.505444365,0.0,1.959476488,0.4820952381,0.02,0.0179047619,0.8091710758,0.04073368607,3.945131835,1.514299784,0.5343130683,25.40060836,10.30076712,0.0,6.9237372,12.2386844,9.184952232,20.26872417,0.0,21.95893118,20.85911529,11.33929359,12.74095804,4.390415048,28.3797528,23.46952001,4.203868702,0.0,1.477486721,70.67,0.5406349206,0.521789966,0.0427124183,15.79293262,21.45729,-2.730995998,-0.8155418155,-0.06155549106,0.07431723209,0.1671958509,2157.481791,1.68,0.0431,-4.67,0.7840663233,8.001919065,75.2172651,0.01954067744,0.01626783455,12.13273414,17.42477197,-0.2898511025,1.305466566,-0.6387203093,0.0,1.074833445,-0.1137404675,0.6612008449,3.075268817,24.48391052,0.0,502.6105768,0.4467734054,1.218746421,0.0,11.72440057,14.35837209,0.6101372502,-0.615878515,0.7117788244,1.0434551,0.0,3.127888572,0.0,3.88701811,1.290198047,-0.07080870092,4.92511855,5.8,0.0,1.262602807,0.07509864575,0.7447611395,0.643579269,0.191638319,0.04248366013,10.31169935,3.241133551,0.6705555556,0.0,1.656565026,1.006480613,0.2053240741,0.9198599035,1.129178957,0.4483783381,0.0,192.8228407,0.8915219726,0.9430611429,2.62,37.6100271,0.0,0.0,0.283446712,-6.939566116,4.794537184,33.23387405,94.65187534
5.015075563,3.801801802,2.743405276,2.565118397,145.4483366,151.8452865,157.7991108,154.8832424,155.2950731,60.96,40.68,12.7904,-7.3536,48.50866702,-0.01789490347,-0.05492856553,0.005818675611,1.107962755,0.8795490602,0.8382428825,0.4763888889,0.9810560345,1.195779817,1.041724806,1.016133094,0.871557377,0.5764779202,0.9053616221,1.341606029,0.710762688,0.6923643735,1.149771598,0.6301484994,0.8740111102,0.9003036372,1.016925607,1.132918464,1.129528642,1.150889609,1.159598231,0.8919580082,1.034431385,1.167634127,1.043516976,0.9482045186,0.1932632161,0.142022543,0.6666063312,0.1445717349,0.0,0.6833808251,-0.4733771778,0.0,12.17061795,5.027775736,0.0,0.0,0.0,1.994744098,0.47,0.0,0.03,0.8129032258,0.01709677419,3.695854381,1.948001808,0.8330296891,29.76070055,9.843390349,5.098681808,12.13273414,23.38096217,14.63792753,19.74844179,0.0,22.51475897,44.0380384,17.70244098,0.0,0.0,47.28738284,5.693927995,0.6707660241,0.0,1.625579303,90.13,0.5683446712,0.4010416667,0.03655555556,38.82563308,24.61592899,-3.584926957,-1.219345458,-0.3702908775,0.2236858134,-0.2867259117,2353.989797,1.66,0.0527,-3.81,0.7986440863,7.008274511,82.07938505,-0.3147682066,0.01913487273,24.52642128,14.69235208,0.4081338108,0.7720612583,-0.5836406007,0.0,0.7999684741,-0.1020960366,0.2526429524,3.655172414,11.08015221,5.969305288,535.5604941,0.4340691616,0.9139803542,13.21376393,13.21376393,4.794537184,1.343847828,-0.3900060344,1.808155539,1.127631411,0.0,3.256642512,0.0,0.0,5.56196621,-0.2072347779,4.810826501,3.71,0.0,0.7481827672,-0.000190674753,0.8055706522,0.6412303566,0.5136135945,0.04013888889,10.92776533,0.0,1.07,8.870075158,1.339029608,1.072702703,0.232816358,1.102453581,1.180493441,0.5913525046,0.0,212.3415799,1.705884925,1.146429541,3.1,48.73693008,0.0,0.0,0.2882259385,3.5472,14.64975998,19.38639965,79.29026955
4.859112107,3.673267327,3.069279636,3.01016703,148.0204164,152.3036628,155.6241958,156.38011,158.8298829,57.61651235,9.116898148,9.277777778,-9.638888889,46.40783287,-0.1418998546,0.002369970634,0.1431020664,0.9978933536,1.126749375,0.8043402298,0.4601794321,1.063892821,0.991449361,1.12475115,1.016003688,0.9313135294,0.6778846154,1.125945643,1.120078287,0.5263290549,0.7653077486,1.009087887,1.002180955,0.7739194071,0.8461781675,1.012838732,0.9224867734,1.293880102,1.094092438,1.163808843,0.9937935412,1.105641658,1.096946365,1.013083517,0.9865388069,0.1536834849,0.09195694048,0.8818553705,0.1048899075,0.0,0.6899617195,0.3785173112,0.0,0.0,0.0,0.0,0.0,0.0,1.953568543,0.4854166667,0.015625,0.01458333333,0.7929292929,0.0154040404,3.786967448,1.797995053,0.7767544274,30.77061433,5.316788604,15.45925517,12.13273414,17.3266008,0.0,29.36252149,0.0,28.58398029,34.47495837,0.0,18.25485007,5.687386275,28.16193619,6.327320075,1.941264622,0.0,1.505162424,96.72,0.7772789116,0.6137329932,0.04255787037,33.40773965,26.70073695,-4.59435954,-1.107443043,-0.335460334,0.4681407602,-0.3277556437,1979.218291,2.39,0.00554,-5.68,0.9503412415,6.027276828,84.02435188,-0.07004008446,0.01327392728,27.39630203,14.69649764,0.5464944494,1.191412894,-1.019008159,0.0,1.044801642,-0.1087121212,0.6024833463,3.772277228,22.05720265,0.0,650.4913963,0.4333802246,1.169959359,5.316788604,0.0,14.18117935,1.197963488,-0.4460845129,0.7961230233,0.8434346087,0.0,3.343373494,0.0,1.941264622,5.233536819,-0.1693118928,4.808208073,3.4,10.75961411,1.146310134,0.03060481946,0.8610027189,1.191533362,0.3928227826,0.03958333333,10.31321773,0.0,1.035,0.0,1.4836021,1.032176274,0.2940740741,1.022680175,1.093023256,0.5680413817,0.0,240.1464297,1.542309453,0.8984210063,3.18,67.16963161,5.60349768,0.0,0.3482221592,-3.5,4.983978521,6.9237372,92.12034184
