AATS1i,AATS2i,AATS2s,AATS3d,AATS3i,AATS3v,AATS4i,AATS5d,AATS6i,AATS7s,AATS8s,AATSC0c,AATSC0v,AETA_alpha,AETA_beta_ns_d,AMID_C,ATSC0i,ATSC1d,ATSC1dv,ATSC7d,ATSC8d,ATSC8dv,AXp-0d,AXp-1d,Ali_Log_S,BCUTi-1h,BCUTi-1l,BCUTs-1h,BCUTs-1l,CIC1,CIC2,ESOL_Solubility_(mg/ml),EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,ETA_dAlpha_B,ETA_dEpsilon_C,ETA_dEpsilon_D,ETA_epsilon_5,GATS1c,GATS1d,GATS1dv,GATS1i,GATS1v,GATS2c,GATS2d,GATS2dv,GATS2i,GATS2s,GATS2v,GATS3c,GATS3d,GATS3dv,GATS3i,GATS3p,GATS3s,GATS4dv,GATS4i,GATS4s,GATS5c,GATS5d,GATS5dv,GATS5i,GATS5p,GATS6d,GATS6dv,GATS6i,GATS6p,GATS6s,GATS6v,GATS7c,GATS7d,GATS7dv,GATS7i,GATS7p,GATS8c,GATS8d,GATS8dv,GATS8i,GGI5,GGI6,GGI7,GGI8,GGI9,IC1,IC2,JGI3,JGI4,MATS1c,MATS2s,MATS6s,MATS7s,MATS8s,MAXaaCH,MINaasC,MLOGP,MOMI-Z,Mor02m,Mor03m,Mor10m,Mor11m,Mor12m,Mor13m,Mor16m,Mor21m,Mor22m,Mor23m,Mor26m,Mor30m,Mor31m,PEOE_VSA1,PEOE_VSA11,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA9,RNCG,RNCS,RPCG,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA9,SaaNH,SaaS,SdCH2,SdO,SdS,SddssS,SdsCH,SdsN,SdssC,Silicos-IT_Log_P,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SpDiam_A,SsCH3,SsNH2,SsOH,SssO,SssS,SsssCH,TASA,TSRW10,TopoPSA(NO),VSA_EState7,VSA_EState8,VSA_EState9,Xc-3dv,Xc-4dv,Xc-5d,Xc-5dv,Xc-6dv,Xch-6d,ZMIC2,iLOGP
145.560325,150.7520497,3.6252775724124406,3.6353774653705946,156.5390026,204.03354032693662,155.8494569,3.446428571,157.8136342,2.713833492,2.589976983,0.0239203789141313,50.40263578,0.4916666667,0.015625,1.63637924,50.80424937875374,9.136094675,56.75805391,-6.461538462,-6.023896604361683,0.8027613412,0.6848636974,0.43760542067056873,-5.59,15.74117391502468,10.662384005346349,6.276614836103835,0.9741803898770915,2.225408552,1.169396833,0.00305,-1.1995525837757937,4.33257816885513,6.881631696543095,44.92947468,0.0,-0.9980250575321961,0.008333333333,-0.14497255068494136,0.01464646465,0.7686868687,1.7300301802975337,0.7010103383,0.5338529013,1.106744432,0.8105966151,1.307613246,1.131203008,0.6444367763664893,1.255474299,0.8845624423,0.8869107625,1.182502241,1.0876171046398346,1.102882377,0.9948518972,1.09632176072456,1.21797018,1.046089306,1.041741393,0.9211550059,0.7066778399445404,1.113827538,1.0967019153607915,1.142098622,1.108727882,0.9220755809398111,1.07260214,0.9578415159946017,0.9473605507,1.058993957,0.909990065772662,1.2572107532301855,1.1108873842864064,1.033053036,0.9807791387,0.9889785624,1.179218062,0.7944048161316398,0.9775824878,1.024371889,0.7522388190635767,0.7413151927,0.474029195,0.43175195146585776,0.11047695497823219,3.475031166,4.779198434934017,0.05263825872720557,0.0381678487,-0.44564462862428017,-0.0689705005580894,-0.03525356625,0.09928470844,-0.0421398553,2.03988502,-0.07668759179008305,2.13,3201.186331,28.00048187,-3.436424346,0.7638670105422636,1.0827925773055667,0.8662714035947655,-1.251029408,0.8631021280903763,-0.14790222435949613,-0.05012600402556788,-1.1450986596032364,-0.348939037,0.5026020939,-0.3174309568,5.316788604,7.448205923784568,8.557364152198923,3.417233898610906,5.098681808,42.54970879,43.4078870623448,23.27208584,0.1626234389,21.57365644,0.0779721243,0.0,24.73242031,0.0,19.822379794542865,13.067946460764585,22.51475897,1.3814043552186412,0.0,0.0,0.0,0.2379575950784043,0.0,2.5898963861759596,0.4465691586462133,0.6790551438,3.6760136897077484,5.687386275,29.72092241,6.544756406,6.9237372,4.876664293,-0.009299402651337996,0.0,1.805322121803151,0.0,0.0,-0.09082762648971737,423.37455024159453,86.5433006929725,68.52,4.468855141217525,2.431664893,0.0,0.915641771,0.010095691203278287,0.45078098588742377,0.07129411522,0.0,0.6103515511261349,36.57587505,2.367009005786884
143.9205754,148.497033,4.452864038756323,3.393563939309733,155.7072841,216.75260879726056,157.6903983,3.638554217,156.1471078,2.775983348,2.513594118,0.018201107837243678,49.36971113,0.4938271605,0.01851851852,1.645994822,76.58598756903726,8.611111111,47.5648778,-11.11111111,12.372365587355112,-49.07432603,0.6747025075,0.4330225380602931,-5.7,14.986347240976732,10.848119472430776,8.30054175227409,0.9818094489643849,1.971019137,1.017358475,0.00211,6.459766258229687,3.077046410225428,-1.7155776044705426,44.70847628,0.0,14.37521549424839,0.006172839506,-0.0788936149670397,0.01728395062,0.7666666667,1.3960562239936734,0.6357555488,0.4925806497,1.097914098,0.7586816813,0.928830155,1.046116046,0.9001463546752242,1.162316982,0.806176138,0.8736319481,1.359112878,0.9908233849837027,1.046212291,1.069299139,0.9862904063090653,1.059650804,1.096330246,1.153244123,1.134986036,1.0024117179619647,1.09849187,1.1158687502545195,1.001694662,0.9087220074,1.258067815366504,1.262825586,1.0093530280143346,0.7062011674,1.36756626,1.12542471689387,1.2581442651191848,0.9738509479465328,1.087030257,0.9636005185,0.9363242298,0.8892957006,0.9699595473275581,1.06378838,0.945521376,1.0260451295670177,0.4734240363,0.3871527778,0.35772284519910397,0.20901300750791685,3.421298286,4.713491201663162,0.029725675923438468,0.03834795322,-0.5832361625199032,0.04798561845968126,-0.3256048181,0.007166955336,-0.2231714005,2.091736636,0.3591990138589529,2.83,2341.143937,30.25372769,-4.349804826,1.0448898512657785,0.682884225072868,2.1261375263639373,-1.364894195,0.7426564804678855,-0.19166519978855603,-0.17834126737302933,-0.5824806886242502,-0.2638964467,0.3145197949,-0.1177401881,5.316788604,14.483962665388686,10.269577463179516,15.5468571549206,0.0,24.26546827,57.504604181294305,21.41454618,0.1884334693,20.66219208,0.1109721935,0.0,15.28474565,4.992404733,19.313924142980422,-4.916234857759558,0.0,1.1519350609790142,1.623420283,0.0,0.0,1.534727524324195,0.0,2.826757676838684,0.279833894619377,0.6099706843,4.187310248736802,11.37477255,15.80357683,0.0,13.08951281,4.903407469,0.382991639867468,0.0,-3.862585239006616,0.0,0.0,-0.20622301507640933,536.2386734153538,77.02208793437951,64.27,6.042418991693879,1.966259719,0.0,0.7609291239,-0.028853771152824274,0.33201273380807284,0.09332482137,0.0,0.5785924761974945,31.3110809,4.142634472881711
147.4612651,157.7221058,1.9169498924182335,3.8558279276991643,159.9476082,247.89967556980733,159.1225334,4.1,162.9607215,5.453186535,4.534979424,0.01172492405165004,43.86052541,0.4843253968,0.0,1.332445565,104.5502952108329,3.752066116,40.2265075,-11.12396694,0.6588120948835563,-81.96755433,0.7040406978,0.4287046969436688,-6.27,13.307393354384317,9.859018600805074,4.642050660630968,0.4779033976808498,1.049369409,0.4928685608,0.00251,-0.16815282408072463,15.816018615757088,14.651990819543574,15.91054863,22.67357176,13.098119358584423,0.01567460317,-0.10826035851754488,0.02512698413,0.903047619,1.2504823389140038,0.9346405229,0.3964611406,0.8505278771,0.7117645346,1.066337923,0.9322033898,0.8969803468100115,0.7492637709,0.3591895554,0.7793836392,0.6916775797,1.0261661639251358,0.7824128347,0.5185500431,0.9645939423862098,0.4570906609,0.8466251836,0.9734528773,0.8341697233,0.955313359274403,1.175490196,1.1252687447868772,0.9434064182,0.9520079746,1.1874157513545478,1.087901579,1.00757891816909,1.339381988,1.049784255,1.0739726477263853,1.0539901483034468,1.1628745588401828,1.329232471,1.424684863,0.9366503436,0.8996855229,1.177530084358813,1.56203012,1.45619129,0.7026990269387082,0.7413151927,0.5721017574,0.33170543522729284,0.26514783932757413,3.995024711,4.891210461507912,0.0404963545226093,0.05052380952,-0.1104088897169771,0.1931049296184875,-0.02532760127,-0.2289025083,-0.337053202,1.810150227,0.6328024478857288,2.09,2275.114305,30.5186832,-6.198717848,0.7817765165213237,0.5337810766744748,1.3677949612503228,-0.5802035465,0.2624150332084424,-0.4766052048004493,-0.5610602197136004,-0.6926429111897711,-0.309865363,0.155164361,0.1592967637,4.983978521,8.629577297165962,8.458255002734159,12.12026629114431,13.17124514,6.066367068,56.19923473778746,21.4210879,0.1746651557,31.96666154,0.2350145504,13.17124514,19.93591408,0.0,20.45735742748318,24.960553684847767,21.95893118,1.1897793168946935,2.703659126,0.0,0.0,-1.1401943945247712,0.0,0.9248314384402374,1.4410709514094675,0.0,3.694576658485226,13.17124514,19.93591408,6.176298517,6.9237372,4.853464981,5.069354866923993,0.0,-1.2417771745750428,0.0,0.0,-0.004344769906611305,602.0178217344314,75.30300864416343,54.46,0.05865785554359437,1.792035689,0.0,0.8991335537,0.09734644520985258,0.3753492946666666,0.1350287976,0.003018408053,0.6607133863730538,36.71808007,2.894444384255985
144.0134583,150.126197,2.8297887564588224,3.45471042307003,156.8461685,223.34721903232193,153.5723163,3.865979381,156.7137158,2.356688122,2.087254445,0.016857886142726666,51.04803271,0.4928571429,0.01923076923,1.710001269,111.65240820639788,12.73336939,67.91639792,-20.64196863,-1.9099650008044597,-38.35570779,0.679730678,0.4381505544826412,-4.76,15.792364397639615,10.753187886842134,5.3358163730358585,0.763141874213329,1.882225511,0.7536365571,0.00255,1.948234530067719,-1.842867435397797,23.233588145215258,47.37110857,16.82083098,20.08345479740291,0.007142857143,-0.09860042760354537,0.0,0.7879120879,1.2662960548049345,0.5602350279,0.4318447912,1.098254068,0.8150876153,1.314057055,0.9656629185,0.864759821217969,1.20195393,0.802777227,0.8248936248,1.162451852,0.8940261189834493,1.122979597,0.9005178782,1.0267847164957296,1.07024599,1.142759713,1.026477864,1.104286557,0.948002825196022,1.277430991,1.0021037278354072,1.254770926,0.9894774431,1.0968121745559474,1.240392507,0.897942551633553,0.9625365914,1.264429857,0.8612061327874437,0.7993725995228098,1.3690315957545347,1.226162045,1.006670644,1.045596152,0.7989429637,0.8993874798148478,1.006643446,0.9886050964,1.0307965553186698,0.6131972789,0.4288548753,0.4006759106922736,0.13759257875049036,3.544039244,4.54839079408166,0.04950600967829548,0.04044973545,-0.3687502723928389,0.11029296301145597,-0.1398244797,-0.1165371515,-0.1514373106,2.125990226,0.49817735127813095,3.15,2177.837598,20.78246748,-2.909144122,1.0051613703941493,0.1654632872630485,0.8029768429781872,-1.147689069,-0.1262630151298612,0.24663516221356055,-0.37969143882775425,-0.7399045976361688,-0.4462850492,0.3119019792,-0.02368572528,0.0,0.17801873886751762,16.230092374519,8.866271574667325,5.098681808,29.8000411,54.07879364283572,21.92719002,0.1910926599,9.627587987,0.08464523789,0.0,19.74844179,0.0,22.680265856144892,2.5999548582239864,22.51475897,2.048605807593167,0.0,0.0,0.0,1.4944616777575945,0.0,5.540301564201455,-0.041576111844302766,0.0,5.965189012501883,0.0,19.74844179,12.96557803,6.9237372,5.000147947,6.701600856234904,0.0,-1.2074607100150683,0.0,0.0,0.21106016836520103,614.3472913425009,74.46398785280275,43.6,1.9054157302441022,2.883960967,0.0,0.8170731478,-0.013681141752031408,0.37197507576797656,0.2038753515,0.0,0.6889960642025466,27.68479521,0.5202551075124231
147.0512604,153.298533,3.140155851231874,3.8225348946805564,156.1439246,224.24861592557212,155.2239887,3.094827586,159.1124828,2.709876543,2.687134503,0.008740526434833818,48.51601673,0.4752688172,0.01612903226,1.62492247,110.29585318730479,7.98615917,42.68319877,-3.813148789,-5.273438594787844,-22.8769704,0.6736212297,0.43338386446242383,-4.12,13.586216208639659,10.345854415093088,5.8930730045141475,0.8385322722295889,2.169459979,0.7946926473,0.0199,-5.659781245299332,5.714841423837651,21.19606278816219,46.0664067,0.0,9.420181009388406,0.0247311828,-0.13021373275356238,0.0156922043,0.7864583333,1.1564198912238184,0.6499575191,0.5717269661,1.228519539,0.8670340307,1.411693982,1.171505828,0.9403104682160048,1.067066962,1.094830353,0.8997839579,0.9917209535,1.281361805876266,1.142848717,0.9167204453,0.9833715398080501,1.065979522,1.003537061,1.137439012,0.9966995856,1.1373703044288175,0.9330688044,1.078001018114361,0.9905744916,0.9596107075,1.3159306016401262,0.9344976561,1.0517436133356377,0.9400515136,0.8165135332,0.885765831913726,0.9053629568755375,1.0500186325340533,0.9230159947,1.028564315,1.081529766,0.8696566776,0.9482559807391107,1.032606284,1.097846121,0.9285793532775352,0.4251247166,0.2830569728,0.086784097098874,0.2150220622587977,3.502965363,4.691429553320032,0.03512920575553289,0.02094315245,-0.46094381399604917,0.2137310158279251,0.08922032047,0.05678877165,-0.0753821893,2.061706428,0.04454653932282476,1.06,1149.515575,29.97570609,-3.466205219,1.2282087767114296,0.8724764848875656,0.8522172891356153,-1.430672584,0.7972682650580615,-0.36854086064056335,-0.04508664157594133,-1.0535731856645976,-0.1871286353,0.5062090867,-0.2306665933,9.303962602,2.1151813232595185,7.5181211724761745,3.8889636939016095,5.098681808,6.066367068,41.74090185619849,24.25993247,0.2060016448,58.60524924,0.07931789153,4.736862954,29.71639883,0.0,5.672920850002544,5.973284285056591,39.52165029,-0.07726846579895041,0.0,0.0,0.0,1.276324110974386,0.0,-3.9392611860976987,-0.11718576947708226,0.0,2.9228649526950563,0.0,36.32328079,6.544756406,0.0,4.818141123,3.411170718738249,0.0,-0.24349765725200168,5.829180599,0.0,-0.04034513498712912,608.7976676125536,82.85036321328015,81.51,0.796514358577534,1.342149728,0.0,0.5972872317,-0.04462639532288718,0.46578592953059683,0.0761440227,0.0,0.5823289422433066,29.22376832,-0.44260655825238615
150.1287662,155.577371,4.193780754126236,3.538298166004796,160.8336168,258.12863573089624,160.1316994,3.292682927,162.70947,2.714285714,2.789990421,0.022689316318165925,47.59726111,0.4707070707,0.0303030303,1.520040716,70.60742182024536,11.33190083,75.49586777,-7.836033058,-6.407909402268553,-30.43801653,0.6904812668,0.4324381195647419,-3.54,15.40326461363551,10.802160536754695,3.673919039050833,1.6294286617394778,2.01541337,0.9461654549,0.0997,-5.323880891625793,4.864034302729353,4.406404933532119,51.71376917,13.26227256,17.589173163810152,0.02929292929,-0.1167629662236914,0.04335016835,0.7768518519,1.4366622031299305,0.7054229688,0.4701755915,1.310822657,0.871503092,0.9914120486,1.158493597,0.8047309453627673,1.247799371,0.5717072487,0.9051268693,1.168480885,1.168805281147626,1.19744908,0.9763069501,0.9068136840027775,1.302360769,0.9728418609,1.060873201,0.6744874859,1.1864468684681928,1.076028109,1.1981816454233976,1.137021822,1.105722788,1.051096751986448,0.9851563148,0.9171430380256029,0.9531900847,0.8858995568,0.8883309199142089,1.057764955681853,1.0506110085812683,1.02001469,0.919064009,0.8993950898,0.8860151522,0.7555564375734846,0.9872794965,1.021017094,0.7342031145500472,0.6931972789,0.6067885488,0.33822480842259883,0.16039322522292115,3.765946344,3.7506305109738864,0.043913811962077554,0.04250591017,-0.23130353822900465,0.11478456583690333,-0.06916580264,0.03184452403,-0.01353165484,1.98359253,0.16291998901170107,1.49,2114.754709,31.70917809,-3.795521347,1.03747951500357,0.4190434547526799,1.554966821546954,-1.560207532,0.7896638822403994,-0.4579429392877513,-0.13533006986637905,-0.37755293917212196,-0.2816104061,0.3924517219,-0.1512194368,15.61755573,7.334830770651559,16.4980474438168,11.946999125737534,5.425791397,12.14238718,26.407721245053,23.62654039,0.134539768,33.07316149,0.07868413042,4.794537184,25.38663948,4.992404733,2.7242560318892775,-6.4899530009538084,11.38785599,2.9013704741814657,0.0,0.0,11.20180083,1.119856748352972,0.0,0.450852609189649,3.4950985963673804,0.8135728293,4.28585095019038,11.37477255,32.20656318,11.33929359,13.08951281,4.84862861,4.967944996278413,0.0,-2.0022194037449026,0.0,0.0,-0.04111195933227113,579.289528291721,80.39218350342367,112.4,8.09820383753735,3.944364098,0.0,0.8586399347,-0.009709085489975228,0.34056530628612125,0.06365387513,0.0,0.5806743976182508,30.46303494,1.4936276511287176
148.1175792,151.9245659,2.236688721648167,3.6291747575359405,158.2982398,200.53398810435004,158.696275,3.341463415,161.1531869,2.80839895,3.054613936,0.017072475490471233,47.983974,0.4737373737,0.01515151515,1.598107469,63.916230315785924,11.32441701,58.86419753,-3.121056241,-4.7405336688607225,5.827160494,0.6904812668,0.4333057528944623,-4.64,15.51678783022754,10.380961367390388,6.152391246188436,1.1837681885510778,2.122284425,0.9624846009,0.0228,2.453266418974238,4.313612187653484,-0.00761989617441472,50.88435568,0.0,12.773749178422436,0.02626262626,-0.06665024513961541,0.05492765493,0.7531531532,1.7412073439370728,0.688132401,0.4928064814,1.186259354,0.808654492,0.955881863,1.158783241,0.8921843002613069,1.227336624,0.5353549235,0.9098394126,0.9643030855,1.005121196459478,1.151037647,0.9725137957,1.0485133584545083,0.9824538378,1.066814244,1.143224984,1.013548257,1.099880931987105,1.122177974,1.1970838469499936,1.111315097,1.045308634,1.2690119245360347,1.04828938,0.9662059026269447,0.9447017455,0.9170307425,1.0453321713871442,0.9543290102704448,1.0273354703618667,1.015392516,0.9664313761,0.9154061091,0.6810049159,1.0293760472770064,0.9283487331,0.9440686449,1.0044771126868017,0.6156462585,0.6198625283,0.15517421242819004,0.26490127600268,3.632603077,4.525115137559147,0.045902619591981185,0.0446875,-0.16884305510068748,-0.08647134926813468,-0.1184005841,-0.05952935236,0.1569820465,1.986135868,-0.1507911129841692,0.81,2131.473555,28.93837283,-4.334610185,0.5629600761941722,0.7245884275763821,1.206254575839765,-1.809740532,-0.0017249342891829667,-0.21287399368439283,0.08740012120121557,-0.8541703622032817,-0.1644850658,0.3809179098,-0.3172304735,16.0344346,6.522837800309789,8.416281344727519,14.068759588000141,0.0,18.19910121,51.388558434828646,34.65994183,0.1360091594,32.24398834,0.08937926059,4.794537184,24.9198926,5.733667477,20.482976578648326,10.33098026583965,22.64523548,2.0897106785355675,0.0,0.0,11.46922204,0.2189333296907826,0.0,3.048800342308786,1.4476078707129385,-0.4665311897,4.851463391437519,5.687386275,30.82707233,6.544756406,6.9237372,4.874959471,2.0159728932218575,5.391845875,-0.7504621779058426,0.0,0.0,0.16131678576568426,540.6940388824625,78.59845860947067,122.47,-3.1914922570887603,2.382704181,0.0,0.8291328182,-0.08975628266966491,0.3372080496756836,0.08505527698,0.0,0.5722640620914123,32.00740331,1.6146130542632433
142.568784,147.0264186,4.49832933865231,3.4837734613807165,150.228361,234.6648625779959,156.1724908,3.465517241,159.8089967,2.506858711,2.574133074,0.0064270619397218745,51.19414657,0.5112554113,0.02272727273,1.613859381,96.60673432418974,6.387543253,37.25823401,-10.49134948,-2.536072840766142,-42.15075398,0.6865492513,0.4271148064848323,-6.13,16.2612163338487,10.436942701004405,2.3142686377347155,1.3526498204577386,1.743653309,0.9045555148,0.000727,-3.9411524846196273,4.362467620932593,9.660809852556946,31.81196091,5.563451492,12.79548101987283,0.0,-0.09237902365780039,0.0,0.7978354978,1.4305672323913359,0.702740662,0.5496909568,0.9601897125,0.7324090131,1.054521134,1.076825843,0.7271877863739986,1.168403169,0.9764116598,0.7950806361,0.9514008569,1.058130697387255,0.9484975008,1.072127304,0.846389020432786,1.01926616,0.9355006689,1.140327832,1.03888694,1.2548131821812192,1.046033514,1.0415428781879175,1.156503074,0.8949825732,1.1118401189423601,1.28728987,1.051857165895392,1.429588173,1.590509625,0.866685594753258,1.199874131362673,1.0363480136263035,1.498679609,0.9274549705,1.141796019,0.7659585896,1.014917090944987,1.328864352,0.7764336092,1.00879081943668,0.3788208617,0.3411635488,0.2808264010091496,0.2210703349076281,3.343809532,4.8463390125935195,0.03395990766617844,0.04555555556,-0.4597855387197083,-0.2364881880808163,-0.1232475129,-0.06048862328,-0.3969541693,2.137281307,0.3037299728541841,4.07,390.8279117,23.86903746,-4.431175036,0.5718498564773034,0.5640660225184774,1.3452149910778908,-0.4233779371,0.8331748701880846,-0.3728001991307989,0.07617303515486382,-0.6235721500015533,-0.2706113907,0.3611107697,-0.1605658084,0.0,1.0630236693516144,4.011787687008418,10.32013292761607,5.098681808,58.8330126,52.964533441516515,11.89077157,0.1752600273,98.50396462,0.1713114299,0.0,14.59805822,0.0,9.191373136008032,-1.1066903063284892,21.82845468,0.8685715887156821,1.592402954,0.0,0.0,3.4594267967104213,0.0,3.0765838153085587,-0.056265845995483676,0.0,2.5060615699224993,0.0,14.59805822,0.0,6.9237372,4.773957061,-0.36739357075809087,0.0,-3.8749063235120977,0.0,0.0,0.1901382729749045,598.4194899036222,86.68842885040756,30.19,3.1523693943029087,2.084179544,0.0,0.9040054457,-0.020059565854112303,0.6758779246337616,0.09878289721,0.0,0.6020625026404188,29.43827486,3.6252890734187835
148.0204164,152.3036628,3.3587258131684625,3.3750754325338654,155.6241958,248.15006723056868,156.38011,3.673267327,158.8298829,3.069279636,3.01016703,0.014871358217136985,46.40783287,0.4854166667,0.015625,1.505162424,99.34950310442656,9.277777778,57.61651235,-9.638888889,-13.845193004953124,9.116898148,0.6899617195,0.42980729152768377,-5.68,17.292139896232094,10.61705690555814,7.769847503362801,0.5774083410485699,1.797995053,0.7767544274,0.00554,12.51586756152585,4.32105408145977,28.176829905517785,28.16193619,6.327320075,17.55470315078674,0.01458333333,-0.10383770915533426,0.0154040404,0.7929292929,1.5094984470878656,0.6778846154,0.4601794321,1.094092438,0.7739194071,0.9978933536,1.125945643,0.8983032663328788,1.163808843,0.5263290549,0.8461781675,1.126749375,1.0238016772269758,1.063892821,0.9937935412,0.9791783902852421,0.7653077486,0.991449361,1.105641658,1.009087887,1.1695838215933432,1.120078287,1.0597053919400692,1.096946365,1.012838732,0.9473798015729121,1.12475115,0.9168760546994426,0.9224867734,1.002180955,0.9534925696883586,0.6622626404465451,0.7526885312229131,1.016003688,1.013083517,1.293880102,0.8043402298,0.988424584885568,0.9313135294,0.9865388069,1.1555680684237684,0.7772789116,0.6137329932,0.2514759807362372,0.20438905968358698,3.786967448,4.540799951119316,0.04066384175179049,0.04255787037,-0.38764205433872206,0.09110806356133144,-0.1418998546,0.002369970634,0.1431020664,1.953568543,0.9540668128888252,2.39,1979.218291,26.70073695,-4.59435954,0.16331432294787418,0.9698144748665275,2.1514152929195114,-1.107443043,0.5059098788605714,-0.17844808900013018,-0.2709692246258809,-1.0656936574195222,-0.335460334,0.4681407602,-0.3277556437,5.316788604,-3.954575867578166,12.978625004866531,20.31405491478765,15.45925517,12.13273414,12.363351760484314,17.3266008,0.1536834849,33.40773965,0.09195694048,0.0,29.36252149,0.0,-1.1508728520106004,7.568703500644423,28.58398029,3.9822562153486434,0.0,0.0,0.0,1.3060335629859945,0.0,5.753669980859144,0.49543440284664886,0.3785173112,3.264051929968944,5.687386275,34.47495837,0.0,18.25485007,4.859112107,3.888960152241534,0.0,2.6968955190994195,0.0,0.0,0.020698849309195043,481.1247815446874,81.44075633051838,96.72,-4.4930733715937405,1.941264622,0.0,0.8818553705,-0.03641211590601734,0.5281568145196359,0.1048899075,0.0,0.5550428355120082,30.77061433,2.4046903996730786
147.9609889,153.6858859,3.2119348105187178,3.223039694814771,157.3723122,217.23566651343893,158.2847916,3.313559322,161.3962539,2.541629027,2.600173273,0.019267484491376857,50.24069857,0.488172043,0.03225806452,1.551691863,94.69592322141261,12.75,75.74556213,-2.8125,-12.226588278215424,-19.08481262,0.6841461785,0.4324413754262684,-4.85,13.67242120702345,10.376008456479452,5.79676861406207,1.5435342644815284,1.948806929,0.8084442311,0.0132,-7.473959491969154,9.816466784315212,18.956774794598253,46.02638289,4.895483476,17.09434359376988,0.01182795699,-0.09649645016265994,0.0302378625,0.7686868687,1.7003038211878638,0.6275510204,0.4858885136,1.202428832,0.8419519833,1.14525196,1.099378882,1.0323116824008178,1.170031011,0.7677770956,0.8883641275,1.104223281,1.2345363679190084,1.134299115,0.9967102316,0.8058182552510136,1.101451631,1.036806387,1.115373092,1.093347265,0.9928501111166728,1.140435835,1.1644374247820564,1.130021224,0.9966874993,1.340990011288686,0.9887735485,0.9242387762094194,0.920388143,1.081734953,1.0250103307885046,0.6699957139534353,1.1488178782011933,1.027397085,0.9392508828,0.818590741,1.038133593,0.9514091845843673,1.009299348,1.026507014,1.1095903814504355,0.614829932,0.5130385488,0.3453200233554737,0.3444970815949905,3.751632789,4.520727202883868,0.03994902890969066,0.04176767677,-0.5831591226248052,0.046596444327655064,-0.01507438131,-0.02037667222,0.08008636736,2.135101973,0.41402092364933124,2.51,2480.208982,28.83810036,-4.27403285,0.45857935340531253,0.6310951332399827,1.0610224898820464,-1.305590239,0.4416162356089143,-0.020473458817687945,0.21685285331074314,-0.7846047237518774,-0.005907292768,0.4375679667,-0.2402819089,10.30076712,21.85701501409052,7.244580954856847,12.488191444679845,5.425791397,18.20875424,34.020374364677224,23.62654039,0.1590730809,31.87239538,0.09303964791,0.0,25.38663948,4.992404733,26.80798624894304,2.9298796708261894,11.38785599,3.9101309397110064,0.0,0.0,0.0,-1.046967475920769,0.0,5.291711236894733,3.8676774715444506,0.9473948809,4.110459329995954,5.687386275,32.55515263,6.544756406,13.08951281,4.848683342,3.795351613034538,0.0,0.6862396784096898,0.0,1.723645122,0.1339326107029592,489.6363656535651,74.10987839208056,83.3,1.8867484549160434,2.559945921,0.0,0.877368674,0.04542039021144847,0.284065254630807,0.06365387513,0.0,0.5489991537092916,29.27400652,3.8695668533082994
