,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(strategy),16.73306783846483,3.0,115.86681732075961,5.572025096590287e-70,0.044688831781791886,0.12875996213055008
C(imputation),160.74082738260043,3.0,1113.037266215746,0.0,0.4292888706788455,0.5867239858898812
C(upstream),13.595374991300094,2.0,141.2101635274951,1.2151907718906468e-58,0.036309027840069445,0.10720397354764832
C(strategy):C(imputation),26.03788556091768,9.0,60.09909955604173,2.6555452992744947e-99,0.06953911255356222,0.1869727302120927
C(strategy):C(upstream),1.395788329130796,6.0,4.832513467078721,6.516324790930017e-05,0.003727717501994971,0.012177715542654564
C(imputation):C(upstream),24.40756654685853,6.0,84.50414119006516,4.36453066979648e-96,0.06518503636901062,0.1773418820222984
C(strategy):C(imputation):C(upstream),18.302151505225602,18.0,21.121969040629466,4.0734899712740206e-64,0.04887936735556402,0.13915382361931447
Residual,113.2224521973296,2352.0,,,0.30238203591916135,
