,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),13.59537499130106,2.0,47.3660993440793,6.709779998239127e-21,0.036309027840072075,0.03815643053979555
C(strategy),16.733067838465544,3.0,38.86518535777086,1.6181568752921854e-24,0.04468883178179385,0.046552648307062516
C(upstream):C(strategy),1.3957883291307251,6.0,1.6209691090588898,0.13721577877273589,0.003727717501994787,0.004056266398314344
Residual,342.7108831929297,2388.0,,,0.9152744228761392,
