sample,strategy,imputation,upstream,rmse_test,best_st_rmse,abs_gain,pct_gain
10,LH,Gaussian,3,1.9568350315093994,1.2506792545318604,-0.7061557769775391,-0.5646178062191165
10,LH,Gaussian,3,1.9568350315093994,1.193615436553955,-0.7632195949554443,-0.6394183349026623
10,LH,Gaussian,3,1.9568350315093994,0.6215032935142517,-1.3353317379951477,-2.148551346276216
10,LH,Gaussian,3,1.9568350315093994,0.9722468256950378,-0.9845882058143616,-1.0126936697484212
10,LH,Gaussian,3,1.9568350315093994,2.2053229808807373,0.2484879493713379,0.11267644309954977
10,LH,Gaussian,3,1.9568350315093994,1.332672119140625,-0.6241629123687744,-0.4683544462318807
10,LH,Gaussian,3,1.9568350315093994,1.3232778310775757,-0.6335572004318237,-0.4787786703234524
10,LH,Gaussian,3,1.9568350315093994,1.6070144176483154,-0.349820613861084,-0.217683556550169
10,LH,Gaussian,3,1.9568350315093994,2.6369059085845947,0.6800708770751953,0.2579048705762259
10,LH,Gaussian,3,1.9568350315093994,1.5134135484695435,-0.44342148303985596,-0.29299426021940334
10,LH,Gaussian,3,1.9568350315093994,0.7618116140365601,-1.1950234174728394,-1.568660014436967
10,LH,Gaussian,3,1.9568350315093994,0.8743709325790405,-1.0824640989303589,-1.2379918620322015
5,MLP,Gaussian,3,1.779240608215332,1.624961495399475,-0.15427911281585693,-0.09494324219536628
5,MLP,Gaussian,3,1.779240608215332,1.3473296165466309,-0.43191099166870117,-0.3205681715627549
5,MLP,Gaussian,3,1.779240608215332,1.1222474575042725,-0.6569931507110596,-0.5854262768143169
5,MLP,Gaussian,3,1.779240608215332,1.1090096235275269,-0.6702309846878052,-0.6043509185753871
5,MLP,Gaussian,3,1.779240608215332,2.499976396560669,0.7207357883453369,0.2882970372587861
5,MLP,Gaussian,3,1.779240608215332,1.8296552896499634,0.05041468143463135,0.027554196530799158
5,MLP,Gaussian,3,1.779240608215332,1.37521231174469,-0.4040282964706421,-0.29379339685961925
5,MLP,Gaussian,3,1.779240608215332,1.634238839149475,-0.14500176906585693,-0.08872740360357718
5,MLP,Gaussian,3,1.779240608215332,3.1275172233581543,1.3482766151428223,0.4311012598341881
5,MLP,Gaussian,3,1.779240608215332,1.6088048219680786,-0.17043578624725342,-0.10593938053887506
5,MLP,Gaussian,3,1.779240608215332,0.8835754990577698,-0.8956651091575623,-1.013682599973273
5,MLP,Gaussian,3,1.779240608215332,0.9023871421813965,-0.8768534660339355,-0.9717042996803602
10,LH-E2E,Gaussian,3,1.823325276374817,1.2506792545318604,-0.5726460218429565,-0.4578680103375527
10,LH-E2E,Gaussian,3,1.823325276374817,1.193615436553955,-0.6297098398208618,-0.5275650938621192
10,LH-E2E,Gaussian,3,1.823325276374817,0.6215032935142517,-1.2018219828605652,-1.9337338923257148
10,LH-E2E,Gaussian,3,1.823325276374817,0.9722468256950378,-0.851078450679779,-0.8753728252816478
10,LH-E2E,Gaussian,3,1.823325276374817,2.2053229808807373,0.3819977045059204,0.1732162172242736
10,LH-E2E,Gaussian,3,1.823325276374817,1.332672119140625,-0.4906531572341919,-0.3681724485619089
10,LH-E2E,Gaussian,3,1.823325276374817,1.3232778310775757,-0.5000474452972412,-0.37788545500686055
10,LH-E2E,Gaussian,3,1.823325276374817,1.6070144176483154,-0.21631085872650146,-0.1346041804920755
10,LH-E2E,Gaussian,3,1.823325276374817,2.6369059085845947,0.8135806322097778,0.3085360875263393
10,LH-E2E,Gaussian,3,1.823325276374817,1.5134135484695435,-0.30991172790527344,-0.20477663109245664
10,LH-E2E,Gaussian,3,1.823325276374817,0.7618116140365601,-1.0615136623382568,-1.3934070349934489
10,LH-E2E,Gaussian,3,1.823325276374817,0.8743709325790405,-0.9489543437957764,-1.0852995089815543
5,MLP-E2E,Gaussian,3,2.1473608016967773,1.624961495399475,-0.5223993062973022,-0.3214841137936486
5,MLP-E2E,Gaussian,3,2.1473608016967773,1.3473296165466309,-0.8000311851501465,-0.5937902465179408
5,MLP-E2E,Gaussian,3,2.1473608016967773,1.1222474575042725,-1.0251133441925049,-0.9134467958361155
5,MLP-E2E,Gaussian,3,2.1473608016967773,1.1090096235275269,-1.0383511781692505,-0.9362868961104894
5,MLP-E2E,Gaussian,3,2.1473608016967773,2.499976396560669,0.3526155948638916,0.14104756962865764
5,MLP-E2E,Gaussian,3,2.1473608016967773,1.8296552896499634,-0.31770551204681396,-0.17364227777987357
5,MLP-E2E,Gaussian,3,2.1473608016967773,1.37521231174469,-0.7721484899520874,-0.56147584148115
5,MLP-E2E,Gaussian,3,2.1473608016967773,1.634238839149475,-0.5131219625473022,-0.3139822345761602
5,MLP-E2E,Gaussian,3,2.1473608016967773,3.1275172233581543,0.980156421661377,0.3133976095610241
5,MLP-E2E,Gaussian,3,2.1473608016967773,1.6088048219680786,-0.5385559797286987,-0.3347553241852383
5,MLP-E2E,Gaussian,3,2.1473608016967773,0.8835754990577698,-1.2637853026390076,-1.4303082237869738
5,MLP-E2E,Gaussian,3,2.1473608016967773,0.9023871421813965,-1.2449736595153809,-1.3796447237776779
5,LH,Gaussian,3,1.9351308345794678,1.624961495399475,-0.3101693391799927,-0.1908779623751895
5,LH,Gaussian,3,1.9351308345794678,1.3473296165466309,-0.5878012180328369,-0.43627128121731834
5,LH,Gaussian,3,1.9351308345794678,1.1222474575042725,-0.8128833770751953,-0.7243352360832599
5,LH,Gaussian,3,1.9351308345794678,1.1090096235275269,-0.8261212110519409,-0.7449179822481817
5,LH,Gaussian,3,1.9351308345794678,2.499976396560669,0.5648455619812012,0.22594035798029327
5,LH,Gaussian,3,1.9351308345794678,1.8296552896499634,-0.1054755449295044,-0.057647768695098425
5,LH,Gaussian,3,1.9351308345794678,1.37521231174469,-0.5599185228347778,-0.4071506036216519
5,LH,Gaussian,3,1.9351308345794678,1.634238839149475,-0.3008919954299927,-0.18411751588683892
5,LH,Gaussian,3,1.9351308345794678,3.1275172233581543,1.1923863887786865,0.3812565378931369
5,LH,Gaussian,3,1.9351308345794678,1.6088048219680786,-0.32632601261138916,-0.20283754011390204
5,LH,Gaussian,3,1.9351308345794678,0.8835754990577698,-1.051555335521698,-1.190113732944224
5,LH,Gaussian,3,1.9351308345794678,0.9023871421813965,-1.0327436923980713,-1.1444574552575693
20,MLP,Gaussian,3,1.6655972003936768,0.8347322344779968,-0.8308649659156799,-0.995367054963757
20,MLP,Gaussian,3,1.6655972003936768,0.8109623789787292,-0.8546348214149475,-1.0538526121165033
20,MLP,Gaussian,3,1.6655972003936768,0.5983561873435974,-1.0672410130500793,-1.7836215879844017
20,MLP,Gaussian,3,1.6655972003936768,0.7347990274429321,-0.9307981729507446,-1.2667384389305478
20,MLP,Gaussian,3,1.6655972003936768,1.5152157545089722,-0.1503814458847046,-0.09924754638882295
20,MLP,Gaussian,3,1.6655972003936768,1.0810149908065796,-0.5845822095870972,-0.5407716031309814
20,MLP,Gaussian,3,1.6655972003936768,1.2133044004440308,-0.452292799949646,-0.3727776803447851
20,MLP,Gaussian,3,1.6655972003936768,1.336459755897522,-0.3291374444961548,-0.2462756121489921
20,MLP,Gaussian,3,1.6655972003936768,1.9409770965576172,0.27537989616394043,0.14187694262458592
20,MLP,Gaussian,3,1.6655972003936768,0.9655410051345825,-0.7000561952590942,-0.7250403572052504
20,MLP,Gaussian,3,1.6655972003936768,0.6628711223602295,-1.0027260780334473,-1.5127014048569876
20,MLP,Gaussian,3,1.6655972003936768,0.6259360313415527,-1.039661169052124,-1.6609703180432747
5,LH-E2E,Gaussian,3,1.786345362663269,1.624961495399475,-0.16138386726379395,-0.09931550238002401
5,LH-E2E,Gaussian,3,1.786345362663269,1.3473296165466309,-0.4390157461166382,-0.32584138337423973
5,LH-E2E,Gaussian,3,1.786345362663269,1.1222474575042725,-0.6640979051589966,-0.5917571037637822
5,LH-E2E,Gaussian,3,1.786345362663269,1.1090096235275269,-0.6773357391357422,-0.6107573142433872
5,LH-E2E,Gaussian,3,1.786345362663269,2.499976396560669,0.7136310338973999,0.2854551086478955
5,LH-E2E,Gaussian,3,1.786345362663269,1.8296552896499634,0.043309926986694336,0.023671085603769702
5,LH-E2E,Gaussian,3,1.786345362663269,1.37521231174469,-0.4111330509185791,-0.2989596932832772
5,LH-E2E,Gaussian,3,1.786345362663269,1.634238839149475,-0.15210652351379395,-0.09307484308288524
5,LH-E2E,Gaussian,3,1.786345362663269,3.1275172233581543,1.3411718606948853,0.42882956828445834
5,LH-E2E,Gaussian,3,1.786345362663269,1.6088048219680786,-0.17754054069519043,-0.11035554982860012
5,LH-E2E,Gaussian,3,1.786345362663269,0.8835754990577698,-0.9027698636054993,-1.021723513800686
5,LH-E2E,Gaussian,3,1.786345362663269,0.9023871421813965,-0.8839582204818726,-0.9795775883342325
20,MLP-E2E,Gaussian,3,1.7420125007629395,0.8347322344779968,-0.9072802662849426,-1.0869117410474918
20,MLP-E2E,Gaussian,3,1.7420125007629395,0.8109623789787292,-0.9310501217842102,-1.1480805348291387
20,MLP-E2E,Gaussian,3,1.7420125007629395,0.5983561873435974,-1.143656313419342,-1.911330303939205
20,MLP-E2E,Gaussian,3,1.7420125007629395,0.7347990274429321,-1.0072134733200073,-1.370733269510529
20,MLP-E2E,Gaussian,3,1.7420125007629395,1.5152157545089722,-0.22679674625396729,-0.14967950641950928
20,MLP-E2E,Gaussian,3,1.7420125007629395,1.0810149908065796,-0.6609975099563599,-0.6114600774066682
20,MLP-E2E,Gaussian,3,1.7420125007629395,1.2133044004440308,-0.5287081003189087,-0.43575882534128974
20,MLP-E2E,Gaussian,3,1.7420125007629395,1.336459755897522,-0.4055527448654175,-0.3034530168797052
20,MLP-E2E,Gaussian,3,1.7420125007629395,1.9409770965576172,0.19896459579467773,0.10250744130239743
20,MLP-E2E,Gaussian,3,1.7420125007629395,0.9655410051345825,-0.7764714956283569,-0.8041828275538935
20,MLP-E2E,Gaussian,3,1.7420125007629395,0.6628711223602295,-1.07914137840271,-1.6279806767872191
20,MLP-E2E,Gaussian,3,1.7420125007629395,0.6259360313415527,-1.1160764694213867,-1.7830519630405817
20,LH,Gaussian,3,1.8070132732391357,0.8347322344779968,-0.9722810387611389,-1.1647819487516962
20,LH,Gaussian,3,1.8070132732391357,0.8109623789787292,-0.9960508942604065,-1.2282331709576528
20,LH,Gaussian,3,1.8070132732391357,0.5983561873435974,-1.2086570858955383,-2.019962543149043
20,LH,Gaussian,3,1.8070132732391357,0.7347990274429321,-1.0722142457962036,-1.4591938826150348
20,LH,Gaussian,3,1.8070132732391357,1.5152157545089722,-0.2917975187301636,-0.19257819743613003
20,LH,Gaussian,3,1.8070132732391357,1.0810149908065796,-0.7259982824325562,-0.6715894678674769
