,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),3033.1275326431078,2.0,8535.437926710465,0.0,0.0533179349138559,0.055959282632456135
C(strategy),2203.907898458815,3.0,4134.636358243222,0.0,0.03874146952988889,0.041292420667841286
C(upstream):C(strategy),481.25594154494826,6.0,451.4295526877033,0.0,0.008459773844669134,0.009317541132177488
Residual,51169.274463194975,287988.0,,,0.8994808217115862,
