,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),3033.1275326430336,2.0,11075.294153012406,0.0,0.05331793491385507,0.07142158100032375
C(imputation),10598.619130836329,3.0,25800.173413187793,0.0,0.1863081848399074,0.21183073893185395
C(upstream):C(imputation),3821.0050806200165,6.0,4650.728197499109,0.0,0.06716766703722517,0.08833505303400711
Residual,39434.81409174196,287988.0,,,0.6932062132090124,
