,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),26.30438002584434,2.0,168.28816530590748,1.6209108706200704e-58,0.3467582827697474,0.3640330381257912
C(strategy),2.3774118003525246,3.0,10.140016470383712,1.6079599932476664e-06,0.03134030273729339,0.04918994693027268
C(upstream):C(strategy),1.222338131420642,6.0,2.606727362744958,0.016780580346728788,0.01611350927104006,0.0259100701421905
Residual,45.95384181377586,588.0,,,0.6057879052219192,
