,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),302.81857624080334,2.0,1486.5189559099358,0.0,0.06486783153774187,0.09360644699565865
C(imputation),1055.1325118165746,3.0,3453.0565006574348,0.0,0.22602364384701665,0.2646211624942741
C(upstream):C(imputation),378.08865394854354,6.0,618.6718112278195,0.0,0.08099169943643957,0.1142162259019312
Residual,2932.199800803757,28788.0,,,0.6281168251788019,
