,sum_sq,df,F,PR(>F),eta2,partial_eta2
C(upstream),92.57298113134009,2.0,476.1384559834664,6.489175283802953e-195,0.10406177437581765,0.11698335600438861
C(strategy),68.15230756787082,3.0,233.68902459806077,1.1078771524802008e-144,0.07661036694126865,0.08886565004916479
C(upstream):C(strategy),30.10947128061957,6.0,51.6215314332836,1.585173012820916e-62,0.03384621483166487,0.04130973269488646
Residual,698.7616522148535,7188.0,,,0.7854816438512487,
