AATS1i,AATS2i,AATS3i,AATS4i,AATS5d,AATS6i,AATS7s,AATS8dv,AATS8s,AATSC0v,AETA_alpha,AETA_beta_ns_d,AETA_beta_s,AETA_eta_F,AETA_eta_L,AMID_C,ATSC0i,ATSC0p,ATSC1d,ATSC1dv,ATSC7d,ATSC8d,ATSC8dv,AXp-0d,AXp-1d,Ali_Log_S,Ali_Solubility_(mg/ml),BCUTc-1h,BCUTd-1l,BCUTs-1h,CIC1,CIC2,ESOL_Log_S,ESOL_Solubility_(mg/ml),EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA9,ETA_dAlpha_B,ETA_dEpsilon_D,ETA_epsilon_5,FPSA3,Formula_x,GATS1d,GATS1dv,GATS1i,GATS1p,GATS1v,GATS2c,GATS2d,GATS2i,GATS2s,GATS2v,GATS3c,GATS3dv,GATS3i,GATS3s,GATS3v,GATS4c,GATS4dv,GATS4i,GATS4s,GATS5d,GATS5dv,GATS5i,GATS5p,GATS6d,GATS6dv,GATS6i,GATS6p,GATS6s,GATS7d,GATS7dv,GATS7i,GATS7p,GATS8c,GATS8dv,GATS8i,GGI3,GGI5,GGI6,GGI7,GGI8,GGI9,IC1,IC2,JGI2,JGI4,JGI5,MATS1c,MATS2s,MATS3s,MATS6s,MATS7s,MATS8s,MAXaaCH,MDEC-33,MLOGP,MOMI-Z,Molecule,Mor02m,Mor03m,Mor06m,Mor08m,Mor11m,Mor13m,Mor16m,Mor23m,Mor26m,Mor30m,Mor31m,PEOE_VSA1,PEOE_VSA2,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,RNCG,RNCS,RPCG,RPCS,SMILES,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SaaS,SaaaC,SaasC,SdO,SdS,SddssS,SdssC,Silicos-IT_Log_P,Silicos-IT_Solubility_(mg/ml),SlogP_VSA1,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SpDiam_A,SpMax_A,SsNH2,SsOH,SssNH,SssO,SssS,SssssC,TopoPSA(NO),VE1_A,VSA_EState3,VSA_EState7,VSA_EState8,VSA_EState9,XLOGP3,Xc-3dv,Xc-5d,Xc-5dv,Xc-6dv,Xch-5d,Xch-7d,ZMIC1,ZMIC2,pIC50
145.0869966,151.630624,153.5821454,162.0972247,3.095238095,153.8110988,2.49173028,3.311369211426727,2.312396352,52.02985719,0.4813333333,0.02,0.6686556961286146,0.9529757424155507,0.20330170038674258,1.726902799,70.98406301691621,15.23888368047847,17.62630208,86.00520833,-25.73480903,0.05973279978450652,-66.89236111,0.7106888094,0.433451326332263,-4.82,0.04799594265829826,0.3854817806159882,1.1508654950956372,6.732668235532372,2.180441986,1.186160354,-6.39910370217334,0.00493,1.1563116968184797,-10.80733945194271,16.314428680836848,34.75344337,5.693927995,19.060441218176074,13.032835963541238,0.01866666667,0.01841025641,0.7602564103,0.039606181732093924,C21H23N3O,0.7772133273,0.4774777405,1.135304618,1.1208584672331765,0.9584479136,0.8136231018,1.470557872,1.13458482,0.5107568841,0.8125377887,0.9565816542,1.057402812,1.234656487,0.9459305761,0.9806351357592713,1.1209553161594077,1.01343373,0.9911808129,0.6861882481,1.135710031,1.0369693209934137,0.9233410433,0.7802471478,1.274689368263176,1.383259482,0.9410736745251265,1.128724974,0.8074267202,1.2344305840418475,1.156994298,1.099788169,1.233874327,0.8559290985,0.9869634458,1.02037886,2.0521050876155718,1.1004845056046049,0.8785034014,0.641510771,0.28891131117824675,0.1926212568617018,3.404520514,4.3994068438239236,0.05919953337649016,0.05101139601,0.022885644866343837,-0.06173706176629573,0.06105997400064114,-0.15672991804375883,-0.1134696196,0.007532301879,-0.003017361532,2.023902759,8.00651681942617,2.84,1844.765861,4k_a46,19.71787636,-3.256377732,-0.25370849402976803,-2.4633251461003316,0.4336839004033674,-1.21846473,0.4447473642041692,-0.941340489159907,-0.05172541729,0.1774534813,0.009248698229,5.106527395,5.963220138388488,5.098681808,38.9703128,11.38785599,0.3013639207,119.4858903,0.1738843431,146.1555163525635,Oc1ccc(cc1)c1c(nn2c1[C@H](C)C(C2)(C)C)c1cccc(n1)C,5.106527395,14.76446326,5.414990469,28.26427081,0.0,0.13302473214722488,7.332372935243996,0.0,0.047459742682559314,0.0,0.0,3.847563953141243,0.006783790610699171,-3.128530326133327,0.0,19.87099066,6.544756406,12.33872767,4.993807265,2.513713966586662,0.0,0.34225190940654115,1.3873540433227474,0.0,0.0,-0.1420898195546459,50.94,4.43100042139841,9.718044686647293,2.668267814996332,9.756531676,0.0,2.3208676685884804,1.799994583,0.5974413374203107,0.4665289338,0.1020620726,0.3050433292000051,0.7949309455403537,58.547521442470575,27.20665253,7.096910013
146.6826228,153.8360163,154.393322,155.5745751,3.354545455,158.4971807,2.765855725,4.037315617208893,2.653451178,49.79497264,0.4860215054,0.03225806452,0.6510274665945439,1.265436123933286,0.1875628794970973,1.551471636,98.20006740676814,8.735315994425719,12.51557093,65.71322995,-10.23529412,-0.8121181072681156,-9.547396301,0.6841461785,0.43276744859258837,-5.44,-0.14610467594099597,0.4377433848994467,1.1635031207914612,6.977436192512165,1.908587457,0.7850803925,-5.645314901188662,0.00508,0.8025952307548683,0.4691861226762617,15.618003061124014,50.14233313,0.0,19.04733469275097,4.614578856376254,0.01397849462,0.01596102151,0.7947916667,0.04296502036240534,C23H20N6OS,0.6231671554,0.5229137409,1.192605992,1.0816511422578974,0.850069437,1.154989437,1.066308244,1.032417708,0.9945878704,0.7856842935,1.051754668,1.086841448,1.062812281,1.036202292,1.074303968594608,0.8543514088803409,0.9933038209,1.204043191,1.124858731,1.074963343,1.0406751839038861,1.08234411,1.094985792,1.1049415627854096,1.074392778,0.8850456431042611,1.042817834,1.179787543,1.1575774223861979,0.9371297311,1.216995818,1.444234896,0.8145217849,0.9601867527,0.9243527456,0.9593692003353227,0.7581785914022453,0.5723809524,0.5755385488,0.23218975923299,0.2634100975172423,3.763837885,4.221256478553516,0.06560181650970624,0.04273901809,0.012844339880207275,-0.4298345888794403,0.21387611671760245,-0.1062694323616289,-0.09346467055,0.08357969071,0.05190511898,2.043666788,7.040829263165687,2.51,2348.487522,12k_a30,29.51563794,-4.40313787,2.1988123767681373,-2.290714049500449,0.40074311384686023,-1.630922844,0.7296368658245149,-0.5058857050626581,-0.1549428418,0.3293047376,0.1962706546,10.05365156,16.899227928650415,5.425791397,35.61190719,17.68087273,0.202199992,91.84114925,0.08993796578,22.203926172627447,COc1ccc(cc1)CNc1sc(c(n1)c1cccc(n1)C)C1=CN2[C](C=C1)N=C[N]2,4.736862954,20.40266096,4.992404733,17.13736782,1.602924671,0.8603259304601324,3.230704420737278,0.0,-0.7497980838022125,0.0,1.019725553,5.705453841827513,0.0081409000171394,5.229899990800611,5.13155848,28.42520247,6.544756406,13.08951281,4.848604167,2.4868479749664654,0.0,1.981320984153899,1.2813584549446908,5.234125561,0.0,0.8019897150885393,76.74,4.0509881905907115,9.412118319824144,6.7928452937266055,2.652372549,1.66852335,2.6779941648519405,0.9242705142,0.6428807367529636,0.1146045727,0.0,0.20057651888410724,0.7656589827973339,53.34545915671944,28.80703149,7.614393726
148.4885439,154.5722891,158.9896464,159.1024899,3.138461538,162.7737755,2.598621878,6.894815861652182,2.623352166,49.59307996,0.4774193548,0.01612903226,0.6464901438541392,1.1601957403636414,0.22957104700997083,1.612736344,82.74723939019155,8.0365198830555,14.19753086,82.0,-2.546296296,-0.7901286699611028,-57.0,0.6841461785,0.42884494600024686,-4.61,-0.08543015646193883,0.470776855413231,0.9041329466738753,6.800682444107441,2.04735632,0.8665553244,-5.551063483329735,0.0109,7.023634685945057,10.28113502479265,-2.683903523094054,52.44720452,5.563451492,4.011932252053235,12.80377032608972,0.02258064516,0.02971652004,0.7606060606,0.052649584037196565,C24H23N7,0.6075489282,0.4710273729,1.273040708,0.848240817251079,0.8958941687,1.132674117,1.098690443,1.187985996,0.7862587419,0.9031476427,1.007721208,1.10899004,0.9995576389,1.023980623,0.9984223264586004,1.0303594896743637,1.08837712,1.130326292,1.105977208,0.9982952183,1.123121850638758,1.126691111,1.07261661,1.0289499392167807,0.8696387818,1.025119415176721,0.9195151966,0.9024530485,1.094740988284147,1.107608088,0.8913461082,0.8241019034,1.178607732,1.119408527,1.005424227,0.9140609931508148,0.6003423388596251,0.5331972789,0.5538548753,0.0786193332403321,0.1353406472932976,3.707531182,4.557575692957739,0.07012681997424051,0.0390617284,0.018221934810094327,-0.43646540980965853,-0.013439929843385837,-0.05196334225021538,0.1409532813,-0.02441645532,-0.09221780131,2.144178091,8.920573988885062,2.45,2317.426478,12f_a36,29.11265259,-3.47326956,3.130092343406787,-1.9909994304917935,-0.08649266934775579,-1.729343433,0.04148205291754209,-0.2223644796416805,-0.1333336245,0.2697267306,-0.1275928476,10.30076712,11.490945511909148,5.425791397,37.26522558,23.62654039,0.1578230799,14.63916453,0.09235507944,91.59691739129465,CCc1ccccc1NCc1nc(c([nH]1)c1cccc(n1)C)C1=CN2[C](C=C1)N=C[N]2,0.0,25.38663948,4.992404733,11.38785599,0.0,1.1947480918282618,3.275922506926349,0.0,3.3051813709788793,0.0,0.9516337554,3.7338429507255513,-0.006298464184773946,6.765450948192378,5.687386275,26.29938345,12.96557803,13.08951281,4.849116668,2.520101705474433,0.0,-2.7067556027989763,5.4194302771209575,0.0,0.0,1.111146786013692,83.3,4.4408765325012745,13.990725422616421,4.957314968849196,4.735971546,0.0,2.028219243715853,0.7641420517,0.5337730504174811,0.09311665768,0.0,0.2104688349085337,0.7966178403373766,48.97579669528308,29.21815788,7.958607315
147.5978611,157.8321886,157.1610552,160.7924871,3.30075188,161.2686912,2.445249597,1.5428221723811446,2.30734127,50.93265931,0.48,0.0,0.637632390838821,1.0545809339008476,0.22573334725947736,1.659158216,94.12101145651395,11.598438387359884,17.59183673,95.75510204,-23.42091837,-4.123609463101385,-134.0714286,0.6888187153,0.43330036053595106,-3.99,0.017938444571327608,0.4495218692995051,1.2243232521825869,5.8814722964262325,2.315494246,0.9627883386,-4.573033562216032,0.0144,4.635275869119705,7.837950010143756,-13.799831033360451,70.99110724,0.0,19.328290046818957,19.63703801321678,0.02,0.0,0.78,0.035557459594782376,C24H26N6,0.6028183716,0.4872254059,1.418977275,0.7757895218688857,0.9924155931,1.635793006,1.086986778,1.047773367,0.8086185044,0.7696552482,1.101169241,0.9891450263,1.078228218,1.092232767,1.0006869799217744,1.0388048346339565,0.9209003747,0.8969788832,0.9377631241,1.045489507,1.0502869997548532,1.176815358,1.028415375,1.104540525273156,1.128760745,1.191629114440425,0.8508560912,1.183776933,1.2007154796687458,1.149116523,1.135099677,1.148701918,1.092100555,1.230211318,1.091952783,2.16561404494281,0.9418214580292027,0.8187301587,0.6345663265,0.4784002671296413,0.17358100281394462,3.491860676,4.587634827640808,0.08423111323039885,0.03414251208,0.019315067784645968,-0.4420369830654752,0.06855411050446149,0.09027509450153354,-0.09325959212,0.07908645055,-0.2040327227,2.251293462,9.703616001032128,2.3,2137.502982,17a_a50,25.76288881,-2.833120026,1.1680036443604036,-2.856157359247764,0.5652367253331048,-1.712049124,0.5308319344640915,-0.9336468847451129,-0.3516320659,0.3456944555,-0.1783070703,9.467009379,9.249751352176954,5.098681808,18.20875424,35.29333391,0.1662440571,3.860452175,0.05993567359,50.867388623727535,CN(CCCn1cnc2c1cc(cc2)c1c2C=CCn2nc1c1cccc(n1)C)C,0.0,29.21545116,0.0,22.51475897,0.0,2.0845643150990463,6.1270167045118775,0.0,-0.8673547504531649,0.0,0.0,2.723528017094326,-0.01601553392957794,5.141813661776545,0.0,49.85555154,13.08951281,6.9237372,4.945982674,2.557137470022911,0.0,1.2205009096737034,4.89713791579161,0.0,0.0,-0.8411134259593721,51.77,4.458749634066854,14.043958332398303,1.4346236368812586,4.838045859,4.220524565,3.465089525928713,1.067258904,0.4055010316695724,0.1288113406,0.0,0.13627357604717463,1.0682107501738591,44.35154659997633,27.46169931,7.070581074
144.7629259,147.7589175,153.50475,153.9041889,3.307692308,157.9388272,2.595588235,4.81080421168785,2.598870056,49.22976446,0.4826086957,0.0,0.6261216438708296,1.142532086750676,0.18652575413809802,1.735372024,74.80529003028477,12.548695210793865,6.734842951,26.51862673,-1.685902118,-8.728965965560686,-0.1607012418,0.6732572563,0.42971295142842875,-3.87,0.035014552804446555,0.4355561517792937,0.9694058687738473,5.315537770439761,2.434591481,1.11403462,-4.879061044665032,0.0207,-3.2417163119796393,3.7352405216728197,16.385075451527864,33.77213846,0.0,28.59103623322551,6.309980184439437,0.01739130435,0.01956521739,0.75,0.048222353761905506,C19H14N4,0.5911242604,0.563096817,0.97878136,0.9205735356411683,0.7846235028,1.233316744,1.079036348,1.152129437,1.03106203,0.9533476093,0.8490926167,1.017292389,0.975662232,0.8978491903,1.0404043324139722,0.8177069826438413,1.040318302,1.155467498,0.9035789474,1.086253983,1.1236619576279048,1.053043714,0.9340563371,1.1622231442612168,1.090552143,0.8736251075031728,1.007845284,1.115573061,1.2726953747675878,0.9179279139,0.9989757454,1.090007646,0.9127689359,1.025513645,1.077909055,2.0614531265188067,0.6796153440869142,0.2586394558,0.1962159864,0.29649985188513117,0.19778612307356294,2.774861885,4.775478638607764,0.056461230928915467,0.02134680135,0.028765282475180357,-0.40950305458200886,0.29014438293288586,-0.08966803389722536,-0.1005165051,0.09118856424,0.07486897859,2.076018519,10.341106454152772,1.91,1329.437404,GW6604_a52,20.9493021,-2.789726047,0.6180375638537123,-2.6105499764378766,0.607111102334552,-1.178525788,0.055164444949282354,-0.6234428533396317,-0.09450641028,0.3661234005,-0.2843668516,0.0,0.6527929564160946,5.098681808,36.39820241,11.38785599,0.1934537568,53.96419523,0.1287815026,144.2401019357979,c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,0.0,20.16532066,0.0,33.77213846,0.0,1.415055143604071,6.2303562121947,0.0,-0.3823953414404986,0.0,0.0,3.7061109055405717,0.010072913815331149,0.4813095515274304,0.0,20.16532066,0.0,0.0,4.808350992,2.482790900227075,0.0,-8.578825362830067,6.010189302635684,0.0,0.0,-0.6001879204307912,54.46,4.953875908143658,10.465625262259389,4.321743425327036,0.0,0.0,2.4146462313479935,0.4238365946,0.277222702824693,0.0761440227,0.0,0.16372955689599752,0.4414036716802544,45.16424557888221,30.60576651,6.970616222
145.817401,151.454821,156.37978,158.4776418,3.427272727,159.5420573,2.864942529,1.868592425541284,2.993569959,48.00479604,0.4731182796,0.01612903226,0.6523600262527938,1.1510542959720778,0.24092177051293528,1.629061707,88.48442955452768,11.647836756227155,9.9336,56.6336,-7.0656,-3.665412527185968,-22.4928,0.6841461785,0.4310766360072641,-5.51,0.0053365491693355,0.4719356925955891,1.0530181914304049,5.406399100810241,1.961800927,0.959483369,-5.554953764371474,0.00417,3.2428651052863513,4.842021153068146,11.554060485972716,45.60046608,0.0,6.965062243963656,26.34818915748812,0.02688172043,0.0311502118,0.7828282828,0.05079553078655286,C24H19N5O2,0.6667444211,0.4979332692,1.169962633,0.7012645164653524,0.8296626622,1.194764311,1.1269372,1.106385139,0.6376763403,0.8657354966,0.8824120773,1.086578615,1.006789333,0.7756154388,0.9335325522223955,1.3273444692518,1.034689303,1.158187527,1.004462757,1.145588142,1.0359867413263595,1.157114002,1.020508794,1.0944786294116917,1.002944024,0.9845437061381738,0.9589293484,0.9369932415,1.1680280989086662,1.06648165,0.9809719636,0.9574142706,0.941498962,0.9993731107,0.960657298,1.8082226183173744,0.7529600965352319,0.614829932,0.5130385488,0.3199089214192118,0.2130735237893874,3.682055263,4.502439466382781,0.0772955197141199,0.04176767677,0.019572909036271815,-0.4596407368866523,-0.004088198666324233,-0.031969097885291425,-0.1041976237,-0.05203226847,0.09083916499,1.97940729,11.726835850369488,1.29,2452.50927,13a_a6,28.84626541,-3.322802922,3.391752966630718,-2.0988463570742395,0.9280675218134865,-1.754984888,0.07148216861346351,-0.9038454407856608,-0.4622425229,0.5825388497,-0.4711483017,19.77449303,1.3525835195794684,5.261891555,12.13273414,35.25921319,0.1687985428,152.9772102,0.0858889825,95.5287645383172,N#Cc1cccc(c1)NCc1nc(c([nH]1)c1cccc(n1)C)c1ccc2c(c1)OCO2,9.473725908,14.95193556,0.0,40.21348046,0.0,1.4903990942682768,6.2329145274570665,0.0,0.841067642211017,0.0,0.0,4.95192226943769,-0.011112380936756724,5.128660021895172,5.687386275,21.74487787,6.544756406,18.25485007,4.848683342,2.4827915948644756,0.0,0.3537414054999358,1.545704259329452,10.98059471,0.0,1.0075350555075113,95.85,4.406704728641107,11.903042258686327,6.6523688544199295,2.658324812,0.0,3.223713874245416,0.7589589384,0.27403884426265035,0.06263564417,0.0,0.24856533072022513,1.0962899939364035,66.63123803820041,31.26935238,7.337242168
144.3174032,148.2158062,155.5005704,160.1483726,3.685714286,150.6606291,2.659451998,3.3285589742370463,2.451205173,48.70120046,0.4922619048,0.04166666667,0.6629173222169531,0.9707217284022361,0.2364861206969684,1.668598938,83.68552352439495,7.249577594350719,4.756026297,25.58788518,-9.604821037,-7.58365923111864,-1.629665702,0.681465016,0.44072126083015034,-4.26,-0.07416103746460123,0.305865641824961,1.048614897320423,5.320331107989694,2.168617053,1.005926512,-4.849169764992399,0.00759,5.638207406510176,1.1386296546151193,7.35533181894064,28.66745114,0.0,33.08668793143585,6.837959084195074,0.007738095238,0.01980952381,0.7754285714,0.03847101068731427,C19H13ClN4,0.7089972527,0.5698652577,1.132512957,0.9415107553278078,0.7501828975,0.8817985326,1.103610675,1.140049471,0.869590542,0.929009831,1.403654175,0.9912602227,1.228018363,1.003693386,0.898272662657984,1.2074797704212463,1.127954012,1.046167488,1.164775022,1.254631083,1.0531639548085492,0.8716138248,0.650734107,1.0933457525313235,1.165705981,1.1255602414589554,0.9815847903,0.9397280068,1.0991896864802628,1.023766761,1.040063116,1.084202037,0.4955967438,0.9505280413,0.9511288463,1.2078921982793376,1.19587193326079,0.3844897959,0.2725694444,0.27594333400941634,0.2082437876436955,3.040836313,4.779528605529382,0.06910193954074721,0.0375,0.01049001834362253,-0.5224951401524482,0.2952550430473978,-0.05066335785232943,-0.08592558512,-0.08702436199,0.0002973963039,2.004462449,10.896416433534753,3.58,1372.303956,3b_a12,21.92741253,-3.326694307,0.07548824574000301,-1.3634800421043645,0.20852112784442045,-1.232877387,0.21176701184608657,-0.5107555912523335,-0.44083332,0.4441419449,-0.1631997952,5.316788604,10.657343415135974,0.0,29.8000411,5.687386275,0.2216261846,29.63332311,0.1305005678,140.36579642139597,Clc1ccc(cc1)C1=N[C](c2c([N]1)cccc2)Nc1ccncc1,0.0,10.30076712,4.992404733,0.0,0.0,0.8619576267486128,4.962731080241719,0.0,-1.4233971129516816,0.0,0.6545581381,5.799740314086936,0.045563326671380536,9.094803717270727,11.37477255,10.81959831,0.0,6.165775612,4.8884035,2.559514575731647,0.0,-4.244598808970217,2.3993691390364833,0.0,0.0,1.432974570647386,51.38,4.508471590294343,10.321885717469156,3.7838809905430466,0.0,0.0,4.644994376197705,0.5982691087,0.46826264780821447,0.05143799709,0.0,0.3021076033777126,0.57917331744364,50.74467643526554,29.99218522,7.30980392
146.3467283,151.2254929,157.186806,159.0318735,3.0234375,156.633458,2.528490028,5.326164280134816,2.638383838,49.47834402,0.4739583333,0.015625,0.6580107272527487,0.9434782575635535,0.2116815538768275,1.646727263,109.90104690083545,11.525869252641758,8.479338843,50.20297521,1.247933884,1.0143969980066947,43.61818182,0.6797656753,0.43907015716102427,-4.15,-0.0241320568212401,0.4574473142666735,0.9873683394386294,7.941087145162555,2.087874319,0.8823513639,-4.327543331481671,0.0256,9.747373285709704,6.103508673652495,14.936915359709278,52.30116798,0.0,15.566386510744403,10.987818858681159,0.02604166667,0.0300245098,0.7803921569,0.04060480760610172,C25H23N5O2,0.7281739687,0.5436466395,1.131669773,0.8874371221132256,0.8795727074,1.098436452,1.186132075,1.171715426,0.7414861039,0.9889053603,1.016168077,1.043135494,1.015878179,1.053732652,0.8829868206859262,0.9971874413537645,1.043135494,1.08278471,1.393481191,0.9923349057,0.8292928732719853,0.8995710157,0.8184946154,0.9916020456412286,0.9738463563,0.9739917714587207,1.048252812,0.8417966211,0.932935044781801,0.777126301,1.089856057,1.146973605,0.7786952573,0.8916458408,1.026381936,1.5163625440348614,1.07618773727985,0.3786394558,0.3785076531,0.21065758395624684,0.23979272938120297,3.693485395,5.156365682497032,0.07437317102846037,0.02737588652,0.01144409077487895,-0.5185708810388574,0.15969656504061241,0.04310071192253042,-0.07109127655,0.0355086687,0.144729708,2.034631883,9.491990000840612,1.37,1432.418675,14a_a5,29.60938638,-4.556060394,1.1472735477204266,-2.3656771924712108,0.16727634598376429,-1.438365411,0.12142926024689565,-1.023597571347914,-0.2568511041,0.2918328058,-0.2183428283,10.05365156,-3.406823240431409,5.098681808,18.19910121,11.38785599,0.1606741544,142.3191854,0.09569664158,167.4373661597739,O=C(C1CCOCC1)Nc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,9.531400138,20.16532066,5.917906046,33.77213846,0.0,2.0441404830349867,5.1673623255763665,12.45432442,-0.12501805594342796,0.0,0.0585009185,4.39486330571623,-0.028490661170721396,7.232691626367538,5.687386275,39.28626432,9.531400138,5.917906046,4.821864782,2.5251681768549483,0.0,4.790626188427656,-1.0032519857856552,5.337351856,0.0,0.38175656748203224,92.79,4.439187405271416,5.67368707481704,7.859373751887734,1.301084642,0.0,4.496578690748829,0.7104330604,0.4533163040020113,0.1056068053,0.0,0.1798097726062968,0.7815346736073756,56.80310766543957,29.45497848,6.950781977
146.1247147,151.1860971,158.7179693,158.6785616,3.371900826,159.4257582,2.744929453,4.014798798111861,2.780939476,48.76662659,0.4787878788,0.01515151515,0.6518582791037907,1.0400632755085806,0.210371800960001,1.654040529,91.80888311132439,8.898800149159094,11.32441701,64.76680384,-8.49382716,-4.825129895384293,-53.96707819,0.6855377302,0.42597976431117907,-5.56,0.055298761006910876,0.39773334365978097,1.1340502410443318,6.875541496883997,2.123059313,0.9254475639,-4.312619331794336,0.0038,6.67436368020584,9.220956557695075,11.89819536651717,57.3051773,0.0,6.367563615542865,5.745871606027572,0.02121212121,0.02770562771,0.7571428571,0.035993790319647875,C26H21N7,0.6424311093,0.4684334539,1.193380188,0.8508611555836683,0.8329574266,1.15952663,1.120631709,1.21712373,0.5735563184,0.9297753277,0.9908573102,1.08262818,0.9367748703,0.7354402211,0.8144719360337676,1.0446423267137606,1.136644661,1.095910684,1.106012103,1.158449171,1.143462434696056,1.129738505,1.046671151,0.9969579962097881,1.001028816,1.0280426338921391,0.979257006,0.6014069537,0.9639584286846774,1.110977255,0.9470969825,0.9256106712,0.9957910982,1.090981533,0.9988111824,1.7160897439768819,0.9154251106143134,0.5731972789,0.6606788549,0.2636019922968094,0.2778398521329054,3.631828189,4.859996878943423,0.0668432808707417,0.04393617021,0.02102900660874803,-0.44330024252401634,0.0038266983887388223,0.14727168975255475,0.04574526033,-0.08135202692,-0.02560021309,2.026312773,9.477660543920377,1.13,3358.107916,13h_a6,31.66904098,-2.969454678,1.2749487716599988,-2.0388787261059576,0.8380530967747382,-1.710474999,0.2358475519416481,-0.6353667988280801,-0.3975811033,0.4440482265,-0.2810697766,10.30076712,14.920568296570714,5.261891555,19.05647134,46.29261463,0.1593193784,26.0493072,0.0708162659,140.47097491712,CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1ccc(cc1)C#N,0.0,24.9198926,0.0,28.71445679,0.0,1.1524044121784005,5.8836955940855225,0.0,1.023096042149216,0.0,0.0,5.718752161039443,0.03882996645048082,8.580399122268005,5.687386275,24.9198926,12.96557803,11.33111287,4.877336081,2.472834448518162,0.0,3.4254136131181063,4.617337056129465,0.0,0.0,-0.9697647014222033,103.17,4.205540417269932,11.477710903481652,7.353106482365895,2.591937797,0.0,3.42642163664514,0.7323949012,0.594459520323745,0.06541342195,0.0,0.15151949893098948,0.7531045181381925,44.607670080312545,30.95983989,7.327902142
150.1287662,155.577371,160.8336168,160.1387595,3.341463415,162.5521344,2.748106061,2.5532442938897497,2.791894353,47.59726111,0.4707070707,0.0303030303,0.6416515859493982,1.1246753616800504,0.22173269233958,1.519969228,93.45657633424553,13.166056399439775,11.33190083,75.49586777,-3.483636364,-8.355559712800567,-2.421487603,0.6904812668,0.4365377589164459,-3.54,0.06781824690060749,0.3449859807780211,1.1313622512270796,-0.09500065089510823,2.01541337,0.9098018185,-5.922601881005309,0.0997,6.066709511705454,-4.01157203910734,23.777613945783276,51.71376917,13.26227256,28.15411151431978,12.407181293666026,0.02929292929,0.04335016835,0.7768518519,0.041054806581210336,C24H22N8O,0.7054229688,0.4701755915,1.310822657,0.7212202206813417,0.871503092,0.9983987644,1.141330729,1.247799371,0.5704406583,0.9051268693,1.185920903,1.182222662,0.9763069501,1.312861561,1.113540101842816,1.079392850858223,0.9728418609,1.056870471,0.6390663656,1.109865471,1.0820370138030284,1.169295384,1.094277983,0.8956087536448895,0.9583467224,0.8741472529274068,0.9608184825,0.7748292652,1.0595083694916472,1.052699229,0.8864739701,0.9262473304,1.1312054,0.9470689873,1.061783366,1.117960411625566,0.5718900934058754,0.7356462585,0.5130385488,0.12733761813720387,0.23574655390232466,3.765946344,4.631407314431895,0.06091088424048868,0.0399537037,0.023762402606472076,-0.5180680813397618,0.1504509998942965,-0.09069978856466655,0.02791545152,-0.06188380767,-0.06019558339,1.980502618,10.863661188183311,1.49,2410.562961,12af_a36,31.04069865,-3.435346892,2.207826294853432,-2.351734891821973,1.0271696388563116,-1.670162037,0.3327810382641961,-0.9363670016424843,-0.2684374989,0.3533697405,-0.2098917096,15.61755573,8.098323497464506,5.425791397,18.20875424,23.62654039,0.1343410739,33.44055909,0.07858035979,111.97900139346531,CC(=O)Nc1cccc(c1)NCc1nc(c([nH]1)c1cccc(n1)C)C1=CN2[C](C=C1)N=C[N]2,4.794537184,25.38663948,4.992404733,11.38785599,0.0,0.019929594828898223,5.501321724468787,11.33939598,-0.023880144593820485,0.0,0.7953104794,2.7833583366324843,-0.0007035047311273893,3.527156825305832,11.37477255,32.20656318,11.33929359,13.08951281,4.84872166,2.51565371005967,0.0,2.4356004855472917,-0.34824442774733,0.0,0.0,1.7159329634683749,112.4,4.681811385062884,1.2252273253677135,7.050402315795775,3.918105847,0.0,3.3787973196427,0.8586399347,0.48662848374544654,0.06365387513,0.0,0.1925531313965691,0.9310722555320982,44.69331127395943,29.638011,7.823908741
